date,open,high,low,close,volume,dividend,split
2012-11-01,36.04,37.15,35.95,37.1,3192400,0.0,1.0
2012-11-02,37.37,37.37,36.7287,37.0,3351600,0.0,1.0
2012-11-05,37.0,37.71,36.85,37.61,2710600,0.0,1.0
2012-11-06,37.63,38.48,37.55,38.28,3725600,0.0,1.0
2012-11-07,37.78,37.92,37.24,37.58,3229800,0.0,1.0
2012-11-08,37.58,37.65,36.84,36.88,3062700,0.0,1.0
2012-11-09,36.63,37.15,36.561,36.91,3916400,0.0,1.0
2012-11-12,37.06,37.15,36.7501,36.82,2073400,0.0,1.0
2012-11-13,36.66,36.85,36.29,36.33,3540600,0.0,1.0
2012-11-14,36.42,36.75,36.095,36.14,3169600,0.0,1.0
2012-11-15,36.14,36.64,35.69,35.75,5226100,0.0,1.0
2012-11-16,35.79,35.85,35.45,35.81,6603100,0.0,1.0
2012-11-19,37.01,37.98,37.01,37.51,5121200,0.0,1.0
2012-11-20,35.94,36.92,35.8,36.28,10520700,0.0,1.0
2012-11-21,36.32,36.47,35.64,35.84,4003900,0.0,1.0
2012-11-23,36.16,36.91,36.01,36.88,2246300,0.0,1.0
2012-11-26,36.69,37.47,36.59,37.47,3283000,0.0,1.0
2012-11-27,37.36,37.65,36.98,37.34,3435400,0.0,1.0
2012-11-28,37.12,38.02,36.93,37.97,3454000,0.0,1.0
2012-11-29,38.09,38.58,38.01,38.34,3970800,0.0,1.0
2012-11-30,38.37,38.4805,37.99,38.29,2406200,0.0,1.0
2012-12-03,38.6,38.9,37.88,37.92,2714500,0.0,1.0
2012-12-04,37.95,38.22,37.69,38.13,2188400,0.0,1.0
2012-12-05,38.14,38.95,38.09,38.66,3927500,0.0,1.0
2012-12-06,38.54,38.75,38.12,38.32,3568700,0.0,1.0
2012-12-07,38.5,38.51,37.78,37.81,3326400,0.0,1.0
2012-12-10,37.8,38.65,37.71,38.56,3048800,0.0,1.0
2012-12-11,38.75,39.94,38.73,39.7,4459100,0.0,1.0
2012-12-12,39.8,40.84,39.7,40.51,6184500,0.0,1.0
2012-12-13,40.39,40.42,39.64,39.8,3472700,0.0,1.0
2012-12-14,39.72,40.27,39.7,39.85,2631900,0.0,1.0
2012-12-17,39.98,40.79,39.77,40.74,3454600,0.0,1.0
2012-12-18,40.76,41.74,40.65,41.39,4648800,0.0,1.0
2012-12-19,41.48,41.5,40.58,40.59,4744300,0.0,1.0
2012-12-20,40.58,41.39,40.42,41.36,3808700,0.0,1.0
2012-12-21,40.68,41.05,39.661,41.05,4715800,0.0,1.0
2012-12-24,40.89,41.17,40.78,41.07,1115900,0.0,1.0
2012-12-26,41.11,41.23,40.77,40.89,2559600,0.0,1.0
2012-12-27,40.82,40.89,40.01,40.64,2019800,0.1,1.0
2012-12-28,40.22,40.392,39.8,39.83,2325100,0.0,1.0
2012-12-31,39.69,40.965,39.64,40.94,3367600,0.0,1.0
2013-01-02,42.17,42.17,41.15,41.88,6287700,0.0,1.0
2013-01-03,41.94,42.14,41.5801,42.03,4114300,0.0,1.0
2013-01-04,42.14,42.95,41.86,42.86,4601500,0.0,1.0
2013-01-07,42.6,42.8,42.38,42.55,2567600,0.0,1.0
2013-01-08,42.47,42.78,42.1,42.21,2787500,0.0,1.0
2013-01-09,43.0,43.45,42.69,43.35,4104400,0.0,1.0
2013-01-10,43.64,44.12,43.33,43.67,3949100,0.0,1.0
2013-01-11,43.66,43.99,43.36,43.43,2321000,0.0,1.0
2013-01-14,43.43,43.54,42.89,43.54,2309800,0.0,1.0
2013-01-15,43.07,43.38,42.83,43.24,3411200,0.0,1.0
2013-01-16,43.15,43.24,42.87,43.05,2159900,0.0,1.0
2013-01-17,43.64,44.43,43.52,43.87,4749200,0.0,1.0
2013-01-18,44.05,44.16,43.59,44.15,2385600,0.0,1.0
2013-01-22,43.96,44.65,43.85,44.64,2263400,0.0,1.0
2013-01-23,44.54,44.62,44.12,44.3,2676000,0.0,1.0
2013-01-24,44.56,45.195,44.43,44.66,3112000,0.0,1.0
