date,open,high,low,close,volume,dividend,split
2012-11-01,65.76,66.28,65.39,65.45,14941800,0.0,1.0
2012-11-02,65.88,65.96,64.9,64.96,13617100,0.0,1.0
2012-11-05,64.78,65.17,64.7,65.04,9482400,0.0,1.0
2012-11-06,65.07,65.3,64.77,64.82,11469500,0.0,1.0
2012-11-07,64.37,64.97,63.41,64.52,24128500,0.0,1.0
2012-11-08,64.64,64.88,63.47,63.48,17642500,0.0,1.0
2012-11-09,64.16,65.16,63.68,64.84,19119800,0.0,1.0
2012-11-12,64.97,65.32,64.82,64.87,13703600,0.0,1.0
2012-11-13,64.63,65.37,64.62,64.68,12303600,0.0,1.0
2012-11-14,64.73,65.0645,63.57,63.74,14034100,0.0,1.0
2012-11-15,63.83,63.94,62.93,63.2,13172300,0.0,1.0
2012-11-16,63.15,63.42,62.77,62.88,17783200,0.0,1.0
2012-11-19,63.25,63.5198,62.65,62.92,18098500,0.0,1.0
2012-11-20,62.8,63.57,62.62,63.08,17339300,0.0,1.0
2012-11-21,63.27,63.48,63.0,63.33,9191100,0.0,1.0
2012-11-23,63.48,64.49,63.4401,64.47,5827800,0.0,1.0
2012-11-26,64.08,64.39,63.52,64.36,11596900,0.0,1.0
2012-11-27,64.13,64.52,63.925,64.06,10685900,0.0,1.0
2012-11-28,63.85,64.59,63.63,64.57,8485600,0.0,1.0
2012-11-29,64.85,65.21,64.57,65.08,10914500,0.0,1.0
2012-11-30,65.12,65.4,64.66,65.0,13151900,0.0,1.0
2012-12-03,65.09,65.32,64.18,64.29,13778400,0.0,1.0
2012-12-04,64.19,64.97,64.06,64.39,12975100,0.0,1.0
2012-12-05,64.28,64.8,64.08,64.54,10307800,0.0,1.0
2012-12-06,64.5,64.79,64.23,64.58,8853800,0.0,1.0
2012-12-07,64.53,65.62,64.21,65.53,19290900,0.0,1.0
2012-12-10,65.07,65.9485,64.73,65.33,15309700,0.0,1.0
2012-12-11,65.33,66.35,65.31,66.17,16098900,0.0,1.0
2012-12-12,66.21,66.85,65.8699,66.01,19106200,0.0,1.0
2012-12-13,66.01,66.03,64.88,65.32,14284700,0.0,1.0
2012-12-14,64.99,65.545,64.96,65.35,13712700,0.0,1.0
2012-12-17,65.58,65.69,65.03,65.2,16745500,0.0,1.0
2012-12-18,65.13,66.1,64.72,65.93,21209800,0.0,1.0
2012-12-19,65.98,66.06,65.16,65.34,18059300,0.0,1.0
2012-12-20,65.4,65.58,65.1,65.55,11484300,0.0,1.0
2012-12-21,65.21,66.06,65.0,66.05,31168400,0.0,1.0
2012-12-24,66.05,66.05,65.38,65.47,4894300,0.0,1.0
2012-12-26,65.55,65.57,64.9,65.06,9052700,0.0,1.0
2012-12-27,64.97,65.48,64.63,65.05,10701500,0.0,1.0
2012-12-28,64.78,65.018,64.365,64.42,11238800,0.0,1.0
2012-12-31,64.13,65.53,64.01,65.5,19018100,0.0,1.0
2013-01-02,32.3,32.45,31.64,32.05,20266400,34.6497,1.0
2013-01-03,32.9,33.38,32.74,33.27,22148200,0.0,1.0
2013-01-04,33.33,33.43,32.85,33.07,15820100,0.0,1.0
2013-01-07,33.02,33.34,32.85,33.34,13120000,0.0,1.0
2013-01-08,33.29,33.56,33.08,33.35,15042300,0.0,1.0
2013-01-09,33.66,33.71,33.09,33.57,11313000,0.0,1.0
2013-01-10,33.7,33.94,33.66,33.85,9668400,0.0,1.0
