date,open,high,low,close,volume,dividend,split
2012-11-01,34.08,34.64,33.8901,34.36,3681700,0.0,1.0
2012-11-02,34.59,34.6,34.23,34.39,4006300,0.0,1.0
2012-11-05,34.18,34.33,33.835,34.24,2808500,0.0,1.0
2012-11-06,34.42,34.66,34.245,34.39,2678900,0.0,1.0
2012-11-07,34.11,34.15,33.46,33.47,4681500,0.0,1.0
2012-11-08,33.5,33.57,32.92,32.9803,4247900,0.0,1.0
2012-11-09,33.01,33.28,32.89,32.9,2581600,0.0,1.0
2012-11-12,32.95,33.03,32.663,32.7,1911900,0.0,1.0
2012-11-13,32.55,32.92,32.35,32.54,2597200,0.0,1.0
2012-11-14,32.6,32.77,32.16,32.235,5566500,0.0,1.0
2012-11-15,32.38,32.725,32.14,32.64,3817700,0.0,1.0
2012-11-16,32.58,32.75,32.265,32.65,3447300,0.0,1.0
2012-11-19,32.93,32.9999,32.71,32.92,2645500,0.0,1.0
2012-11-20,32.8,32.95,32.515,32.64,2345400,0.0,1.0
2012-11-21,32.75,32.98,32.53,32.84,1703700,0.0,1.0
2012-11-23,33.06,33.43,32.99,33.4,1449800,0.0,1.0
2012-11-26,33.22,33.33,33.05,33.295,2348500,0.0,1.0
2012-11-27,33.19,33.59,33.16,33.18,2180400,0.0,1.0
2012-11-28,33.16,33.94,32.94,33.88,2612600,0.0,1.0
2012-11-29,34.08,34.17,33.78,34.09,3353700,0.0,1.0
2012-11-30,34.19,34.81,33.85,34.61,4935400,0.0,1.0
2012-12-03,34.78,34.85,34.57,34.7,3146300,0.0,1.0
2012-12-04,34.79,35.64,34.67,35.3,6744100,0.0,1.0
2012-12-05,35.3,35.63,34.86,35.4,4277000,0.0,1.0
2012-12-06,35.25,35.68,35.0,35.14,5571900,0.0,1.0
2012-12-07,35.4,35.5,34.94,35.48,2725400,0.0,1.0
2012-12-10,35.45,35.78,35.4,35.75,3542100,0.0,1.0
2012-12-11,35.8,36.11,35.47,35.54,5912900,0.0,1.0
2012-12-12,35.73,36.28,35.685,35.9597,4598200,0.0,1.0
2012-12-13,36.01,36.5,35.19,35.53,7746200,0.0,1.0
2012-12-14,37.2,38.1,37.0,37.56,17447900,0.0,1.0
2012-12-17,37.07,37.43,36.9,37.42,8928100,0.0,1.0
2012-12-18,37.42,37.51,37.18,37.4904,7652400,0.0,1.0
2012-12-19,37.39,38.25,37.35,38.09,5853300,0.0,1.0
2012-12-20,38.08,38.16,37.79,37.87,4330300,0.0,1.0
2012-12-21,37.36,38.0,37.35,37.71,7975900,0.0,1.0
2012-12-24,37.76,37.82,37.3101,37.53,2448000,0.0,1.0
2012-12-26,37.48,37.99,37.26,37.55,2437600,0.0,1.0
2012-12-27,37.49,37.62,36.83,37.3,3422700,0.0,1.0
2012-12-28,36.91,37.4,36.89,36.9,3171600,0.0,1.0
2012-12-31,36.8,37.7,36.655,37.68,4634600,0.0,1.0
2013-01-02,37.92,38.73,37.92,38.34,6483800,0.0,1.0
2013-01-03,38.14,38.3,37.66,37.75,3906000,0.0,1.0
2013-01-04,37.88,38.19,37.62,38.13,3809300,0.0,1.0
2013-01-07,37.81,38.21,37.7,37.94,3632100,0.0,1.0
2013-01-08,37.78,38.2,37.75,38.14,3080900,0.0,1.0
2013-01-09,38.16,38.705,38.1,38.66,4083100,0.0,1.0
2013-01-10,38.75,38.78,38.09,38.62,3645200,0.0,1.0
2013-01-11,38.65,38.734,37.89,38.09,3511300,0.0,1.0
2013-01-14,37.99,38.2,37.81,38.16,3048600,0.0,1.0
2013-01-15,37.86,38.46,37.84,38.15,2968100,0.0,1.0
2013-01-16,38.12,38.2698,37.81,37.88,2640700,0.0,1.0
2013-01-17,37.76,38.09,37.71,37.73,4089500,0.0,1.0
2013-01-18,37.81,37.99,37.36,37.98,5561400,0.0,1.0
2013-01-22,37.865,38.015,37.57,37.95,2475400,0.0,1.0
2013-01-23,37.94,38.28,37.89,38.25,3309000,0.0,1.0
2013-01-24,38.15,38.7,37.99,38.1,2605600,0.0,1.0
2013-01-25,38.05,38.53,38.02,38.32,3273000,0.0,1.0
2013-01-28,37.91,38.41,37.905,38.24,3536100,0.0,1.0
2013-01-29,38.11,38.56,37.81,38.52,2935900,0.0,1.0
2013-01-30,38.5,38.51,37.88,37.94,2693600,0.0,1.0
2013-01-31,38.0,38.23,37.68,37.83,3291900,0.0,1.0
2013-02-01,38.2,38.48,37.91,38.34,2416100,0.0,1.0
2013-02-04,38.19,38.44,37.82,38.1,2928000,0.0,1.0
2013-02-05,38.2,38.57,38.01,38.51,2355600,0.0,1.0
2013-02-06,38.36,38.65,38.26,38.4,2567800,0.0,1.0
2013-02-07,38.26,38.39,37.66,38.07,3110300,0.0,1.0
2013-02-08,38.31,39.45,38.145,39.12,5104600,0.0,1.0
2013-02-11,38.99,39.05,38.534,38.64,2333800,0.0,1.0
2013-02-12,38.55,39.13,38.12,38.89,3279500,0.0,1.0
2013-02-13,38.9,39.15,38.67,38.81,2491000,0.0,1.0
2013-02-14,38.7,38.92,38.301,38.61,4929700,0.0,1.0
2013-02-15,38.51,38.76,38.38,38.635,2367900,0.0,1.0
2013-02-19,38.58,39.0,38.52,38.995,2056500,0.0,1.0
2013-02-20,39.04,39.28,38.75,38.77,3129600,0.0,1.0
2013-02-21,38.82,38.82,38.3,38.34,2872700,0.0,1.0
2013-02-22,38.54,38.87,38.37,38.55,2835500,0.0,1.0
