date,open,high,low,close,volume,dividend,split
2012-11-01,39.08,40.49,39.02,40.33,2461400,0.0,1.0
2012-11-02,40.33,40.47,39.77,39.82,1936000,0.0,1.0
2012-11-05,39.64,40.88,39.64,40.77,1682400,0.0,1.0
2012-11-06,40.86,41.49,40.75,41.33,2733700,0.0,1.0
2012-11-07,40.43,40.9,40.18,40.45,3484600,0.0,1.0
2012-11-08,40.45,40.65,39.98,40.0,2488600,0.0,1.0
2012-11-09,40.11,40.8,39.96,40.28,2242700,0.0,1.0
2012-11-12,40.34,40.37,39.95,40.25,1119300,0.0,1.0
2012-11-13,39.93,40.71,39.85,40.45,1974300,0.0,1.0
2012-11-14,40.5,40.72,39.66,39.74,1663600,0.0,1.0
2012-11-15,39.7,39.99,39.24,39.39,2632600,0.0,1.0
2012-11-16,39.41,39.53,38.74,39.33,2004000,0.0,1.0
2012-11-19,39.98,40.23,39.34,40.21,1497400,0.0,1.0
2012-11-20,40.0,40.43,39.71,40.04,2350700,0.0,1.0
2012-11-21,38.96,40.26,38.96,40.11,1187700,0.0,1.0
2012-11-23,40.15,40.81,40.0,40.74,741500,0.0,1.0
2012-11-26,40.55,40.89,40.22,40.38,2377300,0.0,1.0
2012-11-27,40.22,40.73,39.97,40.11,2981000,0.0,1.0
2012-11-28,38.89,40.49,38.82,40.4,4887200,0.0,1.0
2012-11-29,40.514,40.86,39.9,40.6,2170400,0.0,1.0
2012-11-30,40.28,40.79,40.16,40.6,2547600,0.0,1.0
2012-12-03,40.84,40.98,40.37,40.44,2223200,0.0,1.0
2012-12-04,40.52,40.805,40.25,40.65,1368500,0.0,1.0
2012-12-05,40.54,40.77,40.215,40.57,1572200,0.3,1.0
2012-12-06,40.57,41.04,40.53,40.73,1877800,0.0,1.0
2012-12-07,40.92,41.35,40.73,41.28,2193600,0.0,1.0
2012-12-10,41.07,41.59,41.07,41.43,2282300,0.0,1.0
2012-12-11,41.63,42.36,41.41,42.25,2715300,0.0,1.0
2012-12-12,42.26,42.45,41.95,42.02,1742500,0.0,1.0
2012-12-13,41.7,41.985,41.36,41.52,1539900,0.0,1.0
2012-12-14,41.37,41.6025,41.11,41.35,2243900,0.0,1.0
2012-12-17,41.42,41.78,41.2909,41.55,2518200,0.0,1.0
2012-12-18,41.75,42.31,41.75,42.16,2128500,0.0,1.0
2012-12-19,42.39,42.73,42.15,42.31,2965200,0.0,1.0
2012-12-20,42.39,42.46,41.98,42.35,2324000,0.0,1.0
2012-12-21,41.94,42.24,41.34,42.19,11347400,0.0,1.0
2012-12-24,42.03,42.28,41.7,42.11,945400,0.0,1.0
2012-12-26,42.18,42.4105,41.73,41.79,1419300,0.0,1.0
2012-12-27,41.87,42.02,41.41,41.89,2134700,0.0,1.0
2012-12-28,41.64,41.99,41.435,41.47,1439700,0.0,1.0
2012-12-31,41.47,42.09,41.19,42.06,2366100,0.0,1.0
2013-01-02,42.8,44.01,42.8,44.0,3761100,0.0,1.0
2013-01-03,43.6,43.71,42.64,43.29,2953000,0.0,1.0
2013-01-04,43.23,43.29,42.43,42.52,3502800,0.0,1.0
2013-01-07,42.01,42.81,42.0,42.65,2377000,0.0,1.0
2013-01-08,42.61,42.75,42.14,42.21,1797800,0.0,1.0
2013-01-09,42.19,42.41,41.81,42.1,3117500,0.0,1.0
2013-01-10,42.25,42.635,42.19,42.61,2275800,0.0,1.0
2013-01-11,42.4,42.6,42.17,42.26,1952700,0.0,1.0
2013-01-14,42.81,42.96,42.09,42.24,2768400,0.0,1.0
2013-01-15,42.02,42.29,41.82,42.02,2272600,0.0,1.0
2013-01-16,41.92,42.3,41.71,42.08,2620700,0.0,1.0
2013-01-17,42.25,43.19,42.21,43.06,2567800,0.0,1.0
2013-01-18,42.85,43.09,42.63,43.06,1916700,0.0,1.0
2013-01-22,42.94,43.16,42.74,43.15,1852900,0.0,1.0
2013-01-23,43.31,43.45,43.03,43.35,2265300,0.0,1.0
2013-01-24,43.38,43.76,43.14,43.42,2379700,0.0,1.0
2013-01-25,43.64,43.98,43.55,43.8,2142400,0.0,1.0
2013-01-28,43.9,44.17,43.82,44.03,1842500,0.0,1.0
2013-01-29,43.99,44.305,43.6,44.15,1781200,0.0,1.0
2013-01-30,44.02,44.33,43.87,44.17,1894800,0.0,1.0
2013-01-31,44.25,44.25,43.525,43.64,2649300,0.0,1.0
2013-02-01,44.06,44.745,44.0,44.67,2684600,0.0,1.0
2013-02-04,44.57,44.82,44.05,44.05,2324200,0.0,1.0
2013-02-05,44.32,44.86,44.14,44.68,2057700,0.0,1.0
2013-02-06,44.36,44.92,44.35,44.74,1962700,0.0,1.0
2013-02-07,44.62,44.67,44.06,44.39,1817600,0.0,1.0
2013-02-08,44.72,45.9,44.45,45.7,2962900,0.0,1.0
2013-02-11,45.99,46.14,45.77,46.08,2383000,0.0,1.0
2013-02-12,46.15,46.35,45.96,46.27,2313600,0.0,1.0
2013-02-13,46.29,46.63,46.07,46.26,752773,0.0,1.0
2013-02-14,46.02,46.7,45.99,46.54,601150,0.0,1.0
2013-02-15,46.39,46.625,45.86,46.175,3187400,0.0,1.0
2013-02-19,46.4,47.04,46.2,47.01,2734400,0.0,1.0
2013-02-20,46.9,47.27,45.76,45.79,3472900,0.0,1.0
2013-02-21,45.7,45.77,44.835,45.12,2923100,0.0,1.0
2013-02-22,45.1905,45.89,45.19,45.52,2320100,0.0,1.0
2013-02-25,46.11,46.27,44.75,44.77,2626700,0.0,1.0
2013-02-26,45.08,45.31,44.65,45.0,4383900,0.0,1.0
2013-02-27,44.58,45.62,44.31,45.38,2095000,0.34,1.0
2013-02-28,45.28,45.82,43.68,45.22,2627200,0.0,1.0
2013-03-01,45.0,45.44,44.41,45.23,2392800,0.0,1.0
2013-03-04,45.29,45.345,44.89,45.3,1971700,0.0,1.0
