date,open,high,low,close,volume,dividend,split
2012-11-01,58.72,59.45,57.8,59.36,3808500,0.0,1.0
2012-11-02,59.7,59.75,57.36,57.37,3309500,0.0,1.0
2012-11-05,57.14,57.15,55.84,56.4,4423400,0.0,1.0
2012-11-06,56.75,57.69,56.47,57.31,2321500,0.0,1.0
2012-11-07,56.73,56.91,55.88,56.36,2932500,0.0,1.0
2012-11-08,56.1,56.48,55.37,55.38,2240600,0.0,1.0
2012-11-09,55.16,55.8,54.88,55.3,2263900,0.0,1.0
2012-11-12,55.27,55.73,55.2,55.42,1720600,0.0,1.0
2012-11-13,55.04,56.05,55.03,55.59,1836500,0.0,1.0
2012-11-14,55.67,55.75,54.63,54.765,2553300,0.0,1.0
2012-11-15,54.83,55.19,54.49,54.67,2960900,0.0,1.0
2012-11-16,54.58,54.79,54.02,54.74,3143100,0.0,1.0
2012-11-19,55.33,55.45,54.69,55.22,2456700,0.0,1.0
2012-11-20,55.21,55.31,54.653,55.06,1799700,0.0,1.0
2012-11-21,55.01,55.435,54.97,55.4,1424000,0.0,1.0
2012-11-23,55.62,56.14,55.5,56.12,866700,0.0,1.0
2012-11-26,55.88,55.99,55.43,55.67,1423800,0.0,1.0
2012-11-27,55.56,55.79,55.34,55.38,1374200,0.0,1.0
2012-11-28,55.19,55.91,55.05,55.89,1651700,0.0,1.0
2012-11-29,56.18,56.37,55.86,56.28,1966800,0.0,1.0
2012-11-30,56.4,56.86,56.3401,56.745,2956500,0.0,1.0
2012-12-03,57.0,57.09,56.29,56.41,1679600,0.0,1.0
2012-12-04,56.5,56.77,56.27,56.67,1619400,0.0,1.0
2012-12-05,56.67,57.42,56.56,57.24,1649000,0.0,1.0
2012-12-06,57.22,57.75,57.21,57.54,1702500,0.0,1.0
2012-12-07,57.57,57.9,56.93,57.31,1751700,0.0,1.0
2012-12-10,57.22,57.91,57.164,57.33,2162600,0.0,1.0
2012-12-11,57.56,58.38,57.41,58.03,2390400,0.0,1.0
2012-12-12,57.98,58.25,57.28,57.4,1561000,0.435,1.0
2012-12-13,57.45,57.89,57.29,57.58,1976600,0.0,1.0
2012-12-14,57.39,57.67,57.34,57.4,1549700,0.0,1.0
2012-12-17,57.32,58.115,57.06,57.95,2259300,0.0,1.0
2012-12-18,58.04,58.48,57.41,58.26,2735100,0.0,1.0
2012-12-19,58.41,58.565,57.95,58.12,3001000,0.0,1.0
2012-12-20,58.25,58.38,57.73,58.37,1975800,0.0,1.0
2012-12-21,57.48,58.219,57.23,57.58,4965100,0.0,1.0
2012-12-24,57.42,57.66,57.18,57.48,934200,0.0,1.0
2012-12-26,57.48,57.67,56.87,57.1,1128100,0.0,1.0
2012-12-27,57.11,57.2,56.26,56.89,2002200,0.0,1.0
2012-12-28,56.44,57.01,56.29,56.33,1728400,0.0,1.0
2012-12-31,55.99,57.01,55.99,56.93,2376900,0.0,1.0
2013-01-02,58.06,58.55,57.75,58.39,3217600,0.0,1.0
2013-01-03,58.61,58.83,57.75,58.62,2564500,0.0,1.0
2013-01-04,58.82,59.29,58.556,59.1376,2113300,0.0,1.0
2013-01-07,58.82,59.09,58.43,58.91,1712800,0.0,1.0
2013-01-08,58.79,59.32,58.6,59.25,1924300,0.0,1.0
2013-01-09,59.4,59.42,58.87,59.11,2210500,0.0,1.0
2013-01-10,59.48,59.49,58.97,59.32,2071400,0.0,1.0
2013-01-11,59.93,60.0,59.185,59.42,1521700,0.0,1.0
2013-01-14,59.42,59.55,59.17,59.41,2016600,0.0,1.0
2013-01-15,59.3,59.31,58.91,59.14,2103600,0.0,1.0
2013-01-16,59.28,59.36,58.795,58.83,1891800,0.0,1.0
2013-01-17,59.16,59.35,58.91,59.17,1384000,0.0,1.0
2013-01-18,59.18,59.73,59.08,59.72,2865400,0.0,1.0
2013-01-22,59.65,59.97,59.27,59.96,2477900,0.0,1.0
2013-01-23,59.75,59.94,59.42,59.56,545905,0.0,1.0
2013-01-24,59.79,59.96,59.44,59.71,669097,0.0,1.0
2013-01-25,59.98,60.0,59.535,59.89,1653800,0.0,1.0
2013-01-28,60.0,60.0,59.62,59.64,1578300,0.0,1.0
2013-01-29,59.52,60.34,59.325,60.27,2663200,0.0,1.0
2013-01-30,60.16,60.25,59.34,59.47,2177800,0.0,1.0
2013-01-31,59.33,59.77,59.26,59.29,2961700,0.0,1.0
2013-02-01,59.88,60.72,59.78,60.65,2861300,0.0,1.0
2013-02-04,60.5,60.75,59.48,59.55,3206900,0.0,1.0
2013-02-05,59.84,61.25,59.56,61.23,3515200,0.0,1.0
2013-02-06,60.97,61.2,60.19,60.77,2229300,0.0,1.0
2013-02-07,60.63,60.74,59.83,60.5,2389500,0.0,1.0
2013-02-08,60.71,61.0,60.51,60.925,2065200,0.0,1.0
2013-02-11,60.79,60.98,60.28,60.34,1556300,0.0,1.0
2013-02-12,60.24,60.57,60.0,60.36,1529000,0.0,1.0
2013-02-13,60.56,60.79,60.05,60.45,2057100,0.0,1.0
2013-02-14,60.25,60.78,60.03,60.74,1941900,0.0,1.0
2013-02-15,61.26,61.26,60.75,61.22,2497600,0.0,1.0
2013-02-19,61.22,61.49,61.09,61.46,1892900,0.0,1.0
2013-02-20,61.43,61.76,61.13,61.21,2278900,0.0,1.0
2013-02-21,61.16,61.16,60.07,60.27,2625600,0.0,1.0
2013-02-22,60.71,61.02,60.34,61.01,1788300,0.0,1.0
2013-02-25,61.48,61.74,60.76,60.77,2936600,0.0,1.0
2013-02-26,61.12,61.37,60.72,61.08,2226500,0.0,1.0
2013-02-27,60.86,61.83,60.66,61.59,1890500,0.0,1.0
2013-02-28,61.7,61.715,61.36,61.36,2211900,0.0,1.0
2013-03-01,61.29,61.75,60.69,61.65,1940200,0.0,1.0
2013-03-04,61.32,61.89,61.1,61.835,2009000,0.0,1.0
2013-03-05,62.0,62.7,61.92,62.66,2061600,0.0,1.0
2013-03-06,62.54,62.56,62.03,62.3,1768100,0.435,1.0
2013-03-07,62.48,63.57,62.3,63.34,4031500,0.0,1.0
2013-03-08,63.26,63.71,63.16,63.35,2384800,0.0,1.0
2013-03-11,63.38,63.89,63.34,63.87,2049100,0.0,1.0
2013-03-12,63.86,63.98,63.75,63.97,2228500,0.0,1.0
