date,open,high,low,close,volume,dividend,split
2012-11-01,32.05,32.48,30.96,32.39,3364400,0.0,1.0
2012-11-02,32.56,32.71,32.1,32.14,2192200,0.0,1.0
2012-11-05,32.24,32.24,31.73,31.9811,1630900,0.0,1.0
2012-11-06,32.2,32.525,32.04,32.41,2060500,0.0,1.0
2012-11-07,31.98,32.02,31.21,31.57,2906400,0.0,1.0
2012-11-08,30.99,31.24,30.72,30.73,5607100,0.0,1.0
2012-11-09,30.61,31.38,30.5,30.94,2517000,0.0,1.0
2012-11-12,31.0,31.26,30.78,31.0,1951100,0.0,1.0
2012-11-13,30.79,31.31,30.61,30.64,3024800,0.0,1.0
2012-11-14,30.73,31.44,30.39,30.44,3253700,0.0,1.0
2012-11-15,30.47,30.73,30.22,30.5,4306100,0.0,1.0
2012-11-16,30.82,31.99,30.53,31.4807,7940200,0.0,1.0
2012-11-19,31.81,31.86,31.13,31.32,3467800,0.0,1.0
2012-11-20,31.3,31.42,30.77,30.87,2920500,0.0,1.0
2012-11-21,30.92,31.46,30.92,31.34,1976000,0.0,1.0
2012-11-23,31.51,31.83,31.38,31.8,794100,0.0,1.0
2012-11-26,31.66,32.24,31.57,32.24,2712700,0.0,1.0
2012-11-27,32.21,32.23,31.78,31.92,2051700,0.0,1.0
2012-11-28,31.78,33.17,31.71,33.1,3080700,0.0,1.0
2012-11-29,33.23,33.63,33.22,33.51,2382000,0.0,1.0
2012-11-30,33.49,33.61,33.035,33.13,2733000,0.0,1.0
2012-12-03,33.35,33.5,32.85,32.99,1536800,0.0,1.0
2012-12-04,33.09,33.2,32.84,33.08,1696600,0.0,1.0
2012-12-05,33.04,33.83,32.77,33.6,2996500,0.0,1.0
2012-12-06,33.6,33.96,33.43,33.8,1912900,0.0,1.0
2012-12-07,33.9,33.96,33.42,33.76,1434600,0.0,1.0
2012-12-10,33.48,34.03,33.43,33.96,1727800,0.0,1.0
2012-12-11,33.72,34.9034,33.72,34.62,2054700,0.0,1.0
2012-12-12,34.77,34.98,34.24,34.29,1504600,0.0,1.0
2012-12-13,34.28,34.33,33.53,33.88,2137200,0.0,1.0
2012-12-14,33.82,34.43,33.8,34.21,2836800,0.0,1.0
2012-12-17,34.24,35.205,34.21,34.88,2528600,0.0,1.0
2012-12-18,34.99,35.77,34.91,35.73,1939200,0.0,1.0
2012-12-19,35.97,36.96,35.73,36.0,6703500,0.0,1.0
2012-12-20,36.06,36.14,35.775,35.9,1981000,0.0,1.0
2012-12-21,35.32,35.6213,34.73,35.49,3889700,0.0,1.0
2012-12-24,35.3,35.9,35.25,35.68,795900,0.0,1.0
2012-12-26,35.75,36.0,35.1,35.15,1644700,0.0,1.0
2012-12-27,35.13,35.26,34.32,35.12,2768300,0.0,1.0
2012-12-28,34.8,35.31,34.69,34.99,3666100,0.0,1.0
2012-12-31,34.84,35.52,34.61,35.35,2556500,0.0,1.0
2013-01-02,36.05,36.95,36.05,36.94,2998800,0.0,1.0
2013-01-03,36.75,36.92,36.265,36.37,1744100,0.0,1.0
2013-01-04,36.53,36.67,36.285,36.36,1340400,0.0,1.0
2013-01-07,36.0,36.14,35.84,36.09,1933500,0.0,1.0
2013-01-08,36.15,36.42,35.96,36.3,1520000,0.0,1.0
2013-01-09,36.35,37.045,36.23,36.67,1640600,0.0,1.0
2013-01-10,36.89,36.94,36.03,36.52,1416000,0.0,1.0
2013-01-11,36.6,36.97,36.52,36.8,1336500,0.0,1.0
2013-01-14,36.64,36.98,36.63,36.83,1418500,0.0,1.0
2013-01-15,36.53,36.82,36.39,36.71,1617500,0.0,1.0
2013-01-16,36.76,37.5133,36.43,36.73,1213900,0.0,1.0
2013-01-17,36.77,37.68,36.73,37.33,1959800,0.0,1.0
2013-01-18,37.25,37.53,37.14,37.5,1599700,0.0,1.0
