date,open,high,low,close,volume,dividend,split
2012-11-01,32.88,33.0,32.77,32.85,1363100,0.0,1.0
2012-11-02,32.95,32.97,32.66,32.68,2788000,0.0,1.0
2012-11-05,32.54,32.55,32.22,32.25,1931300,0.0,1.0
2012-11-06,32.25,32.4,32.09,32.1,1427900,0.0,1.0
2012-11-07,32.04,32.04,31.33,31.39,1420000,0.0,1.0
2012-11-08,31.32,31.71,31.24,31.5,1647900,0.0,1.0
2012-11-09,31.28,31.42,30.3,30.36,2542200,0.0,1.0
2012-11-12,30.2,30.2,29.75,29.86,2117700,0.0,1.0
2012-11-13,29.81,30.16,29.67,29.69,2333300,0.0,1.0
2012-11-14,29.71,29.75,29.2,29.4,1677400,0.0,1.0
2012-11-15,29.36,29.55,28.9,29.02,1685200,0.0,1.0
2012-11-16,29.16,29.37,28.97,29.36,2455600,0.0,1.0
2012-11-19,29.47,29.5225,28.96,29.08,1790900,0.0,1.0
2012-11-20,28.99,29.12,28.67,28.89,1914400,0.0,1.0
2012-11-21,28.97,29.0,28.45,28.72,1547900,0.0,1.0
2012-11-23,28.75,28.84,28.43,28.55,646900,0.0,1.0
2012-11-26,28.48,28.96,28.48,28.85,1820200,0.0,1.0
2012-11-27,28.81,28.88,28.58,28.75,2108100,0.0,1.0
2012-11-28,28.69,29.33,28.55,29.3,2387300,0.0,1.0
2012-11-29,29.37,29.71,29.3405,29.61,2337600,0.0,1.0
2012-11-30,29.7,29.97,29.6101,29.97,2779000,0.0,1.0
2012-12-03,30.0,30.0,29.4,29.58,1680300,0.0,1.0
2012-12-04,29.57,29.71,29.4,29.45,1266400,0.0,1.0
2012-12-05,29.48,30.08,29.3,29.96,2329100,0.0,1.0
2012-12-06,30.03,30.06,29.59,29.8,2264400,0.0,1.0
2012-12-07,29.79,29.92,29.68,29.74,1977100,0.0,1.0
2012-12-10,29.6,29.77,29.35,29.77,2215500,0.4,1.0
2012-12-11,29.81,30.05,29.67,29.76,1769500,0.0,1.0
2012-12-12,29.75,30.045,29.72,29.78,2238600,0.0,1.0
2012-12-13,29.73,29.87,29.61,29.73,1978600,0.0,1.0
2012-12-14,29.72,29.79,29.405,29.42,1702700,0.0,1.0
2012-12-17,29.53,29.98,29.5,29.98,1373300,0.0,1.0
2012-12-18,29.93,30.28,29.89,30.27,5841000,0.0,1.0
2012-12-19,30.29,30.29,30.02,30.05,2891900,0.0,1.0
2012-12-20,30.21,31.38,30.21,31.17,4069400,0.0,1.0
2012-12-21,31.0,31.31,30.98,31.05,5294600,0.0,1.0
2012-12-24,30.93,31.04,30.7501,30.89,681100,0.0,1.0
2012-12-26,30.94,31.1,30.68,30.71,1405900,0.0,1.0
2012-12-27,30.66,30.86,30.3001,30.59,1814200,0.0,1.0
2012-12-28,30.45,30.78,30.32,30.32,2914900,0.0,1.0
2012-12-31,30.31,30.82,30.18,30.72,2461100,0.0,1.0
2013-01-02,31.14,31.32,31.01,31.32,2097000,0.0,1.0
2013-01-03,31.25,31.49,31.13,31.19,2195000,0.0,1.0
2013-01-04,31.24,31.45,31.06,31.19,2649500,0.0,1.0
2013-01-07,31.02,31.03,30.71,30.8,2626200,0.0,1.0
2013-01-08,30.7,31.095,30.64,30.94,1577200,0.0,1.0
2013-01-09,30.94,31.09,30.76,31.08,1677200,0.0,1.0
2013-01-10,31.12,31.48,31.1,31.48,2123500,0.0,1.0
2013-01-11,31.62,31.65,31.36,31.46,1642700,0.0,1.0
2013-01-14,31.48,31.65,31.38,31.47,1695800,0.0,1.0
2013-01-15,31.44,31.7,31.29,31.69,1890600,0.0,1.0
2013-01-16,31.55,31.65,31.3,31.37,1337800,0.0,1.0
2013-01-17,31.52,31.64,31.37,31.37,2005600,0.0,1.0
2013-01-18,31.44,31.72,31.35,31.7,1816500,0.0,1.0
