date,open,high,low,close,volume,dividend,split
2012-11-01,44.57,44.6212,44.3,44.39,1860000,0.0,1.0
2012-11-02,44.64,44.64,44.17,44.23,1999800,0.0,1.0
2012-11-05,44.06,44.14,43.45,43.49,2249300,0.0,1.0
2012-11-06,43.53,43.72,43.25,43.32,3770000,0.0,1.0
2012-11-07,42.25,42.55,41.8016,42.07,4281800,0.47,1.0
2012-11-08,42.07,42.54,42.03,42.04,2626300,0.0,1.0
2012-11-09,41.91,42.16,41.75,41.8,2002400,0.0,1.0
2012-11-12,41.78,41.87,41.05,41.27,2849900,0.0,1.0
2012-11-13,41.14,41.65,41.1,41.34,2753900,0.0,1.0
2012-11-14,41.37,41.46,41.01,41.18,2695100,0.0,1.0
2012-11-15,41.09,41.47,40.72,40.96,2553700,0.0,1.0
2012-11-16,41.0,41.56,40.78,41.52,2616300,0.0,1.0
2012-11-19,41.69,41.75,41.19,41.45,2193700,0.0,1.0
2012-11-20,41.45,41.5,41.01,41.18,3050800,0.0,1.0
2012-11-21,41.27,41.27,40.56,40.99,2702600,0.0,1.0
2012-11-23,41.07,41.1,40.68,41.03,1179400,0.0,1.0
2012-11-26,40.98,41.61,40.93,41.48,2659100,0.0,1.0
2012-11-27,41.48,41.76,41.31,41.45,2342900,0.0,1.0
2012-11-28,41.47,41.88,41.24,41.88,2192100,0.0,1.0
2012-11-29,41.85,42.2077,41.72,42.18,2157600,0.0,1.0
2012-11-30,42.37,42.67,42.16,42.65,3183900,0.0,1.0
2012-12-03,42.65,42.7,42.1,42.28,2208900,0.0,1.0
2012-12-04,42.36,42.48,42.27,42.35,1500200,0.0,1.0
2012-12-05,42.34,43.46,42.33,43.2,3452900,0.0,1.0
2012-12-06,43.23,43.43,43.04,43.27,1659200,0.0,1.0
2012-12-07,43.36,43.48,43.03,43.27,1948700,0.0,1.0
2012-12-10,43.31,43.42,43.12,43.37,1688700,0.0,1.0
2012-12-11,43.41,43.63,43.29,43.44,2283900,0.0,1.0
2012-12-12,43.48,43.76,43.36,43.48,2176400,0.0,1.0
2012-12-13,43.47,43.54,42.86,42.94,2092900,0.0,1.0
2012-12-14,42.86,43.1,42.74,42.84,2204300,0.0,1.0
2012-12-17,42.89,43.6,42.89,43.53,2400800,0.0,1.0
2012-12-18,43.5,44.1,43.38,43.91,3328400,0.0,1.0
2012-12-19,44.04,44.04,43.48,43.51,2039100,0.0,1.0
2012-12-20,43.6,43.78,43.47,43.6,2170300,0.0,1.0
2012-12-21,43.1,43.62,42.9701,43.45,5648100,0.0,1.0
2012-12-24,43.41,43.46,42.99,43.2,954800,0.0,1.0
2012-12-26,43.28,43.36,42.73,42.79,1760100,0.0,1.0
2012-12-27,42.7,42.91,42.24,42.64,2377700,0.0,1.0
2012-12-28,42.41,42.66,42.21,42.21,1726400,0.0,1.0
2012-12-31,42.12,42.73,41.92,42.68,3289000,0.0,1.0
2013-01-02,43.17,43.65,43.14,43.65,3979400,0.0,1.0
2013-01-03,43.65,43.86,43.53,43.62,2355300,0.0,1.0
2013-01-04,43.64,43.7198,43.48,43.55,2679200,0.0,1.0
2013-01-07,43.43,43.52,43.17,43.37,2361500,0.0,1.0
2013-01-08,43.27,43.4,43.11,43.15,2517400,0.0,1.0
2013-01-09,43.1,43.28,42.92,43.16,2064800,0.0,1.0
2013-01-10,43.25,43.55,43.12,43.55,2071000,0.0,1.0
2013-01-11,43.34,43.59,43.0501,43.24,2849600,0.0,1.0
2013-01-14,43.24,43.38,43.14,43.24,2047000,0.0,1.0
2013-01-15,43.11,43.22,42.98,43.16,2187600,0.0,1.0
2013-01-16,43.16,43.28,43.07,43.12,1564500,0.0,1.0
2013-01-17,43.01,43.4,42.94,43.2,1902200,0.0,1.0
2013-01-18,43.23,43.51,43.02,43.51,2346400,0.0,1.0
2013-01-22,43.37,44.02,43.3,44.02,2295300,0.0,1.0
2013-01-23,43.91,44.22,43.58,44.1,3530700,0.0,1.0
2013-01-24,44.23,44.38,44.0401,44.19,2274300,0.0,1.0
2013-01-25,44.28,44.47,44.13,44.46,6944000,0.0,1.0
2013-01-28,44.51,44.53,44.16,44.49,7392200,0.0,1.0
2013-01-29,44.52,45.12,44.481,45.02,8931200,0.0,1.0
2013-01-30,45.0,45.26,44.9001,45.11,3019000,0.0,1.0
2013-01-31,45.08,45.34,45.0446,45.29,2426600,0.0,1.0
2013-02-01,45.48,45.48,45.21,45.24,2372700,0.0,1.0
2013-02-04,45.16,45.29,44.95,45.0,3576400,0.0,1.0
2013-02-05,45.05,45.2999,44.8,44.85,3095700,0.0,1.0
2013-02-06,44.34,44.61,44.23,44.58,3153400,0.47,1.0
2013-02-07,44.76,44.86,44.35,44.5,2004100,0.0,1.0
2013-02-08,44.55,44.63,44.25,44.57,2312800,0.0,1.0
2013-02-11,44.57,44.74,44.48,44.73,1372400,0.0,1.0
2013-02-12,44.73,44.94,44.6,44.9,1694300,0.0,1.0
2013-02-13,44.87,45.04,44.76,44.93,1324500,0.0,1.0
2013-02-14,44.76,44.81,44.41,44.77,3665200,0.0,1.0
2013-02-15,44.84,45.1999,44.76,45.13,4384900,0.0,1.0
2013-02-19,45.2,45.68,45.14,45.56,3398700,0.0,1.0
2013-02-20,45.63,45.89,45.505,45.57,3319100,0.0,1.0
2013-02-21,45.43,45.559,45.23,45.36,2481200,0.0,1.0
2013-02-22,45.56,46.18,45.5,46.18,2171700,0.0,1.0
2013-02-25,46.25,46.464,45.68,45.68,3086700,0.0,1.0
2013-02-26,46.13,46.43,45.76,46.33,3965600,0.0,1.0
2013-02-27,46.36,46.71,46.17,46.66,2200100,0.0,1.0
2013-02-28,46.62,47.03,46.455,46.79,2456100,0.0,1.0
2013-03-01,46.62,46.79,46.36,46.71,2979800,0.0,1.0
2013-03-04,46.62,47.52,46.55,47.46,3842200,0.0,1.0
2013-03-05,47.54,47.87,47.44,47.66,2806300,0.0,1.0
2013-03-06,47.68,47.81,47.43,47.66,1986000,0.0,1.0
2013-03-07,47.64,47.88,47.39,47.39,1690800,0.0,1.0
2013-03-08,47.59,47.59,47.14,47.49,2298700,0.0,1.0
2013-03-11,47.38,47.58,47.28,47.38,2167400,0.0,1.0
2013-03-12,47.39,47.52,47.09,47.29,2003200,0.0,1.0
2013-03-13,47.3,47.5,47.2025,47.44,1359400,0.0,1.0
2013-03-14,47.52,47.69,47.2999,47.68,2228000,0.0,1.0
2013-03-15,47.44,48.15,47.37,47.9,3267700,0.0,1.0
2013-03-18,47.72,47.91,47.63,47.69,2019700,0.0,1.0
2013-03-19,47.77,47.99,47.5,47.7,1847100,0.0,1.0
2013-03-20,47.85,48.19,47.78,48.06,2084700,0.0,1.0
2013-03-21,47.9,48.03,47.6,47.63,1921900,0.0,1.0
2013-03-22,47.69,48.085,47.651,47.86,1561600,0.0,1.0
2013-03-25,48.0,48.23,47.49,47.66,2029800,0.0,1.0
2013-03-26,47.77,48.14,47.64,48.03,1380300,0.0,1.0
2013-03-27,47.74,48.19,47.615,48.15,1819600,0.0,1.0
2013-03-28,48.17,48.68,48.0948,48.63,2803400,0.0,1.0
2013-04-01,48.55,48.6,48.39,48.5,1561100,0.0,1.0
2013-04-02,48.62,48.885,48.18,48.34,3028400,0.0,1.0
2013-04-03,48.42,48.48,47.94,48.1,2125200,0.0,1.0
2013-04-04,48.15,48.72,48.15,48.66,2086200,0.0,1.0
2013-04-05,48.3,48.83,48.04,48.71,2237200,0.0,1.0
2013-04-08,48.65,49.24,48.545,49.23,1891800,0.0,1.0
2013-04-09,49.33,49.33,48.97,49.0,1680200,0.0,1.0
2013-04-10,49.07,49.76,49.07,49.64,2556200,0.0,1.0
2013-04-11,49.7,50.0,49.47,49.93,2405400,0.0,1.0
2013-04-12,49.84,50.04,49.72,49.98,1685200,0.0,1.0
2013-04-15,49.82,49.96,49.07,49.07,2259300,0.0,1.0
2013-04-16,49.18,49.57,48.9,49.54,2412900,0.0,1.0
2013-04-17,49.42,49.6,48.91,49.37,2681200,0.0,1.0
2013-04-18,49.47,49.56,49.16,49.48,2263200,0.0,1.0
2013-04-19,49.61,50.104,49.485,49.94,3046800,0.0,1.0
2013-04-22,49.95,50.59,49.81,50.37,2396700,0.0,1.0
2013-04-23,50.33,50.64,50.13,50.64,2659900,0.0,1.0
2013-04-24,50.76,51.14,50.43,50.9,2751500,0.0,1.0
2013-04-25,51.0,51.17,50.65,50.76,7199500,0.0,1.0
2013-04-26,50.19,50.88,50.18,50.54,7132800,0.0,1.0
