date,open,high,low,close,volume,dividend,split
2012-11-01,10.49,10.8,10.42,10.54,8865900,0.0,1.0
2012-11-02,10.57,10.7,10.55,10.66,5592400,0.0,1.0
2012-11-05,10.62,10.65,10.37,10.37,3400800,0.0,1.0
2012-11-06,10.37,10.63,10.3296,10.48,5596400,0.0,1.0
2012-11-07,10.55,10.77,10.06,10.07,5944700,0.0,1.0
2012-11-08,10.08,10.18,10.01,10.15,6118200,0.0,1.0
2012-11-09,10.14,10.17,9.93,9.96,1145656,0.0,1.0
2012-11-12,9.93,10.02,9.93,9.95,71888,0.0,1.0
2012-11-13,9.87,9.985,9.73,9.74,6580800,0.0,1.0
2012-11-14,9.76,9.82,9.52,9.78,9619400,0.0,1.0
2012-11-15,9.79,9.93,9.58,9.72,6977100,0.0,1.0
2012-11-16,9.74,9.93,9.64,9.89,7068500,0.0,1.0
2012-11-19,10.01,10.1,9.84,9.97,8651400,0.0,1.0
2012-11-20,9.94,9.985,9.81,9.92,5458900,0.0,1.0
2012-11-21,9.92,10.03,9.87,9.97,4155800,0.0,1.0
2012-11-23,10.14,10.18,10.015,10.1,2904400,0.0,1.0
2012-11-26,10.07,10.28,10.06,10.2,5643900,0.0,1.0
2012-11-27,10.22,10.34,10.12,10.17,7278600,0.0,1.0
2012-11-28,10.15,10.4,10.12,10.4,4244900,0.0,1.0
2012-11-29,10.44,10.46,10.28,10.42,4427100,0.0,1.0
2012-11-30,10.42,10.68,10.41,10.67,20870500,0.0,1.0
2012-12-03,10.76,10.76,10.53,10.57,4482800,0.0,1.0
2012-12-04,10.55,10.78,10.52,10.72,6784200,0.0,1.0
2012-12-05,10.7,10.92,10.62,10.86,8289900,0.0,1.0
2012-12-06,10.87,10.96,10.79,10.84,6648300,0.0,1.0
2012-12-07,10.84,10.975,10.77,10.86,5116700,0.0,1.0
2012-12-10,10.83,10.86,10.7,10.72,5272900,0.0,1.0
2012-12-11,10.73,10.87,10.69,10.72,4892800,0.0,1.0
2012-12-12,10.73,10.79,10.705,10.74,3855800,0.0,1.0
2012-12-13,10.72,10.78,10.61,10.77,4566700,0.0,1.0
2012-12-14,10.73,10.79,10.68,10.74,3670200,0.0,1.0
2012-12-17,10.76,10.92,10.74,10.9,5048900,0.0,1.0
2012-12-18,10.88,11.07,10.86,11.05,3788100,0.0,1.0
2012-12-19,11.08,11.08,10.89,10.91,5674100,0.0,1.0
2012-12-20,10.96,11.03,10.88,11.02,2636200,0.0,1.0
2012-12-21,10.94,10.99,10.77,10.9,5069900,0.0,1.0
2012-12-24,10.88,10.9,10.73,10.8,1203300,0.0,1.0
2012-12-26,10.82,10.87,10.735,10.77,2388900,0.0,1.0
2012-12-27,10.74,10.78,10.44,10.64,3612600,0.0,1.0
2012-12-28,10.56,10.635,10.48,10.51,2737400,0.0,1.0
2012-12-31,10.5,10.74,10.41,10.7,3652800,0.0,1.0
2013-01-02,10.89,11.03,10.81,11.0,5166900,0.0,1.0
2013-01-03,10.95,11.05,10.88,10.94,8415000,0.0,1.0
2013-01-04,10.99,11.25,10.93,11.2,6218700,0.0,1.0
2013-01-07,11.33,11.33,10.81,10.85,6791100,0.0,1.0
2013-01-08,10.81,10.93,10.69,10.85,3683000,0.0,1.0
2013-01-09,10.84,10.95,10.785,10.9,3836900,0.0,1.0
2013-01-10,10.95,11.11,10.88,11.09,3716300,0.0,1.0
2013-01-11,11.08,11.16,11.0,11.11,3671800,0.0,1.0
2013-01-14,11.1,11.18,10.99,11.03,4126900,0.0,1.0
2013-01-15,11.0,11.04,10.8,11.0,2746700,0.0,1.0
2013-01-16,10.94,11.02,10.89,10.95,3127200,0.0,1.0
2013-01-17,11.0,11.14,10.9891,11.07,2677900,0.0,1.0
2013-01-18,11.1,11.14,11.0,11.14,2706700,0.0,1.0
2013-01-22,11.1,11.36,11.09,11.31,3983300,0.0,1.0
2013-01-23,11.28,11.31,11.1,11.21,4565400,0.0,1.0
2013-01-24,11.22,11.3,11.04,11.09,7951700,0.0,1.0
2013-01-25,11.1,11.18,10.995,11.09,5543800,0.0,1.0
2013-01-28,11.06,11.08,10.84,10.85,9922600,0.0,1.0
2013-01-29,10.85,10.86,10.67,10.7,20323400,0.0,1.0
2013-01-30,10.69,10.95,10.66,10.88,18373200,0.04,1.0
2013-01-31,10.89,10.95,10.78,10.84,7138500,0.0,1.0
2013-02-01,10.93,11.13,10.86,11.05,6578600,0.0,1.0
2013-02-04,11.09,11.11,10.9,10.92,4402400,0.0,1.0
2013-02-05,10.96,11.07,10.91,10.99,5720100,0.0,1.0
2013-02-06,10.95,11.09,10.93,11.06,4023200,0.0,1.0
2013-02-07,11.06,11.14,10.99,11.11,5463600,0.0,1.0
2013-02-08,11.12,11.135,10.99,11.07,6413900,0.0,1.0
2013-02-11,11.06,11.22,11.015,11.2,5735400,0.0,1.0
2013-02-12,11.23,11.33,11.17,11.31,5019900,0.0,1.0
