date,open,high,low,close,volume,dividend,split
2012-11-01,49.96,51.07,49.81,50.94,3068700,0.0,1.0
2012-11-02,51.18,51.25,50.28,50.63,2475700,0.0,1.0
2012-11-05,50.48,51.31,50.12,51.19,2599600,0.0,1.0
2012-11-06,51.17,52.46,51.04,52.19,4443400,0.0,1.0
2012-11-07,51.45,51.45,50.18,50.48,3526600,0.0,1.0
2012-11-08,50.59,51.03,49.71,49.72,3049200,0.0,1.0
2012-11-09,49.43,49.91,49.08,49.62,3878000,0.35,1.0
2012-11-12,49.78,49.92,49.45,49.84,1794100,0.0,1.0
2012-11-13,49.45,50.62,49.35,50.03,2683900,0.0,1.0
2012-11-14,50.17,50.73,49.52,49.64,3731800,0.0,1.0
2012-11-15,49.69,50.71,49.5,50.14,4078300,0.0,1.0
2012-11-16,50.16,50.47,49.6,50.41,4736000,0.0,1.0
2012-11-19,50.93,51.45,50.72,51.44,3220200,0.0,1.0
2012-11-20,51.23,51.5,50.5,50.96,3031000,0.0,1.0
2012-11-21,51.23,51.24,50.45,51.23,2065400,0.0,1.0
2012-11-23,51.5,51.9,51.38,51.89,1162200,0.0,1.0
2012-11-26,51.55,52.0,51.51,51.85,2619600,0.0,1.0
2012-11-27,51.82,51.99,51.3801,51.51,2372200,0.0,1.0
2012-11-28,51.36,52.04,51.09,51.99,1916100,0.0,1.0
2012-11-29,52.09,52.75,52.0,52.67,2432000,0.0,1.0
2012-11-30,52.67,53.14,52.46,52.99,2913300,0.0,1.0
2012-12-03,53.18,53.27,52.69,52.75,2983200,0.0,1.0
2012-12-04,52.7,52.88,52.26,52.57,2278400,0.0,1.0
2012-12-05,52.75,53.75,52.6,53.58,3371900,0.0,1.0
2012-12-06,53.51,53.82,52.82,53.8,2408000,0.0,1.0
2012-12-07,54.14,54.38,53.28,53.58,2406300,0.0,1.0
2012-12-10,53.39,53.8534,53.32,53.57,1812100,0.0,1.0
2012-12-11,53.84,54.205,53.58,54.09,2769000,0.0,1.0
2012-12-12,54.42,54.93,54.06,54.19,2853500,0.0,1.0
2012-12-13,54.17,54.4999,53.33,53.42,2050500,0.0,1.0
2012-12-14,53.41,53.645,53.12,53.23,2378200,0.0,1.0
2012-12-17,53.51,54.1,53.31,54.09,2083500,0.0,1.0
2012-12-18,54.09,54.7,53.95,54.63,3221000,0.0,1.0
2012-12-19,54.75,54.81,54.24,54.38,3202900,0.0,1.0
2012-12-20,54.52,54.71,53.95,54.7,2149500,0.0,1.0
2012-12-21,54.37,54.42,53.61,53.81,3813000,0.0,1.0
2012-12-24,53.8,53.97,53.66,53.78,681900,0.0,1.0
2012-12-26,53.8,54.02,53.3,53.5,1784600,0.0,1.0
2012-12-27,53.57,53.59,52.45,53.01,3042300,0.0,1.0
2012-12-28,52.61,52.81,52.19,52.25,2521700,0.0,1.0
2012-12-31,52.28,53.13,51.86,53.12,2614400,0.0,1.0
2013-01-02,54.39,54.44,53.72,54.07,4036400,0.0,1.0
2013-01-03,53.62,53.62,52.11,52.7,5144500,0.0,1.0
2013-01-04,52.88,53.14,52.01,52.04,4373200,0.0,1.0
2013-01-07,51.8199,51.87,51.085,51.84,4521100,0.0,1.0
2013-01-08,51.67,52.44,51.53,52.44,3366800,0.0,1.0
2013-01-09,52.1,52.701,52.1,52.5,2146200,0.0,1.0
2013-01-10,52.98,53.41,52.67,53.37,2403400,0.0,1.0
2013-01-11,53.36,53.36,52.48,52.93,2126700,0.0,1.0
2013-01-14,53.0,53.25,52.35,52.95,1611900,0.0,1.0
2013-01-15,52.3,53.11,51.99,53.03,3802600,0.0,1.0
2013-01-16,52.74,52.81,51.51,51.61,4159200,0.0,1.0
2013-01-17,51.6,51.98,51.05,51.44,4479800,0.0,1.0
2013-01-18,51.55,51.78,51.2801,51.47,3733300,0.0,1.0
2013-01-22,51.5,52.79,51.47,52.64,4188100,0.0,1.0
2013-01-23,52.47,53.32,52.42,53.13,2339500,0.0,1.0
2013-01-24,53.19,53.95,53.025,53.61,3537500,0.0,1.0
2013-01-25,53.72,53.76,52.96,53.48,2424900,0.0,1.0
2013-01-28,53.77,53.77,52.75,52.99,2967100,0.0,1.0
2013-01-29,52.87,53.44,52.61,53.35,2332700,0.0,1.0
2013-01-30,53.25,53.33,52.355,52.46,2449400,0.0,1.0
2013-01-31,52.41,53.21,52.1901,53.06,2714500,0.0,1.0
2013-02-01,53.55,53.56,52.96,53.06,2550100,0.0,1.0
2013-02-04,52.85,52.97,52.45,52.85,2816600,0.0,1.0
2013-02-05,52.94,54.07,52.8,53.49,3716100,0.0,1.0
2013-02-06,51.53,52.13,49.5,51.18,8734200,0.0,1.0
2013-02-07,51.18,51.24,49.92,50.18,4993800,0.0,1.0
2013-02-08,50.38,50.5,50.08,50.35,4175100,0.0,1.0
2013-02-11,50.36,50.39,50.11,50.26,3321800,0.0,1.0
2013-02-12,50.11,50.22,49.42,49.5,7704900,0.0,1.0
2013-02-13,49.43,49.54,48.49,48.65,6061200,0.35,1.0
2013-02-14,48.43,48.93,48.1724,48.83,4984400,0.0,1.0
2013-02-15,48.94,49.41,48.75,49.34,5317000,0.0,1.0
2013-02-19,49.26,49.62,48.83,49.53,4588500,0.0,1.0
2013-02-20,50.03,50.25,49.79,49.82,4685700,0.0,1.0
2013-02-21,49.83,49.83,49.1,49.58,4030500,0.0,1.0
2013-02-22,49.93,50.07,49.59,50.07,2775500,0.0,1.0
2013-02-25,50.27,50.28,48.84,48.88,3603100,0.0,1.0
2013-02-26,49.2,49.455,48.51,48.81,4689700,0.0,1.0
2013-02-27,48.86,50.08,48.78,49.93,4346900,0.0,1.0
2013-02-28,49.86,50.42,49.64,49.95,3097800,0.0,1.0
2013-03-01,50.09,50.67,49.57,50.19,3613600,0.0,1.0
2013-03-04,50.0,50.27,49.77,50.21,2609000,0.0,1.0
2013-03-05,50.6,51.25,50.52,51.01,3103400,0.0,1.0
2013-03-06,51.25,51.53,51.01,51.1,2101100,0.0,1.0
2013-03-07,51.3,51.62,50.69,51.57,3182400,0.0,1.0
2013-03-08,51.75,51.94,50.09,50.14,6911800,0.0,1.0
2013-03-11,50.1,51.05,49.99,51.05,3512100,0.0,1.0
2013-03-12,50.89,50.995,50.585,50.75,2714700,0.0,1.0
2013-03-13,50.8,50.9,50.43,50.64,2154800,0.0,1.0
2013-03-14,50.89,51.03,50.5,50.66,2662100,0.0,1.0
2013-03-15,50.66,51.09,50.52,51.08,4124900,0.0,1.0
2013-03-18,50.47,50.64,50.11,50.22,3286200,0.0,1.0
2013-03-19,50.42,50.45,49.58,49.81,3453000,0.0,1.0
2013-03-20,50.17,50.89,50.01,50.72,3338400,0.0,1.0
2013-03-21,50.51,51.35,50.25,51.06,4576100,0.0,1.0
2013-03-22,51.24,51.85,51.1,51.85,3101000,0.0,1.0
2013-03-25,51.99,51.99,51.18,51.52,2277800,0.0,1.0
2013-03-26,51.83,52.49,51.62,52.49,3886200,0.0,1.0
2013-03-27,52.08,52.12,51.65,51.91,2299700,0.0,1.0
2013-03-28,51.91,52.09,51.61,52.02,1945900,0.0,1.0
2013-04-01,52.06,52.26,51.72,52.15,2453100,0.0,1.0
2013-04-02,52.45,53.61,52.37,52.9,3661500,0.0,1.0
2013-04-03,53.0,53.0,52.46,52.7,4031200,0.0,1.0
2013-04-04,52.5,52.56,51.195,51.5,5335300,0.0,1.0
2013-04-05,50.8,50.8,49.17,49.49,6088300,0.0,1.0
2013-04-08,49.68,49.685,48.54,49.6,3880400,0.0,1.0
2013-04-09,49.58,50.11,49.36,49.75,2499400,0.0,1.0
2013-04-10,49.87,50.38,49.72,50.21,3178100,0.0,1.0
2013-04-11,50.29,50.38,49.66,49.81,2850600,0.0,1.0
2013-04-12,49.5,50.13,49.44,50.11,2204000,0.0,1.0
2013-04-15,49.92,50.1,48.95,48.97,3283600,0.0,1.0
2013-04-16,49.35,50.27,49.22,50.21,2469800,0.0,1.0
2013-04-17,49.75,49.75,48.91,49.16,3294800,0.0,1.0
2013-04-18,49.19,49.33,48.56,48.9,2468000,0.0,1.0
2013-04-19,49.15,49.502,48.99,49.39,3791000,0.0,1.0
2013-04-22,49.48,49.84,48.95,49.72,1913300,0.0,1.0
2013-04-23,49.92,50.8205,49.78,50.67,3601200,0.0,1.0
2013-04-24,50.76,51.59,50.74,51.56,3391500,0.0,1.0
2013-04-25,51.23,53.0,51.225,52.57,6329300,0.0,1.0
2013-04-26,52.89,53.31,52.69,53.2,4385100,0.0,1.0
2013-04-29,53.34,54.4,53.2,54.04,3764500,0.0,1.0
2013-04-30,54.0,54.71,53.96,54.44,3016100,0.0,1.0
2013-05-01,54.29,54.97,54.28,54.38,2193800,0.0,1.0
2013-05-02,54.64,55.1,54.38,54.94,2612300,0.0,1.0
2013-05-03,55.48,55.9,55.31,55.36,2396600,0.0,1.0
2013-05-06,55.36,55.93,55.34,55.61,1743200,0.0,1.0
2013-05-07,55.58,55.78,55.0,55.38,2786900,0.0,1.0
2013-05-08,55.28,56.04,55.2,55.91,2089000,0.0,1.0
2013-05-09,55.94,56.03,54.75,54.85,3826400,0.0,1.0
2013-05-10,54.73,54.8,53.57,53.95,4585000,0.0,1.0
2013-05-13,53.95,54.0,53.51,53.84,2872500,0.0,1.0
2013-05-14,53.95,54.63,53.9,54.56,3204800,0.0,1.0
2013-05-15,54.47,54.92,54.37,54.81,2584600,0.0,1.0
2013-05-16,54.5,54.88,54.09,54.32,2893200,0.0,1.0
2013-05-17,54.43,55.3,54.34,55.24,3539600,0.0,1.0
2013-05-20,54.77,55.89,54.77,55.58,3616800,0.35,1.0
2013-05-21,55.55,56.34,55.12,55.84,3840100,0.0,1.0
2013-05-22,56.02,56.77,55.108,55.33,3949700,0.0,1.0
2013-05-23,54.67,55.24,54.48,55.06,2643800,0.0,1.0
2013-05-24,54.84,54.98,54.02,54.95,2092500,0.0,1.0
2013-05-28,55.64,56.112,55.09,55.11,2161300,0.0,1.0
2013-05-29,54.65,55.985,54.53,55.69,2487000,0.0,1.0
2013-05-30,55.84,56.959,55.75,56.52,2253600,0.0,1.0
2013-05-31,56.45,56.9,55.69,55.69,2594400,0.0,1.0
2013-06-03,55.84,56.45,55.1,56.4,3030000,0.0,1.0
2013-06-04,56.5,56.725,55.42,55.81,2510200,0.0,1.0
2013-06-05,55.62,55.77,54.95,55.19,2408700,0.0,1.0
2013-06-06,55.17,56.75,54.77,56.57,3576700,0.0,1.0
2013-06-07,56.87,57.245,56.35,57.03,3708800,0.0,1.0
2013-06-10,57.2,57.4699,56.69,56.8,2928800,0.0,1.0
2013-06-11,56.31,56.81,56.134,56.41,3731200,0.0,1.0
2013-06-12,56.81,56.96,56.01,56.08,2391400,0.0,1.0
2013-06-13,56.1,57.63,56.058,57.46,2731800,0.0,1.0
2013-06-14,57.7,58.46,57.1623,57.51,2762300,0.0,1.0
2013-06-17,57.87,58.0499,57.34,57.58,2822800,0.0,1.0
2013-06-18,57.73,57.96,57.49,57.77,2489000,0.0,1.0
2013-06-19,57.9,58.75,57.215,57.34,3577600,0.0,1.0
2013-06-20,56.75,57.53,56.72,56.95,2863700,0.0,1.0
2013-06-21,57.57,57.57,56.37,56.66,3385500,0.0,1.0
2013-06-24,56.19,56.33,55.201,55.68,2630100,0.0,1.0
2013-06-25,56.13,57.12,55.84,56.82,2180600,0.0,1.0
2013-06-26,57.45,57.66,56.84,57.26,1602700,0.0,1.0
2013-06-27,57.65,58.32,57.41,58.2,2742700,0.0,1.0
2013-06-28,58.05,58.54,57.45,58.12,2605500,0.0,1.0
2013-07-01,58.53,58.629,57.47,57.67,2654000,0.0,1.0
2013-07-02,57.53,57.86,56.62,56.79,2690900,0.0,1.0
2013-07-03,56.46,56.75,56.08,56.6,1339000,0.0,1.0
2013-07-05,56.99,57.25,56.57,57.16,1884500,0.0,1.0
2013-07-08,57.39,58.26,57.38,58.02,2144500,0.0,1.0
2013-07-09,58.34,58.68,58.0,58.52,1910500,0.0,1.0
2013-07-10,58.38,58.7,58.09,58.5,1627800,0.0,1.0
2013-07-11,59.07,59.38,58.67,59.25,1874500,0.0,1.0
2013-07-12,59.31,59.37,58.42,59.14,1845600,0.0,1.0
2013-07-15,59.06,59.13,58.52,58.9,2083500,0.0,1.0
2013-07-16,58.93,59.33,58.92,59.18,1932600,0.0,1.0
2013-07-17,59.31,59.5695,58.93,59.05,1314700,0.0,1.0
2013-07-18,59.35,59.63,59.075,59.33,1907400,0.0,1.0
2013-07-19,59.44,59.49,58.67,59.39,3448000,0.0,1.0
2013-07-22,59.41,60.325,59.28,60.18,1756100,0.0,1.0
2013-07-23,60.37,60.5,59.57,59.72,2382100,0.0,1.0
2013-07-24,59.98,61.29,58.8921,60.9,4729000,0.0,1.0
2013-07-25,60.67,60.69,59.75,60.46,2500600,0.0,1.0
2013-07-26,60.21,61.12,59.71,61.09,1980200,0.0,1.0
2013-07-29,61.07,61.3499,60.59,61.01,1417200,0.0,1.0
2013-07-30,61.19,61.47,60.76,60.85,1815200,0.0,1.0
2013-07-31,60.79,62.549,60.02,61.68,3662700,0.0,1.0
2013-08-01,62.39,63.63,62.21,63.54,2874500,0.0,1.0
2013-08-02,63.37,63.37,62.08,62.26,2201800,0.0,1.0
2013-08-05,62.38,62.51,61.82,62.09,1954400,0.0,1.0
2013-08-06,62.04,62.38,61.31,61.71,1823900,0.0,1.0
2013-08-07,61.39,61.55,61.1,61.28,1418400,0.0,1.0
2013-08-08,61.46,62.16,61.0,61.91,2086400,0.0,1.0
2013-08-09,61.8,62.03,61.245,61.52,2013400,0.0,1.0
2013-08-12,60.98,61.621,60.94,61.53,1714600,0.0,1.0
2013-08-13,61.55,62.05,61.21,61.95,1536400,0.0,1.0
2013-08-14,61.89,61.98,61.38,61.68,1652000,0.0,1.0
2013-08-15,60.96,61.14,60.17,60.39,2437600,0.0,1.0
2013-08-16,60.23,60.8,60.11,60.54,2546600,0.0,1.0
2013-08-19,60.0,60.16,59.47,59.49,2132900,0.35,1.0
2013-08-20,59.49,60.02,59.03,59.82,1204400,0.0,1.0
2013-08-21,59.79,59.79,58.98,59.27,1719000,0.0,1.0
2013-08-22,59.52,60.18,59.41,59.94,1239800,0.0,1.0
2013-08-23,60.04,60.22,59.53,59.83,1264500,0.0,1.0
2013-08-26,59.88,60.0499,59.36,59.37,1191700,0.0,1.0
2013-08-27,58.69,58.73,57.75,57.76,2194400,0.0,1.0
2013-08-28,57.89,58.39,57.74,57.77,1632300,0.0,1.0
2013-08-29,57.75,58.439,57.36,57.92,1349200,0.0,1.0
2013-08-30,58.08,58.205,57.545,57.79,1776900,0.0,1.0
2013-09-03,58.52,59.15,57.62,58.16,1437700,0.0,1.0
2013-09-04,58.25,59.385,58.121,58.95,1591000,0.0,1.0
2013-09-05,58.89,59.32,58.768,58.92,1068000,0.0,1.0
2013-09-06,59.02,59.02,57.76,58.38,1471700,0.0,1.0
2013-09-09,58.52,59.05,58.381,59.05,1639300,0.0,1.0
2013-09-10,59.45,60.05,59.26,59.92,1756000,0.0,1.0
2013-09-11,59.95,60.95,59.844,60.82,2182100,0.0,1.0
2013-09-12,60.9,61.18,60.51,60.87,1702900,0.0,1.0
2013-09-13,61.06,61.16,60.87,61.04,1904000,0.0,1.0
2013-09-16,62.02,62.125,61.67,61.87,2151900,0.0,1.0
2013-09-17,61.87,62.2999,61.83,62.22,1361300,0.0,1.0
2013-09-18,62.1,62.96,61.87,62.87,2790800,0.0,1.0
2013-09-19,62.96,63.0,61.94,62.16,2967200,0.0,1.0
2013-09-20,62.27,62.66,62.01,62.32,2580200,0.0,1.0
2013-09-23,62.01,62.45,61.76,62.01,1906900,0.0,1.0
2013-09-24,61.93,62.52,61.89,62.02,2586500,0.0,1.0
2013-09-25,62.15,62.46,61.9,62.21,1436800,0.0,1.0
2013-09-26,62.16,62.65,62.09,62.51,1438200,0.0,1.0
2013-09-27,62.08,62.49,61.95,62.21,1689100,0.0,1.0
2013-09-30,61.52,62.21,61.29,61.99,2110000,0.0,1.0
2013-10-01,62.61,63.43,62.6,63.42,2168200,0.0,1.0
2013-10-02,62.99,63.21,62.53,63.21,2030600,0.0,1.0
2013-10-03,62.91,63.19,62.18,62.91,1723300,0.0,1.0
2013-10-04,62.82,63.94,62.78,63.73,1574600,0.0,1.0
2013-10-07,63.17,63.48,62.92,62.92,1204700,0.0,1.0
2013-10-08,62.84,63.115,62.11,62.15,1848800,0.0,1.0
2013-10-09,62.27,62.54,61.96,62.28,1445300,0.0,1.0
2013-10-10,63.04,63.65,62.96,63.61,1601400,0.0,1.0
2013-10-11,63.63,64.5,63.46,64.48,1767700,0.0,1.0
2013-10-14,64.05,64.6499,63.61,64.49,1131500,0.0,1.0
2013-10-15,64.21,64.78,64.1,64.33,1861300,0.0,1.0
2013-10-16,64.79,65.7301,64.59,65.64,2453300,0.0,1.0
2013-10-17,65.48,66.18,65.32,66.11,1598900,0.0,1.0
2013-10-18,66.15,66.15,64.95,65.78,3546300,0.0,1.0
2013-10-21,65.46,65.87,65.06,65.5,2044100,0.0,1.0
2013-10-22,65.78,66.51,65.76,66.06,1711900,0.0,1.0
2013-10-23,65.95,66.01,65.125,65.61,1257200,0.0,1.0
2013-10-24,65.85,66.18,65.31,66.14,1305200,0.0,1.0
2013-10-25,66.1,66.33,65.85,66.3,1710600,0.0,1.0
2013-10-28,66.24,66.79,65.98,66.47,1634200,0.0,1.0
2013-10-29,66.68,67.0,66.51,67.0,1910700,0.0,1.0
2013-10-30,64.68,65.78,64.01,65.02,6336700,0.0,1.0
2013-10-31,64.77,65.33,64.65,64.98,3363800,0.0,1.0
2013-11-01,65.17,65.45,64.9,65.1,2028800,0.0,1.0
2013-11-04,65.01,65.15,64.49,65.06,2504900,0.0,1.0
2013-11-05,65.0,65.06,64.38,64.45,2310900,0.0,1.0
2013-11-06,64.58,65.04,64.48,64.82,1797700,0.0,1.0
2013-11-07,64.92,65.58,64.22,64.26,2229000,0.0,1.0
2013-11-08,64.44,65.82,64.37,65.75,2731000,0.0,1.0
2013-11-11,65.57,65.985,65.5,65.68,1396000,0.0,1.0
2013-11-12,65.4,65.79,64.99,65.25,1709400,0.0,1.0
2013-11-13,65.39,66.27,65.24,66.27,2086400,0.0,1.0
2013-11-14,66.28,67.5,66.2,67.47,2148800,0.0,1.0
2013-11-15,67.2,67.515,66.42,67.48,2768800,0.0,1.0
2013-11-18,67.19,67.475,66.77,66.9,2248600,0.37,1.0
2013-11-19,66.9,67.01,66.22,66.28,1649000,0.0,1.0
2013-11-20,66.34,66.58,66.03,66.21,1378400,0.0,1.0
2013-11-21,66.22,66.79,66.08,66.54,1922700,0.0,1.0
2013-11-22,66.23,66.69,66.19,66.57,1379400,0.0,1.0
2013-11-25,66.5,66.81,66.11,66.22,1091500,0.0,1.0
2013-11-26,66.25,66.78,66.25,66.44,1612400,0.0,1.0
2013-11-27,66.67,66.7,66.26,66.44,1170100,0.0,1.0
2013-11-29,66.56,66.96,66.35,66.37,941000,0.0,1.0
2013-12-02,66.35,67.23,66.115,66.25,1886400,0.0,1.0
2013-12-03,66.02,66.31,65.13,65.54,2298000,0.0,1.0
2013-12-04,65.52,66.1397,65.22,65.71,1674600,0.0,1.0
2013-12-05,65.45,66.35,65.35,65.7,1938900,0.0,1.0
2013-12-06,66.42,66.73,66.105,66.64,1460100,0.0,1.0
2013-12-09,66.58,66.81,66.24,66.45,1692400,0.0,1.0
2013-12-10,66.22,66.39,66.0,66.27,1694000,0.0,1.0
2013-12-11,66.25,66.25,65.59,65.72,1913700,0.0,1.0
2013-12-12,65.82,65.992,65.54,65.64,2286000,0.0,1.0
2013-12-13,65.92,66.25,65.61,65.96,1316300,0.0,1.0
2013-12-16,66.18,66.62,65.97,66.36,1451900,0.0,1.0
2013-12-17,66.37,66.44,65.87,66.01,1446700,0.0,1.0
2013-12-18,66.27,66.68,65.47,66.59,3184700,0.0,1.0
2013-12-19,66.24,66.4,65.9,66.0,2466100,0.0,1.0
2013-12-20,65.92,66.5,65.55,65.65,4240400,0.0,1.0
2013-12-23,66.09,66.6,65.99,66.35,2238300,0.0,1.0
2013-12-24,66.23,66.54,66.15,66.48,884100,0.0,1.0
2013-12-26,66.41,67.43,66.32,67.11,1313400,0.0,1.0
2013-12-27,67.15,67.38,66.87,67.25,990300,0.0,1.0
2013-12-30,67.25,67.62,66.65,66.69,1950600,0.0,1.0
2013-12-31,66.87,67.01,66.5801,66.8,1210100,0.0,1.0
2014-01-02,66.63,66.694,65.81,65.96,1914700,0.0,1.0
2014-01-03,66.08,66.54,66.045,66.15,1279100,0.0,1.0
2014-01-06,66.2,66.275,64.32,64.88,4244200,0.0,1.0
2014-01-07,65.03,65.53,64.866,65.09,1913100,0.0,1.0
2014-01-08,64.98,65.17,64.41,64.63,1725900,0.0,1.0
2014-01-09,64.69,64.85,64.09,64.27,2311900,0.0,1.0
2014-01-10,64.58,65.26,64.1,65.17,1837200,0.0,1.0
2014-01-13,64.83,65.01,64.0,64.1,2409800,0.0,1.0
2014-01-14,64.39,64.81,64.22,64.7,1777800,0.0,1.0
2014-01-15,64.71,65.11,64.6804,64.94,2019900,0.0,1.0
2014-01-16,64.79,65.15,64.55,64.83,1658300,0.0,1.0
2014-01-17,64.81,65.47,64.62,64.71,2144400,0.0,1.0
2014-01-21,64.92,65.28,64.41,64.83,2177600,0.0,1.0
2014-01-22,64.86,64.99,64.25,64.4,1396100,0.0,1.0
2014-01-23,64.2,64.3,63.26,63.56,2022700,0.0,1.0
2014-01-24,63.29,63.61,62.29,62.29,3171900,0.0,1.0
2014-01-27,62.18,62.57,61.34,61.79,2818300,0.0,1.0
2014-01-28,61.84,62.535,61.84,62.45,1788200,0.0,1.0
2014-01-29,61.74,62.851,61.73,62.12,2498200,0.0,1.0
2014-01-30,62.55,63.35,62.45,63.2,1574000,0.0,1.0
2014-01-31,62.24,63.35,62.02,62.78,2203400,0.0,1.0
2014-02-03,62.86,62.92,60.69,60.72,3034100,0.0,1.0
2014-02-04,60.98,61.64,60.81,61.47,2436700,0.0,1.0
2014-02-05,61.9,62.31,60.451,61.76,2716100,0.0,1.0
2014-02-06,61.6,62.0,61.37,61.73,2172100,0.0,1.0
2014-02-07,61.77,62.79,61.48,62.68,2314600,0.0,1.0
2014-02-10,62.51,63.0,62.15,62.43,1874000,0.0,1.0
2014-02-11,62.42,62.62,61.79,62.41,2350000,0.0,1.0
2014-02-12,62.33,62.95,62.3,62.75,1617900,0.37,1.0
2014-02-13,62.18,62.82,62.0,62.79,1303400,0.0,1.0
2014-02-14,62.67,63.25,62.66,63.13,1479500,0.0,1.0
2014-02-18,63.09,63.15,62.84,63.03,1389700,0.0,1.0
2014-02-19,62.74,63.65,62.4,62.44,1585700,0.0,1.0
2014-02-20,62.57,63.06,62.34,62.92,1529000,0.0,1.0
2014-02-21,62.97,63.0,62.13,62.32,2372300,0.0,1.0
2014-02-24,62.26,62.88,62.26,62.3,1881200,0.0,1.0
2014-02-25,62.33,62.84,62.15,62.52,1827700,0.0,1.0
2014-02-26,62.78,62.99,62.4101,62.6,1480400,0.0,1.0
2014-02-27,62.5,63.4,62.49,63.38,1530500,0.0,1.0
2014-02-28,63.39,64.48,63.38,64.08,2534700,0.0,1.0
2014-03-03,63.37,64.3,63.0,64.02,2119200,0.0,1.0
2014-03-04,64.58,65.28,64.44,65.13,2138200,0.0,1.0
