date,open,high,low,close,volume,dividend,split
2012-11-01,35.15,35.56,34.76,35.2,18600100,0.0,1.0
2012-11-02,33.95,34.07,32.63,32.68,56799900,0.0,1.0
2012-11-05,32.9,33.23,32.2867,32.8,24874000,0.0,1.0
2012-11-06,32.89,33.21,32.71,33.12,15394000,0.0,1.0
2012-11-07,32.71,32.92,31.85,32.0,25992500,0.0,1.0
2012-11-08,32.03,32.27,31.41,31.41,19670800,0.0,1.0
2012-11-09,31.35,32.31,31.03,32.17,21658500,0.0,1.0
2012-11-12,32.14,32.18,31.73,31.98,14883200,0.0,1.0
2012-11-13,31.66,31.95,31.0,31.35,26745300,0.0,1.0
2012-11-14,31.51,31.58,30.64,30.68,20857500,0.0,1.0
2012-11-15,30.97,31.6,30.82,31.24,18854000,0.0,1.0
2012-11-16,31.37,31.85,31.08,31.8,28498200,0.0,1.0
2012-11-19,32.12,32.67,31.95,32.39,25683100,0.0,1.0
2012-11-20,32.34,32.58,32.09,32.41,13072900,0.0,1.0
2012-11-21,32.62,32.67,32.2,32.67,10157300,0.0,1.0
2012-11-23,32.75,32.86,32.58,32.83,4353400,0.0,1.0
2012-11-26,32.71,32.98,32.53,32.97,10656300,0.0,1.0
2012-11-27,32.86,32.97,32.45,32.49,11445600,0.0,1.0
2012-11-28,32.21,32.66,32.1,32.6,15335500,0.0,1.0
2012-11-29,32.75,33.44,32.72,33.35,17907000,0.0,1.0
2012-11-30,33.4,33.57,32.92,33.13,15665300,0.0,1.0
2012-12-03,33.34,33.51,33.11,33.12,11749500,0.0,1.0
2012-12-04,33.22,33.52,33.08,33.32,13758700,0.0,1.0
2012-12-05,33.52,34.3,33.45,33.78,28749400,0.0,1.0
2012-12-06,33.84,33.8999,33.135,33.26,20384500,0.0,1.0
2012-12-07,33.82,34.5,33.76,34.13,28958200,0.0,1.0
2012-12-10,33.75,33.835,33.22,33.36,24811300,0.0,1.0
2012-12-11,34.28,35.42,34.0,35.26,253081100,0.0,1.0
2012-12-12,35.58,35.82,34.51,34.85,62911400,0.0,1.0
2012-12-13,34.84,35.04,34.0,34.24,42727700,0.0,1.0
2012-12-14,34.06,34.35,33.66,33.94,29331800,0.0,1.0
2012-12-17,34.62,35.0,34.22,34.95,33932000,0.0,1.0
2012-12-18,35.2,35.5,34.88,35.5,32187600,0.0,1.0
2012-12-19,35.55,35.69,34.84,34.89,22169000,0.0,1.0
2012-12-20,34.94,35.58,34.75,35.53,26891700,0.0,1.0
2012-12-21,34.92,35.19,34.34,34.74,31856600,0.0,1.0
2012-12-24,34.63,35.2,34.545,35.2,6816400,0.0,1.0
2012-12-26,35.31,35.43,34.96,35.35,11728100,0.0,1.0
2012-12-27,35.5,35.5,34.4,34.97,16674800,0.0,1.0
2012-12-28,34.6,34.99,34.5,34.58,11919300,0.0,1.0
2012-12-31,34.76,35.555,34.46,35.3,19797700,0.0,1.0
2013-01-02,36.29,36.55,35.955,36.48,22929700,0.0,1.0
2013-01-03,36.53,36.61,36.06,36.18,17115900,0.0,1.0
2013-01-04,36.36,36.41,35.89,36.3,13844700,0.0,1.0
2013-01-07,36.1,36.2,35.5,35.93,18383700,0.0,1.0
2013-01-08,35.85,35.919,35.28,35.65,16094700,0.0,1.0
2013-01-09,35.8,36.1,35.52,35.76,14719000,0.0,1.0
2013-01-10,35.79,35.95,35.46,35.8,18181000,0.0,1.0
