date,open,high,low,close,volume,dividend,split
2012-11-01,37.95,38.66,37.79,38.57,1652200,0.0,1.0
2012-11-02,38.76,38.86,38.15,38.28,2610900,0.0,1.0
2012-11-05,38.27,39.0,38.1,38.96,1594200,0.0,1.0
2012-11-06,39.0,39.26,38.78,38.8711,2177500,0.0,1.0
2012-11-07,38.46,38.67,37.39,37.57,2690400,0.0,1.0
2012-11-08,37.7,37.9,37.0,37.07,1616900,0.0,1.0
2012-11-09,36.96,37.12,36.16,36.4,2882800,0.0,1.0
2012-11-12,36.56,36.786,36.03,36.57,1384200,0.0,1.0
2012-11-13,36.28,36.89,36.11,36.31,1483000,0.0,1.0
2012-11-14,36.5,36.61,35.27,35.38,1932600,0.0,1.0
2012-11-15,35.41,36.59,35.07,36.23,4910300,0.0,1.0
2012-11-16,36.24,36.57,35.52,36.1,2172800,0.0,1.0
2012-11-19,36.68,36.68,35.83,35.87,2051200,0.0,1.0
2012-11-20,35.84,36.62,35.51,35.63,2786600,0.0,1.0
2012-11-21,35.78,36.155,35.59,35.83,1426800,0.0,1.0
2012-11-23,36.07,36.2,35.75,35.97,885800,0.0,1.0
2012-11-26,35.94,36.46,35.5,35.73,1950400,0.0,1.0
2012-11-27,35.78,35.79,34.09,34.57,4867100,0.0,1.0
2012-11-28,34.8,35.96,34.74,35.88,3804100,0.0,1.0
2012-11-29,36.05,36.45,35.68,36.24,2108500,0.0,1.0
2012-11-30,36.26,36.71,36.02,36.62,2546500,0.0,1.0
2012-12-03,36.73,36.75,35.775,36.1,2574900,0.0,1.0
2012-12-04,36.18,36.27,35.6536,36.0,1547400,0.0,1.0
2012-12-05,35.97,36.0,35.02,35.5,2413300,0.0,1.0
2012-12-06,37.87,39.43,37.82,39.06,7575700,0.0,1.0
2012-12-07,38.94,39.2,38.5,38.82,3205800,0.0,1.0
2012-12-10,38.73,39.37,38.6,39.2,2481700,0.0,1.0
2012-12-11,39.42,39.82,38.87,39.6,2888700,0.0,1.0
