date,open,high,low,close,volume,dividend,split
2012-11-01,40.74,40.76,38.74,39.05,8400100,0.0,1.0
2012-11-02,39.27,39.27,37.92,38.56,9861600,0.0,1.0
2012-11-05,38.26,38.775,38.11,38.68,4010700,0.0,1.0
2012-11-06,38.81,39.41,38.74,39.25,4194200,0.0,1.0
2012-11-07,38.96,38.98,38.39,38.67,5630200,0.0,1.0
2012-11-08,38.6,39.09,38.52,38.68,4814000,0.0,1.0
2012-11-09,38.58,39.07,38.15,38.73,4126000,0.0,1.0
2012-11-12,38.74,38.74,38.23,38.55,2416300,0.0,1.0
2012-11-13,38.25,38.83,38.06,38.09,4310200,0.0,1.0
2012-11-14,38.26,39.59,38.12,38.34,4824100,0.0,1.0
2012-11-15,38.36,38.57,38.04,38.28,3195300,0.0,1.0
2012-11-16,38.45,38.99,38.02,38.92,5309000,0.0,1.0
2012-11-19,39.19,39.87,39.11,39.68,5828600,0.0,1.0
2012-11-20,39.64,40.12,39.51,40.08,4980200,0.0,1.0
2012-11-21,40.16,40.24,39.7,39.96,2381100,0.0,1.0
2012-11-23,40.16,40.76,40.11,40.74,1563300,0.0,1.0
2012-11-26,40.49,40.56,40.08,40.45,2507100,0.0,1.0
2012-11-27,40.32,40.83,40.21,40.42,4113900,0.0,1.0
2012-11-28,40.16,40.7,40.12,40.63,4987000,0.22,1.0
2012-11-29,40.76,40.97,40.5598,40.64,2904000,0.0,1.0
2012-11-30,40.73,40.73,40.3,40.48,3255700,0.0,1.0
2012-12-03,40.52,40.79,40.24,40.49,4122100,0.0,1.0
2012-12-04,40.42,40.77,40.33,40.58,2652600,0.0,1.0
2012-12-05,40.61,41.59,40.5804,41.3,4704100,0.0,1.0
2012-12-06,41.25,41.3,40.74,41.19,3166800,0.0,1.0
2012-12-07,41.37,41.49,41.19,41.48,2411600,0.0,1.0
2012-12-10,41.41,41.65,41.2,41.4,2103500,0.0,1.0
2012-12-11,41.52,41.56,40.93,41.09,3837600,0.0,1.0
2012-12-12,41.29,41.59,41.09,41.16,2446400,0.0,1.0
