date,open,high,low,close,volume,dividend,split
2012-11-01,10.63,11.05,10.59,10.95,21400100,0.0,1.0
2012-11-02,10.95,10.98,10.74,10.81,13419900,0.0,1.0
2012-11-05,10.71,11.14,10.71,11.09,11931800,0.0,1.0
2012-11-06,11.11,11.51,11.07,11.46,17001000,0.0,1.0
2012-11-07,11.3,11.3,10.9,10.95,17878700,0.0,1.0
2012-11-08,10.92,10.98,10.5,10.5,23188100,0.0,1.0
2012-11-09,10.52,10.8,10.51,10.67,11434100,0.0,1.0
2012-11-12,10.69,10.76,10.61,10.63,8005400,0.0,1.0
2012-11-13,10.55,10.66,10.43,10.48,11151100,0.0,1.0
2012-11-14,10.57,10.57,10.32,10.36,13551300,0.0,1.0
2012-11-15,10.38,10.47,10.24,10.3003,15464800,0.0,1.0
2012-11-16,10.32,10.34,9.95,10.15,24263200,0.0,1.0
2012-11-19,10.16,10.425,10.12,10.36,15542400,0.09,1.0
2012-11-20,10.32,10.39,10.24,10.385,10707600,0.0,1.0
2012-11-21,10.35,10.5,10.29,10.43,8699700,0.0,1.0
2012-11-23,10.44,10.55,10.35,10.4,6927300,0.0,1.0
2012-11-26,10.35,10.56,10.34,10.465,9730500,0.0,1.0
2012-11-27,10.4,10.5,10.36,10.36,9574000,0.0,1.0
2012-11-28,10.33,10.62,10.24,10.6,11383300,0.0,1.0
2012-11-29,10.66,10.8,10.65,10.74,9554700,0.0,1.0
2012-11-30,10.74,10.795,10.695,10.73,13237800,0.0,1.0
2012-12-03,10.78,10.85,10.65,10.66,9273100,0.0,1.0
2012-12-04,10.69,10.89,10.63,10.875,12033400,0.0,1.0
2012-12-05,10.87,10.93,10.77,10.8,10727000,0.0,1.0
2012-12-06,10.8,10.89,10.74,10.89,8415100,0.0,1.0
2012-12-07,10.93,10.98,10.83,10.965,8275000,0.0,1.0
2012-12-10,10.92,11.13,10.91,11.05,9550300,0.0,1.0
2012-12-11,11.1,11.195,11.06,11.08,10379400,0.0,1.0
2012-12-12,11.11,11.25,11.08,11.09,11821900,0.0,1.0
2012-12-13,11.14,11.22,10.94,11.11,14793200,0.0,1.0
2012-12-14,11.03,11.18,11.01,11.08,7604500,0.0,1.0
2012-12-17,11.09,11.17,10.99,11.105,9299300,0.0,1.0
2012-12-18,11.09,11.25,11.02,11.18,10522600,0.0,1.0
2012-12-19,11.24,11.38,11.22,11.34,11180100,0.0,1.0
2012-12-20,11.34,11.39,11.2,11.38,9755900,0.0,1.0
2012-12-21,11.2,11.5,11.02,11.5,31340200,0.0,1.0
2012-12-24,11.39,11.49,11.3,11.37,5279500,0.0,1.0
2012-12-26,11.37,11.45,11.3,11.39,8168900,0.0,1.0
2012-12-27,11.37,11.45,11.19,11.35,11111400,0.0,1.0
2012-12-28,11.25,11.38,11.22,11.26,10012200,0.0,1.0
2012-12-31,11.25,11.44,11.2,11.44,9255000,0.0,1.0
2013-01-02,11.64,11.84,11.61,11.835,12963700,0.0,1.0
2013-01-03,11.84,11.9,11.7,11.81,8741500,0.0,1.0
2013-01-04,11.82,11.865,11.71,11.81,7446400,0.0,1.0
2013-01-07,11.47,11.71,11.39,11.67,14497900,0.0,1.0
2013-01-08,11.58,11.65,11.48,11.51,8260500,0.0,1.0
2013-01-09,11.52,11.72,11.49,11.68,11170300,0.0,1.0
2013-01-10,11.72,11.85,11.62,11.64,10049100,0.0,1.0
2013-01-11,11.67,11.74,11.63,11.71,8091600,0.0,1.0
2013-01-14,11.67,11.79,11.59,11.75,7886000,0.0,1.0
2013-01-15,11.72,11.82,11.6,11.77,10354600,0.0,1.0
2013-01-16,11.74,12.05,11.7,11.93,15492500,0.0,1.0
2013-01-17,11.95,12.45,11.94,12.4,27137200,0.0,1.0
2013-01-18,12.5,12.89,12.41,12.65,48524600,0.0,1.0
2013-01-22,12.59,12.73,12.54,12.71,14624600,0.0,1.0
2013-01-23,12.74,12.74,12.59,12.7,11479900,0.0,1.0
2013-01-24,12.7,12.79,12.57,12.6,10370800,0.0,1.0
2013-01-25,12.76,12.98,12.74,12.83,18953100,0.0,1.0
2013-01-28,12.87,13.04,12.82,12.96,11216100,0.0,1.0
2013-01-29,12.89,12.9,12.73,12.8,9317300,0.0,1.0
2013-01-30,12.76,12.94,12.73,12.86,10831500,0.0,1.0
2013-01-31,12.85,12.98,12.795,12.91,9730300,0.0,1.0
2013-02-01,12.93,13.19,12.87,13.17,17042500,0.0,1.0
2013-02-04,13.02,13.28,12.99,13.0,13451900,0.0,1.0
2013-02-05,13.06,13.45,13.04,13.42,23279300,0.0,1.0
2013-02-06,13.32,13.44,13.25,13.4,14286200,0.0,1.0
2013-02-07,13.39,13.405,13.111,13.3,14791600,0.0,1.0
2013-02-08,13.41,13.68,13.36,13.61,16950500,0.0,1.0
2013-02-11,13.56,13.75,13.48,13.66,13240600,0.0,1.0
2013-02-12,13.67,13.69,13.47,13.66,11712600,0.0,1.0
2013-02-13,13.77,13.79,13.615,13.77,11664800,0.0,1.0
2013-02-14,13.86,13.99,13.65,13.89,20125200,0.0,1.0
2013-02-15,13.83,13.9,13.63,13.74,10918200,0.09,1.0
2013-02-19,13.71,13.95,13.67,13.89,10944100,0.0,1.0
2013-02-20,13.9,13.91,13.56,13.59,13893400,0.0,1.0
2013-02-21,13.51,13.52,13.09,13.25,17873600,0.0,1.0
2013-02-22,13.33,13.595,13.3,13.57,9134300,0.0,1.0
2013-02-25,13.67,13.8,13.22,13.23,15608600,0.0,1.0
2013-02-26,13.5,13.67,13.37,13.63,22783500,0.0,1.0
2013-02-27,13.6,13.83,13.55,13.74,15463200,0.0,1.0
2013-02-28,13.74,13.86,13.67,13.705,13483900,0.0,1.0
2013-03-01,13.58,13.68,13.4,13.59,12821000,0.0,1.0
2013-03-04,13.56,13.6,13.425,13.57,8107000,0.0,1.0
2013-03-05,13.65,13.78,13.62,13.74,9723400,0.0,1.0
2013-03-06,13.8,13.87,13.645,13.67,11513200,0.0,1.0
2013-03-07,13.65,13.775,13.45,13.545,15011300,0.0,1.0
2013-03-08,13.64,13.67,13.4,13.54,11335000,0.0,1.0
2013-03-11,13.48,13.56,13.435,13.52,7355400,0.0,1.0
2013-03-12,13.45,13.55,13.335,13.4,8362800,0.0,1.0
2013-03-13,13.45,13.65,13.34,13.63,10364600,0.0,1.0
2013-03-14,13.63,13.76,13.63,13.675,7978700,0.0,1.0
2013-03-15,13.6,13.71,13.26,13.305,17885900,0.0,1.0
2013-03-18,13.13,13.2,13.0,13.05,9798200,0.0,1.0
2013-03-19,13.05,13.09,12.8,12.96,18027200,0.0,1.0
2013-03-20,13.03,13.22,12.93,13.18,12832900,0.0,1.0
2013-03-21,13.1,13.13,12.92,12.96,10005400,0.0,1.0
2013-03-22,13.0,13.28,13.0,13.26,13933500,0.0,1.0
2013-03-25,13.37,13.4,13.23,13.32,10630700,0.0,1.0
2013-03-26,13.4,13.49,13.32,13.4,10751100,0.0,1.0
2013-03-27,13.3,13.42,13.09,13.41,10585500,0.0,1.0
2013-03-28,13.42,13.54,13.33,13.48,11878200,0.0,1.0
2013-04-01,13.48,13.49,13.27,13.36,11026400,0.0,1.0
2013-04-02,13.46,13.46,13.19,13.241,8535600,0.0,1.0
2013-04-03,13.24,13.24,13.02,13.15,14428100,0.0,1.0
2013-04-04,13.1,13.24,13.03,13.22,7399800,0.0,1.0
2013-04-05,13.02,13.215,12.91,13.2,10349000,0.0,1.0
2013-04-08,13.17,13.42,12.96,13.38,15210500,0.0,1.0
2013-04-09,13.34,13.48,13.2,13.3,13917200,0.0,1.0
2013-04-10,13.3,13.83,13.27,13.81,15002400,0.0,1.0
2013-04-11,13.73,13.97,13.7,13.795,11024700,0.0,1.0
2013-04-12,13.77,13.79,13.51,13.63,6933300,0.0,1.0
2013-04-15,13.49,13.65,13.23,13.31,16472400,0.0,1.0
2013-04-16,13.37,13.5,13.34,13.46,10697100,0.0,1.0
2013-04-17,13.27,13.43,13.0,13.045,16516400,0.0,1.0
2013-04-18,13.17,13.23,12.89,12.92,13911400,0.0,1.0
2013-04-19,12.83,13.02,12.65,12.93,12634800,0.0,1.0
2013-04-22,12.94,13.15,12.85,13.08,11135400,0.0,1.0
2013-04-23,13.18,13.49,13.14,13.43,10313800,0.0,1.0
2013-04-24,13.41,13.66,13.39,13.63,10010100,0.0,1.0
2013-04-25,13.74,14.2,13.67,14.15,20829700,0.0,1.0
2013-04-26,13.91,14.22,13.8,14.14,17233900,0.0,1.0
2013-04-29,14.15,14.44,14.07,14.4,16446800,0.0,1.0
2013-04-30,14.37,14.51,14.29,14.51,10094900,0.0,1.0
2013-05-01,14.5,14.745,14.44,14.47,13788200,0.0,1.0
2013-05-02,14.47,14.8,14.41,14.79,14534600,0.0,1.0
2013-05-03,14.89,15.18,14.79,14.83,15303800,0.0,1.0
2013-05-06,14.84,14.92,14.71,14.81,8393500,0.0,1.0
2013-05-07,14.84,14.845,14.7,14.72,8008900,0.0,1.0
2013-05-08,14.7,14.98,14.561,14.85,14143900,0.0,1.0
2013-05-09,14.86,15.0,14.82,14.92,9214100,0.0,1.0
2013-05-10,14.85,14.98,14.85,14.97,6112100,0.0,1.0
2013-05-13,14.92,14.95,14.68,14.69,8557300,0.0,1.0
2013-05-14,14.95,15.0,14.73,14.79,16563900,0.0,1.0
2013-05-15,14.77,15.0,14.69,14.8,15612700,0.0,1.0
2013-05-16,14.84,14.93,14.32,14.66,22150900,0.0,1.0
2013-05-17,14.56,14.96,14.435,14.96,22522900,0.0,1.0
2013-05-20,14.9,15.03,14.84,14.91,9654300,0.0,1.0
2013-05-21,14.83,14.91,14.66,14.67,13243200,0.1,1.0
2013-05-22,14.66,14.9,14.45,14.54,10787500,0.0,1.0
2013-05-23,14.43,14.63,14.34,14.6,15548800,0.0,1.0
2013-05-24,14.5,14.6,14.46,14.5,10009200,0.0,1.0
2013-05-28,14.66,14.91,14.62,14.87,12792800,0.0,1.0
2013-05-29,14.78,14.94,14.72,14.8,12546100,0.0,1.0
2013-05-30,14.85,15.43,14.84,15.25,19744900,0.0,1.0
2013-05-31,15.17,15.39,15.16,15.2,22089500,0.0,1.0
2013-06-03,15.21,15.5,15.2,15.43,21290400,0.0,1.0
2013-06-04,15.45,15.64,15.4,15.54,19216700,0.0,1.0
2013-06-05,15.52,15.54,15.12,15.145,16748800,0.0,1.0
2013-06-06,15.2,15.24,14.875,14.95,16828700,0.0,1.0
2013-06-07,15.03,15.52,15.01,15.49,12485500,0.0,1.0
2013-06-10,15.5,15.6,15.37,15.46,9489600,0.0,1.0
2013-06-11,15.34,15.44,15.17,15.19,8689400,0.0,1.0
2013-06-12,15.61,15.81,15.1601,15.25,24026500,0.0,1.0
2013-06-13,15.29,15.605,15.235,15.6,11424400,0.0,1.0
2013-06-14,15.62,15.745,15.38,15.41,10417700,0.0,1.0
2013-06-17,15.56,15.895,15.56,15.78,13251000,0.0,1.0
2013-06-18,15.77,16.09,15.77,15.97,13865400,0.0,1.0
2013-06-19,15.97,16.05,15.66,15.7,19500400,0.0,1.0
2013-06-20,15.51,15.53,15.02,15.07,18635500,0.0,1.0
2013-06-21,15.07,15.19,14.79,15.075,22344300,0.0,1.0
2013-06-24,14.96,15.06,14.81,14.98,14138800,0.0,1.0
2013-06-25,15.1,15.32,15.02,15.27,12763100,0.0,1.0
2013-06-26,15.37,15.42,14.92,14.965,18520800,0.0,1.0
2013-06-27,15.13,15.1399,14.88,14.91,9374800,0.0,1.0
2013-06-28,14.87,14.99,14.62,14.92,25016600,0.0,1.0
2013-07-01,15.06,15.18,14.79,14.815,8993800,0.0,1.0
2013-07-02,14.78,14.99,14.68,14.82,9789100,0.0,1.0
2013-07-03,14.74,15.0475,14.67,15.0,5556600,0.0,1.0
2013-07-05,15.12,15.31,14.97,15.22,8382900,0.0,1.0
2013-07-08,15.36,15.41,15.04,15.14,10152800,0.0,1.0
2013-07-09,15.41,15.73,15.37,15.66,26328800,0.0,1.0
2013-07-10,15.6,16.465,15.6,16.3,30007600,0.0,1.0
2013-07-11,16.47,16.5,16.28,16.49,14302300,0.0,1.0
2013-07-12,16.46,16.66,16.43,16.66,10329400,0.0,1.0
2013-07-15,16.61,16.72,16.45,16.47,9482200,0.0,1.0
2013-07-16,16.55,16.71,16.5,16.575,8318800,0.0,1.0
2013-07-17,16.64,16.78,16.57,16.69,7863900,0.0,1.0
2013-07-18,16.64,16.7,16.405,16.56,10658200,0.0,1.0
2013-07-19,16.64,16.64,16.39,16.56,8097400,0.0,1.0
2013-07-22,16.71,16.71,16.27,16.35,8969400,0.0,1.0
2013-07-23,16.38,16.51,16.23,16.26,9116600,0.0,1.0
2013-07-24,16.33,16.44,16.05,16.1,8419600,0.0,1.0
2013-07-25,16.06,16.185,15.92,16.13,6567900,0.0,1.0
2013-07-26,15.97,16.13,15.915,16.13,6531300,0.0,1.0
2013-07-29,16.05,16.215,16.0,16.02,5858000,0.0,1.0
2013-07-30,16.2,16.46,16.15,16.27,10455500,0.0,1.0
2013-07-31,16.27,16.46,16.18,16.315,10145000,0.0,1.0
2013-08-01,16.45,16.64,16.38,16.49,10080400,0.0,1.0
2013-08-02,16.36,16.415,16.22,16.32,10730300,0.0,1.0
2013-08-05,16.18,16.34,16.05,16.1,8098300,0.0,1.0
2013-08-06,16.13,16.285,16.07,16.16,8928000,0.0,1.0
2013-08-07,16.07,16.16,15.88,15.89,11614700,0.0,1.0
2013-08-08,16.02,16.02,15.58,15.65,19917900,0.0,1.0
2013-08-09,15.56,15.69,15.47,15.67,10719500,0.0,1.0
2013-08-12,15.62,15.75,15.58,15.65,8656600,0.0,1.0
2013-08-13,15.76,15.79,15.42,15.73,7797600,0.0,1.0
2013-08-14,15.64,15.775,15.52,15.73,12888500,0.0,1.0
2013-08-15,15.42,15.59,15.28,15.325,11225700,0.0,1.0
2013-08-16,15.22,16.06,15.04,15.62,30578100,0.0,1.0
2013-08-19,15.5,15.68,15.34,15.55,16067100,0.0,1.0
2013-08-20,15.49,15.62,15.375,15.56,9276000,0.1,1.0
2013-08-21,15.5,15.73,15.44,15.55,11539300,0.0,1.0
2013-08-22,15.61,15.74,15.58,15.66,9568300,0.0,1.0
2013-08-23,15.74,15.75,15.54,15.62,7075900,0.0,1.0
2013-08-26,15.6,15.68,15.41,15.45,7602600,0.0,1.0
2013-08-27,15.3,15.325,15.02,15.069,10480900,0.0,1.0
2013-08-28,15.05,15.14,14.96,14.965,12505900,0.0,1.0
2013-08-29,14.92,15.15,14.9,15.14,12229800,0.0,1.0
2013-08-30,15.1,15.12,14.85,15.01,9689300,0.0,1.0
2013-09-03,15.2,15.29,14.99,15.11,8697700,0.0,1.0
2013-09-04,15.09,15.62,15.08,15.615,15005000,0.0,1.0
2013-09-05,15.63,15.695,15.52,15.675,9344700,0.0,1.0
2013-09-06,15.69,15.7,15.35,15.51,10748200,0.0,1.0
2013-09-09,15.53,15.62,15.46,15.585,10043300,0.0,1.0
2013-09-10,15.67,15.99,15.64,15.98,8639400,0.0,1.0
2013-09-11,15.99,16.03,15.755,15.93,11350700,0.0,1.0
2013-09-12,15.95,16.0,15.83,15.93,8891700,0.0,1.0
2013-09-13,15.94,16.02,15.76,15.91,7920600,0.0,1.0
2013-09-16,16.08,16.165,15.91,15.95,10413600,0.0,1.0
2013-09-17,15.95,16.0,15.87,15.905,10549000,0.0,1.0
2013-09-18,15.89,16.23,15.82,16.215,10683000,0.0,1.0
2013-09-19,16.28,16.43,16.08,16.085,7989400,0.0,1.0
2013-09-20,16.07,16.24,15.89,15.93,12211300,0.0,1.0
2013-09-23,15.87,16.07,15.83,15.991,10665700,0.0,1.0
2013-09-24,17.33,17.52,16.95,17.445,88903900,0.0,1.0
2013-09-25,17.28,17.94,17.25,17.84,34664700,0.0,1.0
2013-09-26,17.86,17.9,17.58,17.77,16844800,0.0,1.0
2013-09-27,17.67,17.775,17.377,17.6,14484200,0.0,1.0
2013-09-30,17.4,17.655,17.3,17.531,15514100,0.0,1.0
2013-10-01,17.58,17.59,17.28,17.47,13296800,0.0,1.0
2013-10-02,17.41,17.715,17.3,17.51,16213800,0.0,1.0
2013-10-03,17.5,17.51,17.24,17.33,13018900,0.0,1.0
2013-10-04,17.33,17.66,17.315,17.57,11027200,0.0,1.0
2013-10-07,17.34,17.9783,17.25,17.775,16581100,0.0,1.0
2013-10-08,17.73,17.92,17.39,17.505,16676600,0.0,1.0
2013-10-09,17.57,17.58,17.15,17.34,13941000,0.0,1.0
2013-10-10,17.48,17.93,17.45,17.885,10925800,0.0,1.0
2013-10-11,17.74,18.09,17.67,18.0,9161200,0.0,1.0
2013-10-14,17.88,18.18,17.73,18.1,9525900,0.0,1.0
2013-10-15,18.08,18.17,17.81,17.82,11641500,0.0,1.0
2013-10-16,17.88,18.17,17.84,17.959,13369600,0.0,1.0
2013-10-17,17.73,18.12,17.715,18.085,11486200,0.0,1.0
