date,open,high,low,close,volume,dividend,split
2012-11-01,58.27,59.71,57.83,59.68,1544700,0.45,1.0
2012-11-02,60.0,60.71,59.75,60.12,3432200,0.0,1.0
2012-11-05,59.67,60.3,59.34,60.12,1799600,0.0,1.0
2012-11-06,60.27,61.04,60.1,60.45,1336000,0.0,1.0
2012-11-07,59.65,59.66,58.07,58.6,1702100,0.0,1.0
2012-11-08,58.69,59.41,57.99,58.01,1458100,0.0,1.0
2012-11-09,57.72,58.65,57.442,58.05,741700,0.0,1.0
2012-11-12,58.05,59.78,57.8,58.39,1075800,0.0,1.0
2012-11-13,57.75,59.58,57.66,58.55,1714000,0.0,1.0
2012-11-14,58.73,58.92,57.41,57.58,1636300,0.0,1.0
2012-11-15,57.4,58.37,57.2,58.06,1806400,0.0,1.0
2012-11-16,57.42,58.5,57.42,58.38,2166900,0.0,1.0
2012-11-19,59.28,59.87,59.17,59.74,1500700,0.0,1.0
2012-11-20,59.62,59.77,59.18,59.77,1441500,0.0,1.0
2012-11-21,59.86,60.31,59.49,60.17,1085700,0.0,1.0
2012-11-23,60.63,61.08,60.49,61.0,937000,0.0,1.0
2012-11-26,60.6,60.8,60.41,60.5,1832300,0.0,1.0
2012-11-27,60.38,60.98,60.125,60.15,1308000,0.0,1.0
2012-11-28,59.65,60.74,59.45,60.69,1348600,0.0,1.0
2012-11-29,60.95,61.735,60.75,61.46,1367200,0.0,1.0
2012-11-30,61.38,61.74,60.67,60.67,1900000,0.0,1.0
2012-12-03,60.92,61.49,60.81,61.1,1444700,0.0,1.0
2012-12-04,60.94,61.115,60.55,60.61,1124500,0.0,1.0
2012-12-05,60.61,61.36,60.48,61.12,1074400,0.0,1.0
2012-12-06,61.03,61.82,60.74,61.78,1152100,0.0,1.0
2012-12-07,61.9,62.698,61.83,62.35,1722200,0.0,1.0
2012-12-10,61.96,62.0,61.29,61.29,1738600,0.0,1.0
2012-12-11,61.68,61.93,61.39,61.51,1569500,0.0,1.0
2012-12-12,61.75,62.76,61.66,61.9,1667800,0.0,1.0
2012-12-13,61.78,61.89,61.115,61.38,1133600,0.0,1.0
2012-12-14,61.21,61.59,61.09,61.22,860800,0.0,1.0
2012-12-17,61.63,62.5,61.55,62.49,1090600,0.0,1.0
2012-12-18,62.46,63.59,62.28,63.52,1756300,0.0,1.0
2012-12-19,63.49,63.75,62.91,62.91,1231600,0.0,1.0
2012-12-20,62.91,63.52,62.831,63.51,988000,0.0,1.0
2012-12-21,62.67,63.07,62.24,62.67,2420600,0.0,1.0
2012-12-24,62.54,63.012,62.4,62.89,511300,0.0,1.0
2012-12-26,62.96,63.12,62.41,62.47,700400,0.0,1.0
