date,open,high,low,close,volume,dividend,split
2012-11-01,53.94,54.83,53.58,54.8,1807800,0.0,1.0
2012-11-02,55.0,55.41,54.62,54.88,1954300,0.0,1.0
2012-11-05,54.61,55.28,54.54,55.08,1216500,0.0,1.0
2012-11-06,55.15,56.36,55.12,56.3,2289900,0.0,1.0
2012-11-07,55.72,55.97,54.75,55.49,2110900,0.0,1.0
2012-11-08,55.36,55.798,55.02,55.2,1556100,0.0,1.0
2012-11-09,55.01,55.95,54.92,55.63,1519700,0.0,1.0
2012-11-12,55.61,56.2,55.25,56.01,1185600,0.0,1.0
2012-11-13,55.76,56.67,55.62,56.17,1952900,0.0,1.0
2012-11-14,56.29,56.81,55.76,55.89,1756800,0.0,1.0
2012-11-15,56.02,56.1,55.52,55.96,2117600,0.0,1.0
2012-11-16,56.0,56.19,55.64,56.19,4519500,0.0,1.0
2012-11-19,56.57,56.6,56.12,56.35,2439700,0.0,1.0
2012-11-20,55.91,56.95,55.73,56.95,2428800,0.0,1.0
2012-11-21,56.88,57.3,56.61,57.24,1237600,0.0,1.0
2012-11-23,57.44,57.85,57.36,57.74,788300,0.0,1.0
2012-11-26,57.42,57.92,57.19,57.2,1884400,0.0,1.0
2012-11-27,57.13,57.13,56.19,56.45,2933700,0.0,1.0
2012-11-28,56.14,56.96,55.82,56.87,2131400,0.0,1.0
2012-11-29,57.12,57.2,56.58,56.86,1931200,0.0,1.0
2012-11-30,56.78,57.28,56.77,56.8,3420000,0.0,1.0
2012-12-03,56.91,57.25,56.65,56.73,2042400,0.0,1.0
2012-12-04,56.73,57.02,56.48,56.71,1000900,0.0,1.0
2012-12-05,56.74,56.97,56.46,56.65,1823600,0.0,1.0
2012-12-06,56.82,56.86,56.47,56.81,1623800,0.0,1.0
2012-12-07,56.89,57.08,56.52,56.6,1350500,0.0,1.0
2012-12-10,56.42,56.76,56.4,56.4,1327700,0.0,1.0
2012-12-11,56.49,56.84,56.37,56.5,1444300,0.0,1.0
2012-12-12,56.65,56.95,56.4,56.45,1865900,0.0,1.0
2012-12-13,56.36,56.96,56.3,56.42,1255600,0.0,1.0
2012-12-14,56.25,56.405,55.89,56.2,1314100,0.0,1.0
2012-12-17,56.49,57.09,56.39,57.06,1097000,0.0,1.0
2012-12-18,57.18,57.18,56.59,56.8,2291400,0.0,1.0
2012-12-19,56.83,56.985,56.59,56.59,1379100,0.0,1.0
2012-12-20,56.65,57.07,56.51,57.06,1778800,0.0,1.0
2012-12-21,56.21,56.77,56.21,56.63,2439400,0.0,1.0
2012-12-24,56.39,56.66,56.13,56.63,446800,0.0,1.0
2012-12-26,56.72,56.91,56.6,56.61,963300,0.0,1.0
2012-12-27,56.66,56.68,55.58,56.18,1217800,0.0,1.0
2012-12-28,55.82,56.21,55.48,55.5,1062800,0.0,1.0
2012-12-31,55.37,55.665,55.0,55.61,2205400,0.0,1.0
2013-01-02,56.25,57.43,55.98,57.43,2398300,0.0,1.0
2013-01-03,57.38,57.38,56.98,57.11,1505300,0.0,1.0
2013-01-04,57.26,57.42,57.03,57.13,1569500,0.0,1.0
2013-01-07,57.03,57.0405,56.73,56.8,953500,0.0,1.0
2013-01-08,56.73,56.87,56.54,56.62,704000,0.0,1.0
2013-01-09,56.71,56.89,56.59,56.79,723700,0.0,1.0
2013-01-10,57.03,58.08,56.98,58.08,1840900,0.0,1.0
2013-01-11,58.21,58.21,57.56,57.75,775000,0.0,1.0
2013-01-14,56.85,57.44,56.85,57.36,959800,0.0,1.0
2013-01-15,57.13,57.62,56.99,57.54,723500,0.0,1.0
2013-01-16,57.5,57.62,57.095,57.14,1040300,0.0,1.0
2013-01-17,57.21,57.37,56.93,57.15,1316300,0.0,1.0
2013-01-18,57.2,57.31,56.97,57.11,2019300,0.0,1.0
2013-01-22,57.15,58.09,57.15,57.97,1961700,0.0,1.0
2013-01-23,57.83,57.95,57.665,57.81,1430700,0.0,1.0
2013-01-24,57.94,58.43,57.86,58.21,1824300,0.0,1.0
2013-01-25,58.23,58.38,57.57,57.62,1555900,0.0,1.0
2013-01-28,57.79,57.8,57.23,57.47,1215800,0.0,1.0
2013-01-29,57.33,57.75,57.3,57.62,1704700,0.0,1.0
2013-01-30,57.49,57.93,57.16,57.72,1415600,0.1575,1.0
2013-01-31,57.57,57.98,57.37,57.74,2599500,0.0,1.0
2013-02-01,58.56,58.56,55.97,56.13,4126500,0.0,1.0
2013-02-04,55.46,55.58,54.83,54.9,2907200,0.0,1.0
