date,open,high,low,close,volume,dividend,split
2012-11-01,82.65,83.25,81.08,81.85,4388200,0.0,1.0
2012-11-02,82.47,82.71,80.98,81.22,2476800,0.0,1.0
2012-11-05,81.12,81.27,80.21,80.95,2151900,0.0,1.0
2012-11-06,81.34,82.9,81.28,82.82,3608800,0.0,1.0
2012-11-07,81.8,82.0,79.82,79.89,3842100,0.0,1.0
2012-11-08,80.02,80.58,78.89,78.89,2701900,0.0,1.0
2012-11-09,78.33,79.29,77.8,78.56,4276400,0.0,1.0
2012-11-12,78.86,78.99,78.0201,78.57,1896800,0.0,1.0
2012-11-13,78.0,78.9,77.29,77.34,2736700,0.0,1.0
2012-11-14,78.06,78.61,76.18,76.32,3501800,0.0,1.0
2012-11-15,76.24,77.17,75.5,75.65,3968700,0.0,1.0
2012-11-16,76.07,76.23,74.5,75.3,5390800,0.0,1.0
2012-11-19,76.32,77.1,75.88,77.1,3462400,0.0,1.0
2012-11-20,77.01,77.28,75.57,75.8,3415400,0.0,1.0
2012-11-21,75.8,76.33,75.381,76.3,2940400,0.0,1.0
2012-11-23,76.61,77.14,76.372,77.14,1541200,0.0,1.0
2012-11-26,76.42,76.72,75.815,76.48,4068900,0.0,1.0
2012-11-27,76.23,77.75,76.17,77.23,3643000,0.0,1.0
2012-11-28,76.51,77.65,76.135,77.6,2750500,0.0,1.0
2012-11-29,78.28,78.28,76.76,76.97,2284500,0.0,1.0
2012-11-30,76.94,77.6,76.57,77.09,2914200,0.0,1.0
2012-12-03,77.72,77.95,76.32,76.36,2632400,0.0,1.0
2012-12-04,76.3,76.47,75.63,76.26,2483800,0.0,1.0
2012-12-05,76.58,78.16,76.51,77.73,3398500,0.0,1.0
2012-12-06,77.16,77.45,75.82,76.37,3580600,0.0,1.0
2012-12-07,76.62,76.93,76.11,76.51,2448700,0.0,1.0
2012-12-10,75.69,75.96,74.7,75.07,4059100,0.0,1.0
2012-12-11,75.4,76.36,75.302,76.35,4049700,0.0,1.0
2012-12-12,76.89,78.51,76.77,77.81,4809000,0.0,1.0
2012-12-13,77.36,78.38,76.7,77.4,3197400,0.0,1.0
2012-12-14,76.96,77.49,76.79,77.02,2383300,0.0,1.0
2012-12-17,77.31,77.77,76.9001,77.46,2223300,0.0,1.0
2012-12-18,77.53,80.33,77.36,80.16,4382700,0.0,1.0
2012-12-19,80.05,80.97,79.85,79.88,3973100,0.0,1.0
2012-12-20,80.16,80.48,79.26,79.97,3098200,0.0,1.0
2012-12-21,78.64,80.0,78.11,80.0,3985300,0.0,1.0
2012-12-24,79.36,79.5,78.5905,78.68,1362700,0.0,1.0
2012-12-26,79.15,79.34,78.16,78.24,1779700,0.0,1.0
2012-12-27,78.2,78.48,77.17,78.24,2124600,0.0,1.0
2012-12-28,77.58,77.87,77.02,77.05,2195800,0.0,1.0
2012-12-31,76.67,78.54,76.49,78.5,2460300,0.0,1.0
2013-01-02,80.0,80.75,79.53,80.74,3468800,0.0,1.0
2013-01-03,80.6,82.44,80.0401,81.82,3095200,0.0,1.0
2013-01-04,82.2,83.725,81.91,83.2,3094800,0.0,1.0
2013-01-07,81.8,81.99,80.12,80.35,4713400,0.0,1.0
2013-01-08,80.17,80.25,79.4,79.91,2721300,0.0,1.0
2013-01-09,80.43,80.51,79.25,79.6,2535000,0.0,1.0
2013-01-10,80.2,80.72,79.68,80.71,2264600,0.0,1.0
2013-01-11,80.6,80.81,79.951,80.57,1942300,0.0,1.0
2013-01-14,80.36,80.89,79.92,80.33,1448600,0.0,1.0
2013-01-15,79.81,80.44,79.32,80.4,1926200,0.0,1.0
2013-01-16,80.19,80.97,79.94,80.83,2106100,0.0,1.0
2013-01-17,80.96,81.54,80.402,81.32,2163600,0.17,1.0
2013-01-18,81.33,82.0,81.25,81.82,2988300,0.0,1.0
2013-01-22,81.79,82.6,80.91,82.58,2724300,0.0,1.0
2013-01-23,82.45,82.95,81.95,82.06,2269700,0.0,1.0
2013-01-24,82.16,83.77,82.13,83.24,3445100,0.0,1.0
2013-01-25,83.51,84.48,83.5,84.15,3382600,0.0,1.0
2013-01-28,84.45,84.45,83.1,83.73,2444800,0.0,1.0
2013-01-29,83.73,85.58,83.57,85.38,3713400,0.0,1.0
2013-01-30,85.41,86.35,84.21,84.36,3304400,0.0,1.0
2013-01-31,84.13,84.42,83.5,83.76,2939700,0.0,1.0
2013-02-01,84.6,85.505,83.87,85.36,3340600,0.0,1.0
2013-02-04,84.76,84.8,83.36,83.57,3097200,0.0,1.0
2013-02-05,83.95,85.62,83.9,85.24,2882700,0.0,1.0
2013-02-06,84.54,85.16,84.1,84.91,2253300,0.0,1.0
2013-02-07,85.1,85.1,83.52,83.74,2584600,0.0,1.0
2013-02-08,84.13,85.18,84.11,84.65,2181700,0.0,1.0
2013-02-11,84.81,85.47,83.73,83.81,2207500,0.0,1.0
2013-02-12,84.06,84.43,83.33,84.18,2735900,0.0,1.0
2013-02-13,84.18,84.43,83.7,84.33,3167700,0.0,1.0
2013-02-14,83.72,84.0,80.11,80.33,8654200,0.0,1.0
2013-02-15,80.08,80.16,76.61,76.85,10830300,0.0,1.0
2013-02-19,76.84,77.36,76.27,77.3,5854800,0.0,1.0
2013-02-20,77.22,77.26,75.41,75.48,5908600,0.0,1.0
2013-02-21,75.2,75.64,74.48,75.11,4568900,0.0,1.0
2013-02-22,75.42,75.85,74.78,75.4,2984000,0.0,1.0
2013-02-25,76.04,76.04,73.25,73.25,3972400,0.0,1.0
2013-02-26,73.69,74.19,72.62,73.56,4187600,0.0,1.0
2013-02-27,73.35,74.8,73.35,74.38,3952600,0.0,1.0
2013-02-28,74.26,74.8,73.845,74.27,3507000,0.0,1.0
2013-03-01,73.56,74.12,72.76,73.75,3794200,0.0,1.0
2013-03-04,73.45,73.85,72.2,72.73,4528400,0.0,1.0
