date,open,high,low,close,volume,dividend,split
2012-11-01,78.07,79.37,77.11,78.19,2387700,0.0,1.0
2012-11-02,78.26,79.18,77.0,78.15,2346800,0.0,1.0
2012-11-05,77.9,78.92,77.7,78.75,1447700,0.0,1.0
2012-11-06,78.85,80.48,78.5,79.75,1428600,0.0,1.0
2012-11-07,78.9,79.825,78.63,79.46,1935100,0.0,1.0
2012-11-08,79.45,80.11,79.05,79.15,2135200,0.0,1.0
2012-11-09,79.01,80.17,79.01,79.73,1339000,0.0,1.0
2012-11-12,79.93,80.32,79.59,79.95,913900,0.0,1.0
2012-11-13,80.55,81.24,80.29,80.54,1780600,0.0,1.0
2012-11-14,80.73,80.82,79.84,80.23,1594900,0.0,1.0
2012-11-15,80.17,80.66,79.5,79.85,1303400,0.0,1.0
2012-11-16,79.94,80.32,79.2975,80.0,1682800,0.0,1.0
2012-11-19,80.57,80.93,80.28,80.87,1632800,0.0,1.0
2012-11-20,80.6,81.63,80.6,81.61,806500,0.0,1.0
2012-11-21,82.06,82.1,81.63,81.94,758800,0.0,1.0
2012-11-23,82.35,83.07,82.1921,83.04,362100,0.0,1.0
2012-11-26,82.73,83.34,82.68,83.34,972400,0.0,1.0
2012-11-27,83.29,83.34,82.68,82.87,1270400,0.0,1.0
2012-11-28,82.39,82.87,81.89,82.45,1575800,0.0,1.0
2012-11-29,82.64,83.25,82.1,82.35,1591700,0.0,1.0
2012-11-30,82.5,83.19,82.41,82.94,1379200,0.0,1.0
2012-12-03,83.2,83.39,81.43,81.57,1083500,0.0,1.0
2012-12-04,81.16,82.18,81.16,81.7,935500,0.0,1.0
2012-12-05,81.62,82.2,81.35,81.99,985000,0.0,1.0
2012-12-06,82.01,82.21,81.44,82.15,1243700,0.0,1.0
2012-12-07,82.05,83.08,81.55,83.06,1113300,0.0,1.0
2012-12-10,83.02,83.2,82.76,83.11,608800,0.0,1.0
2012-12-11,83.26,83.81,83.01,83.24,893700,0.0,1.0
2012-12-12,83.71,83.8,82.4,82.56,903600,0.0,1.0
2012-12-13,82.65,83.15,82.49,82.95,690200,0.0,1.0
2012-12-14,83.02,83.3,82.47,82.55,792300,0.0,1.0
2012-12-17,82.65,83.55,82.58,83.36,760000,0.0,1.0
2012-12-18,83.54,84.73,83.01,84.47,888000,0.0,1.0
2012-12-19,84.59,84.85,83.77,83.77,958200,0.0,1.0
