date,open,high,low,close,volume,dividend,split
2012-11-01,60.06,61.24,60.06,61.05,1360200,0.0,1.0
2012-11-02,61.24,61.55,60.12,60.83,890000,0.0,1.0
2012-11-05,60.54,61.8699,60.35,61.75,1004800,0.0,1.0
2012-11-06,61.61,62.75,61.45,62.1,1576000,0.0,1.0
2012-11-07,60.99,62.51,60.9,60.9,1844800,0.0,1.0
2012-11-08,60.93,61.02,59.89,60.35,2288000,0.0,1.0
2012-11-09,60.31,61.41,60.01,61.04,1527600,0.0,1.0
2012-11-12,61.09,61.57,60.64,61.39,835400,0.0,1.0
2012-11-13,60.87,61.53,60.6,60.63,729800,0.0,1.0
2012-11-14,60.75,60.97,59.03,59.23,1325200,0.0,1.0
2012-11-15,59.22,59.54,58.315,58.72,1340600,0.0,1.0
2012-11-16,58.7,59.34,58.24,59.12,1157200,0.0,1.0
2012-11-19,59.68,60.52,59.66,60.5,805400,0.0,1.0
2012-11-20,60.37,60.7,59.93,60.42,669000,0.0,1.0
2012-11-21,60.55,60.9,60.37,60.75,653400,0.0,1.0
2012-11-23,60.95,61.54,60.8,61.52,331000,0.0,1.0
2012-11-26,61.4,61.83,61.26,61.79,1169000,0.0,1.0
2012-11-27,61.64,61.89,60.93,61.06,655800,0.0,1.0
2012-11-28,60.67,61.63,60.43,61.56,653800,0.0,1.0
2012-11-29,61.68,62.06,60.7,62.0,783600,0.0,1.0
2012-11-30,62.11,62.2854,61.7101,61.92,1192600,0.0,1.0
2012-12-03,62.45,62.68,60.97,61.05,766400,0.0,1.0
2012-12-04,61.4,61.73,60.7,60.96,848400,0.0,1.0
2012-12-05,60.94,61.1,60.2,60.97,692400,0.0,1.0
2012-12-06,60.97,61.16,60.31,61.11,624600,0.0,1.0
2012-12-07,61.39,61.76,60.79,61.63,980800,0.0,1.0
2012-12-10,61.38,62.05,61.11,61.9,704600,0.105,1.0
2012-12-11,62.16,63.019,61.96,62.81,747400,0.0,1.0
2012-12-12,63.18,63.48,62.504,62.89,1278200,0.0,1.0
2012-12-13,62.75,63.15,62.23,62.61,880800,0.0,1.0
