date,open,high,low,close,volume,dividend,split
2012-11-01,56.15,57.12,55.99,56.85,6967100,0.0,1.0
2012-11-02,57.39,57.43,56.62,56.71,6106600,0.0,1.0
2012-11-05,56.21,56.49,55.85,56.36,3748300,0.0,1.0
2012-11-06,56.54,57.48,56.47,57.19,5092900,0.0,1.0
2012-11-07,56.63,56.63,55.27,55.57,7765500,0.0,1.0
2012-11-08,55.6,56.29,55.5,55.56,4532000,0.0,1.0
2012-11-09,55.6,56.37,55.52,55.83,4701100,0.0,1.0
2012-11-12,56.0,56.1,55.33,55.52,3291800,0.0,1.0
2012-11-13,55.06,55.52,54.71,54.74,4567600,0.0,1.0
2012-11-14,54.76,54.9999,53.47,53.65,5839400,0.0,1.0
2012-11-15,53.59,53.95,53.02,53.64,4753100,0.0,1.0
2012-11-16,53.59,54.57,53.58,54.3,6563200,0.0,1.0
2012-11-19,54.81,55.265,54.68,55.23,7380300,0.0,1.0
2012-11-20,55.09,55.875,54.915,55.86,4039400,0.0,1.0
2012-11-21,55.97,56.1714,55.8,55.98,3461400,0.0,1.0
2012-11-23,56.19,56.55,56.09,56.51,1487600,0.0,1.0
2012-11-26,56.25,56.34,55.47,55.69,5183600,0.0,1.0
2012-11-27,55.46,55.72,54.35,54.44,9897200,0.0,1.0
2012-11-28,54.16,55.6,54.16,55.51,7216000,0.0,1.0
2012-11-29,55.75,56.26,55.52,55.92,4587700,0.0,1.0
2012-11-30,55.86,56.0928,55.71,55.9,5716100,0.0,1.0
2012-12-03,56.09,56.53,55.93,55.99,4954600,0.0,1.0
2012-12-04,55.9,56.19,55.47,55.84,3912300,0.0,1.0
2012-12-05,55.89,56.66,55.75,56.4,5667500,0.0,1.0
2012-12-06,56.3,56.33,55.88,56.12,3854400,0.0,1.0
2012-12-07,56.25,56.64,56.2,56.61,3689200,0.0,1.0
2012-12-10,56.67,56.95,56.42,56.75,3784000,0.0,1.0
2012-12-11,57.0,57.59,56.92,57.06,4342800,0.0,1.0
2012-12-12,57.35,58.35,57.18,57.67,5941700,0.0,1.0
2012-12-13,57.66,58.0,57.5,57.72,4725900,0.0,1.0
2012-12-14,57.51,57.65,56.51,56.65,5063200,0.0,1.0
2012-12-17,56.9,57.35,56.79,57.27,5799100,0.0,1.0
2012-12-18,57.75,58.22,57.61,57.82,7184000,0.0,1.0
2012-12-19,57.42,57.69,56.74,56.79,6768200,0.0,1.0
2012-12-20,56.89,57.41,56.82,57.4,5641700,0.0,1.0
2012-12-21,57.19,57.81,56.36,57.65,11464700,0.0,1.0
2012-12-24,57.55,57.94,57.44,57.53,2192800,0.0,1.0
2012-12-26,57.62,57.71,57.06,57.13,3389200,0.0,1.0
2012-12-27,57.16,57.25,55.88,56.69,5292300,0.0,1.0
2012-12-28,56.44,57.04,56.37,56.67,4094000,0.0,1.0
2012-12-31,56.47,57.49,56.24,57.48,5604600,0.0,1.0
2013-01-02,58.33,58.95,58.31,58.75,6091400,0.2,1.0
2013-01-03,58.8,59.26,58.63,59.0,5017000,0.0,1.0
2013-01-04,59.08,59.66,58.46,59.61,4017200,0.0,1.0
2013-01-07,59.28,59.99,59.28,59.86,3859400,0.0,1.0
2013-01-08,59.68,60.32,59.53,60.2,4960900,0.0,1.0
2013-01-09,60.42,60.9,60.15,60.26,5885600,0.0,1.0
2013-01-10,60.44,60.79,60.0875,60.79,6545300,0.0,1.0
2013-01-11,60.5,61.97,60.31,61.24,10492500,0.0,1.0
2013-01-14,60.78,61.39,60.71,61.21,5176600,0.0,1.0
2013-01-15,60.15,60.84,60.03,60.76,6399000,0.0,1.0
2013-01-16,60.82,60.85,60.48,60.62,4020900,0.0,1.0
2013-01-17,61.1,61.2,60.58,60.74,4684200,0.0,1.0
2013-01-18,59.87,60.28,58.9,59.78,9935600,0.0,1.0
2013-01-22,59.62,59.898,59.01,59.4,7228400,0.0,1.0
2013-01-23,59.22,59.29,58.8,58.93,6265300,0.0,1.0
2013-01-24,59.14,59.51,59.01,59.3,5430800,0.0,1.0
2013-01-25,59.57,59.7,59.19,59.5,4124000,0.0,1.0
2013-01-28,59.36,59.55,58.7,59.07,5216200,0.0,1.0
2013-01-29,59.08,59.57,58.95,59.45,5533100,0.0,1.0
2013-01-30,59.24,59.67,59.16,59.33,5894100,0.0,1.0
