date,open,high,low,close,volume,dividend,split
2012-11-01,376.0,386.8,372.26,380.34,673100,0.0,1.0
2012-11-02,382.41,386.17,380.2501,382.91,621000,0.0,1.0
2012-11-05,383.33,384.87,381.27,383.23,204700,0.0,1.0
2012-11-06,384.15,385.73,381.36,385.26,356700,0.0,1.0
2012-11-07,380.48,386.25,380.48,384.37,403400,0.0,1.0
2012-11-08,383.75,385.44,378.45,378.97,338100,0.0,1.0
2012-11-09,378.39,380.95,374.89,376.89,314700,0.0,1.0
2012-11-12,376.59,380.08,374.14,374.38,254200,0.0,1.0
2012-11-13,373.01,377.91,373.01,373.55,249800,0.0,1.0
2012-11-14,375.07,376.66,368.68,369.75,282400,0.0,1.0
2012-11-15,369.87,373.82,367.88,372.78,290600,0.0,1.0
2012-11-16,372.75,381.01,370.53,380.5,725900,0.0,1.0
2012-11-19,381.57,385.01,380.524,382.3,213900,0.0,1.0
2012-11-20,382.2,383.5,377.97,381.13,330800,0.0,1.0
2012-11-21,381.57,383.75,379.9,381.87,297800,0.0,1.0
2012-11-23,383.38,383.99,381.0,383.12,104200,0.0,1.0
2012-11-26,383.62,383.99,380.12,382.93,323500,0.0,1.0
2012-11-27,390.11,390.11,378.44,382.38,336500,0.0,1.0
2012-11-28,381.8,383.86,379.95,383.86,486000,0.0,1.0
2012-11-29,381.84,382.7,377.74,379.78,485900,0.0,1.0
2012-11-30,379.7,384.02,377.79,383.77,428600,0.0,1.0
2012-12-03,384.0,384.1,377.13,378.01,491200,0.0,1.0
2012-12-04,373.01,384.25,361.75,366.8,1007700,0.0,1.0
2012-12-05,366.09,368.99,356.03,360.27,979600,0.0,1.0
2012-12-06,355.92,367.17,355.38,364.07,668400,0.0,1.0
2012-12-07,367.01,367.01,357.714,359.16,575000,0.0,1.0
2012-12-10,359.15,359.15,354.45,355.15,456800,0.0,1.0
2012-12-11,356.56,362.22,354.76,355.5,790600,0.0,1.0
2012-12-12,357.43,359.07,355.0,357.56,931000,0.0,1.0
2012-12-13,358.27,363.1725,357.6,359.32,547400,0.0,1.0
2012-12-14,358.14,361.55,355.011,357.68,491400,0.0,1.0
2012-12-17,358.39,363.4,357.38,363.4,615600,0.0,1.0
2012-12-18,363.2,364.45,359.16,360.07,546900,0.0,1.0
2012-12-19,360.0,362.25,358.13,359.48,418300,0.0,1.0
2012-12-20,359.43,360.74,355.23,356.02,552800,0.0,1.0
2012-12-21,353.0,359.57,351.48,358.28,694900,0.0,1.0
2012-12-24,363.44,363.44,354.41,355.2,182600,0.0,1.0
2012-12-26,355.24,355.28,346.9301,351.09,447900,0.0,1.0
2012-12-27,351.25,354.0925,345.3,353.1,437900,0.0,1.0
2012-12-28,352.02,352.61,345.88,348.57,446800,0.0,1.0
2012-12-31,347.79,354.76,346.9801,354.43,265300,0.0,1.0
2013-01-02,357.0,358.13,354.96,356.88,440800,0.0,1.0
2013-01-03,355.43,357.91,353.75,356.14,299300,0.0,1.0
2013-01-04,357.28,361.1,357.12,360.85,351500,0.0,1.0
2013-01-07,360.97,360.97,354.68,356.17,345300,0.0,1.0
2013-01-08,345.47,350.88,342.84,348.25,877500,0.0,1.0
2013-01-09,348.61,352.51,347.06,349.6,452300,0.0,1.0
2013-01-10,349.85,352.16,344.325,346.5,729300,0.0,1.0
2013-01-11,346.94,347.84,341.98,346.23,470600,0.0,1.0
2013-01-14,346.71,347.78,343.27,344.99,278300,0.0,1.0
2013-01-15,343.98,352.79,342.27,350.9,567100,0.0,1.0
2013-01-16,350.64,350.99,346.37,349.33,261500,0.0,1.0
2013-01-17,350.0,351.18,347.28,348.63,206600,0.0,1.0
2013-01-18,347.81,350.49,345.04,349.6,317500,0.0,1.0
2013-01-22,347.2,354.7,347.2,353.37,402600,0.0,1.0
2013-01-23,352.84,357.18,351.03,356.53,425100,0.0,1.0
2013-01-24,357.41,359.98,355.0,357.57,563100,0.0,1.0
2013-01-25,357.89,367.1,357.16,365.36,566400,0.0,1.0
2013-01-28,366.19,373.45,363.34,369.52,634900,0.0,1.0
