date,open,high,low,close,volume,dividend,split
2012-11-01,70.59,71.56,70.44,70.79,3992800,0.0,1.0
2012-11-02,71.0,71.36,69.96,70.05,4400400,0.0,1.0
2012-11-05,69.87,70.6,69.85,70.41,3833000,0.0,1.0
2012-11-06,70.47,72.44,70.47,72.02,4923700,0.0,1.0
2012-11-07,70.69,70.77,69.3,70.11,6675400,0.44,1.0
2012-11-08,70.13,71.32,70.09,70.98,7363500,0.0,1.0
2012-11-09,70.76,73.3,70.6,73.25,10269800,0.0,1.0
2012-11-12,73.41,74.18,73.28,73.69,6497600,0.0,1.0
2012-11-13,73.02,74.25,72.84,73.36,7293400,0.0,1.0
2012-11-14,73.34,73.65,71.12,71.29,6063100,0.0,1.0
2012-11-15,71.22,71.99,70.78,71.04,3928100,0.0,1.0
2012-11-16,71.19,71.22,70.29,70.77,4856300,0.0,1.0
2012-11-19,71.49,72.08,71.08,71.96,3475700,0.0,1.0
2012-11-20,71.87,72.8,71.79,72.54,3161000,0.0,1.0
2012-11-21,72.54,73.86,72.39,73.15,3119800,0.0,1.0
2012-11-23,73.35,73.75,73.085,73.74,1579200,0.0,1.0
2012-11-26,73.4,74.3,73.2,74.27,3709100,0.0,1.0
2012-11-27,74.12,74.535,73.6,74.49,5353500,0.0,1.0
2012-11-28,74.0,74.24,73.15,74.09,4245900,0.0,1.0
2012-11-29,74.36,74.86,73.84,74.12,2998900,0.0,1.0
2012-11-30,74.36,74.66,73.86,74.28,3863400,0.0,1.0
2012-12-03,74.41,74.49,73.57,74.02,3721600,0.0,1.0
2012-12-04,73.89,74.71,73.7302,74.05,3827700,0.0,1.0
2012-12-05,73.94,74.45,73.18,73.87,3818800,0.0,1.0
2012-12-06,73.8,73.99,72.93,73.98,3895400,0.0,1.0
2012-12-07,74.09,74.66,73.615,74.64,3718000,0.0,1.0
2012-12-10,74.62,75.58,74.43,75.53,5323800,0.0,1.0
2012-12-11,75.62,76.05,75.5,75.82,5960300,0.0,1.0
2012-12-12,75.84,76.04,75.26,75.47,5191300,0.0,1.0
2012-12-13,75.42,75.49,74.1,74.32,4977600,0.0,1.0
2012-12-14,74.33,74.66,73.871,74.02,4209300,0.0,1.0
2012-12-17,74.2,74.66,73.53,74.65,5537800,0.0,1.0
2012-12-18,74.3,75.7,74.14,75.52,5767500,0.0,1.0
2012-12-19,75.61,76.19,75.3,75.51,6075200,0.0,1.0
2012-12-20,75.75,76.24,75.5141,76.2,4599300,0.0,1.0
2012-12-21,75.08,76.22,74.58,76.17,6831500,0.0,1.0
2012-12-24,75.89,76.5599,75.53,75.97,1931900,0.0,1.0
2012-12-26,75.97,76.3,75.75,76.02,2710300,0.0,1.0
2012-12-27,76.01,76.3,75.0139,75.83,4041400,0.0,1.0
2012-12-28,75.21,75.74,74.56,74.69,2970400,0.0,1.0
2012-12-31,74.61,75.41,74.0,75.36,4939000,0.0,1.0
2013-01-02,76.55,77.33,76.45,77.07,5036400,0.0,1.0
2013-01-03,76.99,77.98,76.37,77.47,3987000,0.0,1.0
2013-01-04,77.79,78.02,77.44,77.69,3431700,0.0,1.0
2013-01-07,77.54,77.69,75.34,76.13,7172600,0.0,1.0
2013-01-08,75.24,75.81,73.11,74.13,20268100,0.0,1.0
2013-01-09,74.92,76.81,74.91,76.76,10915800,0.0,1.0
2013-01-10,76.93,77.12,76.1599,77.09,5026600,0.0,1.0
2013-01-11,75.71,76.1,74.6,75.16,9808500,0.0,1.0
2013-01-14,75.23,76.59,74.9,76.55,6221100,0.0,1.0
2013-01-15,76.21,76.98,76.18,76.94,3900600,0.0,1.0
2013-01-16,73.85,74.64,73.56,74.34,18212000,0.0,1.0
2013-01-17,72.78,75.63,72.68,75.26,21849200,0.0,1.0
2013-01-18,75.16,75.16,74.29,75.04,10829000,0.0,1.0
2013-01-22,74.12,74.27,73.77,74.16,9161900,0.0,1.0
2013-01-23,73.99,74.59,73.45,74.29,7784900,0.0,1.0
2013-01-24,74.41,75.5399,74.41,75.32,7292200,0.0,1.0
2013-01-25,75.29,75.42,74.79,75.03,6163200,0.0,1.0
2013-01-28,73.9,74.65,73.89,74.0,7759000,0.0,1.0
2013-01-29,74.24,74.24,73.0,73.65,9296800,0.0,1.0
2013-01-30,74.42,74.75,73.73,74.59,10048600,0.0,1.0
2013-01-31,74.5,74.62,73.76,73.87,7639000,0.0,1.0
2013-02-01,74.49,75.07,74.23,74.87,6749300,0.0,1.0
2013-02-04,74.29,75.53,74.25,75.21,5799800,0.0,1.0
2013-02-05,75.69,76.98,75.61,75.89,6831200,0.0,1.0
2013-02-06,75.47,76.3,75.4,76.29,4716600,0.0,1.0
2013-02-07,76.32,77.54,76.28,77.43,7773000,0.0,1.0
2013-02-08,77.24,77.395,76.28,76.56,5100400,0.0,1.0
2013-02-11,76.42,76.44,75.85,75.87,3677100,0.0,1.0
2013-02-12,76.06,76.25,75.83,75.99,3597400,0.0,1.0
2013-02-13,75.67,75.83,74.625,74.78,4313500,0.485,1.0
2013-02-14,74.69,75.31,74.54,74.93,3830400,0.0,1.0
2013-02-15,75.26,75.26,74.72,75.03,3650700,0.0,1.0
2013-02-19,74.99,75.19,74.27,74.65,3882500,0.0,1.0
2013-02-20,75.64,76.25,74.75,74.78,7551300,0.0,1.0
2013-02-21,74.96,76.18,74.91,76.01,7438600,0.0,1.0
2013-02-22,76.7,77.03,76.48,76.66,5391200,0.0,1.0
2013-02-25,76.83,76.9,75.03,75.03,4936300,0.0,1.0
2013-02-26,75.43,75.91,75.14,75.65,3436700,0.0,1.0
2013-02-27,75.53,77.925,75.53,77.36,7160000,0.0,1.0
2013-02-28,77.24,77.73,76.4,76.9,5593400,0.0,1.0
2013-03-01,76.7,77.59,76.58,77.28,6024200,0.0,1.0
2013-03-04,76.95,77.4,76.17,77.09,4748600,0.0,1.0
2013-03-05,77.45,78.85,77.11,78.66,5693200,0.0,1.0
2013-03-06,78.67,79.28,78.49,79.08,3826100,0.0,1.0
2013-03-07,79.37,81.95,79.37,81.05,10029900,0.0,1.0
2013-03-08,81.16,81.7,80.72,81.23,5231700,0.0,1.0
2013-03-11,81.01,83.03,80.9602,82.94,5087300,0.0,1.0
2013-03-12,83.1,84.62,83.0,84.16,6600800,0.0,1.0
2013-03-13,84.38,84.85,83.52,84.75,7750900,0.0,1.0
2013-03-14,84.62,85.1,84.125,84.62,5027800,0.0,1.0
2013-03-15,84.75,86.49,84.5,86.43,8205400,0.0,1.0
2013-03-18,85.07,85.77,85.04,85.18,4803900,0.0,1.0
2013-03-19,85.53,86.0,85.24,85.51,5381200,0.0,1.0
2013-03-20,85.85,86.14,85.18,85.37,3783500,0.0,1.0
2013-03-21,85.2,85.83,84.18,84.33,3672400,0.0,1.0
2013-03-22,84.52,85.1,84.52,84.82,2841600,0.0,1.0
2013-03-25,85.03,85.48,84.34,84.85,3528400,0.0,1.0
2013-03-26,85.43,86.84,85.41,86.62,5083400,0.0,1.0
2013-03-27,85.75,86.42,85.05,86.2,3185700,0.0,1.0
2013-03-28,86.41,86.5,85.42,85.85,4884300,0.0,1.0
2013-04-01,85.6,86.19,85.03,85.25,2867200,0.0,1.0
2013-04-02,85.39,85.5,83.8,84.09,4764900,0.0,1.0
2013-04-03,84.3,85.35,84.07,84.36,3885000,0.0,1.0
2013-04-04,84.79,85.02,84.21,84.95,3352500,0.0,1.0
2013-04-05,84.07,86.3,83.91,86.17,6109500,0.0,1.0
2013-04-08,86.04,86.81,85.38,86.75,5003600,0.0,1.0
2013-04-09,87.12,87.49,86.19,87.21,6058400,0.0,1.0
2013-04-10,87.34,88.56,87.06,87.82,4635200,0.0,1.0
2013-04-11,87.96,89.46,87.84,88.53,5394200,0.0,1.0
2013-04-12,88.29,88.929,88.0,88.89,2588300,0.0,1.0
2013-04-15,88.44,88.77,86.77,86.77,4324000,0.0,1.0
2013-04-16,87.45,88.35,86.43,86.89,5233900,0.0,1.0
2013-04-17,86.47,87.0,85.78,86.69,3781100,0.0,1.0
2013-04-18,87.06,87.1581,85.75,86.12,2792800,0.0,1.0
2013-04-19,87.57,88.08,86.57,87.96,6322200,0.0,1.0
