date,open,high,low,close,volume,dividend,split
2012-11-01,9.34,9.75,9.2719,9.74,205700000,0.0,1.0
2012-11-02,9.87,9.97,9.77,9.85,220993300,0.0,1.0
2012-11-05,9.83,9.925,9.62,9.75,121104400,0.0,1.0
2012-11-06,9.825,9.97,9.75,9.94,132533500,0.0,1.0
2012-11-07,9.63,9.67,9.22,9.23,286124300,0.0,1.0
2012-11-08,9.49,9.6,9.38,9.39,223927000,0.0,1.0
2012-11-09,9.295,9.59,9.27,9.43,141093100,0.0,1.0
2012-11-12,9.5,9.52,9.38,9.39,68498300,0.0,1.0
2012-11-13,9.31,9.55,9.28,9.33,119629700,0.0,1.0
2012-11-14,9.38,9.42,8.95,8.99,197392900,0.0,1.0
2012-11-15,9.03,9.2,9.02,9.09,144569800,0.0,1.0
2012-11-16,9.12,9.21,8.92,9.12,178995000,0.0,1.0
2012-11-19,9.36,9.5325,9.32,9.49,146244000,0.0,1.0
2012-11-20,9.465,9.68,9.42,9.63,150696200,0.0,1.0
2012-11-21,9.67,9.78,9.63,9.77,132499300,0.0,1.0
2012-11-23,9.835,9.9,9.8,9.9,59048000,0.0,1.0
2012-11-26,9.82,9.87,9.75,9.835,99730900,0.0,1.0
2012-11-27,9.89,9.95,9.66,9.66,149684000,0.0,1.0
2012-11-28,9.56,9.76,9.38,9.76,152946500,0.0,1.0
2012-11-29,9.84,9.88,9.76,9.83,125905400,0.0,1.0
2012-11-30,9.78,9.87,9.755,9.86,108739700,0.0,1.0
2012-12-03,9.93,9.94,9.78,9.8,99872800,0.0,1.0
2012-12-04,9.79,9.91,9.77,9.91,144124500,0.0,1.0
2012-12-05,9.97,10.56,9.95,10.46,463491000,0.01,1.0
2012-12-06,10.51,10.58,10.29,10.455,176607900,0.0,1.0
2012-12-07,10.56,10.68,10.48,10.635,192055100,0.0,1.0
2012-12-10,10.6,10.63,10.46,10.57,148065200,0.0,1.0
2012-12-11,10.64,10.71,10.5,10.51,159121300,0.0,1.0
2012-12-12,10.59,10.7,10.51,10.61,166819300,0.0,1.0
2012-12-13,10.59,10.66,10.51,10.54,106232100,0.0,1.0
2012-12-14,10.545,10.6,10.52,10.58,91707200,0.0,1.0
2012-12-17,10.645,11.0,10.64,11.0,170087700,0.0,1.0
2012-12-18,11.24,11.36,11.05,11.36,255238400,0.0,1.0
2012-12-19,11.4,11.49,11.17,11.19,193013700,0.0,1.0
2012-12-20,11.1,11.52,11.08,11.52,184449000,0.0,1.0
2012-12-21,11.2,11.35,11.12,11.29,244892300,0.0,1.0
2012-12-24,11.27,11.29,11.21,11.25,50657100,0.0,1.0
2012-12-26,11.29,11.63,11.27,11.54,146097900,0.0,1.0
2012-12-27,11.66,11.69,11.23,11.47,210411400,0.0,1.0
2012-12-28,11.32,11.49,11.27,11.36,131872200,0.0,1.0
2012-12-31,11.37,11.65,11.3,11.61,170837500,0.0,1.0
2013-01-02,12.05,12.15,11.9,12.03,236021400,0.0,1.0
2013-01-03,12.01,12.05,11.88,11.96,157149700,0.0,1.0
2013-01-04,11.97,12.11,11.93,12.11,132601900,0.0,1.0
2013-01-07,12.15,12.2,12.0,12.09,201403500,0.0,1.0
2013-01-08,12.09,12.1,11.89,11.98,168461100,0.0,1.0
2013-01-09,11.87,12.0,11.33,11.43,335692000,0.0,1.0
2013-01-10,11.61,11.81,11.54,11.78,199964900,0.0,1.0
2013-01-11,11.7,11.72,11.51,11.63,146136700,0.0,1.0
2013-01-14,11.61,11.63,11.38,11.47,110032900,0.0,1.0
2013-01-15,11.38,11.62,11.3,11.55,126058300,0.0,1.0
2013-01-16,11.58,11.79,11.47,11.78,164579300,0.0,1.0
2013-01-17,11.69,11.7,11.17,11.28,323622200,0.0,1.0
2013-01-18,11.26,11.33,11.02,11.14,179971800,0.0,1.0
2013-01-22,11.12,11.36,11.09,11.35,137242700,0.0,1.0
2013-01-23,11.38,11.44,11.23,11.42,121638200,0.0,1.0
2013-01-24,11.45,11.67,11.42,11.53,127870800,0.0,1.0
2013-01-25,11.69,11.72,11.51,11.62,100171600,0.0,1.0
2013-01-28,11.64,11.67,11.43,11.48,91304200,0.0,1.0
2013-01-29,11.42,11.58,11.4,11.49,96824100,0.0,1.0
2013-01-30,11.49,11.54,11.35,11.38,89130200,0.0,1.0
2013-01-31,11.32,11.36,11.22,11.32,97024700,0.0,1.0
2013-02-01,11.41,11.73,11.37,11.71,161141300,0.0,1.0
2013-02-04,11.58,11.69,11.46,11.48,139733000,0.0,1.0
2013-02-05,11.59,11.98,11.56,11.88,187785900,0.0,1.0
2013-02-06,11.73,11.97,11.73,11.93,173626800,0.0,1.0
2013-02-07,11.97,11.98,11.73,11.84,173209900,0.0,1.0
2013-02-08,11.86,11.9,11.72,11.76,145321100,0.0,1.0
2013-02-11,11.73,11.9,11.67,11.86,103510800,0.0,1.0
2013-02-12,11.87,12.34,11.78,12.245,232173900,0.0,1.0
2013-02-13,12.35,12.42,12.05,12.17,192742500,0.0,1.0
2013-02-14,12.09,12.27,12.07,12.13,144104800,0.0,1.0
2013-02-15,12.205,12.21,11.97,12.03,158242700,0.0,1.0
2013-02-19,12.1,12.31,12.06,12.19,170783400,0.0,1.0
2013-02-20,12.18,12.29,11.75,11.8,193466400,0.0,1.0
2013-02-21,11.725,11.73,11.35,11.42,235532400,0.0,1.0
2013-02-22,11.62,11.635,11.26,11.44,179268200,0.0,1.0
2013-02-25,11.6,11.61,10.98,11.03,206893900,0.0,1.0
