date,open,high,low,close,volume,dividend,split
2012-11-01,42.77,43.46,42.71,43.43,705900,0.0,1.0
2012-11-02,43.61,43.75,43.21,43.38,743200,0.0,1.0
2012-11-05,43.11,43.27,42.83,43.21,889400,0.0,1.0
2012-11-06,43.35,44.07,43.22,44.03,881200,0.0,1.0
2012-11-07,43.8,44.21,43.2,43.96,1055800,0.0,1.0
2012-11-08,43.97,44.09,43.53,43.53,770700,0.0,1.0
2012-11-09,43.51,44.33,43.26,43.85,979300,0.0,1.0
2012-11-12,43.91,44.04,43.6,43.7,620100,0.0,1.0
2012-11-13,43.53,44.01,43.32,43.37,934600,0.0,1.0
2012-11-14,43.34,43.75,42.99,43.0,964500,0.0,1.0
2012-11-15,43.0,43.59,43.0,43.24,1164700,0.0,1.0
2012-11-16,43.17,43.37,42.62,43.34,2945800,0.0,1.0
2012-11-19,43.64,44.88,43.37,44.65,1668600,0.0,1.0
2012-11-20,44.6,44.79,44.27,44.75,1220800,0.0,1.0
2012-11-21,44.76,44.89,44.31,44.61,715900,0.0,1.0
2012-11-23,44.81,45.07,44.52,45.07,361300,0.0,1.0
2012-11-26,44.66,44.81,44.24,44.78,1158200,0.0,1.0
2012-11-27,44.64,44.8,44.15,44.63,1067400,0.0,1.0
2012-11-28,44.53,44.79,44.26,44.74,881000,0.0,1.0
2012-11-29,44.8,45.0,44.38,44.74,725500,0.1,1.0
2012-11-30,44.76,44.92,44.59,44.69,1245400,0.0,1.0
2012-12-03,44.92,45.02,43.905,43.94,1329900,0.0,1.0
2012-12-04,44.04,44.07,43.66,43.7,1199600,0.0,1.0
2012-12-05,43.65,43.99,43.32,43.61,1074400,0.0,1.0
2012-12-06,43.66,44.21,43.4,44.19,886200,0.0,1.0
2012-12-07,44.25,44.28,43.89,44.15,462700,0.0,1.0
2012-12-10,44.17,44.61,44.01,44.54,919800,0.0,1.0
2012-12-11,44.6,44.87,44.38,44.75,935600,0.0,1.0
2012-12-12,44.85,44.89,44.3592,44.47,982300,0.0,1.0
2012-12-13,44.45,44.98,44.45,44.55,648700,0.0,1.0
2012-12-14,44.41,44.555,44.05,44.25,1466300,0.0,1.0
2012-12-17,44.02,44.28,43.9,44.2,1325600,0.0,1.0
2012-12-18,44.13,44.53,43.87,44.2,1303900,0.0,1.0
2012-12-19,44.28,44.77,44.28,44.57,859700,0.0,1.0
2012-12-20,44.56,45.46,44.49,45.46,1069700,0.0,1.0
2012-12-21,44.89,45.47,44.63,44.8,1891500,0.0,1.0
2012-12-24,44.79,45.22,44.67,45.02,402700,0.0,1.0
2012-12-26,45.12,45.29,44.88,44.91,694900,0.0,1.0
2012-12-27,44.96,44.98,44.18,44.64,711400,0.0,1.0
2012-12-28,44.35,44.52,44.11,44.29,576000,0.0,1.0
2012-12-31,44.15,44.76,44.05,44.75,712300,0.0,1.0
2013-01-02,45.42,46.07,45.325,46.05,951700,0.0,1.0
2013-01-03,46.1,46.55,45.97,46.44,1239400,0.0,1.0
2013-01-04,46.59,46.59,46.18,46.5,809800,0.0,1.0
2013-01-07,46.3,46.42,46.055,46.09,559500,0.0,1.0
2013-01-08,45.48,45.73,45.101,45.41,1104100,0.0,1.0
2013-01-09,45.56,45.91,45.44,45.61,620700,0.0,1.0
2013-01-10,45.65,45.77,45.39,45.61,587600,0.0,1.0
2013-01-11,45.65,45.67,45.241,45.4,524100,0.0,1.0
2013-01-14,45.39,45.89,45.255,45.59,729700,0.0,1.0
2013-01-15,45.34,45.85,45.23,45.77,577600,0.0,1.0
2013-01-16,45.62,45.695,45.23,45.51,668700,0.0,1.0
2013-01-17,45.59,46.52,45.515,46.31,807700,0.0,1.0
2013-01-18,46.19,46.7,46.09,46.65,833000,0.0,1.0
2013-01-22,46.65,46.99,46.43,46.54,703800,0.0,1.0
2013-01-23,46.45,46.758,46.29,46.52,548100,0.0,1.0
2013-01-24,46.59,46.89,46.325,46.52,829200,0.0,1.0
2013-01-25,46.68,46.68,46.39,46.61,556100,0.0,1.0
2013-01-28,46.62,46.62,46.07,46.1,628900,0.0,1.0
2013-01-29,46.13,46.25,45.97,46.22,1134600,0.0,1.0
2013-01-30,46.33,46.62,45.92,45.93,1047400,0.0,1.0
2013-01-31,45.15,45.6499,44.24,44.52,1666600,0.0,1.0
2013-02-01,44.72,45.72,44.4,45.59,2051500,0.0,1.0
2013-02-04,45.36,45.47,44.7801,44.95,990600,0.0,1.0
2013-02-05,45.14,45.62,45.11,45.54,837900,0.0,1.0
2013-02-06,45.33,45.49,45.03,45.33,824900,0.0,1.0
2013-02-07,45.41,45.8,45.17,45.21,680000,0.0,1.0
2013-02-08,45.27,45.52,45.175,45.36,621100,0.0,1.0
2013-02-11,45.34,45.35,44.69,45.14,934000,0.0,1.0
2013-02-12,45.29,45.32,44.89,44.89,989400,0.0,1.0
2013-02-13,45.19,45.21,44.75,45.2,834200,0.0,1.0
2013-02-14,45.06,45.32,45.01,45.21,914100,0.0,1.0
2013-02-15,45.62,46.07,45.32,45.54,1361700,0.0,1.0
2013-02-19,45.58,45.66,45.0,45.09,1058400,0.0,1.0
2013-02-20,45.02,45.21,44.5,44.53,966800,0.0,1.0
2013-02-21,44.33,44.4,43.96,44.06,948800,0.0,1.0
2013-02-22,44.27,44.56,43.96,44.34,1203700,0.0,1.0
2013-02-25,44.62,44.72,43.46,43.46,752700,0.0,1.0
