date,open,high,low,close,volume,dividend,split
2012-11-01,62.62,63.98,62.45,63.61,4483800,0.0,1.0
2012-11-02,64.0,64.91,63.75,64.75,6174400,0.0,1.0
2012-11-05,64.22,65.295,64.2,65.24,4624800,0.0,1.0
2012-11-06,65.19,66.705,65.031,66.08,4697900,0.0,1.0
2012-11-07,65.76,65.99,64.58,65.54,4600900,0.0,1.0
2012-11-08,65.49,65.86,64.58,64.59,4866700,0.0,1.0
2012-11-09,64.26,64.7,64.15,64.27,4494400,0.0,1.0
2012-11-12,64.53,65.49,64.27,65.06,3715000,0.0,1.0
2012-11-13,64.79,66.36,64.44,65.95,4931400,0.0,1.0
2012-11-14,66.28,66.88,64.91,65.04,3647400,0.0,1.0
2012-11-15,64.99,66.0,64.83,65.9,4214900,0.0,1.0
2012-11-16,65.86,66.3,65.4,66.02,4763100,0.0,1.0
2012-11-19,66.47,66.61,65.8,66.49,3777400,0.0,1.0
2012-11-20,66.37,66.67,65.66,66.3,2677800,0.0,1.0
2012-11-21,66.35,66.4,65.88,66.12,1706800,0.0,1.0
2012-11-23,66.29,68.91,66.07,68.81,3527700,0.0,1.0
2012-11-26,68.15,68.17,66.32,66.84,5331100,0.0,1.0
2012-11-27,66.49,66.74,65.73,65.81,3012700,0.0,1.0
2012-11-28,65.67,66.01,65.2,65.99,3741100,0.0,1.0
2012-11-29,66.26,66.36,65.59,65.96,2366900,0.0,1.0
2012-11-30,66.15,66.44,65.72,66.27,3179600,0.0,1.0
2012-12-03,66.6,66.63,65.71,65.8,1926600,0.0,1.0
2012-12-04,65.6,65.89,64.835,65.22,3315900,0.0,1.0
2012-12-05,65.14,65.14,64.22,64.47,3388700,0.45,1.0
2012-12-06,64.5,64.6,63.86,64.43,3742100,0.0,1.0
2012-12-07,64.64,65.25,64.4,65.07,2667500,0.0,1.0
2012-12-10,65.06,65.74,64.81,65.49,2811100,0.0,1.0
2012-12-11,65.46,66.03,65.22,65.68,2184000,0.0,1.0
2012-12-12,65.8,66.55,65.685,65.82,2542800,0.0,1.0
2012-12-13,65.8,65.94,65.31,65.66,1719900,0.0,1.0
2012-12-14,65.29,66.24,65.29,65.95,2384400,0.0,1.0
2012-12-17,65.98,66.35,65.95,66.33,2058000,0.0,1.0
2012-12-18,66.44,67.1,66.19,66.95,2767200,0.0,1.0
2012-12-19,67.01,67.34,66.38,66.4,2270800,0.0,1.0
2012-12-20,66.53,67.8,66.53,67.8,2994700,0.0,1.0
2012-12-21,67.5,67.71,66.61,67.25,4355900,0.0,1.0
2012-12-24,67.0,67.11,66.7,66.97,872700,0.0,1.0
2012-12-26,67.03,67.04,65.88,66.19,1583700,0.0,1.0
2012-12-27,66.35,66.78,65.72,66.53,1782100,0.0,1.0
2012-12-28,66.2,66.469,65.58,65.59,1529900,0.0,1.0
2012-12-31,65.61,66.67,65.37,66.66,2100000,0.0,1.0
2013-01-02,67.36,67.66,67.06,67.65,2665900,0.0,1.0
2013-01-03,67.58,67.83,67.445,67.78,2528800,0.0,1.0
2013-01-04,67.87,68.47,67.54,68.43,2458300,0.0,1.0
2013-01-07,68.05,68.72,67.76,68.5,2568500,0.0,1.0
2013-01-08,68.58,68.96,68.0,68.43,2341100,0.0,1.0
2013-01-09,68.15,68.72,68.0,68.39,3497600,0.0,1.0
2013-01-10,68.69,68.81,68.24,68.43,2797600,0.0,1.0
2013-01-11,68.68,69.0,68.37,68.95,2467300,0.0,1.0
2013-01-14,68.95,68.95,67.92,68.03,3034900,0.0,1.0
2013-01-15,67.88,68.36,67.04,67.04,4291400,0.0,1.0
2013-01-16,66.99,67.02,66.46,66.52,4436200,0.0,1.0
2013-01-17,66.78,67.42,66.57,67.19,5242000,0.0,1.0
2013-01-18,67.3,67.5,66.87,67.05,2583200,0.0,1.0
2013-01-22,67.05,67.28,66.45,66.95,3065300,0.0,1.0
2013-01-23,66.77,67.05,66.41,66.59,2993100,0.0,1.0
2013-01-24,66.29,67.98,65.89,67.78,4037000,0.0,1.0
2013-01-25,67.92,68.48,67.59,68.0,2915800,0.0,1.0
2013-01-28,68.03,68.22,67.33,67.43,2112700,0.0,1.0
2013-01-29,67.46,67.98,67.18,67.35,4261300,0.0,1.0
2013-01-30,67.47,68.08,67.28,67.9,2243700,0.0,1.0
2013-01-31,67.96,68.155,67.39,67.84,2357400,0.0,1.0
2013-02-01,67.98,68.85,67.9,68.77,2728700,0.0,1.0
2013-02-04,68.42,68.93,68.22,68.31,2404000,0.0,1.0
2013-02-05,68.72,69.21,68.53,68.95,2121900,0.0,1.0
2013-02-06,68.68,69.335,68.55,69.27,2191200,0.0,1.0
2013-02-07,69.09,69.12,68.365,68.53,2662600,0.0,1.0
2013-02-08,68.6,69.25,68.45,69.0,1994400,0.0,1.0
2013-02-11,68.88,69.05,68.51,68.73,1839900,0.0,1.0
2013-02-12,68.79,69.3,68.64,68.68,2868800,0.0,1.0
2013-02-13,68.84,69.03,67.99,68.15,2618900,0.0,1.0
2013-02-14,68.31,69.04,67.9,68.17,3087000,0.0,1.0
2013-02-15,68.3,68.42,68.02,68.17,2275400,0.0,1.0
2013-02-19,68.2,68.375,68.01,68.32,2039000,0.0,1.0
2013-02-20,68.2,68.25,67.53,67.54,2232400,0.0,1.0
