date,open,high,low,close,volume,dividend,split
2012-11-01,15.25,15.29,15.01,15.05,3936300,0.0,1.0
2012-11-02,15.12,15.19,14.62,14.69,4903000,0.0,1.0
2012-11-05,14.73,14.98,14.46,14.47,5006100,0.0,1.0
2012-11-06,14.57,14.96,14.38,14.95,4893000,0.0,1.0
2012-11-07,15.04,15.98,14.96,15.47,10353600,0.0,1.0
2012-11-08,15.61,15.61,15.22,15.26,4054400,0.0,1.0
2012-11-09,15.32,15.52,15.18,15.3,3236200,0.0,1.0
2012-11-12,15.58,16.25,15.54,15.85,7071400,0.0,1.0
2012-11-13,15.83,15.89,15.54,15.7,4939400,0.0,1.0
2012-11-14,15.7,15.88,15.27,15.33,4025600,0.0,1.0
2012-11-15,15.39,15.53,15.055,15.25,3393700,0.0,1.0
2012-11-16,15.22,15.32,13.52,13.75,17364800,0.0,1.0
2012-11-19,14.27,14.3,13.7,13.75,10210200,0.0,1.0
2012-11-20,12.82,12.86,11.74,11.96,32773500,0.0,1.0
2012-11-21,11.83,11.96,11.41,11.57,18749300,0.0,1.0
2012-11-23,11.76,11.94,11.54,11.7,7238000,0.0,1.0
2012-11-26,11.75,12.59,11.7,12.48,15741500,0.0,1.0
2012-11-27,12.48,13.405,12.38,12.89,21970900,0.0,1.0
2012-11-28,12.79,13.35,12.66,13.35,10163700,0.0,1.0
2012-11-29,13.27,13.495,12.56,12.95,13866900,0.0,1.0
2012-11-30,12.89,13.13,12.6,13.11,12997400,0.0,1.0
2012-12-03,13.11,13.1595,12.895,12.92,5191700,0.0,1.0
2012-12-04,12.93,12.98,12.15,12.15,8519300,0.0,1.0
2012-12-05,12.2,12.45,12.03,12.08,6329100,0.0,1.0
2012-12-06,12.11,12.44,12.05,12.36,8994700,0.0,1.0
2012-12-07,12.41,12.5,11.91,11.99,7202200,0.17,1.0
2012-12-10,11.75,12.48,11.65,12.39,7808300,0.0,1.0
2012-12-11,12.43,12.48,11.98,12.11,7755900,0.0,1.0
2012-12-12,12.08,12.38,11.87,12.18,16364900,0.0,1.0
2012-12-13,13.87,14.48,13.7,14.12,44057800,0.0,1.0
2012-12-14,12.46,12.59,11.6,12.05,42322400,0.0,1.0
2012-12-17,12.085,12.29,12.06,12.27,7944800,0.0,1.0
2012-12-18,12.32,12.38,12.085,12.12,8354700,0.0,1.0
2012-12-19,12.17,12.22,11.88,11.9,6052200,0.0,1.0
2012-12-20,11.91,12.1,11.8,11.97,5882200,0.0,1.0
2012-12-21,11.84,11.86,11.6,11.67,8453000,0.0,1.0
2012-12-24,11.68,11.72,11.51,11.57,2299100,0.0,1.0
2012-12-26,11.62,11.69,11.41,11.47,5001200,0.0,1.0
2012-12-27,11.5,11.52,11.2,11.51,5437400,0.0,1.0
2012-12-28,11.37,11.44,11.23,11.29,4483400,0.0,1.0
2012-12-31,11.36,11.88,11.29,11.85,8206500,0.0,1.0
2013-01-02,12.14,12.21,11.72,11.81,6563200,0.0,1.0
2013-01-03,11.87,12.21,11.819,11.99,6104600,0.0,1.0
2013-01-04,11.96,12.11,11.89,12.11,6073000,0.0,1.0
2013-01-07,12.06,12.22,12.0238,12.21,5150000,0.0,1.0
2013-01-08,12.15,12.2,11.75,11.82,6884600,0.0,1.0
2013-01-09,11.88,11.94,11.38,11.59,8371900,0.0,1.0
2013-01-10,11.78,12.32,11.7,12.21,9775300,0.0,1.0
2013-01-11,13.1,14.38,13.01,14.21,45788000,0.0,1.0
2013-01-14,14.0,14.67,13.92,14.48,19677200,0.0,1.0
2013-01-15,14.38,14.5,14.2,14.42,11247000,0.0,1.0
2013-01-16,14.32,14.76,14.32,14.67,6923300,0.0,1.0
2013-01-17,14.76,14.96,14.54,14.62,8322800,0.0,1.0
2013-01-18,14.71,14.93,14.57,14.88,6261700,0.0,1.0
2013-01-22,14.88,15.77,14.75,15.39,13799100,0.0,1.0
2013-01-23,15.29,15.73,15.13,15.4,12233300,0.0,1.0
2013-01-24,15.27,15.51,15.26,15.34,7004300,0.0,1.0
2013-01-25,15.44,15.82,15.35,15.78,9185700,0.0,1.0
2013-01-28,16.18,16.36,15.93,16.06,10581100,0.0,1.0
2013-01-29,16.06,16.2,15.87,15.99,5389900,0.0,1.0
2013-01-30,16.01,16.14,15.84,15.9,6743100,0.0,1.0
2013-01-31,15.75,16.33,15.62,16.26,6401400,0.0,1.0
2013-02-01,16.38,16.41,15.96,16.11,4504100,0.0,1.0
2013-02-04,16.04,16.14,15.73,15.76,6202600,0.0,1.0
2013-02-05,15.96,16.17,15.45,15.93,5346100,0.0,1.0
2013-02-06,15.79,15.91,15.615,15.91,4596700,0.0,1.0
2013-02-07,15.92,15.98,15.44,15.58,3929800,0.0,1.0
2013-02-08,15.61,15.65,15.12,15.29,4773500,0.0,1.0
2013-02-11,15.24,15.8,15.21,15.71,3859000,0.0,1.0
2013-02-12,15.62,15.7,15.28,15.43,4486700,0.0,1.0
2013-02-13,15.46,16.2,13.83,15.12,17336000,0.0,1.0
2013-02-14,15.05,16.36,15.0,15.71,14401800,0.0,1.0
2013-02-15,15.93,16.89,15.92,16.87,18403300,0.0,1.0
2013-02-19,17.53,17.76,17.2,17.33,16389900,0.0,1.0
2013-02-20,17.66,17.7,16.89,17.25,7948000,0.0,1.0
2013-02-21,17.17,17.5,16.9,17.41,8612700,0.0,1.0
2013-02-22,17.36,17.41,16.96,17.02,5182000,0.0,1.0
2013-02-25,17.06,17.34,16.84,17.0,8510600,0.0,1.0
2013-02-26,17.0,17.16,16.2,16.46,10842200,0.0,1.0
2013-02-27,16.3,16.64,16.25,16.6,4565300,0.0,1.0
2013-02-28,16.95,16.95,15.75,16.41,12811700,0.0,1.0
2013-03-01,17.38,17.46,16.12,17.16,32701900,0.0,1.0
2013-03-04,17.08,18.13,16.98,17.77,14175700,0.0,1.0
2013-03-05,18.01,18.45,17.69,18.4,12122100,0.0,1.0
2013-03-06,19.29,19.5,17.79,18.75,26687200,0.0,1.0
2013-03-07,18.84,19.33,18.56,19.26,10549500,0.0,1.0
2013-03-08,19.43,20.61,19.205,20.17,22784100,0.0,1.0
2013-03-11,20.28,20.45,19.99,20.08,20020200,0.0,1.0
2013-03-12,20.26,20.6,20.06,20.29,15193900,0.0,1.0
2013-03-13,20.34,21.26,20.3,20.96,11650100,0.0,1.0
2013-03-14,20.99,21.55,20.92,21.5,9247000,0.0,1.0
2013-03-15,21.61,21.8,21.14,21.45,12084900,0.0,1.0
2013-03-18,21.22,22.25,21.22,22.13,14993500,0.0,1.0
2013-03-19,21.9,22.35,21.76,22.25,11293400,0.17,1.0
2013-03-20,22.57,23.46,22.5199,23.07,16460900,0.0,1.0
2013-03-21,22.94,23.35,22.36,22.46,15834400,0.0,1.0
2013-03-22,22.58,22.98,21.833,22.78,15684100,0.0,1.0
2013-03-25,22.9,23.46,22.62,23.2,9797900,0.0,1.0
2013-03-26,23.1,23.24,22.27,22.7,9421100,0.0,1.0
2013-03-27,22.3,22.73,21.77,22.15,10647800,0.0,1.0
2013-03-28,22.18,22.53,22.0,22.15,8861600,0.0,1.0
2013-04-01,22.13,22.46,21.64,21.68,6090200,0.0,1.0
2013-04-02,21.75,22.2,21.57,21.64,7679200,0.0,1.0
2013-04-03,21.73,22.08,21.474,21.65,7599400,0.0,1.0
2013-04-04,21.72,25.2999,21.71,25.13,55397700,0.0,1.0
2013-04-05,24.85,25.46,24.31,25.45,25427300,0.0,1.0
2013-04-08,25.5,26.29,24.7499,25.96,31696800,0.0,1.0
2013-04-09,25.66,26.09,25.31,25.74,12262700,0.0,1.0
2013-04-10,25.76,25.76,24.4,24.82,14277700,0.0,1.0
2013-04-11,24.6,24.9,23.98,24.11,11820900,0.0,1.0
2013-04-12,24.07,24.23,23.42,24.09,14928700,0.0,1.0
2013-04-15,23.91,24.27,22.55,22.94,11306700,0.0,1.0
2013-04-16,23.03,23.73,22.92,23.66,7348600,0.0,1.0
2013-04-17,23.4,23.67,23.06,23.38,6153700,0.0,1.0
2013-04-18,23.5,23.71,22.78,22.97,6092400,0.0,1.0
2013-04-19,23.18,23.58,22.8,23.25,5041400,0.0,1.0
2013-04-22,23.14,23.94,22.87,23.68,5293600,0.0,1.0
2013-04-23,23.73,24.34,23.62,24.13,6209300,0.0,1.0
2013-04-24,24.15,24.38,23.53,23.77,4495800,0.0,1.0
2013-04-25,23.78,24.37,23.7,24.14,5284800,0.0,1.0
2013-04-26,24.04,24.21,23.4,23.5,4644100,0.0,1.0
2013-04-29,23.58,24.2,23.3,24.2,5288200,0.0,1.0
2013-04-30,25.71,26.92,25.65,25.99,23284900,0.0,1.0
2013-05-01,25.69,26.44,25.44,25.9,7446000,0.0,1.0
2013-05-02,25.9,26.37,25.83,26.26,4392600,0.0,1.0
2013-05-03,26.45,26.62,25.95,26.52,5107800,0.0,1.0
2013-05-06,26.47,26.59,25.9,26.34,4664300,0.0,1.0
2013-05-07,26.37,26.45,26.0,26.12,3659500,0.0,1.0
2013-05-08,26.01,26.415,25.39,25.51,5985000,0.0,1.0
2013-05-09,25.49,26.14,25.45,25.6,4496200,0.0,1.0
2013-05-10,25.65,25.69,24.98,25.37,4185100,0.0,1.0
2013-05-13,25.47,25.54,25.11,25.31,3421600,0.0,1.0
2013-05-14,25.33,27.15,25.3,26.74,7446300,0.0,1.0
2013-05-15,26.49,26.65,25.88,26.4,5577000,0.0,1.0
2013-05-16,26.15,26.27,25.6988,25.9,3623000,0.0,1.0
2013-05-17,25.89,26.965,25.87,26.9,5906800,0.0,1.0
2013-05-20,26.89,27.37,26.4701,26.81,7881000,0.0,1.0
2013-05-21,26.09,26.99,25.17,25.64,20917600,0.0,1.0
2013-05-22,25.64,26.43,25.27,25.65,9695500,0.0,1.0
2013-05-23,25.4,26.34,25.3,26.29,5321400,0.0,1.0
2013-05-24,26.12,26.34,25.65,26.03,4140300,0.0,1.0
2013-05-28,26.27,26.78,26.2199,26.73,7288500,0.0,1.0
2013-05-29,26.49,27.1,26.36,27.04,7166200,0.0,1.0
2013-05-30,27.15,28.17,27.15,27.74,10796800,0.0,1.0
2013-05-31,27.59,28.26,27.5,27.55,10217700,0.0,1.0
2013-06-03,28.23,28.37,26.85,27.36,10415800,0.0,1.0
2013-06-04,27.22,28.04,27.135,27.4,6992200,0.0,1.0
2013-06-05,27.19,27.92,27.03,27.09,8352400,0.0,1.0
2013-06-06,27.02,27.71,26.82,27.68,4857500,0.0,1.0
2013-06-07,27.65,27.75,27.12,27.36,3495400,0.17,1.0
2013-06-10,27.38,28.22,27.29,28.04,4847100,0.0,1.0
2013-06-11,27.59,28.07,27.42,27.89,6242100,0.0,1.0
2013-06-12,27.92,27.93,26.76,26.88,5497500,0.0,1.0
2013-06-13,26.79,27.59,26.78,27.56,6204100,0.0,1.0
2013-06-14,27.58,27.9,26.63,26.87,5823500,0.0,1.0
2013-06-17,27.02,27.48,26.97,27.41,4270000,0.0,1.0
2013-06-18,27.39,28.2,26.9,28.06,5072800,0.0,1.0
2013-06-19,27.91,28.1,27.63,27.66,3872600,0.0,1.0
2013-06-20,27.2,27.4,26.27,26.59,4403400,0.0,1.0
2013-06-21,26.68,27.17,26.45,26.77,6840100,0.0,1.0
2013-06-24,26.36,26.56,25.78,26.32,3326400,0.0,1.0
2013-06-25,26.61,26.965,26.32,26.74,5151400,0.0,1.0
2013-06-26,26.9,27.29,26.51,27.28,3270100,0.0,1.0
2013-06-27,27.4,27.92,27.3609,27.84,3220900,0.0,1.0
