date,open,high,low,close,volume,dividend,split
2012-11-01,75.49,76.56,75.0268,76.28,725400,0.0,1.0
2012-11-02,76.73,76.83,75.58,75.67,813200,0.0,1.0
2012-11-05,75.44,76.79,75.4,76.59,775600,0.0,1.0
2012-11-06,76.86,78.51,76.75,78.47,1720600,0.0,1.0
2012-11-07,75.75,77.21,74.7,75.53,1607600,0.0,1.0
2012-11-08,75.52,75.54,74.81,75.08,1732800,0.0,1.0
2012-11-09,75.0,75.99,74.92,75.23,741000,0.0,1.0
2012-11-12,75.53,75.53,74.26,74.63,1116400,0.0,1.0
2012-11-13,74.41,75.6,74.41,74.88,847300,0.0,1.0
2012-11-14,75.19,75.36,74.18,74.63,958800,0.0,1.0
2012-11-15,74.73,75.55,74.65,75.45,1180100,0.0,1.0
2012-11-16,75.51,76.28,75.341,75.59,1321200,0.0,1.0
2012-11-19,76.17,76.67,75.61,75.79,1270500,0.0,1.0
2012-11-20,75.82,76.28,75.39,76.18,969800,0.0,1.0
2012-11-21,76.27,77.03,76.055,76.82,1215000,0.0,1.0
2012-11-23,77.0,77.73,76.75,77.73,464500,0.0,1.0
2012-11-26,77.33,77.96,77.04,77.76,1460400,0.0,1.0
2012-11-27,77.36,77.89,76.98,77.15,1162800,0.0,1.0
2012-11-28,77.02,77.73,76.34,77.61,1131200,0.0,1.0
2012-11-29,77.84,78.22,76.85,76.97,1109400,0.0,1.0
2012-11-30,77.1,77.15,76.31,76.67,1668400,0.0,1.0
2012-12-03,76.72,76.72,76.03,76.24,902100,0.0,1.0
2012-12-04,76.33,77.12,76.22,76.97,871800,0.0,1.0
2012-12-05,76.98,77.78,76.735,77.39,1136300,0.0,1.0
2012-12-06,76.9,77.22,76.321,77.1,864600,0.495,1.0
2012-12-07,77.32,77.7,76.84,77.63,775100,0.0,1.0
2012-12-10,77.4,77.825,77.13,77.48,1107900,0.0,1.0
2012-12-11,77.65,78.47,77.5,78.22,1363000,0.0,1.0
2012-12-12,78.43,79.0997,78.245,78.61,1330400,0.0,1.0
2012-12-13,78.46,79.09,78.31,78.47,1099400,0.0,1.0
2012-12-14,78.15,78.645,77.6,77.72,1211900,0.0,1.0
2012-12-17,77.82,78.74,77.69,78.73,926200,0.0,1.0
2012-12-18,78.86,78.92,78.38,78.84,1163100,0.0,1.0
2012-12-19,78.93,79.34,78.52,78.53,902000,0.0,1.0
2012-12-20,78.65,79.17,78.572,79.13,1031700,0.0,1.0
2012-12-21,78.78,79.05,78.32,78.86,1621500,0.0,1.0
2012-12-24,78.64,79.012,78.26,78.56,240500,0.0,1.0
2012-12-26,78.63,78.75,77.57,78.02,539600,0.0,1.0
2012-12-27,78.07,78.48,77.54,78.28,520400,0.0,1.0
2012-12-28,77.99,78.03,77.25,77.34,566800,0.0,1.0
2012-12-31,77.41,78.23,76.76,78.19,758900,0.0,1.0
2013-01-02,79.26,79.45,78.73,79.45,1011300,0.0,1.0
2013-01-03,79.9,80.75,79.66,80.39,1174200,0.0,1.0
2013-01-04,80.59,80.599,80.17,80.35,884400,0.0,1.0
2013-01-07,80.16,80.99,80.15,80.62,813100,0.0,1.0
2013-01-08,80.65,81.35,79.87,81.34,1173200,0.0,1.0
2013-01-09,81.5,81.94,81.09,81.55,825200,0.0,1.0
2013-01-10,81.84,81.88,81.08,81.68,747600,0.0,1.0
2013-01-11,81.95,81.95,81.24,81.76,862600,0.0,1.0
2013-01-14,81.84,82.31,81.68,82.3,1248700,0.0,1.0
2013-01-15,81.94,82.82,81.235,82.7,1159100,0.0,1.0
2013-01-16,82.67,83.11,82.44,83.0,1116900,0.0,1.0
2013-01-17,83.22,83.3,82.84,82.86,1234900,0.0,1.0
2013-01-18,83.43,83.96,82.87,83.94,1153000,0.0,1.0
