date,open,high,low,close,volume,dividend,split
2012-11-01,127.85,132.56,127.02,132.54,890700,0.0,1.0
2012-11-02,133.04,133.66,131.95,131.95,1014300,0.0,1.0
2012-11-05,131.51,132.08,129.94,131.05,572800,0.0,1.0
2012-11-06,131.42,133.06,131.276,132.17,470800,0.0,1.0
2012-11-07,128.46,131.36,127.93,129.28,718300,0.0,1.0
2012-11-08,129.28,131.23,128.0901,128.1,645500,0.0,1.0
2012-11-09,127.86,129.86,126.676,128.9,759300,0.0,1.0
2012-11-12,129.5,129.78,128.69,129.49,572900,0.0,1.0
2012-11-13,128.68,131.49,127.99,129.86,612500,0.0,1.0
2012-11-14,130.18,131.0,127.11,127.45,640200,0.0,1.0
2012-11-15,127.63,128.915,126.58,127.71,792700,0.0,1.0
2012-11-16,128.67,130.0,126.1,128.12,815200,0.0,1.0
2012-11-19,129.48,130.58,128.64,130.58,986900,0.0,1.0
2012-11-20,130.11,131.27,128.79,130.7,598600,0.0,1.0
2012-11-21,130.82,131.63,130.3,131.61,349900,0.0,1.0
2012-11-23,132.4,133.18,131.761,133.18,150400,0.0,1.0
2012-11-26,132.1,132.918,131.06,132.05,496300,0.0,1.0
2012-11-27,131.66,132.21,131.14,131.65,560900,0.0,1.0
2012-11-28,130.85,131.9,130.1,131.53,583000,0.0,1.0
2012-11-29,132.44,133.11,131.741,132.62,316300,0.0,1.0
2012-11-30,132.73,132.73,131.71,132.02,705800,0.0,1.0
2012-12-03,132.96,132.96,131.78,132.07,727300,0.0,1.0
2012-12-04,129.07,129.63,128.06,128.72,488900,3.0,1.0
2012-12-05,128.92,129.98,126.8,127.59,785900,0.0,1.0
2012-12-06,127.63,127.78,126.21,127.31,720300,0.0,1.0
2012-12-07,127.83,128.462,126.62,127.68,402300,0.0,1.0
2012-12-10,127.47,127.8997,126.85,127.41,640800,0.0,1.0
2012-12-11,127.14,127.94,126.71,127.39,677300,0.0,1.0
2012-12-12,127.39,128.02,126.33,126.62,699500,0.29,1.0
2012-12-13,126.58,127.27,126.14,126.82,577700,0.0,1.0
2012-12-14,126.73,128.0,126.39,126.99,792500,0.0,1.0
2012-12-17,127.7,129.02,126.59,128.82,684800,0.0,1.0
2012-12-18,129.21,129.21,128.21,128.47,960100,0.0,1.0
2012-12-19,128.78,130.39,128.29,128.81,568200,0.0,1.0
