date,open,high,low,close,volume,dividend,split
2012-11-01,139.3,140.54,138.21,139.03,1165300,0.0,1.0
2012-11-02,138.97,139.38,137.57,138.41,1325200,0.0,1.0
2012-11-05,138.02,140.2,137.9,139.6,744500,0.0,1.0
2012-11-06,140.03,141.62,139.34,140.3,990300,0.0,1.0
2012-11-07,139.62,139.86,138.264,138.35,1037600,0.0,1.0
2012-11-08,137.77,138.12,135.48,135.61,1522200,0.0,1.0
2012-11-09,135.19,138.81,134.0,138.05,1377500,0.0,1.0
2012-11-12,138.5,140.95,138.22,139.48,1132200,0.0,1.0
2012-11-13,139.36,140.59,137.72,138.02,1170800,0.0,1.0
2012-11-14,138.0,138.44,135.99,136.3,1098200,0.0,1.0
2012-11-15,136.44,138.37,135.58,137.93,1312400,0.0,1.0
2012-11-16,137.6,142.0,137.6,141.2359,2349100,0.0,1.0
2012-11-19,141.85,143.58,139.84,143.53,1433500,0.0,1.0
2012-11-20,143.1,148.19,142.41,148.15,1753000,0.0,1.0
2012-11-21,148.69,149.97,147.29,147.36,1409000,0.0,1.0
2012-11-23,148.44,149.87,147.32,149.87,374100,0.0,1.0
2012-11-26,148.7,149.41,147.426,149.11,853100,0.0,1.0
2012-11-27,147.98,149.95,147.59,147.88,696300,0.0,1.0
2012-11-28,147.74,149.7,145.579,149.46,652800,0.0,1.0
2012-11-29,150.0,151.499,149.5,150.3,740500,0.0,1.0
2012-11-30,150.79,151.0,148.9301,149.09,895600,0.0,1.0
2012-12-03,150.04,152.03,149.675,150.55,851000,0.0,1.0
2012-12-04,150.57,152.44,150.1,151.86,1237700,0.0,1.0
2012-12-05,152.46,152.66,150.27,150.55,736800,0.0,1.0
2012-12-06,150.74,151.92,150.55,151.73,610000,0.0,1.0
2012-12-07,151.46,152.0,150.4525,151.285,765000,0.0,1.0
2012-12-10,151.6,153.62,150.52,153.14,731100,0.0,1.0
2012-12-11,153.51,155.3,153.51,154.22,1252700,0.0,1.0
2012-12-12,154.34,154.5,151.97,152.35,873100,0.0,1.0
2012-12-13,152.61,153.74,150.79,151.56,672200,0.0,1.0
2012-12-14,151.09,152.54,150.1875,151.25,730700,0.0,1.0
2012-12-17,151.86,153.035,150.745,152.65,815200,0.0,1.0
2012-12-18,153.37,154.0,151.82,153.42,818300,0.0,1.0
2012-12-19,153.28,153.61,150.3,151.31,1275500,0.0,1.0
2012-12-20,151.22,151.95,150.57,151.21,729700,0.0,1.0
2012-12-21,150.29,151.165,148.56,149.91,1992300,0.0,1.0
2012-12-24,149.14,149.9,148.72,149.07,358000,0.0,1.0
2012-12-26,149.35,149.35,147.03,148.43,507800,0.0,1.0
2012-12-27,148.39,149.5,146.33,147.76,1072700,0.0,1.0
2012-12-28,146.98,148.06,146.05,146.05,716300,0.0,1.0
2012-12-31,145.84,147.0,145.04,146.37,927900,0.0,1.0
2013-01-02,148.72,150.98,148.46,150.0,1581000,0.0,1.0
2013-01-03,142.25,149.0,141.73,147.86,5816600,0.0,1.0
2013-01-04,148.02,148.45,145.77,145.93,1533100,0.0,1.0
2013-01-07,145.29,146.65,145.08,146.42,1121600,0.0,1.0
2013-01-08,145.53,146.52,144.085,144.39,1760100,0.0,1.0
2013-01-09,144.2,146.88,143.7,144.08,2098900,0.0,1.0
2013-01-10,144.41,144.8,141.48,143.91,2119600,0.0,1.0
2013-01-11,143.99,145.02,141.034,143.79,1793500,0.0,1.0
2013-01-14,144.11,144.49,143.155,143.88,1164400,0.0,1.0
2013-01-15,141.58,143.06,139.72,143.01,1391800,0.0,1.0
2013-01-16,142.82,143.3,141.76,142.82,1139900,0.0,1.0
2013-01-17,143.0,144.18,142.53,143.72,1499700,0.0,1.0
2013-01-18,143.57,144.68,143.16,144.28,1838400,0.0,1.0
2013-01-22,144.0,145.0,143.18,144.86,1395800,0.0,1.0
2013-01-23,144.66,145.37,143.33,143.55,1110200,0.0,1.0
2013-01-24,144.98,146.57,144.81,146.41,2116100,0.0,1.0
2013-01-25,146.94,147.49,144.55,146.2,1183000,0.0,1.0
2013-01-28,149.64,156.94,147.77,149.99,2993000,0.0,1.0
2013-01-29,149.66,154.96,149.63,153.92,2203500,0.0,1.0
2013-01-30,153.54,156.08,152.92,155.08,1719000,0.0,1.0
2013-01-31,154.5,156.87,154.04,156.08,1337000,0.0,1.0
2013-02-01,157.28,158.39,155.16,157.3,1162000,0.0,1.0
2013-02-04,156.15,157.27,155.1,155.73,1205600,0.0,1.0
2013-02-05,156.31,157.66,155.55,157.36,830100,0.0,1.0
2013-02-06,165.55,167.35,160.61,160.98,2857700,0.0,1.0
2013-02-07,161.54,162.03,158.75,160.3,1193200,0.0,1.0
2013-02-08,163.57,165.8,162.325,164.44,1164000,0.0,1.0
2013-02-11,164.51,165.28,163.055,163.96,1036200,0.0,1.0
2013-02-12,163.98,165.94,163.32,165.45,1079900,0.0,1.0
2013-02-13,163.39,167.29,163.34,165.91,1378100,0.0,1.0
2013-02-14,165.67,165.77,163.45,164.59,1203600,0.0,1.0
2013-02-15,165.34,169.07,164.4,168.74,1934000,0.0,1.0
2013-02-19,168.67,168.9,165.79,166.81,1127700,0.0,1.0
2013-02-20,166.3,168.55,164.72,164.77,1540500,0.0,1.0
2013-02-21,164.8,165.47,161.97,162.6,1162500,0.0,1.0
2013-02-22,163.14,164.67,162.69,164.4,746700,0.0,1.0
2013-02-25,164.09,166.95,161.25,161.36,1215800,0.0,1.0
2013-02-26,160.65,163.52,160.4201,161.99,1381100,0.0,1.0
2013-02-27,163.0,167.23,162.74,166.06,1034600,0.0,1.0
2013-02-28,165.6,168.6861,164.62,166.34,1212200,0.0,1.0
2013-03-01,165.3,171.11,164.45,168.7,1710900,0.0,1.0
2013-03-04,167.64,170.02,165.98,169.96,1230100,0.0,1.0
2013-03-05,170.08,173.72,170.05,171.31,1371200,0.0,1.0
2013-03-06,171.54,172.58,169.99,172.45,1074000,0.0,1.0
2013-03-07,172.44,173.0,171.0,171.47,968900,0.0,1.0
2013-03-08,172.41,172.985,171.22,172.38,1165600,0.0,1.0
2013-03-11,171.85,174.21,171.42,174.14,1092200,0.0,1.0
2013-03-12,174.44,176.47,173.8101,176.05,1944700,0.0,1.0
2013-03-13,175.62,176.34,174.23,176.15,1191500,0.0,1.0
2013-03-14,176.2,177.91,175.91,176.78,1041800,0.0,1.0
2013-03-15,175.96,178.18,175.76,176.78,2049500,0.0,1.0
2013-03-18,174.81,176.74,174.53,175.52,871000,0.0,1.0
2013-03-19,175.78,177.55,174.72,175.61,1236400,0.0,1.0
2013-03-20,177.06,178.41,176.64,178.1,830800,0.0,1.0
2013-03-21,177.28,178.33,176.18,176.55,1047800,0.0,1.0
2013-03-22,176.88,178.9,176.88,178.0,929300,0.0,1.0
2013-03-25,178.48,178.48,175.63,176.22,1136600,0.0,1.0
2013-03-26,177.42,178.13,175.98,177.09,1232700,0.0,1.0
2013-03-27,176.52,184.17,176.01,182.68,2458200,0.0,1.0
2013-03-28,186.6,192.92,186.36,192.618,3995000,0.0,1.0
2013-04-01,193.66,196.78,191.8,192.77,2067300,0.0,1.0
2013-04-02,194.94,199.5399,194.23,198.19,2039300,0.0,1.0
2013-04-03,198.38,199.0456,194.16,195.74,1824400,0.0,1.0
2013-04-04,197.76,198.87,194.48,195.68,1199200,0.0,1.0
2013-04-05,193.05,193.9899,191.8,193.31,1317900,0.0,1.0
2013-04-08,193.6,194.8799,192.33,194.13,709200,0.0,1.0
2013-04-09,194.51,195.43,192.2,193.17,746400,0.0,1.0
2013-04-10,193.69,198.44,193.22,198.34,887300,0.0,1.0
2013-04-11,198.94,201.0,197.18,200.26,884900,0.0,1.0
2013-04-12,202.59,209.0,201.9,207.01,1833700,0.0,1.0
2013-04-15,206.88,207.5,198.5094,198.75,1409100,0.0,1.0
2013-04-16,201.51,202.48,197.74,202.125,1308100,0.0,1.0
2013-04-17,200.11,204.75,199.0,204.08,1310000,0.0,1.0
2013-04-18,204.18,204.18,197.92,198.66,978800,0.0,1.0
2013-04-19,197.65,203.72,197.5,203.27,942600,0.0,1.0
2013-04-22,204.86,216.67,204.36,215.2,2678300,0.0,1.0
2013-04-23,216.88,217.8,211.23,212.76,1971700,0.0,1.0
2013-04-24,211.93,212.31,205.91,206.18,1584900,0.0,1.0
2013-04-25,212.23,217.67,212.1001,216.0,1984800,0.0,1.0
2013-04-26,215.89,218.455,212.53,213.59,1083400,0.0,1.0
2013-04-29,219.71,225.0,219.35,223.61,2066300,0.0,1.0
2013-04-30,223.94,226.18,218.21,218.93,1622000,0.0,1.0
2013-05-01,215.39,218.39,214.0,214.33,1236200,0.0,1.0
2013-05-02,214.68,219.08,213.26,217.3,1124500,0.0,1.0
2013-05-03,220.39,222.55,217.85,218.85,922300,0.0,1.0
2013-05-06,221.72,222.0,215.39,215.73,942200,0.0,1.0
2013-05-07,214.81,216.62,211.63,212.55,1119600,0.0,1.0
2013-05-08,212.03,215.6199,209.57,210.71,1141500,0.0,1.0
2013-05-09,210.4,212.04,208.5001,209.28,1027600,0.0,1.0
2013-05-10,210.76,213.38,209.05,213.22,1108500,0.0,1.0
2013-05-13,216.5,222.93,215.94,222.74,1593200,0.0,1.0
2013-05-14,223.4,231.99,222.75,229.84,1972300,0.0,1.0
2013-05-15,228.73,230.98,224.5801,227.13,933800,0.0,1.0
2013-05-16,226.68,228.84,223.107,227.99,1592700,0.0,1.0
2013-05-17,228.36,228.86,224.6,226.85,1243900,0.0,1.0
2013-05-20,226.05,234.46,224.33,225.18,1281700,0.0,1.0
2013-05-21,226.17,234.2,226.0,231.33,1364500,0.0,1.0
2013-05-22,232.27,238.83,230.06,233.07,1404900,0.0,1.0
2013-05-23,230.25,235.1,226.011,232.62,1231200,0.0,1.0
2013-05-24,230.87,235.4,229.35,235.24,825900,0.0,1.0
2013-05-28,237.23,242.64,236.28,240.86,1451800,0.0,1.0
2013-05-29,239.42,242.18,238.44,238.99,1143900,0.0,1.0
2013-05-30,235.82,241.12,233.12,238.89,1268000,0.0,1.0
2013-05-31,237.18,240.49,237.01,237.49,1337300,0.0,1.0
2013-06-03,234.15,234.7,220.08,227.39,2464200,0.0,1.0
2013-06-04,224.22,225.0,218.38,219.74,2515100,0.0,1.0
2013-06-05,219.0,223.6,209.87,214.1,2335600,0.0,1.0
2013-06-06,214.35,221.35,212.87,221.19,1612200,0.0,1.0
2013-06-07,223.57,228.1,223.3,225.02,1722400,0.0,1.0
2013-06-10,225.81,226.6,220.47,222.19,1020900,0.0,1.0
2013-06-11,219.62,225.0,218.31,223.03,1331800,0.0,1.0
2013-06-12,217.7,218.9,204.12,206.55,2778600,0.0,1.0
2013-06-13,205.86,210.87,204.56,209.58,2011600,0.0,1.0
2013-06-14,212.0,217.65,208.421,211.99,1569400,0.0,1.0
2013-06-17,214.01,216.0,206.62,207.75,1650000,0.0,1.0
2013-06-18,210.47,211.62,206.43,210.8,1440700,0.0,1.0
2013-06-19,210.47,211.26,203.59,203.8,1213600,0.0,1.0
2013-06-20,201.6,202.97,197.7,199.58,1937200,0.0,1.0
2013-06-21,201.01,202.9799,194.66,199.074,3518200,0.0,1.0
2013-06-24,197.8,203.6525,195.1,200.46,1820100,0.0,1.0
2013-06-25,201.75,202.31,196.691,199.15,1199500,0.0,1.0
2013-06-26,201.57,209.87,200.26,208.43,1477600,0.0,1.0
2013-06-27,209.8,212.98,207.82,208.81,1400700,0.0,1.0
2013-06-28,221.68,224.63,215.13,215.2,3110400,0.0,1.0
2013-07-01,220.25,223.8,217.725,217.875,1523000,0.0,1.0
2013-07-02,217.49,219.28,215.22,216.65,1172500,0.0,1.0
2013-07-03,214.87,218.67,214.53,217.5,362300,0.0,1.0
2013-07-05,220.27,223.94,220.12,221.65,806100,0.0,1.0
2013-07-08,223.38,225.22,217.5,218.07,943600,0.0,1.0
2013-07-09,219.2,220.92,215.81,219.258,829100,0.0,1.0
2013-07-10,218.87,221.51,216.38,219.7,857700,0.0,1.0
2013-07-11,222.61,226.0,220.83,223.3,1260900,0.0,1.0
2013-07-12,222.52,226.54,219.19,226.34,1360600,0.0,1.0
2013-07-15,228.01,228.01,222.5,224.33,810500,0.0,1.0
2013-07-16,223.94,225.53,220.031,222.85,1063500,0.0,1.0
2013-07-17,224.06,227.12,223.32,225.1,1025100,0.0,1.0
2013-07-18,225.33,226.99,222.624,223.12,813700,0.0,1.0
2013-07-19,224.33,230.62,220.1,230.27,1592600,0.0,1.0
2013-07-22,234.69,234.74,222.09,231.67,2486000,0.0,1.0
2013-07-23,231.55,231.83,221.91,222.655,1723300,0.0,1.0
2013-07-24,222.73,226.97,221.178,226.61,1455800,0.0,1.0
2013-07-25,233.53,233.97,222.2,227.48,2392700,0.0,1.0
2013-07-26,226.4,227.76,218.16,223.23,1403400,0.0,1.0
2013-07-29,221.86,224.11,215.96,215.96,1429100,0.0,1.0
2013-07-30,216.98,217.99,214.2101,216.93,1798000,0.0,1.0
2013-07-31,217.49,221.7,216.06,218.13,1202900,0.0,1.0
2013-08-01,218.82,221.58,218.03,220.199,1119600,0.0,1.0
2013-08-02,220.38,227.8,220.3,227.76,1529600,0.0,1.0
2013-08-05,228.0,229.0,225.1,227.57,969800,0.0,1.0
2013-08-06,227.21,227.36,221.7,221.82,771200,0.0,1.0
2013-08-07,220.64,223.0,217.13,217.76,1114500,0.0,1.0
2013-08-08,219.7,219.9999,215.87,216.89,807800,0.0,1.0
2013-08-09,214.75,217.1,212.01,212.35,1028900,0.0,1.0
2013-08-12,210.79,210.79,203.55,206.89,1958700,0.0,1.0
2013-08-13,206.88,213.49,206.15,211.25,1775900,0.0,1.0
2013-08-14,210.93,214.16,210.652,211.52,1054800,0.0,1.0
2013-08-15,209.41,209.86,205.73,206.53,814900,0.0,1.0
2013-08-16,205.61,208.92,205.28,206.89,1252200,0.0,1.0
2013-08-19,207.15,209.95,206.84,206.87,639800,0.0,1.0
2013-08-20,206.81,209.246,206.24,206.55,736400,0.0,1.0
2013-08-21,205.61,210.98,203.55,208.08,999500,0.0,1.0
2013-08-22,208.35,212.77,208.01,211.48,612400,0.0,1.0
2013-08-23,211.49,212.25,210.02,211.38,608700,0.0,1.0
2013-08-26,212.02,214.923,210.985,212.34,803100,0.0,1.0
2013-08-27,210.09,211.71,207.39,207.65,725900,0.0,1.0
2013-08-28,208.27,211.29,206.6,209.71,809600,0.0,1.0
