date,open,high,low,close,volume,dividend,split
2012-11-01,574.9,586.84,568.62,586.1,1275400,0.0,1.0
2012-11-02,650.06,657.6,634.0401,634.74,2513000,0.0,1.0
2012-11-05,634.8,635.97,627.3401,634.79,807600,0.0,1.0
2012-11-06,636.0,645.88,634.0,644.8971,756500,0.0,1.0
2012-11-07,639.3,643.0,628.13,634.61,785000,0.0,1.0
2012-11-08,632.35,640.651,627.11,627.87,676400,0.0,1.0
2012-11-09,618.5,632.5899,616.038,625.87,1250800,0.0,1.0
2012-11-12,629.1,635.75,626.0,633.43,578700,0.0,1.0
2012-11-13,629.36,640.93,628.4,630.31,555300,0.0,1.0
2012-11-14,634.03,635.21,615.77,616.4,730400,0.0,1.0
2012-11-15,614.99,622.5,611.553,617.52,649200,0.0,1.0
2012-11-16,616.94,623.689,611.3,614.7764,883300,0.0,1.0
2012-11-19,624.54,629.0,620.79,625.4985,510000,0.0,1.0
2012-11-20,627.52,639.0,624.69,635.58,576900,0.0,1.0
2012-11-21,636.23,643.49,634.8491,639.58,364900,0.0,1.0
2012-11-23,642.03,643.09,636.7801,641.91,196700,0.0,1.0
2012-11-26,640.87,643.4999,636.56,639.99,287400,0.0,1.0
2012-11-27,638.86,644.92,633.85,636.75,444600,0.0,1.0
2012-11-28,635.92,659.89,632.78,658.05,817200,0.0,1.0
2012-11-29,661.25,672.436,660.0,665.74,1087600,0.0,1.0
2012-11-30,663.24,666.3,656.66,663.19,645600,0.0,1.0
2012-12-03,670.0,679.23,665.88,667.8,879000,0.0,1.0
2012-12-04,665.5,668.981,659.51,663.81,470200,0.0,1.0
2012-12-05,664.38,667.6,654.13,664.23,449800,0.0,1.0
2012-12-06,664.0,670.36,658.01,664.14,447400,0.0,1.0
2012-12-07,667.0,672.95,656.65,659.1,542600,0.0,1.0
2012-12-10,645.89,649.9899,623.1,625.96,1221800,0.0,1.0
2012-12-11,631.01,634.3999,621.09,623.22,845800,0.0,1.0
2012-12-12,626.5,631.9799,623.42,624.73,690100,0.0,1.0
2012-12-13,625.51,628.32,607.551,613.08,749400,0.0,1.0
2012-12-14,610.32,617.931,609.43,613.54,393400,0.0,1.0
2012-12-17,613.03,617.9,606.45,616.87,538800,0.0,1.0
2012-12-18,620.3,634.72,618.52,632.74,664900,0.0,1.0
2012-12-19,632.74,638.64,626.0037,627.23,597100,0.0,1.0
2012-12-20,628.98,633.8473,622.86,630.83,309200,0.0,1.0
2012-12-21,622.63,625.64,612.12,618.88,936900,0.0,1.0
2012-12-24,614.36,619.005,612.25,617.34,178000,0.0,1.0
2012-12-26,615.16,617.459,600.39,602.37,489100,0.0,1.0
2012-12-27,604.43,612.34,597.1501,610.03,410900,0.0,1.0
2012-12-28,606.6,614.241,604.1,608.88,362900,0.0,1.0
2012-12-31,607.15,623.0,601.5,620.39,584600,0.0,1.0
2013-01-02,637.83,641.93,627.6701,638.4,681000,0.0,1.0
2013-01-03,652.59,659.0,645.87,648.73,925600,0.0,1.0
2013-01-04,648.25,649.8699,642.0,648.41,404500,0.0,1.0
2013-01-07,648.0,659.99,644.37,657.38,557200,0.0,1.0
2013-01-08,657.72,662.98,654.3,657.42,455600,0.0,1.0
2013-01-09,655.92,658.23,650.18,651.59,306900,0.0,1.0
2013-01-10,655.24,657.83,645.55,653.62,385600,0.0,1.0
2013-01-11,653.48,657.38,650.3501,655.49,368200,0.0,1.0
2013-01-14,657.77,667.87,657.25,662.92,523700,0.0,1.0
2013-01-15,658.38,665.79,653.5401,663.35,397900,0.0,1.0
2013-01-16,661.1,671.0,658.25,667.84,396500,0.0,1.0
2013-01-17,670.73,675.3,661.34,669.89,547300,0.0,1.0
2013-01-18,669.97,677.08,668.55,672.72,598600,0.0,1.0
2013-01-22,671.5,678.88,668.51,671.27,552300,0.0,1.0
2013-01-23,674.91,675.9875,668.11,672.26,365300,0.0,1.0
2013-01-24,671.84,681.72,670.8666,679.55,630600,0.0,1.0
