date,open,high,low,close,volume,dividend,split
2012-11-01,189.51,190.46,188.84,190.07,811100,0.0,1.0
2012-11-02,190.86,192.31,189.32,189.52,686400,0.0,1.0
2012-11-05,188.82,190.25,187.36,189.5,530000,0.0,1.0
2012-11-06,191.09,191.86,189.51,191.42,963200,0.0,1.0
2012-11-07,188.98,190.6,188.5,190.0,1383400,0.0,1.0
2012-11-08,190.31,191.59,187.1,187.1,570100,0.0,1.0
2012-11-09,186.7,189.02,186.47,186.83,446200,0.0,1.0
2012-11-12,187.25,189.5,186.31,188.53,622300,0.0,1.0
2012-11-13,187.27,190.09,187.245,188.34,739800,0.0,1.0
2012-11-14,188.76,189.19,186.25,186.6,694900,0.0,1.0
2012-11-15,186.5,187.55,185.2,186.96,1046400,0.0,1.0
2012-11-16,188.13,190.16,185.41,186.99,941900,0.0,1.0
2012-11-19,189.46,191.2095,189.15,191.16,928000,0.0,1.0
2012-11-20,190.81,193.8,190.3,193.8,730200,0.0,1.0
2012-11-21,194.73,194.99,192.07,193.75,550100,0.0,1.0
2012-11-23,194.71,195.6,194.079,195.54,167200,0.0,1.0
2012-11-26,194.48,195.215,193.28,194.09,397500,0.0,1.0
2012-11-27,196.35,196.35,192.81,194.82,704100,0.0,1.0
2012-11-28,194.505,198.88,194.0,197.43,906900,0.0,1.0
2012-11-29,196.74,197.54,194.21,195.62,570800,1.5,1.0
2012-11-30,195.45,197.23,194.52,197.04,742700,0.0,1.0
2012-12-03,198.13,199.35,195.09,195.33,530500,0.0,1.0
2012-12-04,195.02,195.75,191.19,191.26,928100,0.0,1.0
2012-12-05,191.2,193.55,190.24,192.44,752500,0.0,1.0
2012-12-06,192.4,193.85,191.69,193.75,468600,0.0,1.0
2012-12-07,194.42,194.85,193.312,194.76,272500,0.0,1.0
2012-12-10,194.78,195.82,194.0,195.72,388900,0.0,1.0
2012-12-11,195.77,199.65,195.77,199.45,704600,0.0,1.0
2012-12-12,200.34,201.73,199.04,200.67,1020700,0.0,1.0
2012-12-13,200.64,201.33,200.14,200.72,545800,0.0,1.0
2012-12-14,198.87,202.09,198.87,201.53,606300,0.0,1.0
2012-12-17,202.31,205.35,200.89,205.29,1126600,0.0,1.0
2012-12-18,205.73,208.6195,203.81,206.67,988900,0.0,1.0
2012-12-19,205.48,208.85,205.48,205.81,959200,0.0,1.0
2012-12-20,207.29,209.43,206.11,209.29,612600,0.0,1.0
2012-12-21,206.02,209.91,205.37,206.75,1182800,0.0,1.0
