date,open,high,low,close,volume,dividend,split
2012-11-01,33.47,33.86,33.44,33.48,11474400,0.0,1.0
2012-11-02,33.66,33.75,33.17,33.18,14852500,0.0,1.0
2012-11-05,33.1,33.21,32.97,33.09,7639500,0.0,1.0
2012-11-06,33.2,33.45,33.04,33.27,7544000,0.0,1.0
2012-11-07,33.05,33.11,32.33,32.62,9236800,0.0,1.0
2012-11-08,32.54,32.61,32.12,32.12,7168200,0.0,1.0
2012-11-09,32.03,32.44,31.99,32.23,6998300,0.0,1.0
2012-11-12,32.19,32.25,31.92,31.94,8011000,0.0,1.0
2012-11-13,31.81,32.2,31.75,31.87,6693800,0.0,1.0
2012-11-14,31.85,31.9,31.38,31.48,11417900,0.0,1.0
2012-11-15,31.38,31.38,30.64,30.81,23036600,0.0,1.0
2012-11-16,30.78,31.83,30.75,31.71,18815600,0.0,1.0
2012-11-19,31.91,32.05,31.78,32.03,8238100,0.0,1.0
2012-11-20,32.05,32.19,31.86,32.15,6498200,0.0,1.0
2012-11-21,32.25,32.43,32.04,32.41,5576100,0.0,1.0
2012-11-23,32.5,32.67,32.45,32.62,3453800,0.0,1.0
2012-11-26,32.51,32.73,32.39,32.73,6785100,0.0,1.0
2012-11-27,32.7,32.82,32.57,32.61,6876300,0.0,1.0
2012-11-28,32.48,32.78,32.1,32.73,6113900,0.0,1.0
2012-11-29,32.86,33.04,32.76,32.82,6014800,0.0,1.0
2012-11-30,32.78,32.8,32.54,32.63,8580300,0.0,1.0
2012-12-03,32.71,32.88,32.4,32.67,9350600,0.0,1.0
2012-12-04,32.74,32.83,32.43,32.7,7260400,0.0,1.0
2012-12-05,32.71,32.945,32.59,32.79,8381800,0.0,1.0
2012-12-06,32.76,32.88,32.54,32.72,5547500,0.0,1.0
2012-12-07,32.5,32.72,32.365,32.56,7278700,0.0,1.0
2012-12-10,32.5,32.86,32.46,32.81,6905400,0.0,1.0
2012-12-11,32.89,33.235,32.79,33.07,7486400,0.0,1.0
2012-12-12,33.38,33.55,33.08,33.21,11161900,0.0,1.0
2012-12-13,33.13,33.2,32.7,32.79,9106600,0.0,1.0
2012-12-14,32.59,32.89,32.56,32.73,7628000,0.0,1.0
2012-12-17,32.72,32.96,32.655,32.8,10174200,0.0,1.0
2012-12-18,32.82,33.1,32.67,33.02,16619000,0.0,1.0
2012-12-19,32.99,33.04,32.53,32.57,8865200,0.0,1.0
2012-12-20,32.53,32.63,32.34,32.57,7304400,0.0,1.0
2012-12-21,32.39,32.64,32.18,32.56,13793800,0.0,1.0
2012-12-24,32.42,32.55,32.32,32.46,2805800,0.0,1.0
2012-12-26,32.48,32.5,32.2,32.35,4105500,0.0,1.0
2012-12-27,32.28,32.35,31.85,32.14,6857400,0.0,1.0
2012-12-28,31.93,32.25,31.87,31.9,6481700,0.0,1.0
2012-12-31,32.34,32.73,32.17,32.59,12461800,0.0,1.0
2013-01-02,32.84,32.84,32.5,32.71,12153200,0.35,1.0
2013-01-03,32.73,33.28,32.615,33.24,10281400,0.0,1.0
2013-01-04,33.33,33.43,33.09,33.35,8631900,0.0,1.0
2013-01-07,33.27,33.54,33.21,33.4,6047800,0.0,1.0
2013-01-08,33.36,33.66,33.35,33.49,9651300,0.0,1.0
2013-01-09,33.5,33.69,33.39,33.68,11742200,0.0,1.0
2013-01-10,33.75,34.11,33.69,34.09,7943400,0.0,1.0
2013-01-11,34.01,34.23,33.95,34.13,7067300,0.0,1.0
2013-01-14,34.13,34.3,34.11,34.22,5599300,0.0,1.0
2013-01-15,34.03,34.37,34.02,34.3,8170000,0.0,1.0
2013-01-16,34.2,34.4,34.18,34.33,6278700,0.0,1.0
2013-01-17,34.42,34.46,34.18,34.27,6719900,0.0,1.0
2013-01-18,34.21,34.48,34.1,34.46,7424500,0.0,1.0
2013-01-22,34.37,34.86,34.32,34.85,9315000,0.0,1.0
2013-01-23,34.75,34.91,34.61,34.9,12752600,0.0,1.0
2013-01-24,34.94,35.965,34.9,35.81,21433100,0.0,1.0
2013-01-25,35.86,36.71,35.85,36.69,20038100,0.0,1.0
2013-01-28,36.18,36.56,36.04,36.41,13034300,0.0,1.0
2013-01-29,36.23,36.66,36.21,36.54,9501400,0.0,1.0
2013-01-30,36.52,36.67,36.35,36.62,10978900,0.0,1.0
2013-01-31,36.49,36.65,35.77,36.14,14268300,0.0,1.0
2013-02-01,36.42,36.97,36.34,36.91,11810800,0.0,1.0
2013-02-04,36.49,36.8,36.38,36.52,8562200,0.0,1.0
2013-02-05,36.67,37.09,36.5,36.51,10766000,0.0,1.0
2013-02-06,36.41,36.74,36.39,36.55,15233200,0.0,1.0
2013-02-07,36.58,36.77,36.28,36.49,8029900,0.0,1.0
2013-02-08,36.5,37.03,36.49,37.03,8462400,0.0,1.0
2013-02-11,36.85,37.08,36.8,36.93,5318800,0.0,1.0
2013-02-12,36.91,36.96,36.52,36.52,6692100,0.0,1.0
2013-02-13,36.49,36.53,36.03,36.12,11953600,0.0,1.0
2013-02-14,36.06,36.7,36.04,36.58,7408500,0.0,1.0
2013-02-15,36.69,36.83,36.48,36.58,7038900,0.0,1.0
2013-02-19,36.58,36.98,36.575,36.94,5517200,0.0,1.0
2013-02-20,36.85,36.99,36.67,36.69,5774300,0.0,1.0
2013-02-21,36.61,36.78,36.51,36.69,7056600,0.0,1.0
2013-02-22,36.71,36.97,36.71,36.9,5027800,0.0,1.0
2013-02-25,36.98,37.09,36.34,36.34,7779200,0.0,1.0
2013-02-26,36.54,36.78,36.32,36.39,6688600,0.0,1.0
2013-02-27,36.42,37.22,36.31,37.1,7366000,0.0,1.0
2013-02-28,37.07,37.15,36.75,36.97,9315100,0.0,1.0
2013-03-01,36.89,37.25,36.785,37.15,9749800,0.0,1.0
2013-03-04,36.43,36.95,36.43,36.94,7199800,0.0,1.0
2013-03-05,37.0,37.6,37.0,37.57,7663900,0.0,1.0
2013-03-06,37.61,37.85,37.49,37.76,7226200,0.0,1.0
2013-03-07,37.78,37.81,37.51,37.53,7642000,0.0,1.0
2013-03-08,37.55,37.65,37.3,37.4,10532000,0.0,1.0
2013-03-11,37.29,37.66,37.26,37.52,6714900,0.0,1.0
2013-03-12,37.53,38.22,37.53,38.22,10267000,0.0,1.0
