date,open,high,low,close,volume,dividend,split
2012-11-01,65.88,67.38,65.52,66.84,1739600,0.0,1.0
2012-11-02,67.49,67.77,66.14,66.35,1083700,0.0,1.0
2012-11-05,66.2,67.58,66.008,67.3,927400,0.0,1.0
2012-11-06,67.2,68.4,66.98,68.1,906500,0.0,1.0
2012-11-07,66.64,66.64,64.78,65.12,1761300,0.0,1.0
2012-11-08,65.46,65.46,62.1,62.11,2230200,0.0,1.0
2012-11-09,62.1,63.81,62.0,63.23,1424500,0.0,1.0
2012-11-12,63.58,63.74,62.44,62.51,1056300,0.0,1.0
2012-11-13,62.15,62.89,62.08,62.15,1028400,0.0,1.0
2012-11-14,62.27,62.68,61.13,61.43,1570100,0.0,1.0
2012-11-15,61.4,62.71,61.26,61.93,1379300,0.0,1.0
2012-11-16,60.53,62.55,60.53,61.75,1665500,0.0,1.0
2012-11-19,62.9,63.88,62.9,63.49,1261800,0.0,1.0
2012-11-20,63.39,64.03,62.95,63.52,964500,0.0,1.0
2012-11-21,63.74,64.62,63.2,63.72,1133700,0.0,1.0
2012-11-23,64.39,65.35,64.0854,65.3,272200,0.0,1.0
2012-11-26,64.57,65.04,64.53,64.78,1406800,0.0,1.0
2012-11-27,64.5,66.22,63.59,64.94,1045000,0.0,1.0
2012-11-28,64.37,65.61,64.26,65.19,1065200,0.0,1.0
2012-11-29,65.76,66.37,65.19,66.35,824700,0.0,1.0
2012-11-30,66.18,66.49,65.47,66.3,1190000,0.0,1.0
2012-12-03,66.49,66.54,66.02,66.3,1827400,0.0,1.0
2012-12-04,66.21,66.92,66.17,66.63,827400,0.0,1.0
2012-12-05,66.7,67.49,66.27,66.46,1065300,0.0,1.0
2012-12-06,66.51,66.68,66.15,66.42,874200,0.0,1.0
2012-12-07,66.9,67.36,66.51,67.25,723800,0.0,1.0
2012-12-10,67.29,67.67,66.94,67.55,663400,0.0,1.0
2012-12-11,67.83,67.88,66.79,67.06,1293500,0.0,1.0
2012-12-12,67.16,68.0,66.805,67.0,1291400,0.0,1.0
2012-12-13,66.98,67.28,66.21,66.47,1516900,0.0,1.0
2012-12-14,66.24,66.98,66.24,66.47,987900,0.0,1.0
2012-12-17,66.84,67.12,66.17,66.46,2019600,0.0,1.0
2012-12-18,66.68,67.72,66.46,67.5,1234700,0.0,1.0
2012-12-19,67.85,68.99,67.834,67.96,1408000,0.0,1.0
2012-12-20,67.94,68.62,67.68,68.56,1286000,0.0,1.0
2012-12-21,67.81,68.74,66.92,68.64,1883500,0.0,1.0
2012-12-24,68.63,68.96,68.09,68.91,434600,0.0,1.0
2012-12-26,68.96,69.84,68.842,69.42,917700,0.0,1.0
2012-12-27,69.34,70.68,69.22,70.47,1078200,0.0,1.0
2012-12-28,69.8,70.56,69.45,70.05,1105500,0.0,1.0
2012-12-31,69.84,71.85,69.42,71.62,1045200,0.0,1.0
2013-01-02,73.49,74.63,73.16,74.51,1593900,0.0,1.0
2013-01-03,74.18,75.0,73.78,74.39,1241800,0.0,1.0
2013-01-04,74.8,74.8799,73.23,73.79,1803800,0.0,1.0
2013-01-07,73.34,73.81,72.905,73.49,1720600,0.0,1.0
2013-01-08,73.3,73.47,72.14,72.49,1049700,0.0,1.0
2013-01-09,72.96,73.51,72.46,72.61,686800,0.0,1.0
2013-01-10,73.37,73.37,72.09,72.47,829100,0.0,1.0
2013-01-11,72.45,72.68,71.41,71.7,634000,0.0,1.0
2013-01-14,71.75,72.18,71.02,71.97,673200,0.0,1.0
2013-01-15,71.17,74.0,71.17,73.63,1192600,0.0,1.0
2013-01-16,75.0,77.47,74.89,75.55,2543100,0.0,1.0
2013-01-17,76.15,76.35,75.36,76.0,977000,0.0,1.0
2013-01-18,75.91,76.01,74.33,75.63,1248100,0.0,1.0
2013-01-22,75.72,76.08,75.06,75.55,931900,0.0,1.0
2013-01-23,75.35,76.05,74.78,75.12,860200,0.0,1.0
2013-01-24,75.2,76.78,74.9,76.53,1003300,0.0,1.0
2013-01-25,76.85,77.58,76.4501,77.29,1047700,0.0,1.0
2013-01-28,77.49,78.42,76.25,76.25,1019000,0.0,1.0
2013-01-29,76.07,76.19,75.13,75.91,952900,0.0,1.0
2013-01-30,75.68,76.24,75.11,75.18,965700,0.0,1.0
2013-01-31,75.0,75.0,73.94,74.18,1115500,0.0,1.0
2013-02-01,74.9,75.38,73.45,74.51,1634800,0.0,1.0
2013-02-04,73.7,73.9,73.08,73.31,970200,0.0,1.0
2013-02-05,73.47,74.62,73.4,74.25,732600,0.0,1.0
2013-02-06,73.82,74.77,73.79,74.13,651700,0.0,1.0
2013-02-07,74.32,74.64,72.66,73.39,651600,0.0,1.0
2013-02-08,73.5,74.94,73.37,74.94,568800,0.0,1.0
2013-02-11,74.75,75.34,74.44,74.93,426100,0.0,1.0
2013-02-12,74.83,75.8,74.83,75.41,1445300,0.0,1.0
2013-02-13,75.76,76.15,74.81,75.17,1286600,0.0,1.0
2013-02-14,74.9,76.7,74.17,75.14,1934900,0.0,1.0
2013-02-15,75.21,76.94,74.722,76.11,1877800,0.0,1.0
2013-02-19,76.22,77.19,76.13,76.8,1209500,0.0,1.0
2013-02-20,76.76,76.99,75.63,75.67,848500,0.0,1.0
2013-02-21,75.22,75.43,73.62,74.38,1223200,0.0,1.0
2013-02-22,74.76,75.12,73.84,74.45,935100,0.0,1.0
