date,open,high,low,close,volume,dividend,split
2012-11-01,106.45,107.29,105.87,107.16,789900,0.0,1.0
2012-11-02,107.52,108.0,107.13,107.22,638600,0.0,1.0
2012-11-05,107.72,107.72,105.78,106.39,814700,0.0,1.0
2012-11-06,106.64,107.19,105.88,107.05,815100,0.0,1.0
2012-11-07,106.23,106.995,105.89,106.08,758300,0.0,1.0
2012-11-08,105.52,105.79,103.46,103.69,1102400,0.0,1.0
2012-11-09,103.37,104.1,103.02,103.1,739800,0.0,1.0
2012-11-12,103.18,103.22,102.4,102.48,625200,0.0,1.0
2012-11-13,102.09,103.02,101.5,101.61,2058700,0.0,1.0
2012-11-14,101.75,101.99,99.85,100.06,1582500,0.0,1.0
2012-11-15,100.2,100.82,99.23,100.03,961500,0.0,1.0
2012-11-16,100.27,101.14,99.32,100.85,708300,0.0,1.0
2012-11-19,101.31,102.23,101.21,101.88,767400,0.0,1.0
2012-11-20,101.66,102.26,100.96,102.25,472100,0.0,1.0
2012-11-21,102.27,102.73,101.22,101.67,595200,0.0,1.0
2012-11-23,102.35,103.06,101.67,103.06,304300,0.0,1.0
2012-11-26,102.3,103.49,101.98,102.61,978500,0.0,1.0
2012-11-27,102.11,103.1,101.13,101.64,1464600,0.0,1.0
2012-11-28,101.55,101.83,100.68,101.45,1214000,0.0,1.0
2012-11-29,101.92,102.51,101.15,102.19,594300,0.0,1.0
2012-11-30,102.19,103.005,102.13,102.63,940900,0.0,1.0
2012-12-03,102.97,103.608,102.21,102.59,632100,0.0,1.0
2012-12-04,102.42,103.57,102.14,102.53,627100,0.0,1.0
2012-12-05,102.72,102.86,101.96,102.56,725000,0.0,1.0
2012-12-06,102.89,104.43,102.89,104.23,897600,0.0,1.0
2012-12-07,104.25,105.44,104.01,105.4,1010800,0.0,1.0
2012-12-10,105.04,105.35,104.48,104.99,675400,0.0,1.0
2012-12-11,105.22,105.42,104.7401,104.88,1101400,0.0,1.0
2012-12-12,104.66,104.83,103.43,104.27,750500,0.0,1.0
2012-12-13,104.05,104.27,103.472,103.75,666700,0.0,1.0
2012-12-14,103.51,104.4,103.51,103.98,765200,0.0,1.0
2012-12-17,104.43,104.9,104.084,104.84,821200,0.0,1.0
2012-12-18,104.92,105.69,104.67,105.4,1138100,0.0,1.0
2012-12-19,105.57,105.67,104.76,105.2,1022500,0.0,1.0
2012-12-20,105.27,106.7,105.02,106.67,903600,0.0,1.0
2012-12-21,105.89,106.87,105.59,105.7,1400100,0.0,1.0
2012-12-24,105.47,106.32,105.1,105.99,249500,0.0,1.0
2012-12-26,106.11,106.11,105.06,105.62,535500,0.0,1.0
2012-12-27,105.43,105.93,104.23,105.67,690400,0.65,1.0
2012-12-28,105.04,106.16,104.85,104.94,553800,0.0,1.0
2012-12-31,104.7,105.84,104.53,105.81,810100,0.0,1.0
2013-01-02,106.76,107.22,105.9,106.65,1029500,0.0,1.0
2013-01-03,106.8,107.4,106.52,106.78,732900,0.0,1.0
2013-01-04,106.7,107.66,106.7,107.47,650000,0.0,1.0
2013-01-07,107.03,108.32,106.93,108.26,807400,0.0,1.0
2013-01-08,107.91,108.16,107.04,107.33,591500,0.0,1.0
2013-01-09,107.45,107.73,107.33,107.56,532700,0.0,1.0
2013-01-10,107.87,107.87,107.0,107.4,780500,0.0,1.0
2013-01-11,107.55,107.7,106.88,107.0,688600,0.0,1.0
2013-01-14,107.12,107.51,107.06,107.36,489200,0.0,1.0
2013-01-15,107.23,108.89,107.052,108.7,729200,0.0,1.0
2013-01-16,108.19,108.26,106.71,107.59,794700,0.0,1.0
2013-01-17,107.69,107.94,107.09,107.12,673500,0.0,1.0
2013-01-18,107.19,107.87,107.06,107.83,1181800,0.0,1.0
2013-01-22,107.5,108.94,107.47,108.92,633900,0.0,1.0
2013-01-23,108.59,109.08,108.38,108.76,496800,0.0,1.0
