date,open,high,low,close,volume,dividend,split
2012-11-01,37.57,38.0,37.35,37.95,36174700,0.01,1.0
2012-11-02,38.1,38.16,37.51,37.6,24526300,0.0,1.0
2012-11-05,37.3,37.59,36.95,37.32,25782400,0.0,1.0
2012-11-06,37.45,38.5,37.43,38.47,39803700,0.0,1.0
2012-11-07,37.62,37.79,36.0,36.05,68287600,0.0,1.0
2012-11-08,36.46,36.65,35.95,36.0,40321600,0.0,1.0
2012-11-09,35.58,36.52,35.4,35.93,37701300,0.0,1.0
2012-11-12,36.12,36.74,35.96,36.42,24364200,0.0,1.0
2012-11-13,36.01,36.77,35.93,36.16,25977400,0.0,1.0
2012-11-14,36.29,36.46,34.89,35.02,49909500,0.0,1.0
2012-11-15,35.19,35.8,35.01,35.21,39677700,0.0,1.0
2012-11-16,35.15,35.31,34.17,34.98,52828200,0.0,1.0
2012-11-19,35.73,36.42,35.7,36.1,34352000,0.0,1.0
2012-11-20,35.85,36.39,35.7,36.0,37247900,0.0,1.0
2012-11-21,36.09,36.09,35.58,35.77,19638900,0.0,1.0
2012-11-23,35.96,36.1,35.82,36.03,13501300,0.0,1.0
2012-11-26,35.83,35.84,35.36,35.57,25519300,0.0,1.0
2012-11-27,35.53,35.82,35.02,35.04,31273300,0.0,1.0
2012-11-28,34.77,35.08,34.04,35.07,48663700,0.0,1.0
2012-11-29,35.38,35.64,35.02,35.21,31678000,0.0,1.0
2012-11-30,34.95,35.24,34.22,34.57,41674500,0.0,1.0
2012-12-03,34.96,34.99,34.13,34.22,38383600,0.0,1.0
2012-12-04,34.13,34.51,34.07,34.29,31781900,0.0,1.0
2012-12-05,35.27,37.07,35.1,36.46,84672900,0.0,1.0
2012-12-06,36.59,37.03,36.25,37.02,44260900,0.0,1.0
2012-12-07,37.42,37.75,37.31,37.64,43946600,0.0,1.0
2012-12-10,37.35,37.5,37.03,37.19,26715900,0.0,1.0
2012-12-11,37.43,37.56,36.83,37.0,29748900,0.0,1.0
2012-12-12,37.15,37.82,37.11,37.53,42252800,0.0,1.0
2012-12-13,37.5,37.75,37.22,37.29,30445400,0.0,1.0
2012-12-14,37.31,37.68,37.13,37.6,24596000,0.0,1.0
2012-12-17,37.77,39.2,37.7625,39.15,52474700,0.0,1.0
2012-12-18,39.21,39.94,38.78,39.46,62611800,0.0,1.0
2012-12-19,39.69,40.11,39.31,39.45,45812600,0.0,1.0
2012-12-20,39.32,40.18,39.3,40.17,37806600,0.0,1.0
2012-12-21,38.8999,39.645,38.5,39.49,47568200,0.0,1.0
2012-12-24,39.34,39.55,39.16,39.38,8674800,0.0,1.0
2012-12-26,39.41,39.75,39.18,39.55,20297700,0.0,1.0
2012-12-27,39.68,39.88,38.59,39.25,30332300,0.0,1.0
2012-12-28,38.82,39.25,38.77,39.01,24563800,0.0,1.0
2012-12-31,38.94,39.6,38.65,39.56,37172800,0.0,1.0
2013-01-02,40.91,41.4,40.7,41.25,45648500,0.0,1.0
2013-01-03,41.17,41.5,41.04,41.39,38343300,0.0,1.0
2013-01-04,41.76,42.54,41.63,42.4298,46310100,0.0,1.0
2013-01-07,42.54,42.55,41.97,42.47,36305100,0.0,1.0
2013-01-08,42.29,42.47,42.03,42.46,28185200,0.0,1.0
2013-01-09,42.5,43.25,41.81,42.04,44923500,0.0,1.0
2013-01-10,42.34,43.06,41.98,42.83,42154200,0.0,1.0
2013-01-11,42.82,42.83,41.92,42.34,42517300,0.0,1.0
2013-01-14,42.36,42.55,41.71,42.22,26795300,0.0,1.0
2013-01-15,41.81,42.74,41.77,42.57,29118700,0.0,1.0
2013-01-16,42.54,42.85,42.25,42.48,36165300,0.0,1.0
2013-01-17,41.53,41.62,40.9,41.24,80185700,0.0,1.0
2013-01-18,41.27,41.74,41.11,41.66,40807100,0.0,1.0
2013-01-22,41.35,41.82,40.82,41.78,42035900,0.0,1.0
2013-01-23,41.85,42.225,41.535,42.02,32339300,0.0,1.0
2013-01-24,42.1,43.2,42.04,42.8,34462600,0.0,1.0
2013-01-25,43.13,43.34,42.62,42.91,26707200,0.0,1.0
2013-01-28,42.98,42.98,42.23,42.34,27213600,0.0,1.0
2013-01-29,42.07,42.6,41.95,42.16,26998900,0.0,1.0
2013-01-30,41.99,42.18,41.76,41.95,21801200,0.0,1.0
2013-01-31,41.88,42.29,41.62,42.16,21324700,0.01,1.0
