date,open,high,low,close,volume,dividend,split
2012-11-01,27.91,28.17,27.8,28.1,3911500,0.0,1.0
2012-11-02,28.15,28.34,28.04,28.07,6386300,0.0,1.0
2012-11-05,27.99,28.1,27.76,28.08,2724700,0.0,1.0
2012-11-06,28.13,28.53,28.13,28.37,2261200,0.0,1.0
2012-11-07,28.23,28.29,27.81,27.96,2808900,0.0,1.0
2012-11-08,27.94,28.09,27.68,27.69,1899800,0.0,1.0
2012-11-09,27.66,28.07,27.66,27.77,2820500,0.0,1.0
2012-11-12,27.76,27.94,27.61,27.84,2109100,0.0,1.0
2012-11-13,27.74,27.935,27.73,27.82,3371900,0.0,1.0
2012-11-14,27.82,27.92,27.615,27.68,3200300,0.0,1.0
2012-11-15,27.57,27.816,27.52,27.7,3593500,0.0,1.0
2012-11-16,27.73,27.85,27.48,27.74,4561800,0.0,1.0
2012-11-19,27.89,27.97,27.72,27.86,5138600,0.0,1.0
2012-11-20,27.89,28.02,27.77,27.96,2713800,0.0,1.0
2012-11-21,28.0,28.13,27.89,28.13,2292500,0.0,1.0
2012-11-23,28.17,28.41,28.13,28.41,799800,0.0,1.0
2012-11-26,28.18,28.29,28.11,28.29,1937700,0.0,1.0
2012-11-27,29.52,29.73,28.94,29.63,13925600,0.0,1.0
2012-11-28,29.63,29.81,29.26,29.65,5431800,0.0,1.0
2012-11-29,29.73,29.77,29.4,29.6,4636700,0.0,1.0
2012-11-30,29.84,29.965,29.805,29.86,4642400,0.0,1.0
2012-12-03,29.91,29.93,29.765,29.82,3125800,0.0,1.0
2012-12-04,29.84,29.88,29.55,29.55,3813200,0.0,1.0
2012-12-05,29.6,29.77,29.56,29.69,3206200,0.0,1.0
2012-12-06,29.66,29.73,29.4,29.65,3700600,0.0,1.0
2012-12-07,29.69,29.75,29.53,29.75,2263100,0.0,1.0
2012-12-10,29.67,29.8,29.63,29.74,1709300,0.0,1.0
2012-12-11,29.76,29.8895,29.65,29.71,2393200,0.0,1.0
2012-12-12,29.86,30.55,29.86,30.28,9081900,0.0,1.0
2012-12-13,30.35,30.38,30.075,30.17,4776800,0.0,1.0
2012-12-14,30.1,30.34,30.08,30.15,2377300,0.0,1.0
2012-12-17,30.15,30.33,30.12,30.32,3825400,0.0,1.0
2012-12-18,30.3,30.31,30.11,30.21,7122400,0.0,1.0
2012-12-19,30.25,30.3299,29.96,29.96,4221200,0.0,1.0
2012-12-20,30.85,31.12,30.02,30.16,5625800,0.0,1.0
2012-12-21,30.01,30.11,29.75,29.8,5984500,0.0,1.0
2012-12-24,29.88,29.93,29.66,29.78,1388000,0.0,1.0
2012-12-26,29.82,29.85,29.44,29.46,2038100,0.0,1.0
2012-12-27,29.4,29.53,29.2,29.39,2303800,0.0,1.0
2012-12-28,29.39,29.53,29.2,29.2,2394900,0.0,1.0
2012-12-31,29.1,29.56,28.78,29.5,3468900,0.0,1.0
2013-01-02,29.97,30.09,29.75,30.09,3366000,0.0,1.0
2013-01-03,30.0,30.165,29.99,30.02,2794800,0.0,1.0
2013-01-04,30.02,30.38,30.0,30.24,2858200,0.0,1.0
2013-01-07,30.25,30.27,30.05,30.17,1803700,0.0,1.0
2013-01-08,29.99,30.19,29.82,30.15,7881800,0.0,1.0
2013-01-09,30.2,30.41,30.15,30.4,4785400,0.0,1.0
2013-01-10,30.42,30.65,30.38,30.62,4762500,0.0,1.0
2013-01-11,30.87,30.87,30.5,30.8,4831900,0.0,1.0
2013-01-14,30.83,31.12,30.69,31.03,5071600,0.0,1.0
2013-01-15,30.82,31.09,30.8,31.07,4550900,0.0,1.0
2013-01-16,31.01,31.23,30.88,31.17,4068800,0.0,1.0
2013-01-17,31.25,31.64,31.19,31.51,3810100,0.0,1.0
2013-01-18,31.57,31.7,31.36,31.7,3744900,0.0,1.0
2013-01-22,31.74,31.96,31.66,31.94,3535600,0.0,1.0
2013-01-23,31.94,31.96,31.74,31.83,3177100,0.0,1.0
2013-01-24,31.88,32.47,31.88,32.4,4894200,0.0,1.0
