date,open,high,low,close,volume,dividend,split
2012-11-01,85.22,87.86,85.0,87.65,8550000,0.0,1.0
2012-11-02,88.49,88.5,85.7,85.79,6982000,0.0,1.0
2012-11-05,85.85,86.78,85.59,86.77,4044600,0.0,1.0
2012-11-06,87.35,88.5998,87.3,88.08,7048900,0.0,1.0
2012-11-07,86.73,87.23,84.84,85.02,8209200,0.0,1.0
2012-11-08,85.16,85.24,83.52,83.66,6240600,0.0,1.0
2012-11-09,83.0,85.286,82.9,84.95,7282200,0.0,1.0
2012-11-12,84.44,85.57,84.23,85.18,5800500,0.0,1.0
2012-11-13,84.72,85.18,83.17,83.26,7695300,0.0,1.0
2012-11-14,83.9,83.9,80.88,81.1,8497000,0.0,1.0
2012-11-15,81.35,82.5748,80.5,81.3,7794600,0.0,1.0
2012-11-16,81.37,82.21,80.16,81.93,8050900,0.0,1.0
2012-11-19,83.37,83.84,83.15,83.62,5674800,0.0,1.0
2012-11-20,83.7,83.77,82.59,83.33,5535900,0.0,1.0
2012-11-21,82.95,83.74,82.65,83.05,4517100,0.0,1.0
2012-11-23,83.62,84.19,83.25,84.16,2663700,0.0,1.0
2012-11-26,83.81,84.81,83.81,84.65,4240800,0.0,1.0
2012-11-27,84.5,85.12,83.9,84.01,4195600,0.0,1.0
2012-11-28,83.63,85.09,83.0,84.94,4884700,0.0,1.0
2012-11-29,85.55,86.48,85.48,86.25,7846300,0.0,1.0
2012-11-30,86.33,86.35,85.03,85.24,5663400,0.0,1.0
2012-12-03,85.92,85.92,84.43,84.49,4714100,0.0,1.0
2012-12-04,84.05,84.96,83.75,84.16,4468400,0.0,1.0
2012-12-05,84.62,86.57,84.565,86.05,8604400,0.0,1.0
2012-12-06,85.83,86.33,85.08,85.95,4132300,0.0,1.0
2012-12-07,86.7,87.55,86.52,86.99,7337200,0.0,1.0
2012-12-10,86.81,87.45,86.38,87.23,4336600,0.0,1.0
2012-12-11,87.6,88.16,87.04,87.33,5371600,0.0,1.0
2012-12-12,87.89,88.77,87.46,87.95,7093300,0.0,1.0
2012-12-13,87.85,89.31,87.82,88.36,6100000,0.0,1.0
2012-12-14,88.35,89.5,88.32,89.0,5866400,0.0,1.0
2012-12-17,89.25,89.69,88.9,89.64,6092800,0.0,1.0
2012-12-18,89.67,91.09,89.67,90.77,6653300,0.0,1.0
2012-12-19,90.91,91.83,90.74,90.79,7065800,0.0,1.0
2012-12-20,89.9,90.13,88.64,89.5,6893600,0.52,1.0
2012-12-21,87.5,88.18,86.48,87.9,10727800,0.0,1.0
2012-12-24,87.51,87.8298,87.16,87.48,2326700,0.0,1.0
2012-12-26,87.67,88.68,87.57,87.67,3236100,0.0,1.0
2012-12-27,87.87,88.41,86.55,87.66,3953800,0.0,1.0
2012-12-28,87.09,87.6,86.69,86.81,3309200,0.0,1.0
2012-12-31,86.81,89.8,86.67,89.6085,7213000,0.0,1.0
2013-01-02,92.95,94.44,92.95,93.5,11590000,0.0,1.0
2013-01-03,93.22,94.99,92.89,94.4,9329000,0.0,1.0
2013-01-04,94.57,94.92,94.04,94.92,5658600,0.0,1.0
2013-01-07,94.57,95.67,94.4,95.21,5368800,0.0,1.0
2013-01-08,94.67,95.19,93.57,94.0,5616100,0.0,1.0
2013-01-09,94.1,94.77,94.1,94.44,3546100,0.0,1.0
2013-01-10,95.11,95.19,94.23,95.08,4596400,0.0,1.0
2013-01-11,94.56,95.39,94.12,95.19,4288500,0.0,1.0
