date,open,high,low,close,volume,dividend,split
2012-11-01,17.94,18.06,17.54,17.63,4545900,0.0,1.0
2012-11-02,17.83,18.02,17.52,17.55,3344300,0.0,1.0
2012-11-05,17.55,17.77,17.41,17.72,1576300,0.0,1.0
2012-11-06,17.81,18.21,17.7,18.14,2893300,0.0,1.0
2012-11-07,17.87,18.0,17.52,17.53,4422300,0.0,1.0
2012-11-08,17.56,17.6,17.32,17.47,3227800,0.0,1.0
2012-11-09,17.3,17.61,17.25,17.5,3466900,0.0,1.0
2012-11-12,17.55,17.57,17.36,17.47,1516900,0.0,1.0
2012-11-13,17.33,17.83,17.25,17.65,2315200,0.0,1.0
2012-11-14,17.71,17.77,17.25,17.35,3392200,0.0,1.0
2012-11-15,17.35,17.56,17.24,17.34,2378800,0.0,1.0
2012-11-16,17.4,17.67,17.16,17.5,2637100,0.0,1.0
2012-11-19,17.8,18.05,17.67,17.79,4703000,0.0,1.0
2012-11-20,17.78,17.82,17.45,17.64,2545100,0.0,1.0
2012-11-21,17.67,17.79,17.61,17.69,1715300,0.0,1.0
2012-11-23,17.83,17.98,17.65,17.87,994400,0.0,1.0
2012-11-26,17.68,18.28,17.68,18.16,2564300,0.0,1.0
2012-11-27,18.09,18.1,17.81,17.91,2557100,0.0,1.0
2012-11-28,17.79,18.27,17.64,18.25,1807300,0.0,1.0
2012-11-29,18.33,18.72,18.3,18.63,2892300,0.0,1.0
2012-11-30,18.68,19.05,18.59,18.93,3709800,0.0,1.0
2012-12-03,18.93,19.23,18.69,18.76,3562600,0.0,1.0
2012-12-04,18.73,18.8,18.49,18.57,2370100,0.0,1.0
2012-12-05,18.58,18.78,18.33,18.75,2268100,0.0,1.0
2012-12-06,18.71,18.81,18.54,18.73,1830600,0.0,1.0
2012-12-07,18.75,19.02,18.7,18.99,1430500,0.0,1.0
2012-12-10,19.02,19.37,18.92,19.34,1987700,0.0,1.0
2012-12-11,19.48,19.72,19.45,19.56,2548100,0.0,1.0
2012-12-12,19.64,19.93,19.59,19.69,2684000,0.0,1.0
2012-12-13,19.64,19.66,19.06,19.1,2403800,0.0,1.0
2012-12-14,19.05,19.23,18.89,19.2,2066200,0.0,1.0
2012-12-17,19.32,19.78,19.3,19.78,2073700,0.0,1.0
2012-12-18,19.86,20.42,19.79,20.41,3026200,0.0,1.0
2012-12-19,20.43,20.55,19.96,19.96,2911500,0.0,1.0
2012-12-20,19.95,20.14,19.93,20.0,2153300,0.0,1.0
2012-12-21,19.71,19.99,19.4,19.64,3942200,0.0,1.0
2012-12-24,19.63,19.74,19.46,19.6,966000,0.0,1.0
2012-12-26,19.68,19.76,19.58,19.66,1636200,0.0,1.0
2012-12-27,19.66,19.75,19.25,19.59,1597500,0.0,1.0
2012-12-28,19.42,19.58,19.33,19.39,1464400,0.0,1.0
2012-12-31,19.36,19.96,19.3,19.9,1779000,0.0,1.0
2013-01-02,20.34,20.41,19.78,20.36,3273300,0.0,1.0
2013-01-03,20.37,20.49,20.12,20.16,1926100,0.0,1.0
2013-01-04,20.22,20.72,20.08,20.72,2578000,0.0,1.0
2013-01-07,20.54,20.99,20.54,20.8,2595300,0.0,1.0
2013-01-08,20.73,20.85,20.59,20.78,2519700,0.0,1.0
2013-01-09,20.83,21.09,20.54,20.57,3179800,0.0,1.0
2013-01-10,20.69,20.81,20.52,20.55,2701800,0.0,1.0
2013-01-11,20.57,20.73,20.45,20.51,2037000,0.0,1.0
2013-01-14,20.51,20.71,20.47,20.65,1333400,0.0,1.0
2013-01-15,20.46,20.89,20.45,20.84,1685700,0.0,1.0
2013-01-16,20.78,20.81,20.44,20.56,2349300,0.0,1.0
2013-01-17,20.69,20.84,20.43,20.63,2919300,0.0,1.0
2013-01-18,20.7,20.82,20.33,20.55,2847000,0.0,1.0
2013-01-22,20.57,20.65,20.41,20.55,2210000,0.0,1.0
2013-01-23,20.6,20.92,20.57,20.89,1964100,0.0,1.0
2013-01-24,20.92,21.3,20.92,21.19,2751400,0.0,1.0
2013-01-25,21.27,22.29,21.17,21.84,5517000,0.0,1.0
2013-01-28,21.91,22.08,21.64,21.89,2921100,0.0,1.0
2013-01-29,21.91,22.0,21.73,21.78,3426000,0.0,1.0
2013-01-30,21.77,21.77,21.32,21.46,3163400,0.0,1.0
2013-01-31,21.43,21.66,21.39,21.58,1964500,0.0,1.0
2013-02-01,21.76,21.91,21.72,21.87,1933900,0.0,1.0
2013-02-04,21.66,21.89,21.59,21.69,1759700,0.0,1.0
2013-02-05,21.88,22.02,21.74,21.91,3083700,0.0,1.0
2013-02-06,21.74,22.0,21.6,21.85,3453600,0.0,1.0
2013-02-07,23.55,24.33,23.32,23.81,12135800,0.0,1.0
2013-02-08,23.87,24.31,23.6,24.19,3552400,0.0,1.0
2013-02-11,24.2,24.47,23.88,24.13,3285800,0.0,1.0
2013-02-12,24.17,24.46,24.13,24.26,1903400,0.0,1.0
2013-02-13,24.39,24.85,24.33,24.5,3805300,0.0,1.0
2013-02-14,24.35,24.86,24.35,24.7,3224800,0.0,1.0
2013-02-15,24.58,24.62,23.97,24.28,4357100,0.0,1.0
2013-02-19,24.36,24.5,24.15,24.5,1960700,0.0,1.0
2013-02-20,24.44,24.47,23.69,23.84,5024600,0.0,1.0
2013-02-21,23.87,24.0,23.32,23.57,4993300,0.0,1.0
2013-02-22,23.77,23.97,23.5,23.91,2175500,0.0,1.0
2013-02-25,24.0,24.39,23.24,23.24,3664900,0.0,1.0
2013-02-26,23.43,23.56,23.17,23.42,2453200,0.0,1.0
2013-02-27,23.34,24.11,23.18,23.89,2843100,0.0,1.0
2013-02-28,23.86,24.53,23.8,24.17,3520600,0.0,1.0
2013-03-01,23.87,24.61,23.85,24.36,3512100,0.0,1.0
2013-03-04,24.3,24.71,24.15,24.58,1945300,0.0,1.0
2013-03-05,24.73,24.99,24.62,24.74,2937100,0.0,1.0
2013-03-06,24.86,24.94,24.45,24.48,2528700,0.0,1.0
2013-03-07,24.48,24.66,24.4,24.53,2240400,0.0,1.0
2013-03-08,24.69,24.8,24.29,24.64,2614000,0.0,1.0
2013-03-11,24.64,25.26,24.64,25.22,3733500,0.0,1.0
2013-03-12,25.13,25.45,25.02,25.31,2834400,0.0,1.0
2013-03-13,25.29,25.38,24.98,25.36,2037500,0.0,1.0
2013-03-14,25.39,25.45,25.09,25.2,2313800,0.0,1.0
2013-03-15,25.1,25.12,24.65,24.93,3220300,0.0,1.0
2013-03-18,24.55,25.21,24.5,25.18,2937200,0.0,1.0
2013-03-19,25.27,25.3,24.39,24.46,2530100,0.0,1.0
2013-03-20,24.69,25.07,24.64,24.83,2284300,0.0,1.0
2013-03-21,24.62,24.79,24.28,24.51,2230200,0.0,1.0
2013-03-22,24.65,25.02,24.5,24.71,1939400,0.0,1.0
2013-03-25,24.87,25.2,24.61,24.68,2875000,0.0,1.0
2013-03-26,24.77,25.12,24.71,25.02,1960200,0.0,1.0
2013-03-27,24.8,25.13,24.69,25.11,1890900,0.0,1.0
2013-03-28,25.13,25.3,24.88,25.25,2429600,0.0,1.0
2013-04-01,25.28,25.28,24.3,24.44,2863500,0.0,1.0
2013-04-02,24.61,24.76,24.28,24.4,1669000,0.0,1.0
2013-04-03,24.48,24.53,23.88,23.93,4060100,0.0,1.0
2013-04-04,23.93,24.3,23.71,24.28,3223700,0.0,1.0
2013-04-05,23.79,24.23,23.66,24.22,1405100,0.0,1.0
2013-04-08,24.3,24.95,24.29,24.93,1453600,0.0,1.0
2013-04-09,25.0,25.22,24.78,25.01,2038100,0.0,1.0
2013-04-10,25.08,25.51,24.97,25.51,2375700,0.0,1.0
2013-04-11,25.51,25.69,25.39,25.5,1908000,0.0,1.0
2013-04-12,25.36,25.46,25.1,25.29,1856400,0.0,1.0
2013-04-15,25.16,25.16,24.1,24.12,2025600,0.0,1.0
2013-04-16,24.33,24.58,24.15,24.31,2374900,0.0,1.0
2013-04-17,24.07,24.09,23.31,23.7,3425700,0.0,1.0
2013-04-18,23.75,23.97,23.3,23.5,1722800,0.0,1.0
2013-04-19,23.51,23.84,23.17,23.83,2868100,0.0,1.0
2013-04-22,23.88,23.96,23.34,23.71,2204100,0.0,1.0
2013-04-23,23.93,24.28,23.79,24.17,2140600,0.0,1.0
2013-04-24,24.21,24.62,24.09,24.61,1723600,0.0,1.0
2013-04-25,24.69,24.98,24.48,24.75,2970500,0.0,1.0
2013-04-26,24.45,24.51,23.78,24.18,2866600,0.0,1.0
2013-04-29,24.28,24.7,24.22,24.35,1396300,0.0,1.0
2013-04-30,24.33,24.4,23.93,24.22,2608400,0.0,1.0
2013-05-01,24.1,24.33,23.99,24.04,2423300,0.0,1.0
2013-05-02,24.19,24.27,23.95,24.02,1936400,0.0,1.0
2013-05-03,24.36,24.62,24.05,24.15,1759700,0.0,1.0
2013-05-06,24.16,24.43,24.03,24.22,2059400,0.0,1.0
2013-05-07,24.36,24.63,24.3,24.44,3347600,0.0,1.0
2013-05-08,24.38,24.65,24.15,24.57,1945100,0.0,1.0
2013-05-09,24.56,24.63,24.23,24.31,1720100,0.0,1.0
2013-05-10,24.38,24.44,24.05,24.1,2320400,0.0,1.0
2013-05-13,24.05,24.16,23.85,24.03,2908100,0.0,1.0
2013-05-14,24.08,24.56,24.05,24.51,2554700,0.0,1.0
2013-05-15,24.51,25.21,24.4,25.18,3426700,0.0,1.0
2013-05-16,25.08,25.2,24.65,24.72,2630100,0.0,1.0
2013-05-17,24.79,24.95,24.52,24.78,1869500,0.0,1.0
2013-05-20,24.71,24.94,24.6,24.61,2274800,0.0,1.0
2013-05-21,24.6,25.16,24.43,25.08,3335300,0.0,1.0
2013-05-22,25.08,25.37,24.06,24.23,3478100,0.0,1.0
2013-05-23,23.97,24.04,23.55,23.89,2684900,0.0,1.0
2013-05-24,23.74,23.75,23.29,23.39,2082700,0.0,1.0
2013-05-28,23.82,24.07,23.45,23.74,3497300,0.0,1.0
2013-05-29,23.49,23.6,22.97,23.39,2719400,0.0,1.0
2013-05-30,23.44,23.66,23.27,23.41,1574300,0.0,1.0
2013-05-31,23.32,23.6,23.18,23.18,2962800,0.0,1.0
2013-06-03,23.24,23.43,22.71,23.21,3234700,0.0,1.0
2013-06-04,23.2,23.38,22.86,23.05,2695500,0.0,1.0
2013-06-05,22.96,23.19,22.41,22.51,3208900,0.0,1.0
2013-06-06,22.48,23.18,22.34,23.17,3334500,0.0,1.0
2013-06-07,23.37,23.49,23.08,23.44,1765400,0.0,1.0
2013-06-10,23.5,23.56,23.08,23.2,1646600,0.0,1.0
2013-06-11,22.88,23.11,22.65,22.9,1691500,0.0,1.0
2013-06-12,23.08,23.12,22.47,22.56,2971200,0.0,1.0
2013-06-13,22.51,22.98,22.42,22.92,2982800,0.0,1.0
2013-06-14,22.9,23.31,22.61,22.67,1768800,0.0,1.0
2013-06-17,22.87,22.97,22.63,22.81,2042300,0.0,1.0
