date,open,high,low,close,volume,dividend,split
2012-11-01,38.08,38.89,38.04,38.85,3046800,0.0,1.0
2012-11-02,39.16,39.34,38.69,38.75,4275200,0.0,1.0
2012-11-05,38.53,38.73,38.04,38.66,2074000,0.0,1.0
2012-11-06,38.69,39.0,38.62,38.97,2407600,0.0,1.0
2012-11-07,38.69,38.94,38.27,38.65,2508100,0.0,1.0
2012-11-08,38.76,39.03,38.27,38.27,3603000,0.0,1.0
2012-11-09,38.3,39.37,38.24,39.16,3465200,0.0,1.0
2012-11-12,39.23,39.23,38.19,38.46,3490100,0.0,1.0
2012-11-13,38.24,38.755,38.18,38.41,2261800,0.0,1.0
2012-11-14,38.54,38.73,37.75,37.83,3251300,0.0,1.0
2012-11-15,37.51,37.83,37.1301,37.39,3165900,0.0,1.0
2012-11-16,38.0,38.02,36.99,37.25,5206400,0.0,1.0
2012-11-19,37.87,38.36,37.81,38.24,4435800,0.0,1.0
2012-11-20,38.12,38.3,37.84,38.18,3118600,0.25,1.0
2012-11-21,38.27,38.39,38.14,38.3,1609100,0.0,1.0
2012-11-23,38.79,39.08,38.75,39.08,1209500,0.0,1.0
2012-11-26,38.74,38.81,38.38,38.48,2819400,0.0,1.0
2012-11-27,38.59,38.93,38.07,38.12,3979900,0.0,1.0
2012-11-28,38.08,38.69,38.02,38.66,3209400,0.0,1.0
2012-11-29,38.76,38.95,38.48,38.6,2677100,0.0,1.0
2012-11-30,38.76,38.91,38.3748,38.66,2958800,0.0,1.0
2012-12-03,38.83,38.9,38.37,38.38,2379000,0.0,1.0
2012-12-04,38.05,38.15,37.5,37.78,4304200,0.0,1.0
2012-12-05,37.25,37.58,36.74,37.21,3795000,0.5,1.0
2012-12-06,37.27,37.63,37.11,37.56,3310800,0.0,1.0
2012-12-07,37.58,37.92,37.4925,37.91,2246800,0.0,1.0
2012-12-10,37.6,38.1,37.56,37.87,2751000,0.0,1.0
2012-12-11,38.03,38.12,37.73,37.85,2108100,0.0,1.0
2012-12-12,38.23,38.41,37.78,37.87,3700900,0.0,1.0
2012-12-13,37.91,38.32,37.62,37.71,2694200,0.0,1.0
2012-12-14,37.89,38.08,37.64,37.72,1996600,0.0,1.0
2012-12-17,38.01,38.81,37.94,38.6,5231500,0.0,1.0
2012-12-18,38.94,39.57,38.89,39.32,4986200,0.0,1.0
2012-12-19,39.92,39.95,38.995,39.06,5397300,0.0,1.0
2012-12-20,37.42,37.7,36.57,36.99,12749500,0.0,1.0
2012-12-21,37.5,37.79,36.885,37.02,6741300,0.0,1.0
2012-12-24,36.78,37.22,36.78,37.08,2293200,0.0,1.0
2012-12-26,37.14,37.14,36.5,36.6,2479400,0.0,1.0
2012-12-27,36.78,36.99,36.07,36.7,2816100,0.0,1.0
2012-12-28,36.21,36.62,36.02,36.03,2412600,0.0,1.0
2012-12-31,36.11,36.79,36.042,36.77,2712600,0.0,1.0
2013-01-02,37.25,37.5,37.0,37.5,3284400,0.0,1.0
2013-01-03,36.96,37.26,36.865,37.03,4322600,0.0,1.0
2013-01-04,36.8,37.15,36.71,37.06,3028400,0.0,1.0
2013-01-07,36.94,37.11,36.73,36.94,2275600,0.0,1.0
2013-01-08,37.41,37.45,36.83,37.0,3534200,0.0,1.0
2013-01-09,37.0,37.33,36.99,37.1,2915800,0.0,1.0
2013-01-10,37.5,37.5,36.96,37.14,3407000,0.0,1.0
2013-01-11,37.1,37.218,36.955,37.03,1790200,0.0,1.0
2013-01-14,37.25,37.6,37.25,37.37,3050900,0.0,1.0
2013-01-15,37.6,37.77,37.47,37.65,4401700,0.0,1.0
2013-01-16,38.3,38.38,37.7,37.82,6740000,0.0,1.0
2013-01-17,38.48,38.48,38.0199,38.19,5015000,0.0,1.0
2013-01-18,39.18,39.18,38.35,38.58,6005400,0.0,1.0
2013-01-22,38.9,38.9,38.23,38.43,5472100,0.0,1.0
2013-01-23,38.76,38.84,38.55,38.67,5469900,0.0,1.0
2013-01-24,38.68,39.07,38.65,38.9,4004800,0.0,1.0
2013-01-25,39.05,39.17,38.9,39.12,3068900,0.0,1.0
2013-01-28,39.06,39.24,38.89,39.03,3761700,0.0,1.0
2013-01-29,38.9,39.11,38.72,38.72,3036200,0.0,1.0
2013-01-30,38.89,39.14,38.825,38.89,4212400,0.0,1.0
2013-01-31,38.85,39.265,38.62,38.72,4740600,0.0,1.0
2013-02-01,39.18,39.27,38.895,39.15,3843300,0.0,1.0
2013-02-04,39.23,39.62,38.31,38.49,7186400,0.0,1.0
2013-02-05,38.65,38.82,38.5,38.56,3787700,0.0,1.0
2013-02-06,38.75,38.9,38.51,38.8,4467200,0.0,1.0
2013-02-07,38.99,39.025,38.525,38.98,4172400,0.0,1.0
2013-02-08,39.11,39.18,38.83,39.01,4113300,0.0,1.0
2013-02-11,38.79,38.88,38.56,38.72,4202400,0.0,1.0
2013-02-12,38.93,39.18,38.835,39.02,3119100,0.0,1.0
2013-02-13,38.64,38.75,36.97,37.46,7950900,0.0,1.0
2013-02-14,37.03,37.51,36.8,37.35,9915100,0.0,1.0
2013-02-15,37.2,37.5,36.84,36.92,5936100,0.0,1.0
2013-02-19,36.65,36.78,36.01,36.51,9797000,0.0,1.0
2013-02-20,36.31,36.4,35.43,35.43,7424100,0.25,1.0
2013-02-21,35.18,35.55,34.88,35.36,6358200,0.0,1.0
2013-02-22,35.39,35.47,34.82,34.99,6276100,0.0,1.0
2013-02-25,34.96,35.2,34.43,34.43,6944400,0.0,1.0
2013-02-26,34.74,34.89,34.37,34.63,4833300,0.0,1.0
