date,open,high,low,close,volume,dividend,split
2012-11-01,60.42,61.86,59.97,61.57,1522400,0.0,1.0
2012-11-02,62.05,62.05,61.37,61.48,996900,0.0,1.0
2012-11-05,61.58,62.15,61.15,62.03,809600,0.0,1.0
2012-11-06,62.16,63.49,62.11,62.92,1318300,0.0,1.0
2012-11-07,62.05,62.56,61.85,62.22,1395700,0.0,1.0
2012-11-08,61.97,62.48,61.12,61.5,918600,0.0,1.0
2012-11-09,61.49,62.19,61.06,61.48,1199700,0.0,1.0
2012-11-12,61.48,61.76,61.14,61.38,624700,0.0,1.0
2012-11-13,61.29,62.42,61.24,61.39,1224500,0.0,1.0
2012-11-14,61.53,61.56,59.68,59.87,1457300,0.0,1.0
2012-11-15,59.91,60.046,59.34,59.53,1007100,0.0,1.0
2012-11-16,59.49,59.79,58.63,59.16,1065200,0.0,1.0
2012-11-19,59.91,60.18,59.28,59.81,1080700,0.0,1.0
2012-11-20,59.58,60.11,59.52,60.07,628500,0.0,1.0
2012-11-21,60.09,60.41,59.97,60.22,508700,0.0,1.0
2012-11-23,60.14,60.995,59.96,60.98,387000,0.0,1.0
2012-11-26,60.79,61.48,60.75,61.48,702000,0.0,1.0
2012-11-27,61.33,61.77,60.73,60.83,957000,0.0,1.0
2012-11-28,60.56,61.91,60.41,61.73,1114200,0.0,1.0
2012-11-29,61.98,62.57,61.66,61.97,1228300,0.0,1.0
2012-11-30,62.22,62.37,61.46,61.74,1357400,0.0,1.0
2012-12-03,62.03,62.14,60.68,61.0,780600,0.0,1.0
2012-12-04,60.98,61.52,60.75,61.02,797600,0.0,1.0
2012-12-05,61.08,62.1,61.06,61.91,870000,0.0,1.0
2012-12-06,61.64,61.95,60.42,60.64,969300,0.0,1.0
2012-12-07,60.78,60.97,60.14,60.6,783400,0.0,1.0
2012-12-10,60.76,62.05,60.72,61.94,1139600,0.0,1.0
2012-12-11,62.47,62.81,61.96,62.26,1429100,0.0,1.0
2012-12-12,62.57,62.65,61.7101,61.91,877300,0.0,1.0
2012-12-13,61.63,62.39,61.27,61.64,605400,0.35,1.0
2012-12-14,61.73,61.96,61.4,61.52,886800,0.0,1.0
2012-12-17,61.78,62.19,61.61,62.19,814600,0.0,1.0
2012-12-18,62.44,63.93,62.281,63.55,1473300,0.0,1.0
2012-12-19,63.72,64.14,63.3916,63.63,987400,0.0,1.0
2012-12-20,63.53,63.96,63.33,63.76,1039500,0.0,1.0
2012-12-21,63.01,63.98,62.81,63.6,2277800,0.0,1.0
2012-12-24,63.25,63.8,63.18,63.32,358400,0.0,1.0
2012-12-26,63.54,63.88,62.99,62.99,524500,0.0,1.0
2012-12-27,62.95,63.12,62.33,62.8,786700,0.0,1.0
2012-12-28,62.34,62.85,62.15,62.15,651200,0.0,1.0
2012-12-31,62.18,63.25,62.06,63.22,727500,0.0,1.0
2013-01-02,64.11,64.88,61.65,63.16,3084300,0.0,1.0
2013-01-03,62.54,63.16,61.93,62.34,2893100,0.0,1.0
2013-01-04,62.15,63.5358,62.07,63.04,1273600,0.0,1.0
2013-01-07,62.51,63.45,62.5,63.15,1077500,0.0,1.0
2013-01-08,62.81,63.3,61.81,63.21,1734200,0.0,1.0
2013-01-09,63.19,64.26,63.01,64.21,1788100,0.0,1.0
2013-01-10,64.59,64.87,64.04,64.38,1330400,0.0,1.0
2013-01-11,64.4,64.64,64.28,64.54,866400,0.0,1.0
2013-01-14,64.56,64.99,64.26,64.8,1167000,0.0,1.0
2013-01-15,65.03,65.53,64.51,65.35,999600,0.0,1.0
