date,open,high,low,close,volume,dividend,split
2012-11-01,51.55,53.31,51.55,53.27,4255400,0.0,1.0
2012-11-02,53.71,53.75,52.91,53.09,2929000,0.0,1.0
2012-11-05,53.1,53.55,52.64,53.3,2345000,0.0,1.0
2012-11-06,52.94,53.485,52.05,53.31,2513700,0.0,1.0
2012-11-07,52.62,53.23,51.97,52.96,4168700,0.0,1.0
2012-11-08,52.99,53.418,51.97,52.24,2447800,0.0,1.0
2012-11-09,52.74,52.94,51.62,51.65,3046700,0.0,1.0
2012-11-12,51.83,51.96,50.94,51.08,3039900,0.0,1.0
2012-11-13,50.69,51.77,50.69,51.05,2083400,0.0,1.0
2012-11-14,51.13,51.26,49.44,49.6297,2691600,0.0,1.0
2012-11-15,49.72,50.94,49.46,50.8693,4742500,0.0,1.0
2012-11-16,50.85,50.85,49.34,50.47,6316200,0.0,1.0
2012-11-19,50.83,51.92,50.71,51.9,3004300,0.0,1.0
2012-11-20,51.73,51.89,51.24,51.85,1887200,0.0,1.0
2012-11-21,51.83,52.29,51.63,52.01,1188600,0.0,1.0
2012-11-23,52.06,52.78,52.06,52.76,450800,0.0,1.0
2012-11-26,52.35,52.8075,51.7,52.24,1027700,0.0,1.0
2012-11-27,52.19,52.71,52.17,52.42,1808200,0.0,1.0
2012-11-28,52.07,52.1632,51.7,51.97,1843700,0.0,1.0
2012-11-29,52.24,52.89,51.7201,52.08,2076500,0.0,1.0
2012-11-30,52.19,52.46,51.76,52.27,3187500,0.0,1.0
2012-12-03,52.42,52.58,51.93,52.09,1359900,0.0,1.0
2012-12-04,52.19,52.51,51.65,51.66,2124100,0.0,1.0
2012-12-05,51.83,52.19,51.34,51.92,2407800,0.0,1.0
2012-12-06,51.95,52.54,51.8595,52.5,1672600,0.0,1.0
2012-12-07,52.69,53.03,52.545,52.9,1218100,0.0,1.0
2012-12-10,52.37,53.11,52.09,52.93,2045000,0.0,1.0
2012-12-11,52.93,53.25,52.62,53.11,1727300,0.0,1.0
2012-12-12,53.25,54.31,53.19,53.96,2736500,0.0,1.0
2012-12-13,54.01,54.28,53.45,53.7,1443500,0.0,1.0
2012-12-14,53.43,53.58,52.88,53.02,1766400,0.0,1.0
2012-12-17,53.24,53.92,53.052,53.76,1267200,0.0,1.0
2012-12-18,53.84,54.53,53.53,54.49,3414400,0.0,1.0
2012-12-19,54.43,54.519,53.66,53.67,1194600,0.0,1.0
2012-12-20,53.78,54.18,53.64,54.17,1456000,0.0,1.0
2012-12-21,53.78,53.92,53.39,53.79,2129200,0.0,1.0
2012-12-24,53.55,53.98,53.34,53.79,515900,0.0,1.0
2012-12-26,53.79,54.31,53.44,53.6,1123400,0.0,1.0
2012-12-27,53.54,53.78,53.07,53.66,1685800,0.0,1.0
2012-12-28,53.3,53.59,52.83,52.85,997600,0.0,1.0
2012-12-31,52.84,53.5,52.53,53.46,1717000,0.0,1.0
2013-01-02,54.1,55.24,53.91,55.16,3763100,0.0,1.0
2013-01-03,54.99,55.0,54.22,54.35,2949400,0.0,1.0
2013-01-04,54.46,54.76,53.92,54.75,2127900,0.0,1.0
2013-01-07,54.56,55.14,54.5,54.94,2159300,0.0,1.0
2013-01-08,54.71,55.09,54.04,54.42,1820000,0.0,1.0
2013-01-09,54.44,54.71,54.25,54.63,2473700,0.0,1.0
2013-01-10,54.82,55.75,54.72,55.62,1488300,0.0,1.0
2013-01-11,55.72,55.75,55.24,55.6,2167700,0.0,1.0
2013-01-14,55.64,55.74,55.32,55.68,977700,0.0,1.0
2013-01-15,55.37,55.99,55.21,55.87,1781200,0.0,1.0
2013-01-16,55.73,55.73,55.28,55.53,1991700,0.0,1.0
2013-01-17,55.77,56.65,55.66,56.56,1899400,0.0,1.0
2013-01-18,56.71,56.71,56.17,56.33,1540000,0.0,1.0
2013-01-22,56.26,57.27,56.07,57.14,2155700,0.0,1.0
2013-01-23,57.0,57.38,56.61,57.38,1396300,0.0,1.0
2013-01-24,57.41,58.24,57.35,58.15,1309400,0.0,1.0
2013-01-25,58.2,58.48,57.805,58.48,2618500,0.0,1.0
2013-01-28,58.73,59.14,58.1,58.46,1990100,0.0,1.0
2013-01-29,58.27,59.14,58.19,58.77,1220900,0.0,1.0
2013-01-30,58.61,59.0,58.38,58.8,1600700,0.0,1.0
2013-01-31,58.61,58.76,58.215,58.34,1918800,0.0,1.0
2013-02-01,58.64,58.96,58.33,58.88,1300100,0.0,1.0
2013-02-04,58.59,59.08,58.28,58.35,1494200,0.0,1.0
2013-02-05,60.33,60.89,60.01,60.38,2955300,0.0,1.0
2013-02-06,60.0,60.33,59.32,59.67,2354100,0.0,1.0
2013-02-07,59.9,61.38,59.6,61.35,4577400,0.0,1.0
2013-02-08,61.7,62.2199,61.01,61.93,1638500,0.0,1.0
2013-02-11,61.91,61.94,61.18,61.83,1486600,0.0,1.0
2013-02-12,61.87,62.15,61.68,61.98,1910100,0.0,1.0
2013-02-13,62.12,62.14,61.47,61.89,1729700,0.0,1.0
2013-02-14,61.75,61.9,61.31,61.45,1915000,0.0,1.0
2013-02-15,61.45,61.98,60.97,61.08,1584200,0.0,1.0
2013-02-19,56.98,60.67,55.97,60.43,4416300,0.0,1.0
2013-02-20,60.57,60.575,59.22,59.27,1876800,0.0,1.0
2013-02-21,59.18,59.79,58.69,59.17,1926400,0.0,1.0
2013-02-22,59.28,59.63,58.62,58.71,1283300,0.0,1.0
2013-02-25,58.81,59.21,57.63,57.64,2079600,0.0,1.0
2013-02-26,57.81,58.07,57.11,57.88,2299800,0.0,1.0
2013-02-27,57.74,59.07,57.74,58.98,1329800,0.0,1.0
2013-02-28,58.92,59.03,58.176,58.46,1616400,0.0,1.0
2013-03-01,58.26,58.6,57.53,58.26,1880200,0.0,1.0
2013-03-04,57.95,58.52,57.8,58.17,1645500,0.0,1.0
2013-03-05,58.3,59.44,58.02,59.39,3014800,0.0,1.0
2013-03-06,59.38,59.5,59.0,59.5,2258900,0.0,1.0
2013-03-07,59.5,59.75,58.89,58.94,1809400,0.0,1.0
2013-03-08,59.23,59.74,58.93,59.66,1268400,0.04,1.0
2013-03-11,59.86,60.67,59.65,60.57,1790800,0.0,1.0
2013-03-12,60.34,61.655,60.31,61.55,2606300,0.0,1.0
2013-03-13,61.41,62.11,61.33,62.05,1792800,0.0,1.0
2013-03-14,62.12,62.295,61.59,62.26,1533300,0.0,1.0
2013-03-15,62.03,62.77,61.5432,62.63,2465600,0.0,1.0
2013-03-18,62.14,62.54,61.8,62.11,1877100,0.0,1.0
2013-03-19,62.4,62.66,61.85,62.21,1558700,0.0,1.0
2013-03-20,62.74,63.19,61.9,62.15,2225500,0.0,1.0
2013-03-21,61.9,62.14,61.51,61.74,2211800,0.0,1.0
2013-03-22,61.9,62.11,61.31,61.75,1376900,0.0,1.0
2013-03-25,61.91,62.47,61.47,61.61,1817100,0.0,1.0
2013-03-26,61.83,62.47,61.8,62.24,1243400,0.0,1.0
2013-03-27,62.03,62.64,61.872,62.52,1339800,0.0,1.0
2013-03-28,62.52,62.8,62.21,62.37,1641800,0.0,1.0
2013-04-01,62.31,63.42,61.8775,62.91,2555500,0.0,1.0
2013-04-02,64.91,66.67,64.2601,64.75,4447400,0.0,1.0
2013-04-03,64.33,65.19,63.39,63.61,2409500,0.0,1.0
2013-04-04,63.71,64.57,63.58,64.08,2822400,0.0,1.0
2013-04-05,63.41,64.6,63.41,64.54,2152800,0.0,1.0
2013-04-08,64.2,65.24,63.63,65.24,2109500,0.0,1.0
2013-04-09,65.47,65.5,64.84,64.93,1968600,0.0,1.0
2013-04-10,65.11,65.53,64.73,65.27,1129300,0.0,1.0
2013-04-11,65.39,65.9099,65.28,65.9,1379400,0.0,1.0
2013-04-12,65.7,66.745,65.68,66.72,2020200,0.0,1.0
2013-04-15,66.48,66.94,65.17,65.17,2317400,0.0,1.0
2013-04-16,65.71,66.455,65.24,66.4,1583900,0.0,1.0
2013-04-17,66.03,66.088,64.52,64.87,2711500,0.0,1.0
2013-04-18,64.34,64.34,63.03,64.01,2424800,0.0,1.0
2013-04-19,64.38,65.2,64.0375,65.15,1582800,0.0,1.0
2013-04-22,65.24,65.35,64.33,65.04,1150400,0.0,1.0
2013-04-23,65.38,65.96,64.83,65.64,1961500,0.0,1.0
2013-04-24,65.78,66.48,65.1,65.22,1783800,0.0,1.0
2013-04-25,65.58,66.18,65.54,65.72,1069400,0.0,1.0
2013-04-26,65.86,66.24,65.44,65.81,1147400,0.0,1.0
2013-04-29,65.83,66.145,65.69,66.07,1323700,0.0,1.0
2013-04-30,66.0,66.49,65.18,66.17,1648900,0.0,1.0
2013-05-01,66.2,66.92,65.33,65.38,1844300,0.0,1.0
2013-05-02,66.36,68.87,66.32,68.07,2982700,0.0,1.0
2013-05-03,68.43,68.49,66.9201,67.13,2479000,0.0,1.0
2013-05-06,67.14,67.88,67.0,67.09,1499200,0.0,1.0
2013-05-07,67.05,67.494,66.7,66.93,1760200,0.0,1.0
2013-05-08,66.93,68.38,66.93,68.38,1604500,0.0,1.0
