date,open,high,low,close,volume,dividend,split
2012-11-01,39.83,40.045,39.59,39.77,687600,0.0,1.0
2012-11-02,40.06,40.06,39.05,39.06,1457700,0.0,1.0
2012-11-05,38.89,39.38,38.62,39.23,593500,0.0,1.0
2012-11-06,39.27,39.91,39.26,39.8501,788700,0.0,1.0
2012-11-07,39.69,39.69,38.62,39.05,675500,0.0,1.0
2012-11-08,38.83,39.44,38.83,38.98,717400,0.0,1.0
2012-11-09,39.04,39.33,38.86,39.1,766200,0.0,1.0
2012-11-12,39.12,39.1292,38.6,38.86,759000,0.0,1.0
2012-11-13,38.8,39.14,38.44,38.46,614400,0.0,1.0
2012-11-14,38.68,38.99,37.87,37.9393,595000,0.0,1.0
2012-11-15,38.11,38.595,37.96,38.31,587900,0.0,1.0
2012-11-16,38.47,39.7,38.02,39.1179,2068900,0.0,1.0
2012-11-19,39.51,39.69,39.35,39.63,824800,0.0,1.0
2012-11-20,39.65,39.91,39.43,39.89,669000,0.0,1.0
2012-11-21,39.77,39.975,39.56,39.89,438000,0.0,1.0
2012-11-23,40.2,40.32,39.8328,40.32,264400,0.0,1.0
2012-11-26,39.92,40.29,39.87,40.12,625300,0.0,1.0
2012-11-27,40.14,40.34,39.84,40.04,774200,0.0,1.0
2012-11-28,39.91,40.39,39.6901,40.37,375100,0.0,1.0
2012-11-29,40.51,40.6,40.13,40.44,623400,0.0,1.0
2012-11-30,40.53,40.61,40.27,40.52,1024300,0.0,1.0
2012-12-03,40.64,40.74,40.31,40.42,595700,0.0,1.0
2012-12-04,40.52,40.7,40.3,40.42,505200,0.0,1.0
2012-12-05,40.5,40.635,40.235,40.5,647500,0.0,1.0
2012-12-06,40.5,40.72,40.4002,40.61,518800,0.0,1.0
2012-12-07,40.7,40.77,40.09,40.5,673800,0.0,1.0
2012-12-10,40.74,40.82,40.19,40.58,930900,0.0,1.0
2012-12-11,40.84,40.85,40.4,40.63,811800,0.0,1.0
2012-12-12,40.71,40.96,40.5401,40.58,607500,0.0,1.0
2012-12-13,40.45,40.63,39.815,39.87,2318100,0.0,1.0
2012-12-14,39.87,39.92,39.4,39.62,1100800,0.0,1.0
2012-12-17,39.5,39.87,39.29,39.665,1172000,0.4075,1.0
2012-12-18,39.81,40.14,39.69,40.11,1436100,0.0,1.0
2012-12-19,40.23,40.31,39.91,39.93,794900,0.0,1.0
2012-12-20,40.51,40.51,39.9209,40.1264,1052700,0.0,1.0
2012-12-21,39.88,40.0,39.39,39.61,3530900,0.0,1.0
2012-12-24,39.55,39.79,39.4,39.48,332400,0.0,1.0
2012-12-26,39.47,39.63,39.15,39.29,577800,0.0,1.0
2012-12-27,39.35,39.49,38.581,39.09,917700,0.0,1.0
2012-12-28,38.89,39.04,38.56,38.56,779000,0.0,1.0
2012-12-31,38.64,39.17,38.41,39.16,1068000,0.0,1.0
2013-01-02,39.91,39.91,39.6,39.87,778400,0.0,1.0
2013-01-03,39.95,39.98,39.73,39.87,633000,0.0,1.0
2013-01-04,40.02,40.4,39.86,40.34,737400,0.0,1.0
2013-01-07,40.25,40.52,40.19,40.3,1060500,0.0,1.0
2013-01-08,40.15,40.36,40.0101,40.29,1078900,0.0,1.0
2013-01-09,40.2,40.78,40.05,40.73,613900,0.0,1.0
2013-01-10,40.92,41.21,40.74,41.2,792900,0.0,1.0
2013-01-11,41.26,41.3,40.97,41.26,511000,0.0,1.0
2013-01-14,41.22,41.28,41.02,41.21,678000,0.0,1.0
2013-01-15,41.16,41.21,40.8,41.04,1103800,0.0,1.0
2013-01-16,40.8,41.16,40.72,41.02,505400,0.0,1.0
2013-01-17,41.12,41.42,40.95,41.27,521500,0.0,1.0
2013-01-18,41.32,41.66,40.93,41.62,1981700,0.0,1.0
2013-01-22,41.7,42.43,41.62,42.42,226672,0.0,1.0
2013-01-23,42.33,42.3825,42.07,42.36,425900,0.0,1.0
2013-01-24,42.43,42.77,42.32,42.51,458700,0.0,1.0
2013-01-25,42.51,42.825,42.33,42.78,563200,0.0,1.0
2013-01-28,42.76,42.8,42.25,42.28,596900,0.0,1.0
2013-01-29,42.12,42.78,42.12,42.69,591900,0.0,1.0
2013-01-30,42.65,42.85,42.39,42.51,498600,0.0,1.0
2013-01-31,42.53,42.73,42.41,42.44,671300,0.0,1.0
2013-02-01,42.76,43.5,42.65,43.5,736400,0.0,1.0
2013-02-04,43.36,43.47,43.03,43.33,816600,0.0,1.0
2013-02-05,43.63,43.72,43.41,43.53,579800,0.0,1.0
2013-02-06,43.31,43.99,43.31,43.95,719300,0.0,1.0
2013-02-07,46.88,47.25,44.3601,44.4,1193200,0.0,1.0
2013-02-08,44.5,44.72,44.21,44.61,629000,0.0,1.0
2013-02-11,44.51,44.7,44.37,44.6,545800,0.0,1.0
2013-02-12,44.54,44.67,44.4,44.62,658800,0.0,1.0
2013-02-13,44.59,44.71,44.53,44.71,561500,0.0,1.0
2013-02-14,44.59,44.8,44.5729,44.69,680100,0.0,1.0
2013-02-15,44.7,44.84,44.55,44.84,1041700,0.0,1.0
2013-02-19,44.99,45.0999,44.915,45.06,947000,0.0,1.0
2013-02-20,44.81,45.02,44.49,44.51,739200,0.0,1.0
2013-02-21,44.62,44.83,44.33,44.56,674400,0.0,1.0
