date,open,high,low,close,volume,dividend,split
2012-11-01,104.68,106.14,104.241,105.87,1972400,0.0,1.0
2012-11-02,106.04,106.59,104.86,104.96,1394900,0.0,1.0
2012-11-05,104.54,105.75,104.54,105.23,967900,0.0,1.0
2012-11-06,105.49,106.01,105.07,105.64,1489200,0.0,1.0
2012-11-07,105.6,105.6,104.33,104.97,1408900,0.0,1.0
2012-11-08,104.86,105.18,104.0,104.07,1437400,0.0,1.0
2012-11-09,103.82,104.69,103.67,103.87,1406800,0.0,1.0
2012-11-12,103.99,104.87,103.51,104.31,946000,0.0,1.0
2012-11-13,103.94,105.39,103.8,104.28,1503900,0.0,1.0
2012-11-14,104.49,104.96,103.16,103.53,1607600,0.0,1.0
2012-11-15,103.34,104.15,103.25,103.77,1386300,0.0,1.0
2012-11-16,103.88,105.25,103.79,105.15,2043700,0.0,1.0
2012-11-19,105.91,106.91,105.8,106.91,1512900,0.0,1.0
2012-11-20,106.61,107.09,106.0,106.91,1175600,0.0,1.0
2012-11-21,106.84,107.05,106.08,106.8,1060100,0.0,1.0
2012-11-23,106.51,108.0,106.48,108.0,711800,0.0,1.0
2012-11-26,107.31,108.09,107.09,107.86,982400,0.0,1.0
2012-11-27,107.85,108.48,107.43,107.64,1234700,0.0,1.0
2012-11-28,107.38,107.91,107.17,107.76,1101200,0.0,1.0
2012-11-29,107.94,108.33,107.4,108.01,936500,0.0,1.0
2012-11-30,108.14,108.75,107.8701,108.5,1567500,0.0,1.0
2012-12-03,108.63,109.0,108.01,108.09,1014600,0.0,1.0
2012-12-04,108.0,108.1,107.53,107.58,1035200,0.0,1.0
2012-12-05,107.7,107.7894,106.99,107.21,1382700,0.0,1.0
2012-12-06,107.01,107.21,106.3,106.65,1580500,0.0,1.0
2012-12-07,107.13,108.39,107.1,108.37,1567400,0.0,1.0
2012-12-10,107.65,108.36,106.63,106.79,1847900,0.0,1.0
2012-12-11,107.07,108.2,106.99,107.88,1431300,0.0,1.0
2012-12-12,108.0,108.19,106.68,106.99,1365600,0.0,1.0
2012-12-13,107.23,107.36,105.99,106.16,1558200,0.0,1.0
2012-12-14,106.16,107.0,105.7,105.84,1726200,0.0,1.0
2012-12-17,105.96,106.7,105.7,106.21,1475600,0.0,1.0
2012-12-18,106.42,107.35,105.99,107.26,1860700,0.0,1.0
2012-12-19,107.15,107.5,106.02,106.03,1480600,0.0,1.0
2012-12-20,106.04,106.56,105.35,105.79,1497100,0.0,1.0
2012-12-21,105.18,106.08,104.84,105.1,2751700,0.0,1.0
2012-12-24,104.63,105.36,104.6,105.05,625500,0.0,1.0
2012-12-26,105.05,105.34,104.37,104.71,1344200,0.0,1.0
2012-12-27,104.56,105.54,104.52,105.27,1400900,0.0,1.0
2012-12-28,104.79,105.27,103.965,104.04,1006300,0.0,1.0
2012-12-31,103.77,104.63,102.82,104.54,1779200,0.0,1.0
2013-01-02,105.61,106.31,105.23,106.31,2075100,0.0,1.0
2013-01-03,106.19,106.85,105.99,106.66,1479800,0.0,1.0
2013-01-04,106.69,108.06,106.68,107.9,1252400,0.0,1.0
2013-01-07,107.27,107.27,105.85,106.08,1401800,0.0,1.0
2013-01-08,105.91,106.32,105.755,106.32,885600,0.0,1.0
2013-01-09,106.35,106.64,105.89,106.13,983900,0.0,1.0
2013-01-10,106.3,107.39,106.05,107.39,1260800,0.0,1.0
2013-01-11,107.56,107.92,106.98,107.09,1016000,0.0,1.0
2013-01-14,107.31,108.12,107.0,107.93,732200,0.0,1.0
2013-01-15,107.3,107.91,106.81,107.74,1118000,0.0,1.0
2013-01-16,107.4,107.99,107.02,107.83,730500,0.0,1.0
2013-01-17,108.35,109.29,108.18,108.94,940600,0.0,1.0
2013-01-18,108.76,109.01,108.23,109.01,1371600,0.0,1.0
2013-01-22,108.04,108.46,107.74,108.46,1305200,0.62,1.0
2013-01-23,108.22,108.87,107.94,108.81,1126600,0.0,1.0
