date,open,high,low,close,volume,dividend,split
2012-11-01,72.47,73.24,72.08,72.79,1059700,0.0,1.0
2012-11-02,73.14,73.54,72.82,73.05,1295400,0.0,1.0
2012-11-05,73.13,73.61,72.5,72.92,810200,0.0,1.0
2012-11-06,73.0,73.69,72.91,73.49,702400,0.0,1.0
2012-11-07,73.26,73.56,72.56,73.11,1103900,0.0,1.0
2012-11-08,73.03,73.3,72.55,72.63,693200,0.0,1.0
2012-11-09,72.63,73.33,72.51,72.78,589000,0.0,1.0
2012-11-12,72.82,73.34,72.61,73.04,674000,0.0,1.0
2012-11-13,72.86,73.87,72.85,73.47,800800,0.0,1.0
2012-11-14,73.48,74.0,72.67,72.79,620800,0.0,1.0
2012-11-15,72.7,73.16,72.53,72.67,845500,0.0,1.0
2012-11-16,73.05,74.29,72.75,74.29,1554900,0.0,1.0
2012-11-19,74.47,74.92,73.72,74.1,1488600,0.0,1.0
2012-11-20,74.15,74.5,73.82,74.4,680500,0.0,1.0
2012-11-21,74.49,74.66,73.98,74.34,620300,0.0,1.0
2012-11-23,74.5,74.67,74.2,74.65,454600,0.0,1.0
2012-11-26,74.2,74.86,74.08,74.49,701400,0.0,1.0
2012-11-27,74.49,74.96,74.24,74.63,997000,0.0,1.0
2012-11-28,74.57,75.2,74.41,75.17,696800,0.0,1.0
2012-11-29,75.3,75.46,74.92,75.33,865200,0.0,1.0
2012-11-30,75.37,76.46,74.75,76.35,3722400,0.0,1.0
2012-12-03,76.45,76.74,75.95,76.17,989700,0.0,1.0
2012-12-04,76.04,76.36,75.15,75.51,1053500,0.0,1.0
2012-12-05,75.5,75.78,75.18,75.62,554700,0.0,1.0
2012-12-06,75.54,75.81,75.33,75.79,457400,0.0,1.0
2012-12-07,75.82,76.38,75.69,76.27,589100,0.0,1.0
2012-12-10,76.18,76.27,75.61,75.94,636500,0.0,1.0
2012-12-11,76.18,76.4,75.82,76.07,513300,0.0,1.0
2012-12-12,76.25,76.25,75.57,75.75,553000,0.0,1.0
2012-12-13,75.99,76.25,75.46,75.52,671200,0.0,1.0
2012-12-14,75.23,76.06,75.08,75.4,546700,0.0,1.0
2012-12-17,75.38,76.02,75.24,75.6,660700,0.0,1.0
2012-12-18,75.68,76.54,75.34,76.47,1419400,0.0,1.0
2012-12-19,76.58,76.58,75.5,75.51,922300,0.0,1.0
2012-12-20,75.61,75.96,75.04,75.34,626900,0.0,1.0
2012-12-21,75.24,75.37,74.0,74.02,1717300,0.0,1.0
2012-12-24,73.99,74.04,73.54,73.63,466500,0.0,1.0
2012-12-26,73.66,73.87,72.95,73.1,552300,0.0,1.0
2012-12-27,73.13,73.37,72.66,73.09,714100,0.0,1.0
2012-12-28,72.87,73.46,72.62,72.66,616500,0.0,1.0
2012-12-31,72.53,73.25,72.2,73.22,720300,0.0,1.0
2013-01-02,73.89,74.09,73.5,74.09,1110900,0.0,1.0
2013-01-03,74.01,74.23,73.67,73.89,778200,0.0,1.0
2013-01-04,74.08,74.71,73.92,74.71,899300,0.0,1.0
2013-01-07,74.64,74.79,74.17,74.41,718300,0.0,1.0
2013-01-08,74.41,74.65,74.2,74.63,575300,0.0,1.0
2013-01-09,74.81,75.09,74.63,74.82,532400,0.0,1.0
2013-01-10,74.94,75.48,74.71,75.48,2555600,0.0,1.0
2013-01-11,75.47,75.68,75.06,75.68,2247900,0.0,1.0
2013-01-14,75.81,76.77,75.59,76.6,2657600,0.0,1.0
2013-01-15,76.99,76.99,76.44,76.61,675500,0.0,1.0
2013-01-16,76.49,76.7,76.19,76.2,764900,0.0,1.0
2013-01-17,76.49,76.99,76.22,76.9,655700,0.0,1.0
2013-01-18,76.57,76.89,75.95,76.84,836700,0.64,1.0
2013-01-22,76.76,77.1,76.72,77.1,539600,0.0,1.0
2013-01-23,77.02,77.22,76.81,77.11,508100,0.0,1.0
2013-01-24,77.29,77.78,77.11,77.17,741000,0.0,1.0
2013-01-25,77.61,77.8,77.04,77.54,830500,0.0,1.0
2013-01-28,77.42,77.95,77.3,77.84,838400,0.0,1.0
2013-01-29,77.83,79.0,77.72,78.82,885200,0.0,1.0
2013-01-30,78.82,79.01,78.34,78.68,775800,0.0,1.0
2013-01-31,78.42,78.77,78.02,78.41,1052400,0.0,1.0
2013-02-01,79.03,79.48,78.85,79.16,1033800,0.0,1.0
2013-02-04,80.86,80.86,79.64,79.72,1429800,0.0,1.0
2013-02-05,80.0,80.23,79.63,79.99,956800,0.0,1.0
2013-02-06,79.76,80.93,79.68,80.91,1449600,0.0,1.0
2013-02-07,80.61,80.95,80.46,80.84,560400,0.0,1.0
2013-02-08,80.78,81.34,80.3,80.73,635400,0.0,1.0
2013-02-11,80.52,80.74,80.16,80.5,720000,0.0,1.0
2013-02-12,80.63,80.74,80.08,80.59,743300,0.0,1.0
2013-02-13,80.75,81.31,80.62,81.04,863100,0.0,1.0
2013-02-14,81.02,81.5,80.95,81.39,794000,0.0,1.0
2013-02-15,81.59,82.22,81.46,81.75,1016500,0.0,1.0
2013-02-19,81.75,82.62,81.7,82.54,909400,0.0,1.0
2013-02-20,82.4,82.85,82.17,82.44,615600,0.0,1.0
2013-02-21,82.19,82.63,81.91,82.37,600900,0.0,1.0
2013-02-22,82.37,83.15,82.27,83.13,650000,0.0,1.0
2013-02-25,83.25,83.68,82.32,82.32,740100,0.0,1.0
2013-02-26,82.8,83.79,82.49,83.62,1555400,0.0,1.0
2013-02-27,83.43,84.55,83.0,84.37,951800,0.0,1.0
2013-02-28,84.47,84.95,83.97,84.01,1406700,0.0,1.0
2013-03-01,83.8,84.17,83.21,83.98,954000,0.0,1.0
2013-03-04,83.8,84.17,83.26,84.17,825000,0.0,1.0
2013-03-05,84.45,84.9,84.24,84.77,697400,0.0,1.0
2013-03-06,84.66,85.33,84.6,84.78,742200,0.0,1.0
2013-03-07,84.5,84.91,84.08,84.16,1076100,0.0,1.0
2013-03-08,84.41,84.5,83.71,84.21,773100,0.0,1.0
2013-03-11,84.26,84.78,84.2,84.5,587200,0.0,1.0
2013-03-12,84.55,84.75,84.21,84.35,624300,0.0,1.0
2013-03-13,84.42,84.6,83.93,83.94,834800,0.0,1.0
