date,open,high,low,close,volume,dividend,split
2012-11-01,29.82,30.52,29.59,30.52,2200300,0.0,1.0
2012-11-02,30.66,30.68,30.2,30.23,1644400,0.0,1.0
2012-11-05,30.11,30.26,29.89,29.99,2041600,0.0,1.0
2012-11-06,30.02,30.24,29.97,30.15,4671200,0.0,1.0
2012-11-07,29.81,29.89,28.69,28.81,3681900,0.0,1.0
2012-11-08,28.85,29.17,28.465,28.49,2509200,0.0,1.0
2012-11-09,28.39,28.77,28.35,28.44,2794100,0.0,1.0
2012-11-12,28.77,28.77,28.38,28.61,1401100,0.0,1.0
2012-11-13,28.37,28.81,28.32,28.38,2383400,0.0,1.0
2012-11-14,28.49,28.53,27.82,27.87,2446400,0.0,1.0
2012-11-15,27.86,28.19,27.73,28.02,2371800,0.0,1.0
2012-11-16,28.12,28.31,27.72,28.05,2480000,0.0,1.0
2012-11-19,28.46,28.7175,28.43,28.66,2211500,0.0,1.0
2012-11-20,28.66,29.16,28.44,28.91,1813400,0.0,1.0
2012-11-21,28.83,28.91,28.57,28.67,1338400,0.0,1.0
2012-11-23,28.85,29.19,28.77,29.19,429800,0.0,1.0
2012-11-26,28.94,29.87,28.94,29.79,4253900,0.0,1.0
2012-11-27,29.67,30.145,29.51,29.59,5009900,0.0,1.0
2012-11-28,29.37,29.74,29.21,29.68,3690200,0.0,1.0
2012-11-29,29.84,29.95,29.305,29.42,2499800,0.0,1.0
2012-11-30,29.46,29.79,29.39,29.59,3532600,0.0,1.0
2012-12-03,29.73,29.8,29.07,29.12,2460800,0.0,1.0
2012-12-04,29.06,29.19,28.61,28.82,2584900,0.0,1.0
2012-12-05,28.91,29.19,28.81,28.91,2738600,0.0,1.0
2012-12-06,28.9,28.98,28.73,28.93,1723200,0.0,1.0
2012-12-07,29.01,29.15,28.96,29.13,1282600,0.0,1.0
2012-12-10,29.05,29.58,28.89,29.26,1498300,0.0,1.0
2012-12-11,29.32,29.49,29.27,29.42,1940600,0.0,1.0
2012-12-12,29.5,29.68,29.19,29.27,3158200,0.15,1.0
2012-12-13,28.99,29.13,28.8,28.87,2462900,0.0,1.0
2012-12-14,28.82,28.95,28.63,28.66,1234700,0.0,1.0
2012-12-17,28.78,29.38,28.705,29.36,1747900,0.0,1.0
2012-12-18,29.39,30.45,29.39,30.42,3114200,0.0,1.0
2012-12-19,30.49,30.539,30.14,30.16,1774500,0.0,1.0
2012-12-20,30.21,30.49,30.14,30.41,1226600,0.0,1.0
2012-12-21,29.7,30.33,29.7,30.18,2495400,0.0,1.0
2012-12-24,30.03,30.2,29.8,30.01,623400,0.0,1.0
2012-12-26,30.1,30.37,29.93,30.27,1371400,0.0,1.0
2012-12-27,30.25,30.34,29.73,30.17,1515000,0.0,1.0
2012-12-28,29.95,30.3,29.84,30.13,1603100,0.0,1.0
2012-12-31,30.01,30.34,29.95,30.34,1898300,0.0,1.0
2013-01-02,30.98,31.32,30.73,31.32,2220200,0.0,1.0
2013-01-03,31.38,31.83,31.03,31.72,3715200,0.0,1.0
2013-01-04,31.78,32.62,31.63,32.59,4584100,0.0,1.0
2013-01-07,32.38,32.56,32.01,32.34,2842200,0.0,1.0
2013-01-08,32.29,32.3,31.825,31.93,2046800,0.0,1.0
2013-01-09,31.69,32.06,31.48,31.6,2510100,0.0,1.0
2013-01-10,31.87,32.17,31.58,32.1,2740200,0.0,1.0
2013-01-11,32.03,32.04,31.46,31.83,1622900,0.0,1.0
2013-01-14,31.81,31.88,31.5,31.72,1805700,0.0,1.0
2013-01-15,31.47,31.93,31.47,31.87,2334000,0.0,1.0
2013-01-16,31.97,33.2,31.27,33.05,4462900,0.0,1.0
2013-01-17,33.17,33.91,33.17,33.51,5570800,0.0,1.0
2013-01-18,33.63,33.85,33.15,33.66,2724100,0.0,1.0
2013-01-22,33.55,33.83,33.53,33.79,2060700,0.0,1.0
2013-01-23,33.67,33.7,33.43,33.49,2396900,0.0,1.0
2013-01-24,33.51,33.82,33.43,33.56,1370400,0.0,1.0
2013-01-25,33.68,33.745,33.4597,33.71,1327100,0.0,1.0
2013-01-28,33.65,33.96,33.55,33.86,1724300,0.0,1.0
2013-01-29,33.79,34.02,33.65,33.89,2425400,0.0,1.0
2013-01-30,33.77,34.35,33.77,34.3,3159500,0.0,1.0
2013-01-31,33.86,34.45,33.6,34.36,4051900,0.0,1.0
2013-02-01,34.55,35.21,34.5,35.06,3369600,0.0,1.0
2013-02-04,34.69,34.73,34.23,34.31,2099800,0.0,1.0
2013-02-05,34.48,34.95,34.48,34.83,2115500,0.0,1.0
2013-02-06,34.61,35.175,34.47,35.14,2213000,0.0,1.0
2013-02-07,35.19,35.28,34.86,35.09,1641800,0.0,1.0
2013-02-08,35.19,35.4054,35.0,35.37,1480600,0.0,1.0
2013-02-11,34.72,35.25,34.71,35.06,2061500,0.0,1.0
2013-02-12,35.15,35.22,34.93,35.0,2152000,0.0,1.0
2013-02-13,35.19,35.4,34.94,35.1,1822000,0.0,1.0
2013-02-14,35.0,35.4,34.95,35.32,2133300,0.0,1.0
2013-02-15,34.91,35.2,34.73,34.83,2634500,0.0,1.0
