date,open,high,low,close,volume,dividend,split
2012-11-01,37.66,37.95,37.36,37.55,12076800,0.0,1.0
2012-11-02,37.79,37.96,37.57,37.61,14147900,0.0,1.0
2012-11-05,37.38,37.495,36.72,37.43,13215700,0.0,1.0
2012-11-06,37.41,37.5,37.17,37.17,13631700,0.0,1.0
2012-11-07,36.82,36.93,36.04,36.58,17394200,0.0,1.0
2012-11-08,36.42,36.83,36.19,36.2,11591100,0.0,1.0
2012-11-09,36.0,36.31,35.85,36.12,12117600,0.0,1.0
2012-11-12,36.11,36.24,35.84,36.165,8246700,0.0,1.0
2012-11-13,36.1,36.585,35.75,36.1114,12538900,0.0,1.0
2012-11-14,36.21,36.22,35.31,35.4,13573600,0.0,1.0
2012-11-15,35.4,35.7,34.96,35.14,11606200,0.0,1.0
2012-11-16,35.17,35.57,34.95,35.45,15955500,0.0,1.0
2012-11-19,35.8,36.03,35.5,36.01,10694500,0.0,1.0
2012-11-20,35.96,36.615,35.9,36.56,11059600,0.0,1.0
2012-11-21,36.65,36.65,36.26,36.49,5980900,0.0,1.0
2012-11-23,36.76,36.91,36.555,36.91,3662100,0.0,1.0
2012-11-26,36.69,36.83,36.53,36.63,7104100,0.0,1.0
2012-11-27,36.44,36.65,36.25,36.29,8589100,0.0,1.0
2012-11-28,36.26,36.71,35.905,36.66,13273900,0.0,1.0
2012-11-29,36.7,36.9,36.43,36.86,11492800,0.0,1.0
2012-11-30,36.87,37.27,36.755,37.195,11700100,0.0,1.0
2012-12-03,37.37,37.41,36.98,37.08,8412500,0.0,1.0
2012-12-04,37.06,37.25,36.97,37.2,10301600,0.0,1.0
2012-12-05,37.2,37.29,36.7,36.88,11379500,0.0,1.0
2012-12-06,36.92,37.23,36.805,37.1411,8262200,0.0,1.0
2012-12-07,37.25,37.33,36.82,37.03,11830200,0.0,1.0
2012-12-10,36.95,37.54,36.9,37.25,9237100,0.0,1.0
2012-12-11,37.47,37.55,37.23,37.4,11711200,0.0,1.0
2012-12-12,37.54,37.7645,37.32,37.42,9886600,0.0,1.0
2012-12-13,37.42,37.56,36.68,36.94,10663500,0.0,1.0
2012-12-14,36.88,36.9,36.43,36.54,12332700,0.0,1.0
2012-12-17,36.72,37.57,36.52,37.535,15029900,0.0,1.0
2012-12-18,37.71,38.15,37.28,38.05,13814900,0.0,1.0
2012-12-19,38.06,38.19,37.89,38.01,13650400,0.0,1.0
2012-12-20,38.05,38.22,37.85,38.09,11536800,0.0,1.0
2012-12-21,37.63,37.66,37.01,37.23,26158800,0.0,1.0
2012-12-24,37.11,37.46,37.1,37.36,3393600,0.0,1.0
2012-12-26,37.27,37.4,36.9,37.3,8661500,0.0,1.0
2012-12-27,37.33,37.36,36.39,36.99,13453200,0.0,1.0
2012-12-28,36.67,36.99,36.52,36.54,7587400,0.1625,1.0
2012-12-31,36.4,37.4,36.3,37.36,13407600,0.0,1.0
2013-01-02,38.05,38.57,38.05,38.52,17623200,0.0,1.0
2013-01-03,38.49,38.58,37.98,38.09,11403800,0.0,1.0
2013-01-04,38.2,38.29,37.9,38.07,9517500,0.0,1.0
2013-01-07,37.85,38.04,37.65,37.9,9517000,0.0,1.0
2013-01-08,37.72,38.16,37.21,38.16,16755200,0.0,1.0
2013-01-09,38.25,38.5494,38.12,38.42,9814000,0.0,1.0
2013-01-10,38.65,38.76,38.25,38.5,10497800,0.0,1.0
2013-01-11,38.39,38.58,38.28,38.46,6977800,0.0,1.0
2013-01-14,38.5,38.93,38.47,38.92,8626900,0.0,1.0
2013-01-15,38.87,39.22,38.71,39.2,12442100,0.0,1.0
2013-01-16,39.06,39.29,38.98,39.18,8854400,0.0,1.0
2013-01-17,39.34,40.04,39.22,39.95,11103300,0.0,1.0
2013-01-18,39.92,40.28,39.74,40.265,11771700,0.0,1.0
2013-01-22,40.18,40.25,39.6,39.81,13542300,0.0,1.0
2013-01-23,39.89,40.12,39.8,40.0,9539900,0.0,1.0
2013-01-24,40.22,40.25,39.57,39.58,12619300,0.0,1.0
2013-01-25,39.9199,39.92,39.5,39.76,10395500,0.0,1.0
2013-01-28,39.9,39.91,39.51,39.57,9767500,0.0,1.0
2013-01-29,39.59,39.59,38.95,39.11,14897900,0.0,1.0
2013-01-30,39.3,39.34,38.86,39.03,15038100,0.0,1.0
2013-01-31,38.5,38.93,37.89,38.08,25015700,0.0,1.0
2013-02-01,38.4,38.62,38.13,38.6,15353600,0.0,1.0
2013-02-04,38.45,38.51,37.81,38.19,16171300,0.0,1.0
2013-02-05,38.48,39.475,38.22,39.24,16357500,0.0,1.0
2013-02-06,39.12,39.15,38.6,38.73,11499800,0.0,1.0
2013-02-07,38.67,38.74,38.08,38.62,13031300,0.0,1.0
2013-02-08,38.69,38.88,38.55,38.75,15393500,0.0,1.0
2013-02-11,38.73,38.77,38.39,38.64,7343200,0.0,1.0
2013-02-12,38.6,39.03,38.31,38.97,17427800,0.0,1.0
2013-02-13,41.87,42.0,39.84,40.13,57068300,0.0,1.0
2013-02-14,40.39,40.68,39.9,40.34,21813700,0.0,1.0
