date,open,high,low,close,volume,dividend,split
2012-11-01,56.18,56.66,55.584,56.47,1184700,0.0,1.0
2012-11-02,57.48,57.48,55.6,55.71,1413200,0.0,1.0
2012-11-05,55.33,56.3699,55.24,56.14,1046300,0.0,1.0
2012-11-06,56.4,56.82,56.07,56.37,1366700,0.0,1.0
2012-11-07,55.94,56.12,55.23,55.5713,2866700,0.0,1.0
2012-11-08,55.69,56.17,54.71,54.73,1226000,0.0,1.0
2012-11-09,54.91,55.2,54.25,54.31,1192600,0.0,1.0
2012-11-12,54.34,54.56,53.87,54.34,941800,0.0,1.0
2012-11-13,54.02,54.89,53.94,53.96,1298300,0.0,1.0
2012-11-14,53.95,54.12,53.43,53.56,1492700,0.0,1.0
2012-11-15,53.78,54.55,53.73,54.08,1261200,0.0,1.0
2012-11-16,54.03,54.4399,53.73,54.24,1324000,0.0,1.0
2012-11-19,54.5,54.94,54.2,54.45,1137600,0.0,1.0
2012-11-20,54.42,54.885,54.27,54.6,1141300,0.0,1.0
2012-11-21,54.71,54.75,54.08,54.43,786700,0.0,1.0
2012-11-23,54.5,54.95,54.19,54.64,745700,0.0,1.0
2012-11-26,54.53,55.32,54.53,55.27,1059800,0.0,1.0
2012-11-27,55.19,55.35,54.2,54.29,1489300,0.0,1.0
2012-11-28,54.03,55.08,53.76,54.9,2112500,0.0,1.0
2012-11-29,55.29,55.39,54.77,55.15,1133000,0.0,1.0
2012-11-30,55.15,55.69,54.88,55.27,1528300,0.0,1.0
2012-12-03,55.56,55.82,55.3,55.57,1200500,0.0,1.0
2012-12-04,55.46,55.67,54.1,54.65,2065100,0.0,1.0
2012-12-05,54.63,55.11,54.0,54.72,1537100,0.0,1.0
2012-12-06,54.02,55.3,53.99,55.03,2126800,0.45,1.0
2012-12-07,55.06,55.225,54.55,54.96,1640600,0.0,1.0
2012-12-10,53.83,54.56,53.65,54.06,2608600,0.0,1.0
2012-12-11,54.25,54.37,52.48,52.9304,6543400,0.0,1.0
2012-12-12,53.18,53.58,52.75,52.8,2850000,0.0,1.0
2012-12-13,51.7,52.1,50.81,51.21,3724700,1.3,1.0
2012-12-14,50.81,51.38,50.46,51.23,2844500,0.0,1.0
2012-12-17,51.45,51.7,51.05,51.61,2399900,0.0,1.0
2012-12-18,51.58,52.66,51.5,52.41,4041400,0.0,1.0
2012-12-19,52.69,52.935,52.355,52.63,2515800,0.0,1.0
2012-12-20,53.33,53.45,50.87,51.4,4693700,0.0,1.0
2012-12-21,51.24,51.24,50.31,50.74,3568400,0.0,1.0
2012-12-24,50.6,50.9,50.48,50.83,691500,0.0,1.0
2012-12-26,50.95,51.4,50.62,50.75,1427500,0.0,1.0
2012-12-27,50.49,50.716,49.79,50.35,1677900,0.0,1.0
2012-12-28,50.02,50.67,50.02,50.117,1701500,0.0,1.0
2012-12-31,50.28,50.73,50.04,50.67,2026400,0.0,1.0
2013-01-02,51.3,51.73,51.0,51.34,1923900,0.0,1.0
2013-01-03,51.39,51.67,51.04,51.56,2130700,0.0,1.0
2013-01-04,51.68,54.1697,51.3601,53.77,3770200,0.0,1.0
2013-01-07,53.59,53.96,53.1,53.49,2655100,0.0,1.0
2013-01-08,53.5,53.5,52.5,52.9,1725400,0.0,1.0
2013-01-09,53.09,53.4,52.67,52.86,1169800,0.0,1.0
2013-01-10,52.92,53.5,52.69,53.32,1019800,0.0,1.0
2013-01-11,53.35,54.14,53.35,54.02,1598800,0.0,1.0
2013-01-14,54.07,54.75,54.05,54.33,1769000,0.0,1.0
2013-01-15,54.15,54.83,54.15,54.74,1643800,0.0,1.0
2013-01-16,54.61,54.96,54.26,54.79,1482700,0.0,1.0
2013-01-17,54.83,55.63,54.76,55.48,1302700,0.0,1.0
2013-01-18,55.49,55.76,55.22,55.5,1684800,0.0,1.0
2013-01-22,55.59,56.61,55.37,56.61,2310300,0.0,1.0
2013-01-23,56.45,57.04,56.375,56.85,2550200,0.0,1.0
2013-01-24,56.97,57.5,56.72,57.28,2480500,0.0,1.0
2013-01-25,57.35,57.71,57.02,57.7,1705200,0.0,1.0
2013-01-28,57.75,58.08,57.32,57.66,1647500,0.0,1.0
2013-01-29,57.7,58.1,57.38,57.92,1906000,0.0,1.0
2013-01-30,58.06,58.335,57.92,58.12,2250700,0.0,1.0
2013-01-31,58.06,58.26,57.61,57.84,2157800,0.0,1.0
2013-02-01,58.16,59.21,57.54,59.04,2829900,0.0,1.0
2013-02-04,58.88,58.91,58.14,58.28,2009100,0.0,1.0
2013-02-05,58.43,59.26,58.2,59.18,2287700,0.0,1.0
2013-02-06,56.94,57.81,56.39,56.73,5042100,0.0,1.0
2013-02-07,56.87,57.14,56.41,56.9,2214800,0.0,1.0
2013-02-08,57.07,57.36,56.63,57.27,1461900,0.0,1.0
2013-02-11,57.36,57.73,56.61,56.93,1936600,0.0,1.0
2013-02-12,56.83,57.3699,56.69,57.2,1411900,0.0,1.0
2013-02-13,57.11,57.27,56.6,57.26,2192600,0.0,1.0
2013-02-14,57.21,58.46,57.06,58.44,1966300,0.0,1.0
2013-02-15,58.32,58.8,57.98,58.52,2145400,0.0,1.0
2013-02-19,58.72,59.19,58.58,58.95,1734200,0.0,1.0
2013-02-20,59.1,59.12,57.855,58.02,2175400,0.0,1.0
2013-02-21,57.96,58.12,57.5099,57.62,1310200,0.0,1.0
2013-02-22,57.72,58.46,57.52,58.31,1290700,0.0,1.0
2013-02-25,58.56,59.25,57.49,57.78,2423700,0.0,1.0
2013-02-26,57.72,58.99,57.55,58.98,2874400,0.0,1.0
2013-02-27,58.76,60.06,58.55,60.02,2786100,0.0,1.0
2013-02-28,59.92,60.1,59.3,59.67,3366200,0.0,1.0
2013-03-01,59.82,59.99,59.11,59.92,2452900,0.0,1.0
2013-03-04,59.98,61.03,59.615,60.88,3092200,0.0,1.0
2013-03-05,61.07,61.85,60.91,61.63,2488200,0.0,1.0
2013-03-06,61.32,62.325,61.29,62.01,2167600,0.45,1.0
2013-03-07,62.32,62.37,61.26,61.73,1392000,0.0,1.0
2013-03-08,62.12,62.81,61.79,62.34,1527400,0.0,1.0
2013-03-11,62.17,62.755,62.17,62.59,1956300,0.0,1.0
2013-03-12,62.69,62.92,62.12,62.5,1934500,0.0,1.0
2013-03-13,62.61,62.835,62.49,62.52,1315600,0.0,1.0
2013-03-14,62.53,63.33,62.5,63.08,2156400,0.0,1.0
2013-03-15,63.63,63.63,62.8,63.14,3074400,0.0,1.0
2013-03-18,62.64,62.93,62.4072,62.58,1420900,0.0,1.0
2013-03-19,62.66,62.66,61.04,61.14,2815700,0.0,1.0
2013-03-20,61.6,62.2,61.06,62.03,2458600,0.0,1.0
2013-03-21,61.84,62.1,60.9,60.93,1923600,0.0,1.0
2013-03-22,61.15,61.63,60.59,61.62,1434300,0.0,1.0
2013-03-25,61.92,61.99,61.0,61.29,1230400,0.0,1.0
2013-03-26,61.37,61.72,61.17,61.56,1128100,0.0,1.0
2013-03-27,61.03,61.39,60.67,61.36,1321300,0.0,1.0
2013-03-28,61.46,61.58,60.78,61.41,1301900,0.0,1.0
2013-04-01,61.99,61.99,60.66,60.93,1018400,0.0,1.0
2013-04-02,60.0,61.095,59.91,60.6,2278900,0.0,1.0
2013-04-03,60.42,60.56,59.97,60.04,1745700,0.0,1.0
2013-04-04,60.26,60.4,59.845,60.01,1145000,0.0,1.0
2013-04-05,59.37,60.62,58.51,59.44,2146100,0.0,1.0
2013-04-08,59.29,60.25,59.145,60.25,1056000,0.0,1.0
2013-04-09,60.27,60.4065,59.76,59.96,1129600,0.0,1.0
2013-04-10,59.91,60.33,59.91,60.22,1181100,0.0,1.0
2013-04-11,60.29,60.99,60.11,60.79,1664800,0.0,1.0
2013-04-12,60.68,60.99,60.28,60.48,955600,0.0,1.0
2013-04-15,60.32,60.75,58.81,58.84,1638100,0.0,1.0
2013-04-16,59.23,59.645,58.93,59.45,1529600,0.0,1.0
2013-04-17,59.0,59.29,58.64,58.73,1270900,0.0,1.0
2013-04-18,58.95,59.35,58.36,58.53,1123600,0.0,1.0
2013-04-19,58.93,59.15,58.51,59.01,1693100,0.0,1.0
2013-04-22,59.09,60.55,58.93,60.28,1859400,0.0,1.0
2013-04-23,60.51,60.58,59.54,59.86,2036300,0.0,1.0
2013-04-24,60.02,60.51,59.79,60.17,737200,0.0,1.0
2013-04-25,60.3,61.22,60.26,61.03,1327800,0.0,1.0
2013-04-26,60.94,61.25,60.76,60.77,891600,0.0,1.0
2013-04-29,61.01,61.25,60.67,60.84,1174700,0.0,1.0
2013-04-30,60.8,61.1,60.56,60.86,1064800,0.0,1.0
2013-05-01,60.84,60.98,60.08,60.13,1508600,0.0,1.0
2013-05-02,60.07,60.45,58.62,60.4,1947500,0.0,1.0
2013-05-03,60.67,61.26,60.32,60.64,1808700,0.0,1.0
2013-05-06,60.6,61.21,60.56,60.96,1144300,0.0,1.0
2013-05-07,61.04,61.24,60.42,60.48,1180300,0.0,1.0
2013-05-08,60.14,60.95,59.68,60.7,1492900,0.0,1.0
2013-05-09,60.53,61.2,60.5,60.76,855700,0.0,1.0
2013-05-10,60.77,62.66,60.46,62.52,1875400,0.0,1.0
2013-05-13,62.52,63.33,62.28,62.87,1218300,0.0,1.0
2013-05-14,62.78,63.74,62.1801,63.71,1763200,0.0,1.0
2013-05-15,63.67,64.44,63.08,64.04,1637400,0.0,1.0
2013-05-16,63.73,64.665,63.59,64.23,1578100,0.0,1.0
2013-05-17,64.22,65.33,64.115,65.17,1685400,0.0,1.0
2013-05-20,64.78,65.735,64.75,65.26,1354200,0.0,1.0
2013-05-21,64.95,65.2,64.2516,64.32,1758200,0.0,1.0
2013-05-22,64.19,64.58,62.81,63.07,2451100,0.0,1.0
2013-05-23,62.77,64.37,62.435,64.13,2638300,0.0,1.0
2013-05-24,63.99,64.62,63.1,64.54,1497400,0.0,1.0
2013-05-28,65.19,66.085,65.02,65.49,1745800,0.0,1.0
2013-05-29,65.0,67.98,64.74,67.62,3247900,0.0,1.0
2013-05-30,67.47,70.06,67.47,69.78,4974900,0.0,1.0
2013-05-31,70.38,70.4,67.5,67.93,2604200,0.0,1.0
2013-06-03,67.97,68.78,66.58,68.77,2349500,0.0,1.0
2013-06-04,69.81,69.86,68.39,69.17,3554600,0.0,1.0
2013-06-05,69.08,69.41,68.35,69.27,2788600,0.0,1.0
2013-06-06,68.64,69.37,68.15,68.92,1889700,0.45,1.0
2013-06-07,69.36,72.1325,69.36,72.0,2655200,0.0,1.0
2013-06-10,72.39,73.97,72.07,73.01,3508800,0.0,1.0
2013-06-11,72.5,72.895,71.52,72.39,2177300,0.0,1.0
2013-06-12,72.65,72.97,72.07,72.28,1617200,0.0,1.0
2013-06-13,72.37,74.305,72.05,74.14,2050900,0.0,1.0
2013-06-14,74.38,74.77,73.97,74.29,2456800,0.0,1.0
