date,open,high,low,close,volume,dividend,split
2012-11-01,24.39,24.41,24.14,24.2,1745300,0.0,1.0
2012-11-02,24.35,24.35,23.97,23.98,3689800,0.0,1.0
2012-11-05,23.91,23.95,23.55,23.59,2056800,0.0,1.0
2012-11-06,23.65,23.76,23.54,23.65,1462000,0.0,1.0
2012-11-07,23.51,23.81,23.025,23.15,2024100,0.0,1.0
2012-11-08,23.15,23.46,23.065,23.08,1447500,0.0,1.0
2012-11-09,22.99,23.14,22.86,23.0,1290800,0.0,1.0
2012-11-12,22.99,22.99,22.73,22.79,1265100,0.0,1.0
2012-11-13,22.72,23.1,22.56,22.98,1481200,0.0,1.0
2012-11-14,22.97,23.04,22.79,22.91,2970600,0.0,1.0
2012-11-15,22.9,23.02,22.575,22.79,2056900,0.0,1.0
2012-11-16,22.85,23.22,22.8,23.22,2859600,0.0,1.0
2012-11-19,23.35,23.35,23.03,23.26,2643000,0.0,1.0
2012-11-20,23.55,24.01,23.43,23.49,10147100,0.0,1.0
2012-11-21,23.57,23.57,23.24,23.51,3946200,0.0,1.0
2012-11-23,23.54,23.575,23.35,23.52,1671200,0.0,1.0
2012-11-26,23.52,23.85,23.49,23.83,2630600,0.0,1.0
2012-11-27,23.84,24.07,23.76,23.95,3751900,0.0,1.0
2012-11-28,23.95,24.16,23.845,24.08,2607600,0.0,1.0
2012-11-29,24.13,24.29,23.99,24.23,3881900,0.0,1.0
2012-11-30,24.27,24.45,24.22,24.43,3354900,0.0,1.0
2012-12-03,24.45,24.47,24.145,24.3,2077300,0.0,1.0
2012-12-04,24.31,24.44,24.23,24.38,1933400,0.0,1.0
2012-12-05,24.38,24.85,24.09,24.63,2800000,0.0,1.0
2012-12-06,24.66,24.78,24.55,24.69,1611700,0.0,1.0
2012-12-07,24.68,24.8,24.5701,24.67,1471000,0.0,1.0
2012-12-10,24.63,24.725,24.59,24.7,1506800,0.0,1.0
2012-12-11,24.73,24.81,24.54,24.58,2684500,0.0,1.0
2012-12-12,24.66,24.68,24.44,24.46,3946500,0.0,1.0
2012-12-13,24.45,24.54,24.34,24.42,2189400,0.0,1.0
2012-12-14,24.39,24.46,23.99,24.03,3058600,0.0,1.0
2012-12-17,24.1,24.56,24.09,24.53,2790300,0.0,1.0
2012-12-18,24.56,24.65,24.4,24.58,2744000,0.0,1.0
2012-12-19,24.65,24.72,24.4,24.56,2338200,0.0,1.0
2012-12-20,24.64,24.72,24.47,24.62,1677500,0.0,1.0
2012-12-21,24.45,24.63,24.41,24.54,2966500,0.0,1.0
2012-12-24,24.5,24.6,24.23,24.51,764800,0.0,1.0
2012-12-26,24.53,24.66,24.34,24.36,1355700,0.0,1.0
2012-12-27,24.31,24.43,24.0,24.24,1909600,0.0,1.0
2012-12-28,24.1,24.34,24.05,24.05,1538700,0.0,1.0
2012-12-31,24.03,24.39,23.93,24.38,2948200,0.0,1.0
2013-01-02,24.74,24.9,24.65,24.81,3265000,0.0,1.0
2013-01-03,24.82,25.005,24.74,24.88,2510000,0.0,1.0
2013-01-04,24.92,25.1,24.87,25.1,1864700,0.0,1.0
2013-01-07,25.0,25.07,24.75,24.8,1377800,0.0,1.0
2013-01-08,24.81,24.87,24.66,24.76,2054800,0.0,1.0
2013-01-09,24.78,24.83,24.6,24.81,1784000,0.0,1.0
2013-01-10,24.89,24.95,24.79,24.95,2052700,0.0,1.0
2013-01-11,24.93,25.01,24.84,24.89,1955200,0.0,1.0
2013-01-14,24.93,24.95,24.82,24.92,2211500,0.0,1.0
2013-01-15,24.92,24.94,24.8,24.94,1977600,0.0,1.0
2013-01-16,24.86,24.95,24.75,24.77,1833700,0.0,1.0
2013-01-17,24.85,24.98,24.8,24.91,1962000,0.0,1.0
2013-01-18,24.94,25.09,24.88,25.09,2274000,0.0,1.0
2013-01-22,25.09,25.43,25.05,25.39,1627100,0.0,1.0
2013-01-23,25.33,25.33,25.06,25.18,2156600,0.0,1.0
2013-01-24,25.22,25.47,25.18,25.28,1288700,0.0,1.0
2013-01-25,25.28,25.35,25.12,25.23,3408200,0.0,1.0
2013-01-28,25.27,25.31,25.09,25.26,1653600,0.0,1.0
2013-01-29,25.32,25.56,25.28,25.55,1643600,0.0,1.0
2013-01-30,25.51,25.72,25.46,25.66,2386500,0.0,1.0
2013-01-31,25.62,25.74,25.54,25.7,1936000,0.0,1.0
2013-02-01,25.79,25.93,25.715,25.83,2616700,0.0,1.0
2013-02-04,25.68,25.82,25.655,25.76,2002700,0.0,1.0
2013-02-05,25.85,25.97,25.822,25.87,1933300,0.0,1.0
2013-02-06,25.58,25.68,25.43,25.67,1619000,0.255,1.0
2013-02-07,25.65,25.79,25.53,25.65,1552000,0.0,1.0
2013-02-08,25.69,25.76,25.55,25.66,211963,0.0,1.0
2013-02-11,25.65,25.71,25.63,25.67,193095,0.0,1.0
2013-02-12,25.58,25.855,25.51,25.84,1627000,0.0,1.0
2013-02-13,25.84,25.98,25.72,25.86,1457300,0.0,1.0
2013-02-14,25.83,25.92,25.68,25.75,2744200,0.0,1.0
2013-02-15,25.74,25.91,25.72,25.77,2345100,0.0,1.0
2013-02-19,25.84,26.09,25.84,26.09,2086600,0.0,1.0
2013-02-20,26.08,26.26,26.0,26.05,1628100,0.0,1.0
2013-02-21,25.96,26.15,25.84,26.12,2150200,0.0,1.0
2013-02-22,26.19,26.4,26.06,26.4,1885100,0.0,1.0
2013-02-25,26.51,26.79,26.13,26.13,2551300,0.0,1.0
2013-02-26,26.28,26.49,26.14,26.18,3035500,0.0,1.0
2013-02-27,26.22,26.42,26.16,26.38,2292100,0.0,1.0
2013-02-28,26.41,26.75,26.33,26.61,1983600,0.0,1.0
2013-03-01,26.61,26.74,25.99,26.45,7626600,0.0,1.0
2013-03-04,26.44,26.93,26.39,26.88,3597900,0.0,1.0
2013-03-05,26.97,27.07,26.89,27.0,2156500,0.0,1.0
2013-03-06,27.08,27.15,26.83,26.89,2381600,0.0,1.0
2013-03-07,26.95,27.05,26.83,26.85,1380400,0.0,1.0
2013-03-08,26.89,27.13,26.71,27.08,2657000,0.0,1.0
2013-03-11,27.01,27.21,27.0,27.18,2501400,0.0,1.0
2013-03-12,27.22,27.23,26.86,26.97,2719800,0.0,1.0
2013-03-13,26.95,27.15,26.895,27.11,1223200,0.0,1.0
2013-03-14,27.15,27.36,27.06,27.35,2010700,0.0,1.0
2013-03-15,27.24,27.55,27.19,27.44,5559600,0.0,1.0
2013-03-18,27.29,27.37,27.16,27.2,2402200,0.0,1.0
2013-03-19,27.2,27.32,26.94,27.09,2574500,0.0,1.0
2013-03-20,27.19,27.32,27.14,27.27,2353900,0.0,1.0
2013-03-21,27.2,27.25,27.08,27.13,1985900,0.0,1.0
2013-03-22,27.15,27.375,27.06,27.33,1861600,0.0,1.0
2013-03-25,27.43,27.57,27.08,27.21,2816400,0.0,1.0
2013-03-26,27.29,27.415,27.22,27.35,2250100,0.0,1.0
2013-03-27,27.25,27.495,27.24,27.45,1658100,0.0,1.0
2013-03-28,27.46,27.95,27.39,27.94,2240100,0.0,1.0
2013-04-01,27.94,27.955,27.67,27.8,2258300,0.0,1.0
2013-04-02,27.92,28.005,27.73,27.85,1971000,0.0,1.0
2013-04-03,27.94,27.992,27.67,27.79,1988200,0.0,1.0
2013-04-04,27.83,28.15,27.81,28.14,1969600,0.0,1.0
2013-04-05,27.96,28.26,27.89,28.21,1410700,0.0,1.0
2013-04-08,28.16,28.41,28.07,28.41,1899800,0.0,1.0
2013-04-09,28.5,28.5,28.21,28.25,1377800,0.0,1.0
2013-04-10,28.25,28.47,28.25,28.47,1334100,0.0,1.0
2013-04-11,28.47,28.52,28.34,28.45,2026500,0.0,1.0
2013-04-12,28.39,28.755,28.37,28.73,1459600,0.0,1.0
2013-04-15,28.64,28.77,28.28,28.29,1758800,0.0,1.0
2013-04-16,28.38,28.7,28.1,28.69,1651100,0.0,1.0
2013-04-17,28.61,28.66,28.33,28.53,1579300,0.0,1.0
2013-04-18,28.6,28.8,28.53,28.66,2032600,0.0,1.0
2013-04-19,28.76,29.09,28.62,29.09,1413600,0.0,1.0
2013-04-22,29.08,29.18,28.88,29.06,1051500,0.0,1.0
2013-04-23,29.13,29.14,28.72,29.0,2291800,0.0,1.0
2013-04-24,29.0,29.34,28.84,29.18,1978800,0.0,1.0
2013-04-25,29.39,29.51,29.15,29.24,5797100,0.0,1.0
2013-04-26,29.28,29.61,29.28,29.43,5431000,0.0,1.0
2013-04-29,29.5,29.83,29.37,29.75,5344600,0.0,1.0
2013-04-30,29.79,29.94,29.6,29.94,2431500,0.0,1.0
2013-05-01,29.98,29.98,29.41,29.45,1834100,0.255,1.0
2013-05-02,29.45,29.514,29.17,29.33,2235200,0.0,1.0
2013-05-03,29.45,29.68,29.36,29.39,1834600,0.0,1.0
2013-05-06,29.39,29.48,28.92,28.97,2510700,0.0,1.0
2013-05-07,28.99,29.29,28.96,29.28,2124000,0.0,1.0
2013-05-08,29.25,29.36,28.9,28.98,1352300,0.0,1.0
2013-05-09,28.96,29.08,28.27,28.37,2118800,0.0,1.0
2013-05-10,28.36,28.46,28.14,28.42,1565100,0.0,1.0
2013-05-13,28.33,28.46,28.16,28.36,1974000,0.0,1.0
2013-05-14,28.36,28.63,28.13,28.61,1646400,0.0,1.0
2013-05-15,28.6,29.24,28.53,28.95,1763700,0.0,1.0
2013-05-16,28.89,28.92,28.59,28.66,1809300,0.0,1.0
2013-05-17,28.73,29.14,28.7,29.1,1724600,0.0,1.0
2013-05-20,29.1,29.18,28.89,28.96,1550600,0.0,1.0
2013-05-21,28.93,29.04,28.56,28.81,2133300,0.0,1.0
2013-05-22,28.77,29.17,28.22,28.33,2114500,0.0,1.0
2013-05-23,27.96,28.19,27.58,27.95,2750100,0.0,1.0
2013-05-24,27.86,27.908,27.42,27.53,2122800,0.0,1.0
2013-05-28,27.69,27.95,27.34,27.52,2444000,0.0,1.0
2013-05-29,27.36,27.385,26.79,27.09,2649100,0.0,1.0
2013-05-30,27.36,27.69,27.18,27.19,1982200,0.0,1.0
2013-05-31,27.12,27.5,26.95,26.95,2240000,0.0,1.0
2013-06-03,26.97,27.2,26.62,26.98,3240400,0.0,1.0
2013-06-04,26.93,27.02,26.48,26.63,3502000,0.0,1.0
2013-06-05,26.55,26.58,26.29,26.34,2361200,0.0,1.0
2013-06-06,26.37,26.93,26.31,26.93,2964900,0.0,1.0
2013-06-07,26.99,27.1751,26.75,27.04,1545900,0.0,1.0
2013-06-10,27.15,27.25,26.82,27.15,2309400,0.0,1.0
2013-06-11,26.91,27.13,26.86,26.96,2194700,0.0,1.0
2013-06-12,27.12,27.13,26.52,26.52,2220100,0.0,1.0
2013-06-13,26.51,27.23,26.46,27.2,2666200,0.0,1.0
2013-06-14,27.19,27.46,27.16,27.4,2088800,0.0,1.0
2013-06-17,27.56,27.71,27.28,27.4,2012200,0.0,1.0
