date,open,high,low,close,volume,dividend,split
2012-11-01,39.55,41.12,39.51,40.92,4492300,0.0,1.0
2012-11-02,41.0,41.23,40.48,40.5,2077400,0.0,1.0
2012-11-05,40.28,40.58,40.12,40.26,1598100,0.0,1.0
2012-11-06,40.25,40.62,40.0,40.36,1893000,0.0,1.0
2012-11-07,40.13,40.97,39.65,40.76,3220200,0.0,1.0
2012-11-08,40.65,40.85,39.93,40.33,2930400,0.0,1.0
2012-11-09,40.25,40.8183,40.0288,40.47,2405500,0.0,1.0
2012-11-12,40.6,40.6,39.92,40.06,1815100,0.0,1.0
2012-11-13,40.0,40.99,39.9,40.71,2856100,0.0,1.0
2012-11-14,40.34,40.94,40.12,40.21,2114000,0.0,1.0
2012-11-15,40.15,40.36,39.9,40.16,2237500,0.21,1.0
2012-11-16,40.23,40.46,39.94,40.26,2304800,0.0,1.0
2012-11-19,40.48,40.79,40.37,40.69,1414800,0.0,1.0
2012-11-20,40.62,40.8,40.4,40.8,1960700,0.0,1.0
2012-11-21,40.78,40.91,40.69,40.85,1650100,0.0,1.0
2012-11-23,40.85,41.49,40.82,41.38,1370500,0.0,1.0
2012-11-26,41.35,41.49,41.15,41.45,2611200,0.0,1.0
2012-11-27,41.18,41.51,41.08,41.22,2337700,0.0,1.0
2012-11-28,41.16,41.29,40.84,41.2,2302100,0.0,1.0
2012-11-29,41.49,41.78,41.34,41.52,2530000,0.0,1.0
2012-11-30,41.56,42.24,41.47,42.22,3277300,0.0,1.0
2012-12-03,42.26,42.585,42.19,42.41,2844200,0.0,1.0
2012-12-04,42.33,42.85,42.33,42.75,3092100,0.0,1.0
2012-12-05,42.75,42.75,42.02,42.26,2845600,0.0,1.0
2012-12-06,42.33,42.72,42.2,42.56,3122200,0.0,1.0
2012-12-07,42.78,42.79,42.151,42.27,2496800,0.0,1.0
2012-12-10,42.31,42.5,42.14,42.23,2517700,0.0,1.0
2012-12-11,42.46,43.18,42.39,43.12,4727000,0.0,1.0
2012-12-12,43.2,43.25,42.32,42.71,6062300,0.0,1.0
2012-12-13,42.78,43.15,42.55,42.85,2750300,0.0,1.0
2012-12-14,42.71,43.38,42.62,43.36,2732300,0.0,1.0
2012-12-17,43.36,43.78,43.27,43.78,3104700,0.0,1.0
2012-12-18,43.76,44.02,43.55,43.91,1986200,0.0,1.0
2012-12-19,43.9,43.96,43.46,43.65,2288500,0.0,1.0
2012-12-20,43.75,43.81,43.47,43.8,2320400,0.0,1.0
2012-12-21,43.44,43.93,43.44,43.64,4012300,0.0,1.0
2012-12-24,43.52,43.68,43.21,43.46,643200,0.0,1.0
2012-12-26,43.5,43.61,42.95,43.12,1276800,0.0,1.0
2012-12-27,43.18,43.34,42.76,43.23,1554200,0.0,1.0
2012-12-28,43.12,43.34,42.8,42.82,1039500,0.0,1.0
2012-12-31,42.74,43.22,42.63,43.18,1295200,0.0,1.0
2013-01-02,43.59,43.74,43.225,43.49,1972400,0.0,1.0
2013-01-03,43.54,43.55,43.2,43.4,2026700,0.0,1.0
2013-01-04,43.22,43.73,43.01,43.69,2461500,0.0,1.0
2013-01-07,43.7,43.89,43.5,43.83,1803600,0.0,1.0
