date,open,high,low,close,volume,dividend,split
2012-11-01,143.25,146.96,139.04,146.22,2501000,0.0,1.0
2012-11-02,147.16,148.42,145.88,146.6,1755600,0.0,1.0
2012-11-05,146.87,146.87,143.385,145.09,1685100,0.0,1.0
2012-11-06,145.5,149.07,145.5,147.72,997400,0.0,1.0
2012-11-07,145.91,147.735,145.85,146.52,1416900,0.0,1.0
2012-11-08,146.27,146.75,142.5,143.28,2209600,0.0,1.0
2012-11-09,142.42,144.3,141.02,141.14,1631000,0.0,1.0
2012-11-12,141.66,142.83,139.75,141.68,1208300,0.0,1.0
2012-11-13,140.2,142.68,139.08,141.11,1042500,0.0,1.0
2012-11-14,142.71,143.815,139.36,139.68,1388000,0.0,1.0
2012-11-15,140.19,141.02,139.46,140.73,1137100,0.0,1.0
2012-11-16,141.37,144.9,140.15,144.3,1586500,0.0,1.0
2012-11-19,145.31,149.57,145.31,147.32,2115200,0.0,1.0
2012-11-20,147.35,149.53,144.371,145.9,3067500,0.0,1.0
2012-11-21,150.1,159.09,149.8001,158.78,6979200,0.0,1.0
2012-11-23,156.37,159.69,155.01,159.45,2107700,0.0,1.0
2012-11-26,156.87,160.5,156.6,160.22,2738600,0.0,1.0
2012-11-27,157.38,159.25,156.14,156.37,2973300,0.0,1.0
2012-11-28,155.12,158.09,155.0,157.86,1675500,0.0,1.0
2012-11-29,157.98,159.8,157.86,158.75,1444200,0.0,1.0
2012-11-30,158.18,158.78,156.94,157.67,876000,0.0,1.0
2012-12-03,158.7,159.5,156.87,157.05,1160500,0.0,1.0
2012-12-04,157.04,157.67,155.11,156.94,973500,0.0,1.0
2012-12-05,156.22,157.14,153.23,156.87,1328800,0.0,1.0
2012-12-06,156.49,158.71,156.0,157.41,1277500,0.0,1.0
2012-12-07,157.09,158.47,156.1,156.7,1295500,0.0,1.0
2012-12-10,156.7,158.48,156.39,158.42,966900,0.0,1.0
2012-12-11,158.35,165.89,158.35,165.0,4370100,0.0,1.0
2012-12-12,165.18,168.11,164.4,167.03,2301500,0.0,1.0
2012-12-13,166.17,167.41,165.55,166.64,1614800,0.0,1.0
2012-12-14,165.3,168.16,165.3,166.81,1271700,0.0,1.0
2012-12-17,164.77,170.55,164.66,168.91,2524600,0.0,1.0
2012-12-18,169.01,171.65,168.72,170.9,1222500,0.0,1.0
2012-12-19,171.28,172.75,169.81,169.86,1044000,0.0,1.0
2012-12-20,170.0,170.24,168.52,170.08,1176300,0.0,1.0
2012-12-21,167.93,169.74,167.48,168.95,2682900,0.0,1.0
2012-12-24,168.37,169.44,168.0,169.35,412000,0.0,1.0
2012-12-26,169.2,169.68,165.26,166.34,930100,0.0,1.0
2012-12-27,166.28,167.45,162.66,166.24,1472200,0.0,1.0
2012-12-28,164.44,165.75,163.53,164.18,1032100,0.0,1.0
2012-12-31,163.81,168.33,162.91,168.1,1536800,0.0,1.0
2013-01-02,171.765,173.96,166.88,171.17,2040700,0.0,1.0
2013-01-03,170.07,172.54,168.12,168.71,1426900,0.0,1.0
2013-01-04,168.66,170.39,168.067,169.61,824100,0.0,1.0
2013-01-07,169.28,169.28,166.762,168.98,1046400,0.0,1.0
2013-01-08,169.35,170.7,167.5499,169.97,988400,0.0,1.0
2013-01-09,170.11,172.37,169.33,171.83,964000,0.0,1.0
2013-01-10,172.6,173.83,169.83,173.12,1187300,0.0,1.0
2013-01-11,172.49,173.65,171.23,173.35,1324200,0.0,1.0
2013-01-14,172.94,174.7826,172.45,174.01,953500,0.0,1.0
2013-01-15,172.45,174.96,171.171,174.65,1032000,0.0,1.0
2013-01-16,174.0,174.72,167.27,169.64,4143400,0.0,1.0
2013-01-17,170.78,173.339,170.4201,171.13,1582900,0.0,1.0
2013-01-18,171.52,172.0999,167.64,170.02,1586500,0.0,1.0
2013-01-22,170.02,170.27,166.12,166.89,1875400,0.0,1.0
2013-01-23,167.22,171.72,167.16,170.42,1440000,0.0,1.0
2013-01-24,170.75,173.49,170.49,172.29,1287400,0.0,1.0
2013-01-25,173.19,175.74,172.61,173.86,1627000,0.0,1.0
2013-01-28,177.33,178.91,176.65,178.07,2045000,0.0,1.0
2013-01-29,174.7,175.99,172.31,174.69,1552400,0.0,1.0
2013-01-30,175.04,176.44,171.74,172.3,1810400,0.0,1.0
2013-01-31,173.41,174.78,170.6,172.13,1249900,0.0,1.0
2013-02-01,173.98,175.84,173.23,175.06,1293500,0.0,1.0
2013-02-04,173.79,174.82,171.845,172.76,1338600,0.0,1.0
2013-02-05,173.07,173.76,171.1,172.4,941800,0.0,1.0
2013-02-06,171.47,173.32,170.67,171.3,1220800,0.0,1.0
2013-02-07,171.76,172.5,169.16,170.05,1086500,0.0,1.0
2013-02-08,170.48,171.44,169.48,169.95,1071000,0.0,1.0
