date,open,high,low,close,volume,dividend,split
2012-11-01,17.17,17.58,17.0,17.505,32484300,0.0,1.0
2012-11-02,17.64,17.68,17.31,17.35,28769400,0.0,1.0
2012-11-05,17.33,17.44,17.2,17.4,22190800,0.0,1.0
2012-11-06,17.44,17.71,17.35,17.48,35544700,0.0,1.0
2012-11-07,17.45,17.9,17.09,17.21,49610000,0.0,1.0
2012-11-08,17.22,17.36,16.78,16.83,56064800,0.0,1.0
2012-11-09,16.7,17.03,16.68,16.82,43085800,0.0,1.0
2012-11-12,16.86,17.09,16.75,16.855,28768400,0.0,1.0
2012-11-13,16.71,16.94,16.69,16.85,72206200,0.0,1.0
2012-11-14,18.05,18.25,17.62,17.6608,97058200,0.0,1.0
2012-11-15,17.75,18.08,17.74,17.9413,55885900,0.0,1.0
2012-11-16,17.93,18.05,17.8,17.99,60820500,0.0,1.0
2012-11-19,18.27,18.34,18.1,18.3008,40616400,0.0,1.0
2012-11-20,18.29,18.36,18.07,18.34,30378100,0.0,1.0
2012-11-21,18.37,18.62,18.27,18.48,30479300,0.0,1.0
2012-11-23,18.6,18.89,18.53,18.84,17263100,0.0,1.0
2012-11-26,18.79,19.07,18.59,19.055,34603000,0.0,1.0
2012-11-27,18.9,19.1,18.84,18.9597,53080000,0.14,1.0
2012-11-28,18.89,18.96,18.55,18.83,41262800,0.0,1.0
2012-11-29,18.98,19.1,18.92,19.01,32450600,0.0,1.0
2012-11-30,19.04,19.13,18.83,18.91,45199100,0.0,1.0
2012-12-03,19.02,19.16,18.95,19.0302,32381500,0.0,1.0
2012-12-04,19.08,19.2,19.0,19.17,34313500,0.0,1.0
2012-12-05,19.16,19.45,19.14,19.21,36982900,0.0,1.0
2012-12-06,19.22,19.5,19.2,19.48,35834800,0.0,1.0
2012-12-07,19.6,19.74,19.16,19.335,50602300,0.0,1.0
2012-12-10,19.35,19.9,19.34,19.79,62863500,0.0,1.0
2012-12-11,19.85,20.07,19.67,19.78,58464200,0.0,1.0
2012-12-12,19.8399,19.89,19.69,19.73,38701100,0.0,1.0
2012-12-13,19.69,19.84,19.6,19.74,37844200,0.0,1.0
2012-12-14,19.74,20.0,19.69,19.86,40804400,0.0,1.0
2012-12-17,19.88,20.14,19.8,20.11,46857100,0.0,1.0
2012-12-18,20.1,20.42,20.02,20.3814,41963100,0.0,1.0
2012-12-19,20.42,20.54,20.24,20.2697,38097400,0.0,1.0
2012-12-20,20.27,20.33,20.145,20.24,29942600,0.0,1.0
2012-12-21,19.95,20.05,19.59,19.96,67611700,0.0,1.0
2012-12-24,19.87,19.955,19.74,19.83,12550700,0.0,1.0
2012-12-26,19.83,20.07,19.75,19.92,22083800,0.0,1.0
2012-12-27,19.89,19.91,19.45,19.65,35286600,0.0,1.0
2012-12-28,19.49,19.64,19.42,19.4494,24596400,0.0,1.0
2012-12-31,19.38,19.76,19.31,19.6494,32388300,0.0,1.0
2013-01-02,20.12,20.34,20.01,20.34,40304500,0.0,1.0
2013-01-03,20.46,20.5,20.3,20.45,50603500,0.0,1.0
2013-01-04,20.41,20.68,20.39,20.4819,36378900,0.0,1.0
2013-01-07,20.38,20.42,20.16,20.2903,30790700,0.0,1.0
2013-01-08,20.18,20.34,20.08,20.31,33218100,0.0,1.0
2013-01-09,20.26,20.54,20.25,20.3,30380100,0.0,1.0
2013-01-10,20.35,20.49,20.285,20.44,31419200,0.0,1.0
2013-01-11,20.4,20.51,20.33,20.48,23423800,0.0,1.0
2013-01-14,20.68,20.99,20.65,20.97,55156900,0.0,1.0
2013-01-15,20.92,20.99,20.78,20.98,29550900,0.0,1.0
2013-01-16,20.91,21.18,20.88,21.03,39685100,0.0,1.0
2013-01-17,20.785,21.03,20.78,20.95,41951400,0.0,1.0
2013-01-18,20.85,21.04,20.81,21.015,42835000,0.0,1.0
2013-01-22,20.95,21.0,20.61,20.87,35955400,0.0,1.0
2013-01-23,20.885,20.89,20.61,20.62,37130100,0.0,1.0
