date,open,high,low,close,volume,dividend,split
2012-11-01,20.49,20.84,20.47,20.83,15403800,0.0,1.0
2012-11-02,20.99,21.08,20.63,20.66,10012200,0.0,1.0
2012-11-05,20.57,20.78,20.55,20.71,7017700,0.0,1.0
2012-11-06,20.72,20.92,20.65,20.86,9045900,0.0,1.0
2012-11-07,20.29,20.55,20.15,20.23,13666200,0.0,1.0
2012-11-08,20.26,20.36,20.04,20.04,9822000,0.0,1.0
2012-11-09,20.02,20.1,19.84,19.88,18515400,0.0,1.0
2012-11-12,19.94,20.12,19.86,19.96,6069500,0.0,1.0
2012-11-13,19.85,20.2,19.85,19.9,6666500,0.0,1.0
2012-11-14,19.96,20.03,19.53,19.59,9632400,0.0,1.0
2012-11-15,19.55,19.67,19.2,19.37,8394700,0.0,1.0
2012-11-16,19.45,19.45,18.88,19.01,15469900,0.0,1.0
2012-11-19,19.21,19.68,19.18,19.68,8488900,0.0,1.0
2012-11-20,19.61,19.69,19.39,19.52,6146800,0.0,1.0
2012-11-21,19.56,19.56,19.31,19.37,5372100,0.0,1.0
2012-11-23,19.45,19.71,19.36,19.71,5461200,0.0,1.0
2012-11-26,19.63,20.02,19.6,20.01,9294100,0.0,1.0
2012-11-27,20.08,20.27,19.92,20.01,10447900,0.0,1.0
2012-11-28,19.85,19.88,19.57,19.78,10690500,0.14,1.0
2012-11-29,19.85,19.96,19.62,19.84,8447800,0.0,1.0
2012-11-30,19.82,19.94,19.65,19.76,9570100,0.0,1.0
2012-12-03,19.86,19.92,19.49,19.57,7141600,0.0,1.0
2012-12-04,19.5,19.77,19.5,19.64,7012700,0.0,1.0
2012-12-05,19.72,20.28,19.72,20.16,11812800,0.0,1.0
2012-12-06,20.27,20.31,19.97,20.25,9160800,0.0,1.0
2012-12-07,20.2,20.25,19.81,19.91,13871600,0.0,1.0
2012-12-10,19.82,20.05,19.78,19.93,9476800,0.0,1.0
2012-12-11,20.07,20.07,19.58,19.59,10703400,0.0,1.0
2012-12-12,19.66,19.73,19.42,19.64,16431400,0.0,1.0
2012-12-13,19.66,19.91,19.6,19.74,8148900,0.0,1.0
2012-12-14,19.8,20.04,19.7,19.77,8598300,0.0,1.0
2012-12-17,19.85,20.0,19.72,19.91,6042600,0.0,1.0
2012-12-18,19.96,20.27,19.88,20.24,8935900,0.0,1.0
2012-12-19,20.23,20.25,19.95,20.01,10116200,0.0,1.0
2012-12-20,20.07,20.19,20.0,20.1,10894300,0.0,1.0
2012-12-21,19.77,20.03,19.76,19.95,12707500,0.0,1.0
2012-12-24,19.91,19.96,19.78,19.85,3304900,0.0,1.0
2012-12-26,19.89,19.95,19.64,19.7,5212300,0.0,1.0
2012-12-27,19.73,19.74,19.44,19.62,8546400,0.0,1.0
2012-12-28,19.5,19.65,19.42,19.43,4528100,0.0,1.0
2012-12-31,19.4,19.74,19.36,19.73,6392000,0.0,1.0
2013-01-02,20.11,20.41,20.05,20.17,12526900,0.0,1.0
2013-01-03,20.12,20.67,20.11,20.36,7604200,0.0,1.0
2013-01-04,20.5,21.04,20.4,20.94,9247400,0.0,1.0
2013-01-07,20.81,20.83,20.42,20.46,10994000,0.0,1.0
2013-01-08,20.46,20.53,20.3,20.51,8459200,0.0,1.0
2013-01-09,20.57,20.76,20.47,20.54,8186400,0.0,1.0
2013-01-10,20.42,20.58,20.01,20.54,20697700,0.0,1.0
2013-01-11,20.64,20.67,20.29,20.54,6853200,0.0,1.0
2013-01-14,20.52,20.78,20.45,20.65,6574700,0.0,1.0
2013-01-15,20.59,20.81,20.59,20.78,5428500,0.0,1.0
2013-01-16,20.73,20.9,20.71,20.82,4814300,0.0,1.0
2013-01-17,20.92,20.97,20.65,20.89,7997300,0.0,1.0
2013-01-18,20.68,21.17,20.61,20.91,15325900,0.0,1.0
2013-01-22,20.92,21.0,20.57,20.81,12721900,0.0,1.0
2013-01-23,21.25,21.83,21.06,21.68,18305400,0.0,1.0
