date,open,high,low,close,volume,dividend,split
2012-11-01,41.79,42.66,41.79,42.4,343743,0.0,1.0
2012-11-02,42.71,42.71,41.69,41.8,1289500,0.0,1.0
2012-11-05,41.55,41.6,41.15,41.55,501800,0.0,1.0
2012-11-06,41.69,42.19,41.69,41.8,746600,0.0,1.0
2012-11-07,40.86,41.255,40.44,41.2,862100,0.64,1.0
2012-11-08,41.01,41.03,40.73,40.82,419700,0.0,1.0
2012-11-09,40.63,40.907,40.54,40.65,377600,0.0,1.0
2012-11-12,40.78,40.78,40.28,40.55,270300,0.0,1.0
2012-11-13,40.42,40.87,40.3811,40.53,264400,0.0,1.0
2012-11-14,40.63,40.93,39.74,39.87,396800,0.0,1.0
2012-11-15,39.87,40.01,39.22,39.4,615700,0.0,1.0
2012-11-16,39.51,39.88,39.29,39.6711,423700,0.0,1.0
2012-11-19,40.01,40.13,39.59,40.07,632900,0.0,1.0
2012-11-20,40.03,40.6401,39.87,40.56,545500,0.0,1.0
2012-11-21,40.55,40.69,40.46,40.47,337700,0.0,1.0
2012-11-23,40.65,40.87,40.564,40.86,130200,0.0,1.0
2012-11-26,40.69,40.92,40.64,40.75,368400,0.0,1.0
2012-11-27,40.72,40.92,40.54,40.57,355800,0.0,1.0
2012-11-28,40.44,40.81,40.26,40.69,491600,0.0,1.0
2012-11-29,40.77,41.18,40.56,41.01,666200,0.0,1.0
2012-11-30,41.08,41.49,41.015,41.44,603100,0.0,1.0
2012-12-03,41.64,41.67,41.19,41.44,344400,0.0,1.0
2012-12-04,41.53,41.89,41.41,41.85,334800,0.0,1.0
2012-12-05,41.9,42.13,41.475,41.97,566700,0.0,1.0
2012-12-06,41.97,42.33,41.85,42.31,452400,0.0,1.0
2012-12-07,42.47,42.52,41.95,42.0,520700,0.0,1.0
2012-12-10,41.92,42.13,41.92,42.04,462200,0.0,1.0
2012-12-11,42.15,42.23,41.845,41.85,776700,0.0,1.0
2012-12-12,42.03,42.27,41.75,41.78,560200,0.0,1.0
2012-12-13,41.75,42.0,41.555,41.63,283200,0.0,1.0
2012-12-14,41.56,41.71,41.5,41.575,316600,0.0,1.0
2012-12-17,41.76,42.18,41.69,42.15,316900,0.0,1.0
2012-12-18,42.11,42.73,41.9901,42.59,1083500,0.0,1.0
2012-12-19,42.6,42.84,42.41,42.45,540800,0.0,1.0
2012-12-20,42.55,42.8,42.11,42.79,701300,0.0,1.0
2012-12-21,42.79,42.79,40.7101,41.64,1945200,0.0,1.0
2012-12-24,41.56,41.87,41.23,41.46,360800,0.0,1.0
2012-12-26,41.43,41.45,41.03,41.14,572600,0.0,1.0
2012-12-27,41.03,41.11,40.22,40.7,790400,0.0,1.0
2012-12-28,40.54,40.79,40.28,40.34,608800,0.0,1.0
2012-12-31,40.19,40.9,40.1339,40.9,495900,0.0,1.0
2013-01-02,41.48,42.04,41.24,41.99,801200,0.0,1.0
2013-01-03,42.01,42.5394,41.95,42.18,554400,0.0,1.0
2013-01-04,42.19,42.8,42.16,42.59,499800,0.0,1.0
2013-01-07,42.3,42.615,41.81,42.5,467900,0.0,1.0
2013-01-08,42.37,42.815,42.23,42.62,631700,0.0,1.0
2013-01-09,42.73,42.89,42.43,42.72,341000,0.0,1.0
2013-01-10,42.84,42.84,42.2,42.69,405300,0.0,1.0
