date,open,high,low,close,volume,dividend,split
2012-11-01,47.08,48.04,46.27,48.01,2434600,0.0,1.0
2012-11-02,48.28,48.67,47.48,47.55,3970600,0.0,1.0
2012-11-05,47.61,48.23,47.5,48.06,2207800,0.0,1.0
2012-11-06,48.52,49.24,48.34,48.79,2642900,0.02,1.0
2012-11-07,48.03,48.41,47.48,48.13,2493700,0.0,1.0
2012-11-08,48.28,48.58,47.53,47.6,2259300,0.0,1.0
2012-11-09,47.36,48.0,47.13,47.55,2439700,0.0,1.0
2012-11-12,47.69,48.0,47.37,47.82,1071900,0.0,1.0
2012-11-13,47.19,49.09,47.16,48.35,2033700,0.0,1.0
2012-11-14,48.45,48.72,47.89,47.99,1929700,0.0,1.0
2012-11-15,47.55,48.36,47.38,47.64,2928100,0.0,1.0
2012-11-16,47.9,48.35,47.33,47.97,2339800,0.0,1.0
2012-11-19,48.81,49.89,48.76,49.09,2734500,0.0,1.0
2012-11-20,49.1,49.34,48.62,49.25,1593300,0.0,1.0
2012-11-21,49.26,49.5,48.96,49.46,1013900,0.0,1.0
2012-11-23,49.61,49.89,49.17,49.88,587500,0.0,1.0
2012-11-26,49.17,49.33,47.98,48.09,2864300,0.0,1.0
2012-11-27,48.1,48.15,47.55,47.8,2656700,0.0,1.0
2012-11-28,47.33,47.94,46.83,47.9,3523100,0.0,1.0
2012-11-29,48.28,48.72,47.42,47.75,2391800,0.0,1.0
2012-11-30,47.73,47.9,46.98,47.1,3002500,0.0,1.0
2012-12-03,47.62,48.65,47.37,48.1,2239300,0.0,1.0
2012-12-04,48.05,48.21,47.24,47.57,2193100,0.0,1.0
2012-12-05,47.86,48.65,47.32,47.64,2091900,0.0,1.0
2012-12-06,47.65,48.85,47.46,48.79,2065700,0.0,1.0
2012-12-07,48.9,49.56,48.71,48.84,1937300,0.0,1.0
2012-12-10,48.6,48.97,47.68,48.03,1981600,0.0,1.0
2012-12-11,48.2,48.45,47.78,48.07,1662800,0.0,1.0
2012-12-12,48.23,49.35,48.21,48.59,1672800,0.0,1.0
2012-12-13,48.4,48.5,46.4,47.02,3753900,0.0,1.0
2012-12-14,46.94,47.425,46.74,46.79,2476800,0.0,1.0
2012-12-17,46.95,47.76,46.52,47.75,1423600,0.0,1.0
2012-12-18,47.71,49.29,47.6,48.72,1769200,0.0,1.0
2012-12-19,48.76,50.26,48.72,49.62,3117500,0.0,1.0
2012-12-20,49.75,51.09,49.69,51.07,2521500,0.0,1.0
2012-12-21,50.39,51.18,49.65,50.83,2641800,0.0,1.0
2012-12-24,50.57,50.57,49.74,49.95,636100,0.0,1.0
2012-12-26,50.21,50.31,49.13,49.44,1527700,0.0,1.0
2012-12-27,49.38,49.84,49.14,49.75,1940400,0.0,1.0
2012-12-28,49.36,49.429,48.76,48.83,1376700,0.0,1.0
2012-12-31,48.77,49.81,48.5,49.74,1803000,0.0,1.0
2013-01-02,50.73,50.73,47.71,49.23,4492100,0.0,1.0
2013-01-03,49.26,50.62,48.25,49.89,2794700,0.0,1.0
2013-01-04,50.05,50.61,49.74,50.11,2229500,0.0,1.0
2013-01-07,49.58,49.88,48.82,49.71,2221600,0.0,1.0
2013-01-08,49.48,49.61,48.28,48.96,3089200,0.0,1.0
2013-01-09,48.97,49.01,46.79,47.53,4943200,0.0,1.0
2013-01-10,47.75,47.99,46.8,47.76,2943700,0.0,1.0
2013-01-11,48.01,48.25,47.33,48.1,1919000,0.0,1.0
2013-01-14,48.11,48.93,48.08,48.64,1539100,0.0,1.0
2013-01-15,48.27,49.5,48.05,49.44,1766500,0.0,1.0
2013-01-16,49.42,49.62,48.32,49.59,1946000,0.0,1.0
2013-01-17,49.75,50.69,49.51,50.16,1889700,0.0,1.0
2013-01-18,50.3,51.4,49.99,51.38,2152100,0.0,1.0
2013-01-22,51.35,52.85,50.92,52.57,3076900,0.0,1.0
2013-01-23,52.42,52.55,51.69,51.93,2181800,0.0,1.0
2013-01-24,52.14,53.62,52.14,52.63,1760400,0.0,1.0
2013-01-25,52.45,53.17,52.3,52.85,1891900,0.0,1.0
2013-01-28,52.52,52.77,51.6,51.8,1955600,0.02,1.0
2013-01-29,51.82,52.84,51.51,52.75,1398900,0.0,1.0
2013-01-30,52.74,53.3,52.41,52.5,1322900,0.0,1.0
2013-01-31,52.48,53.23,51.96,52.78,1719700,0.0,1.0
2013-02-01,53.07,53.45,52.61,53.18,1179400,0.0,1.0
2013-02-04,52.78,52.96,52.36,52.55,933400,0.0,1.0
2013-02-05,52.92,53.64,52.69,53.48,1332600,0.0,1.0
2013-02-06,53.25,54.74,53.11,54.4,1526700,0.0,1.0
2013-02-07,54.34,54.44,53.46,54.27,1233200,0.0,1.0
2013-02-08,54.52,55.04,54.514,54.9,1213300,0.0,1.0
2013-02-11,54.81,54.81,53.83,54.66,1191000,0.0,1.0
2013-02-12,54.74,54.93,54.18,54.7,1500200,0.0,1.0
2013-02-13,54.74,55.48,54.74,55.46,1260200,0.0,1.0
2013-02-14,55.22,55.6,54.84,54.96,1638600,0.0,1.0
2013-02-15,54.8,54.83,53.17,54.31,3267400,0.0,1.0
2013-02-19,54.58,55.831,54.4,55.52,2212700,0.0,1.0
2013-02-20,55.63,55.746,53.66,53.69,1946500,0.0,1.0
2013-02-21,53.62,54.02,52.44,53.86,2298200,0.0,1.0
2013-02-22,56.46,59.9,56.45,59.81,6110000,0.0,1.0
2013-02-25,60.26,60.9,58.5,58.5,3786000,0.0,1.0
2013-02-26,58.91,60.95,58.36,60.76,3339200,0.0,1.0
2013-02-27,60.74,62.62,60.6,62.57,3231300,0.0,1.0
2013-02-28,62.5,62.56,61.85,61.97,2814900,0.0,1.0
2013-03-01,61.8,64.11,61.59,63.4,3448600,0.0,1.0
2013-03-04,63.1,63.64,62.46,63.11,2521500,0.0,1.0
2013-03-05,63.73,64.0,62.58,63.09,2279800,0.0,1.0
2013-03-06,62.62,63.18,61.76,62.22,3502700,0.0,1.0
2013-03-07,62.5,64.8,62.29,64.67,2146700,0.0,1.0
2013-03-08,64.97,64.9899,63.8,64.6,1489500,0.0,1.0
2013-03-11,64.59,66.0,64.12,65.97,1941600,0.0,1.0
2013-03-12,66.0,66.05,64.4,65.2,2585300,0.0,1.0
2013-03-13,65.12,65.94,64.98,65.76,1633500,0.0,1.0
2013-03-14,65.85,68.46,65.81,68.26,2527500,0.0,1.0
2013-03-15,68.04,68.98,66.68,67.06,3586900,0.0,1.0
2013-03-18,66.23,68.36,66.23,67.84,1718100,0.0,1.0
2013-03-19,67.88,68.16,66.73,68.07,2454300,0.0,1.0
2013-03-20,68.33,68.5768,66.68,67.86,1906100,0.0,1.0
2013-03-21,67.5,68.1,67.21,67.6,1935800,0.0,1.0
2013-03-22,68.0,68.85,67.25,67.68,1566800,0.0,1.0
2013-03-25,68.27,68.67,66.7,67.42,1535400,0.0,1.0
2013-03-26,66.99,68.21,66.76,67.75,1748400,0.0,1.0
2013-03-27,67.26,68.15,66.69,68.01,1339200,0.0,1.0
2013-03-28,67.7,68.08,67.3,67.61,1511800,0.0,1.0
2013-04-01,66.97,67.89,65.74,66.77,1920100,0.0,1.0
2013-04-02,67.44,67.44,66.49,66.65,1481800,0.0,1.0
2013-04-03,66.53,66.9807,64.06,64.75,1868200,0.0,1.0
2013-04-04,64.95,65.43,63.8111,64.64,1684800,0.0,1.0
2013-04-05,64.24,67.97,63.95,67.96,2705100,0.0,1.0
2013-04-08,68.43,69.96,68.04,68.64,2649800,0.0,1.0
2013-04-09,68.68,71.06,68.28,70.33,2631400,0.0,1.0
2013-04-10,70.75,70.9,69.44,69.55,2442500,0.0,1.0
2013-04-11,70.73,71.39,69.65,69.8,1896600,0.0,1.0
2013-04-12,69.36,69.54,67.69,67.7,2615900,0.0,1.0
2013-04-15,67.05,67.21,63.51,63.53,4315800,0.0,1.0
2013-04-16,64.555,65.25,63.53,64.79,3825100,0.0,1.0
2013-04-17,64.45,64.58,63.26,63.96,2749600,0.0,1.0
2013-04-18,64.62,65.81,63.99,65.72,4365300,0.0,1.0
2013-04-19,65.79,66.19,63.76,64.6,2450800,0.0,1.0
2013-04-22,64.65,66.18,64.05,65.8,1979200,0.0,1.0
2013-04-23,65.81,66.01,64.9,65.9,1655300,0.0,1.0
2013-04-24,66.25,67.62,66.07,66.92,2502500,0.0,1.0
2013-04-25,67.42,70.49,67.16,68.2,2729700,0.0,1.0
2013-04-26,68.49,68.85,66.27,67.33,2168800,0.0,1.0
2013-04-29,67.93,68.75,67.6,68.18,1915500,0.0,1.0
2013-04-30,68.12,68.902,67.44,68.05,2208600,0.0,1.0
2013-05-01,67.57,67.57,65.91,66.19,1752000,0.0,1.0
2013-05-02,66.52,67.81,66.0,66.17,2133300,0.0,1.0
2013-05-03,66.84,68.01,66.34,67.31,1772100,0.0,1.0
2013-05-06,67.31,69.23,67.19,68.07,1608200,0.0,1.0
2013-05-07,68.11,68.99,67.79,67.82,1674600,0.0,1.0
2013-05-08,67.97,68.54,67.21,68.12,1374100,0.0,1.0
2013-05-09,67.82,68.66,66.88,67.66,1550200,0.0,1.0
2013-05-10,67.48,67.48,66.03,66.84,1447500,0.0,1.0
2013-05-13,66.69,67.4,66.49,66.66,1216800,0.0,1.0
2013-05-14,66.83,68.6,66.6301,68.5,1962800,0.02,1.0
2013-05-15,68.24,68.97,67.48,68.53,1959900,0.0,1.0
2013-05-16,68.53,69.42,67.51,67.73,1999800,0.0,1.0
2013-05-17,67.98,70.48,67.89,70.28,2230100,0.0,1.0
2013-05-20,70.31,72.59,70.3,72.28,2800300,0.0,1.0
2013-05-21,72.43,72.7999,70.14,71.11,2232700,0.0,1.0
2013-05-22,71.24,72.52,69.8,70.57,2369500,0.0,1.0
2013-05-23,69.81,72.61,68.7,72.3,2158200,0.0,1.0
2013-05-24,71.62,72.16,70.45,70.96,1753400,0.0,1.0
2013-05-28,72.71,74.23,71.85,72.49,1736300,0.0,1.0
2013-05-29,72.0,73.15,71.78,72.19,1470700,0.0,1.0
2013-05-30,72.2,72.7,71.3,72.17,1777100,0.0,1.0
2013-05-31,71.68,72.37,70.35,70.36,1706800,0.0,1.0
2013-06-03,70.5,71.67,70.25,70.94,1778500,0.0,1.0
2013-06-04,70.73,71.58,69.64,70.42,1531900,0.0,1.0
2013-06-05,70.24,70.66,69.49,70.24,1361200,0.0,1.0
2013-06-06,69.81,70.92,69.17,70.58,1638600,0.0,1.0
2013-06-07,71.05,72.62,70.78,72.31,1516700,0.0,1.0
2013-06-10,72.62,72.95,71.14,71.64,1646100,0.0,1.0
2013-06-11,70.52,71.38,69.9,70.52,1587800,0.0,1.0
2013-06-12,71.02,71.27,69.13,69.45,1578700,0.0,1.0
2013-06-13,69.31,70.7,68.84,70.57,2070700,0.0,1.0
2013-06-14,70.69,70.92,69.06,69.54,1422700,0.0,1.0
2013-06-17,70.47,71.52,70.31,71.31,1575200,0.0,1.0
2013-06-18,71.4,72.85,71.02,72.17,1326500,0.0,1.0
2013-06-19,72.23,72.73,71.431,71.47,1121000,0.0,1.0
2013-06-20,70.21,70.42,68.67,68.94,1761800,0.0,1.0
2013-06-21,69.37,69.38,67.04,68.0,2886500,0.0,1.0
2013-06-24,67.29,69.68,65.68,69.07,2052700,0.0,1.0
2013-06-25,69.93,70.66,68.89,70.35,1537500,0.0,1.0
2013-06-26,71.04,72.14,69.86,71.77,1654500,0.0,1.0
2013-06-27,71.77,72.12,70.59,70.8,1719700,0.0,1.0
2013-06-28,70.36,71.585,69.34,71.02,3183300,0.0,1.0
2013-07-01,71.68,72.09,70.34,70.62,2320200,0.0,1.0
2013-07-02,70.8,72.33,70.53,71.13,1938300,0.0,1.0
2013-07-03,71.08,72.13,70.345,71.69,1422800,0.0,1.0
2013-07-05,72.18,72.4,69.9268,71.45,1650100,0.0,1.0
2013-07-08,71.45,72.28,71.2,71.56,1181300,0.0,1.0
2013-07-09,72.02,72.44,71.38,71.77,1460500,0.0,1.0
2013-07-10,71.99,72.3556,70.73,71.22,1395300,0.0,1.0
2013-07-11,72.41,72.92,69.82,70.94,3050700,0.0,1.0
2013-07-12,70.91,71.06,70.12,70.83,1827800,0.0,1.0
2013-07-15,70.83,70.88,69.57,70.22,2043000,0.0,1.0
2013-07-16,70.29,70.39,68.65,69.58,1910400,0.0,1.0
2013-07-17,69.58,70.05,68.91,69.69,1738800,0.0,1.0
2013-07-18,70.2,73.0,70.2,72.64,2665600,0.0,1.0
2013-07-19,72.95,73.75,71.99,73.67,1713700,0.0,1.0
2013-07-22,73.34,73.72,72.54,72.78,1387600,0.0,1.0
2013-07-23,72.99,73.73,72.12,72.27,1768400,0.0,1.0
2013-07-24,72.45,72.6912,71.23,71.71,2018600,0.0,1.0
2013-07-25,75.01,78.07,75.0,76.56,4622400,0.0,1.0
2013-07-26,76.57,77.94,75.89,77.16,2378600,0.0,1.0
2013-07-29,77.48,77.48,76.22,76.54,1418800,0.0,1.0
2013-07-30,75.98,76.87,75.48,76.72,1538400,0.0,1.0
2013-07-31,77.08,77.768,75.73,75.82,2544900,0.0,1.0
2013-08-01,76.88,77.62,76.29,77.45,2079100,0.0,1.0
2013-08-02,77.34,77.48,76.51,77.18,1758100,0.02,1.0
2013-08-05,77.08,77.47,76.27,77.24,967600,0.0,1.0
2013-08-06,77.05,77.79,76.22,77.58,1629000,0.0,1.0
2013-08-07,77.16,77.46,75.26,75.69,1769200,0.0,1.0
2013-08-08,76.03,76.35,74.25,75.7,1578400,0.0,1.0
2013-08-09,75.65,76.17,75.41,76.0,1529000,0.0,1.0
2013-08-12,75.89,76.38,75.0,75.5,1229300,0.0,1.0
2013-08-13,75.35,75.46,74.521,75.23,1288600,0.0,1.0
2013-08-14,75.42,75.59,74.76,74.78,2456100,0.0,1.0
2013-08-15,36.97,37.81,36.49,37.73,1232050,0.0,2.0
2013-08-16,37.55,37.71,36.98,37.13,2736000,0.0,1.0
2013-08-19,37.23,37.69,36.64,36.72,2309700,0.0,1.0
2013-08-20,37.0,37.8271,36.75,37.56,2802600,0.0,1.0
2013-08-21,37.62,37.95,37.26,37.42,2409600,0.0,1.0
2013-08-22,37.68,38.9944,37.56,38.88,3041800,0.0,1.0
2013-08-23,38.73,39.0,38.4,38.85,2654600,0.0,1.0
2013-08-26,39.0,39.45,38.795,38.84,1991500,0.0,1.0
2013-08-27,38.44,39.4,38.26,38.75,3145400,0.0,1.0
2013-08-28,38.74,39.97,38.55,39.46,3284800,0.0,1.0
2013-08-29,39.52,39.56,39.0,39.4,2724800,0.0,1.0
2013-08-30,39.35,39.56,38.96,39.13,2776700,0.0,1.0
2013-09-03,39.77,40.34,39.77,39.93,3568700,0.0,1.0
2013-09-04,39.72,39.9899,38.95,39.43,3500700,0.0,1.0
