date,open,high,low,close,volume,dividend,split
2012-11-01,66.88,67.44,66.58,67.21,3390300,0.0,1.0
2012-11-02,67.53,67.99,66.11,66.15,2800000,0.0,1.0
2012-11-05,66.12,66.68,65.51,66.02,2677400,0.0,1.0
2012-11-06,66.6,67.39,66.04,67.35,2736800,0.0,1.0
2012-11-07,68.11,68.81,65.9,66.94,3972300,0.0,1.0
2012-11-08,66.15,67.58,65.24,65.2715,2841400,0.0,1.0
2012-11-09,65.25,66.84,65.09,66.0,3384200,0.0,1.0
2012-11-12,66.22,66.54,65.3999,65.95,1677200,0.0,1.0
2012-11-13,65.62,65.92,64.7201,65.282,1858400,0.0,1.0
2012-11-14,65.3,65.51,64.2,64.29,2921300,0.0,1.0
2012-11-15,64.96,65.22,64.56,65.0102,2656500,0.0,1.0
2012-11-16,64.98,65.94,64.965,65.74,2967200,0.0,1.0
2012-11-19,66.42,66.8,65.97,66.15,2289900,0.0,1.0
2012-11-20,65.79,66.0954,64.51,65.34,3432800,0.0,1.0
2012-11-21,65.66,65.99,65.28,65.51,1187400,0.0,1.0
2012-11-23,66.04,66.5,65.3,66.48,1087000,0.0,1.0
2012-11-26,66.1,66.47,65.1,65.99,1948200,0.0,1.0
2012-11-27,65.57,66.16,65.21,65.54,1780800,0.0,1.0
2012-11-28,65.1,65.86,64.62,65.68,1785100,0.0,1.0
2012-11-29,66.15,67.36,66.1325,67.12,3038700,0.0,1.0
2012-11-30,66.92,67.43,66.4,67.23,2888400,0.0,1.0
2012-12-03,67.53,68.33,66.94,66.98,2785400,0.0,1.0
2012-12-04,67.05,67.3,66.32,67.14,1517800,0.0,1.0
2012-12-05,68.6,70.15,67.67,69.75,3785700,0.0,1.0
2012-12-06,69.73,70.05,69.13,69.97,2825000,0.0,1.0
2012-12-07,70.31,70.37,69.45,70.315,2172800,0.0,1.0
2012-12-10,69.97,71.0,69.97,70.97,2423400,0.0,1.0
2012-12-11,71.0,72.69,70.9,72.27,2986800,0.0,1.0
2012-12-12,72.35,72.54,71.87,72.2,1690500,0.0,1.0
2012-12-13,71.77,72.98,71.61,72.09,2171900,0.0,1.0
2012-12-14,72.05,72.76,71.95,72.53,1842800,0.0,1.0
2012-12-17,72.62,73.0,72.33,72.94,2201600,0.0,1.0
2012-12-18,73.13,74.605,72.91,74.26,2408000,0.0,1.0
2012-12-19,74.72,74.87,73.21,73.27,2194700,0.0,1.0
