date,open,high,low,close,volume,dividend,split
2012-11-01,46.47,46.69,46.321,46.49,6273500,0.0,1.0
2012-11-02,46.77,46.91,46.42,46.56,6426800,0.0,1.0
2012-11-05,46.26,46.76,46.26,46.63,7648000,0.0,1.0
2012-11-06,47.66,47.78,45.93,46.88,15814400,0.0,1.0
2012-11-07,46.85,46.93,46.25,46.69,7369800,0.0,1.0
2012-11-08,46.58,46.87,46.28,46.43,6132900,0.0,1.0
2012-11-09,46.26,46.553,46.16,46.36,6476100,0.0,1.0
2012-11-12,46.6,46.93,46.16,46.25,4470200,0.0,1.0
2012-11-13,46.16,46.45,46.02,46.23,8726300,0.0,1.0
2012-11-14,46.26,46.4,45.39,45.41,9395800,0.0,1.0
2012-11-15,45.26,45.53,44.56,44.7,7837700,0.0,1.0
2012-11-16,44.79,45.04,44.33,44.8,9274300,0.0,1.0
2012-11-19,45.08,45.24,44.97,45.08,7706800,0.0,1.0
2012-11-20,45.12,45.57,44.95,45.57,6545200,0.0,1.0
2012-11-21,45.5,45.83,45.35,45.74,4140200,0.0,1.0
2012-11-23,45.78,45.86,45.48,45.83,2598000,0.0,1.0
2012-11-26,45.57,45.6994,45.26,45.3,6223400,0.0,1.0
2012-11-27,45.39,45.99,45.22,45.25,5917000,0.0,1.0
2012-11-28,45.16,45.88,45.07,45.88,5896800,0.0,1.0
2012-11-29,46.0,46.39,45.91,46.34,5067100,0.0,1.0
2012-11-30,46.25,46.65,46.15,46.51,11184000,0.0,1.0
2012-12-03,46.53,46.67,46.19,46.28,5705200,0.0,1.0
2012-12-04,46.31,46.38,45.895,45.94,5833700,0.0,1.0
2012-12-05,46.03,46.35,45.81,46.18,5174500,0.0,1.0
2012-12-06,46.28,46.755,46.16,46.71,5960700,0.0,1.0
2012-12-07,46.74,46.9,46.59,46.84,4214500,0.0,1.0
2012-12-10,46.84,47.55,46.84,47.24,5332900,0.0,1.0
2012-12-11,47.36,47.81,47.36,47.55,6821100,0.0,1.0
2012-12-12,47.67,47.805,47.345,47.54,6023900,0.0,1.0
2012-12-13,49.3,49.8,48.17,48.5,16342900,0.0,1.0
2012-12-14,49.0,49.72,48.85,49.24,12003000,0.0,1.0
2012-12-17,49.32,49.41,48.89,49.04,9511400,0.0,1.0
2012-12-18,49.0,49.31,48.81,49.2,7721700,0.0,1.0
2012-12-19,49.26,49.35,48.74,48.75,5632100,0.0,1.0
2012-12-20,48.89,49.21,48.81,49.13,5907700,0.0,1.0
2012-12-21,48.76,49.12,48.16,48.67,11021400,0.0,1.0
2012-12-24,48.48,48.73,48.37,48.63,1516300,0.0,1.0
2012-12-26,48.63,48.88,48.22,48.3,2949000,0.0,1.0
2012-12-27,48.32,48.49,47.96,48.4,3980400,0.0,1.0
2012-12-28,48.12,48.42,47.895,47.92,3420100,0.0,1.0
2012-12-31,47.76,48.45,47.65,48.35,5069500,0.0,1.0
2013-01-02,49.02,49.69,49.0,49.68,8925500,0.0,1.0
2013-01-03,49.55,49.8,49.43,49.78,6082200,0.0,1.0
2013-01-04,49.85,50.1,49.66,49.99,5615700,0.0,1.0
2013-01-07,49.63,50.04,49.44,50.03,5178100,0.0,1.0
2013-01-08,49.94,50.16,49.68,49.85,4708000,0.0,1.0
2013-01-09,50.01,50.28,50.0,50.28,5895200,0.0,1.0
2013-01-10,50.45,51.24,50.45,51.23,6909500,0.0,1.0
2013-01-11,50.93,51.39,50.93,51.3,7209200,0.0,1.0
2013-01-14,51.41,51.94,51.155,51.89,5222300,0.0,1.0
2013-01-15,51.63,51.8,51.43,51.79,5472700,0.0,1.0
2013-01-16,51.61,51.95,51.57,51.76,4190100,0.0,1.0
2013-01-17,51.86,52.42,51.6801,52.17,6376600,0.0,1.0
2013-01-18,52.33,52.35,51.89,52.11,5654300,0.0,1.0
2013-01-22,51.84,52.39,51.65,52.11,6231200,0.225,1.0
2013-01-23,51.92,52.63,51.92,52.61,4571400,0.0,1.0
2013-01-24,52.6,52.73,52.04,52.06,6314700,0.0,1.0
2013-01-25,52.32,52.418,51.56,51.86,8773200,0.0,1.0
2013-01-28,51.21,51.64,50.9,51.34,7026100,0.0,1.0
2013-01-29,51.27,51.62,51.13,51.34,6527100,0.0,1.0
2013-01-30,51.3,51.84,51.25,51.65,3961300,0.0,1.0
2013-01-31,51.57,51.69,51.19,51.2,5865600,0.0,1.0
2013-02-01,51.63,51.77,51.53,51.58,5694800,0.0,1.0
