date,open,high,low,close,volume,dividend,split
2012-11-01,110.02,111.6915,109.89,111.46,6480500,0.0,1.0
2012-11-02,110.7,111.21,107.57,108.37,8375300,0.0,1.0
2012-11-05,107.74,109.34,107.74,109.19,4058300,0.0,1.0
2012-11-06,109.65,110.69,109.25,110.36,5379400,0.0,1.0
2012-11-07,109.24,109.3,106.78,107.51,7627300,0.0,1.0
2012-11-08,107.23,107.67,105.87,105.87,6208900,0.0,1.0
2012-11-09,105.26,106.6943,105.08,105.84,5835100,0.0,1.0
2012-11-12,106.45,106.52,105.49,105.93,4001800,0.0,1.0
2012-11-13,105.37,106.45,105.2,105.28,4834200,0.0,1.0
2012-11-14,104.99,105.01,102.22,102.5,8609400,0.9,1.0
2012-11-15,101.99,103.47,100.66,101.6203,9774300,0.0,1.0
2012-11-16,101.56,102.49,101.0,102.4,8242400,0.0,1.0
2012-11-19,103.67,104.35,103.14,104.35,6850900,0.0,1.0
2012-11-20,104.01,104.12,102.92,103.56,5283800,0.0,1.0
2012-11-21,103.95,104.12,103.41,104.1,3656400,0.0,1.0
2012-11-23,104.87,105.47,104.46,105.47,2776400,0.0,1.0
2012-11-26,104.75,104.99,104.25,104.99,4354100,0.0,1.0
2012-11-27,105.0,105.16,103.2,103.38,6612400,0.0,1.0
2012-11-28,102.98,105.62,102.76,105.58,7024200,0.0,1.0
2012-11-29,105.89,106.69,105.38,105.79,5756200,0.0,1.0
2012-11-30,106.1,106.37,105.27,105.69,6676400,0.0,1.0
2012-12-03,106.0,106.07,104.38,104.66,5736400,0.0,1.0
2012-12-04,104.4,105.09,103.94,103.96,6665100,0.0,1.0
2012-12-05,104.38,105.81,104.0,105.17,6430800,0.0,1.0
2012-12-06,105.49,106.5,105.29,106.45,7392300,0.0,1.0
2012-12-07,106.73,107.0,106.14,106.99,4947300,0.0,1.0
2012-12-10,107.1,107.69,106.475,106.96,5512100,0.0,1.0
2012-12-11,107.29,108.23,107.15,107.74,5922700,0.0,1.0
2012-12-12,108.17,109.18,107.925,108.08,5968200,0.0,1.0
2012-12-13,108.54,108.54,107.46,107.91,4909800,0.0,1.0
2012-12-14,107.61,108.39,107.4,107.82,5889300,0.0,1.0
2012-12-17,107.97,108.84,107.94,108.68,6097100,0.0,1.0
2012-12-18,108.54,110.4,108.32,110.1,7102700,0.0,1.0
2012-12-19,110.47,111.11,109.89,109.91,7623200,0.0,1.0
2012-12-20,110.0,110.67,109.65,110.38,5873900,0.0,1.0
2012-12-21,109.57,110.3,108.56,109.71,15611700,0.0,1.0
2012-12-24,109.3,109.39,108.48,108.63,2284400,0.0,1.0
2012-12-26,109.1,109.27,108.206,108.46,4094300,0.0,1.0
2012-12-27,108.46,108.86,107.27,108.52,5525700,0.0,1.0
2012-12-28,107.68,107.778,106.3,106.45,5277100,0.0,1.0
2012-12-31,105.75,108.23,105.75,108.14,6554000,0.0,1.0
2013-01-02,110.27,110.42,108.74,110.39,6144100,0.0,1.0
2013-01-03,110.14,110.92,109.51,109.92,6817000,0.0,1.0
2013-01-04,109.99,110.62,109.9,110.5,4414500,0.0,1.0
2013-01-07,110.09,110.09,109.19,109.75,4861000,0.0,1.0
2013-01-08,109.48,109.69,109.1,109.26,6325400,0.0,1.0
2013-01-09,109.72,110.08,109.203,109.54,4558600,0.0,1.0
2013-01-10,110.19,110.76,110.09,110.47,5276400,0.0,1.0
2013-01-11,111.2,112.076,110.8,111.73,5456300,0.0,1.0
2013-01-14,111.38,112.95,111.35,112.85,6373900,0.0,1.0
2013-01-15,112.26,113.47,112.15,113.44,5637600,0.0,1.0
2013-01-16,113.31,114.33,113.165,113.97,6148500,0.0,1.0
2013-01-17,114.73,115.86,114.59,114.74,6966000,0.0,1.0
2013-01-18,115.23,115.24,114.062,115.24,8538000,0.0,1.0
2013-01-22,115.11,115.94,114.53,115.91,5398000,0.0,1.0
