date,open,high,low,close,volume,dividend,split
2012-11-01,57.73,58.46,57.6106,58.44,668000,0.0,1.0
2012-11-02,58.6,58.67,57.93,57.94,605100,0.0,1.0
2012-11-05,57.54,58.49,57.47,58.42,579300,0.0,1.0
2012-11-06,58.39,59.15,58.06,58.93,604000,0.0,1.0
2012-11-07,58.72,59.19,57.96,58.06,651200,0.0,1.0
2012-11-08,58.01,58.32,57.32,57.33,568500,0.0,1.0
2012-11-09,57.29,58.049,57.005,57.17,763000,0.0,1.0
2012-11-12,57.32,57.8,57.0414,57.21,507200,0.0,1.0
2012-11-13,57.11,57.35,56.66,56.67,970000,0.0,1.0
2012-11-14,56.69,57.02,56.17,56.31,631600,0.0,1.0
2012-11-15,56.37,56.64,55.98,56.5,522500,0.0,1.0
2012-11-16,56.77,57.95,56.6,57.8,1488500,0.0,1.0
2012-11-19,57.99,58.24,57.69,57.89,965400,0.0,1.0
2012-11-20,57.71,57.78,56.85,57.34,892000,0.0,1.0
2012-11-21,57.25,57.55,56.88,57.23,817700,0.0,1.0
2012-11-23,57.43,58.0,57.29,57.98,274400,0.0,1.0
2012-11-26,57.65,57.87,56.59,57.24,1538400,0.0,1.0
2012-11-27,57.02,57.5,56.8633,57.12,695200,0.0,1.0
2012-11-28,56.95,57.51,56.72,57.41,690400,0.0,1.0
2012-11-29,57.68,58.51,57.47,58.11,850600,0.0,1.0
2012-11-30,58.01,58.22,57.46,57.78,1474100,0.0,1.0
2012-12-03,57.92,58.32,57.72,57.74,883500,0.0,1.0
2012-12-04,57.68,57.9835,57.45,57.85,868400,0.0,1.0
2012-12-05,57.91,58.41,57.5,58.09,754400,0.0,1.0
2012-12-06,58.11,58.36,57.93,58.29,649300,0.0,1.0
2012-12-07,58.44,58.44,57.92,58.26,424800,0.0,1.0
2012-12-10,58.15,58.26,57.96,58.04,574400,0.0,1.0
2012-12-11,58.02,58.65,57.981,58.54,1095200,0.0,1.0
2012-12-12,58.46,59.435,58.35,58.89,709300,0.0,1.0
2012-12-13,58.84,59.07,58.55,58.73,671800,0.0,1.0
2012-12-14,58.71,59.76,58.5,59.17,1162800,0.0,1.0
2012-12-17,59.35,59.7,59.07,59.46,868400,0.0,1.0
2012-12-18,59.68,60.83,59.49,60.56,938700,0.0,1.0
2012-12-19,60.53,60.68,60.01,60.18,747900,0.0,1.0
2012-12-20,60.33,60.33,59.81,60.05,773600,0.0,1.0
2012-12-21,59.68,59.78,59.4,59.42,1340200,0.0,1.0
2012-12-24,59.4,59.4,58.84,59.0,301800,0.0,1.0
2012-12-26,59.07,59.15,58.33,58.6,545100,0.0,1.0
2012-12-27,58.55,59.0,58.44,58.83,621500,0.0,1.0
2012-12-28,58.64,58.68,57.71,57.72,543900,0.0,1.0
2012-12-31,57.68,58.27,57.22,58.27,579100,0.0,1.0
2013-01-02,58.67,59.2,58.17,58.66,1225000,0.0,1.0
2013-01-03,58.61,59.15,58.09,58.37,1191800,0.0,1.0
2013-01-04,58.54,58.67,57.9475,58.0,1556400,0.0,1.0
2013-01-07,58.04,58.04,57.43,57.79,1478700,0.0,1.0
2013-01-08,57.83,57.886,57.11,57.68,2135700,0.0,1.0
2013-01-09,57.59,58.87,57.59,58.76,1963800,0.3,1.0
2013-01-10,58.9,59.71,58.75,59.58,1186400,0.0,1.0
2013-01-11,59.47,59.695,59.02,59.41,852300,0.0,1.0
2013-01-14,59.46,59.81,59.19,59.66,1126800,0.0,1.0
2013-01-15,59.55,59.9,59.1,59.86,712700,0.0,1.0
2013-01-16,59.65,59.98,59.36,59.93,742800,0.0,1.0
2013-01-17,60.0,60.571,59.95,60.55,752100,0.0,1.0
2013-01-18,60.63,61.4,60.43,61.4,2993000,0.0,1.0
2013-01-22,61.24,61.95,61.03,61.83,2102900,0.0,1.0
2013-01-23,57.96,58.94,57.36,58.41,3968100,0.0,1.0
2013-01-24,58.36,59.35,58.32,58.45,1668200,0.0,1.0
2013-01-25,58.45,58.57,57.7,57.94,1216500,0.0,1.0
2013-01-28,58.12,58.38,57.7,58.24,1291000,0.0,1.0
2013-01-29,57.71,58.26,57.03,58.25,1973700,0.0,1.0
2013-01-30,58.25,58.57,57.98,58.35,1565300,0.0,1.0
2013-01-31,58.4,58.4501,57.84,57.95,2358100,0.0,1.0
2013-02-01,58.4,58.47,57.57,58.11,1599100,0.0,1.0
2013-02-04,57.97,58.43,57.61,57.7,887500,0.0,1.0
2013-02-05,57.86,58.18,57.56,57.87,663400,0.0,1.0
2013-02-06,57.53,58.16,57.53,58.14,710500,0.0,1.0
2013-02-07,58.25,58.87,58.2,58.69,1192400,0.0,1.0
2013-02-08,58.64,58.75,58.15,58.5,977200,0.0,1.0
2013-02-11,58.59,58.73,57.92,57.93,827500,0.0,1.0
2013-02-12,57.86,57.91,56.73,56.88,1641500,0.0,1.0
2013-02-13,56.89,57.3,56.68,56.97,1037200,0.0,1.0
2013-02-14,56.78,56.95,56.47,56.53,1743400,0.0,1.0
2013-02-15,56.64,57.41,56.53,57.32,1157000,0.0,1.0
2013-02-19,57.25,57.85,57.13,57.54,960800,0.0,1.0
2013-02-20,57.49,57.61,56.83,56.84,1151800,0.0,1.0
2013-02-21,56.76,56.84,56.0,56.13,991500,0.0,1.0
2013-02-22,56.38,56.52,55.69,55.75,1222200,0.0,1.0
2013-02-25,56.16,56.6,55.64,55.64,1956800,0.0,1.0
2013-02-26,55.92,56.03,55.16,55.8,993100,0.0,1.0
2013-02-27,55.71,56.335,55.71,56.17,898000,0.0,1.0
2013-02-28,56.25,56.66,56.16,56.17,968400,0.0,1.0
2013-03-01,55.99,56.29,55.5,56.13,915000,0.0,1.0
2013-03-04,55.99,56.2,55.74,55.99,1934100,0.0,1.0
2013-03-05,56.15,56.72,55.97,56.41,1051500,0.0,1.0
2013-03-06,56.4,56.96,56.31,56.34,917300,0.0,1.0
2013-03-07,56.26,56.46,55.33,55.42,1363500,0.0,1.0
2013-03-08,55.53,56.025,55.395,55.94,1216500,0.0,1.0
2013-03-11,55.92,56.52,55.776,56.25,1168600,0.0,1.0
2013-03-12,56.28,56.84,55.962,56.2,1826600,0.0,1.0
2013-03-13,56.27,56.36,55.82,55.99,903900,0.0,1.0
2013-03-14,56.13,56.73,55.85,56.5,1381300,0.0,1.0
2013-03-15,56.34,56.62,56.06,56.22,1024900,0.0,1.0
2013-03-18,55.9,56.02,55.48,55.52,965800,0.0,1.0
2013-03-19,55.71,56.62,55.69,56.25,1677100,0.0,1.0
2013-03-20,56.5,56.85,56.25,56.51,2509500,0.0,1.0
2013-03-21,56.31,56.63,56.0,56.3,746000,0.0,1.0
2013-03-22,56.33,56.6005,56.25,56.56,751400,0.0,1.0
2013-03-25,56.71,57.03,56.18,56.4,889900,0.0,1.0
2013-03-26,56.65,57.5,56.522,57.25,959800,0.0,1.0
2013-03-27,56.8,56.84,56.35,56.4,1143200,0.0,1.0
2013-03-28,56.18,56.65,55.8,56.461,1933800,0.3,1.0
2013-04-01,56.42,56.4925,56.01,56.32,695700,0.0,1.0
2013-04-02,56.68,57.58,56.64,56.8,1223300,0.0,1.0
2013-04-03,57.0,57.51,56.725,56.83,1314100,0.0,1.0
2013-04-04,57.0,57.92,56.91,57.68,914300,0.0,1.0
2013-04-05,57.33,57.33,56.62,57.01,1159400,0.0,1.0
2013-04-08,56.89,57.03,56.52,57.03,585200,0.0,1.0
