date,open,high,low,close,volume,dividend,split
2012-11-01,21.1,21.87,21.06,21.84,4707100,0.0,1.0
2012-11-02,21.93,22.3,21.04,21.04,4113000,0.0,1.0
2012-11-05,21.01,21.75,21.0,21.71,2546600,0.0,1.0
2012-11-06,21.82,22.07,21.39,21.43,4680400,0.0,1.0
2012-11-07,21.3,21.85,20.99,21.42,5138600,0.0,1.0
2012-11-08,21.38,21.47,20.72,20.97,4346400,0.0,1.0
2012-11-09,20.82,21.06,20.095,20.6,7480900,0.0,1.0
2012-11-12,21.25,21.36,19.37,19.4,14870100,0.0,1.0
2012-11-13,19.08,19.74,18.85,19.25,12792200,0.0,1.0
2012-11-14,19.41,19.42,18.29,18.39,11396800,0.0,1.0
2012-11-15,18.3,19.08,17.71,18.47,11098500,0.0,1.0
2012-11-16,18.37,19.18,18.3,18.9,8717400,0.0,1.0
2012-11-19,19.32,19.59,18.78,19.02,8630700,0.0,1.0
2012-11-20,19.35,19.66,19.16,19.44,7374200,0.0,1.0
2012-11-21,19.49,19.79,19.26,19.45,4363900,0.0,1.0
2012-11-23,19.55,19.7519,19.22,19.53,1562500,0.0,1.0
2012-11-26,19.48,19.63,19.28,19.5,3319500,0.0,1.0
2012-11-27,19.5,19.99,19.41,19.58,6333400,0.0,1.0
2012-11-28,19.5,19.61,18.94,19.42,4814900,0.0,1.0
2012-11-29,19.69,20.0,19.39,19.61,4817600,0.0375,1.0
2012-11-30,19.62,19.65,19.18,19.46,4916600,0.0,1.0
2012-12-03,19.56,19.61,19.31,19.37,2991100,0.0,1.0
2012-12-04,19.61,19.76,18.94,18.94,7301400,0.0,1.0
2012-12-05,18.99,19.05,18.36,18.59,8092200,0.0,1.0
2012-12-06,18.53,18.81,18.3,18.69,4364700,0.0,1.0
2012-12-07,18.83,19.12,18.52,18.85,3742200,0.0,1.0
2012-12-10,18.64,18.77,18.27,18.4,6260400,0.0,1.0
2012-12-11,18.54,18.74,18.36,18.56,5894600,0.0,1.0
2012-12-12,18.62,19.42,18.52,19.21,10127400,0.0,1.0
2012-12-13,19.11,19.38,18.8,18.88,4470800,0.15,1.0
2012-12-14,18.87,18.94,18.59,18.74,3249000,0.0,1.0
2012-12-17,18.83,19.73,18.8,19.69,5342000,0.0,1.0
2012-12-18,19.69,20.18,19.63,20.08,7320800,0.0,1.0
2012-12-19,20.15,20.26,19.65,19.95,6807600,0.0,1.0
2012-12-20,19.93,20.3,19.75,20.1,5962700,0.0,1.0
2012-12-21,19.86,19.86,19.28,19.75,7703700,0.0,1.0
2012-12-24,19.76,20.0,19.57,19.59,1728100,0.0,1.0
2012-12-26,19.65,19.86,19.395,19.44,2615100,0.0,1.0
2012-12-27,19.44,19.62,19.06,19.48,3852700,0.0,1.0
2012-12-28,19.34,19.455,19.08,19.24,3059200,0.0,1.0
2012-12-31,19.19,19.81,19.05,19.78,4245700,0.0,1.0
2013-01-02,20.34,20.48,20.02,20.39,7441200,0.0,1.0
2013-01-03,20.62,20.8,20.195,20.38,7427400,0.0,1.0
2013-01-04,20.38,20.74,20.25,20.72,4532000,0.0,1.0
2013-01-07,20.59,20.89,20.5,20.81,4118000,0.0,1.0
2013-01-08,20.8,20.88,20.56,20.73,2963900,0.0,1.0
2013-01-09,20.93,21.41,20.82,21.15,4765100,0.0,1.0
2013-01-10,21.25,21.25,20.7,20.86,3853000,0.0,1.0
2013-01-11,21.14,21.39,20.7,20.95,3624200,0.0,1.0
2013-01-14,21.0,21.3,20.7901,20.89,2774400,0.0,1.0
2013-01-15,20.75,21.11,20.63,21.08,5247900,0.0,1.0
2013-01-16,20.96,21.25,20.85,21.0,2951400,0.0,1.0
2013-01-17,21.18,21.62,21.18,21.53,4409600,0.0,1.0
2013-01-18,21.59,21.67,21.38,21.52,3952100,0.0,1.0
2013-01-22,21.65,21.7,21.16,21.55,4947200,0.0,1.0
2013-01-23,21.68,21.85,21.43,21.82,4327100,0.0,1.0
2013-01-24,21.85,22.15,21.53,21.72,6764700,0.0,1.0
2013-01-25,21.78,21.83,21.57,21.76,5964100,0.0,1.0
2013-01-28,21.85,22.0,21.11,21.31,6578500,0.0,1.0
2013-01-29,22.24,24.03,22.16,23.82,22343400,0.0,1.0
2013-01-30,23.54,23.68,22.92,23.06,12700100,0.0,1.0
