date,open,high,low,close,volume,dividend,split
2012-11-01,52.0,52.42,51.94,52.3,6509100,0.0,1.0
2012-11-02,52.72,53.02,51.905,51.95,6051400,0.0,1.0
2012-11-05,51.92,52.415,51.8,52.2,5561400,0.0,1.0
2012-11-06,52.35,53.11,52.27,52.8,3231300,0.0,1.0
2012-11-07,52.23,52.325,51.83,51.97,3878600,0.0,1.0
2012-11-08,52.0,52.27,51.85,51.87,3881200,0.0,1.0
2012-11-09,51.71,52.47,51.64,52.02,2844000,0.0,1.0
2012-11-12,52.06,52.39,51.89,52.07,1812400,0.0,1.0
2012-11-13,51.76,52.55,51.69,52.11,2993700,0.0,1.0
2012-11-14,52.29,52.45,51.34,51.41,4747200,0.0,1.0
2012-11-15,51.4,51.71,51.32,51.58,3878500,0.0,1.0
2012-11-16,51.71,52.17,51.46,51.99,4541200,0.0,1.0
2012-11-19,52.43,52.9,52.35,52.9,2881700,0.0,1.0
2012-11-20,52.59,52.64,52.195,52.64,2925900,0.0,1.0
2012-11-21,52.68,53.44,52.51,53.04,2519200,0.0,1.0
2012-11-23,53.14,53.5,53.04,53.49,1031400,0.0,1.0
2012-11-26,53.04,53.15,52.58,52.69,3041000,0.0,1.0
2012-11-27,52.71,52.79,52.12,52.21,4535300,0.0,1.0
2012-11-28,52.28,52.93,52.05,52.8,5014800,0.0,1.0
2012-11-29,53.12,53.77,53.0,53.64,3811100,0.0,1.0
2012-11-30,53.65,54.07,53.43,53.97,3517800,0.0,1.0
2012-12-03,54.4,54.46,53.37,53.42,3826900,0.0,1.0
2012-12-04,53.47,53.62,53.07,53.25,2880400,0.0,1.0
2012-12-05,53.43,53.83,52.82,53.35,3011200,0.0,1.0
2012-12-06,53.13,53.39,52.89,53.07,2746500,0.0,1.0
2012-12-07,53.44,53.65,52.94,53.5,1891700,0.0,1.0
2012-12-10,53.52,53.58,53.2425,53.41,2604300,0.0,1.0
2012-12-11,53.58,54.0,53.39,53.53,3098000,0.0,1.0
2012-12-12,53.84,55.19,53.51,54.67,4776200,0.025,1.0
2012-12-13,54.58,55.21,54.33,54.89,4066100,0.0,1.0
2012-12-14,54.78,54.97,54.49,54.52,2410800,0.0,1.0
2012-12-17,54.76,55.42,54.69,55.4,3343100,0.0,1.0
2012-12-18,55.34,56.41,55.25,56.33,3196100,0.0,1.0
2012-12-19,56.3,56.39,55.66,55.67,3442100,0.0,1.0
2012-12-20,55.81,56.58,55.755,56.5,3208200,0.0,1.0
2012-12-21,55.73,56.23,55.53,56.06,3475800,0.0,1.0
2012-12-24,55.99,56.2,55.72,55.94,637400,0.0,1.0
2012-12-26,55.95,56.18,55.53,55.66,1545700,0.0,1.0
2012-12-27,55.57,55.99,55.16,55.78,1832200,0.0,1.0
2012-12-28,55.33,55.61,54.94,55.02,1672300,0.0,1.0
2012-12-31,54.83,55.945,54.57,55.9,2421600,0.0,1.0
2013-01-02,56.96,57.48,56.17,57.48,3888200,0.0,1.0
2013-01-03,57.36,58.39,57.36,58.03,5079700,0.0,1.0
2013-01-04,58.04,58.49,57.74,58.09,3576200,0.0,1.0
2013-01-07,59.8,59.87,57.815,58.09,4466100,0.0,1.0
2013-01-08,57.89,58.38,57.55,57.68,2757000,0.0,1.0
2013-01-09,60.0,60.5,59.34,59.8,7324600,0.0,1.0
2013-01-10,59.96,59.99,59.255,59.99,2904400,0.0,1.0
2013-01-11,59.91,60.06,59.525,59.78,3045200,0.0,1.0
2013-01-14,59.76,59.95,59.5,59.59,2426200,0.0,1.0
2013-01-15,59.43,60.025,59.22,59.99,2603500,0.0,1.0
2013-01-16,59.81,60.22,59.57,60.07,2357400,0.0,1.0
2013-01-17,60.39,60.985,60.02,60.71,2759500,0.0,1.0
2013-01-18,61.01,61.01,59.69,60.51,3732100,0.0,1.0
2013-01-22,60.38,60.75,60.2,60.4,4152500,0.0,1.0
2013-01-23,60.27,60.5,59.82,60.46,2978900,0.0,1.0
2013-01-24,60.51,61.14,60.41,60.5,2881200,0.0,1.0
2013-01-25,60.89,61.01,60.46,60.54,3255900,0.0,1.0
2013-01-28,60.83,61.43,60.31,60.71,3570100,0.0,1.0
2013-01-29,59.83,61.49,59.5,61.0,4193400,0.0,1.0
2013-01-30,60.83,60.9,59.85,60.0,3505400,0.0,1.0
2013-01-31,59.83,60.24,59.63,59.93,3450400,0.0,1.0
2013-02-01,60.31,60.54,60.03,60.47,3951900,0.0,1.0
2013-02-04,60.19,60.36,59.89,59.96,2444500,0.0,1.0
2013-02-05,60.34,60.82,60.24,60.68,2297900,0.0,1.0
2013-02-06,59.91,60.53,59.91,60.43,2281600,0.0,1.0
2013-02-07,60.58,60.63,59.86,60.17,2465000,0.0,1.0
2013-02-08,60.15,60.81,60.09,60.81,1532400,0.0,1.0
2013-02-11,60.78,60.83,60.33,60.68,1868000,0.0,1.0
2013-02-12,60.85,61.17,60.68,60.97,2290100,0.0,1.0
