date,open,high,low,close,volume,dividend,split
2012-11-01,62.2,62.32,61.53,61.62,656800,0.0,1.0
2012-11-02,61.83,62.09,61.22,61.28,459800,0.0,1.0
2012-11-05,61.13,61.14,60.38,60.39,754600,0.0,1.0
2012-11-06,60.52,61.19,60.48,60.76,686900,0.0,1.0
2012-11-07,60.44,60.56,58.9,59.46,891700,0.0,1.0
2012-11-08,59.45,60.1,59.18,59.31,623500,0.0,1.0
2012-11-09,59.09,59.72,59.08,59.19,547600,0.0,1.0
2012-11-12,59.15,59.27,58.33,58.56,463100,0.0,1.0
2012-11-13,58.33,59.26,58.3,58.95,887200,0.0,1.0
2012-11-14,59.08,59.2,58.59,58.76,946200,0.0,1.0
2012-11-15,58.73,59.21,58.2,58.64,832000,0.0,1.0
2012-11-16,58.69,59.34,58.34,59.3,851400,0.0,1.0
2012-11-19,59.62,59.73,58.85,59.18,779600,0.0,1.0
2012-11-20,59.21,59.38,58.66,59.29,675300,0.0,1.0
2012-11-21,59.39,59.4,58.45,59.02,761800,0.0,1.0
2012-11-23,59.04,59.16,58.54,58.88,335000,0.0,1.0
2012-11-26,58.77,59.74,58.73,59.27,591400,0.0,1.0
2012-11-27,59.27,59.73,59.13,59.26,512900,0.0,1.0
2012-11-28,59.26,59.6977,59.01,59.58,514700,0.0,1.0
2012-11-29,59.69,59.9,59.35,59.89,524200,0.0,1.0
2012-11-30,60.45,60.69,59.9108,60.58,905200,0.0,1.0
2012-12-03,60.51,60.75,59.84,60.58,690800,0.0,1.0
2012-12-04,60.61,60.98,60.45,60.49,834600,0.0,1.0
2012-12-05,60.53,61.9,60.5,61.57,908300,0.0,1.0
2012-12-06,61.68,61.81,61.05,61.2,735200,0.0,1.0
2012-12-07,61.16,61.46,60.895,61.05,976300,0.0,1.0
2012-12-10,60.96,61.28,60.78,61.15,873700,0.0,1.0
2012-12-11,61.23,61.45,61.05,61.29,711200,0.0,1.0
2012-12-12,61.29,62.0,61.14,61.55,946400,0.0,1.0
2012-12-13,61.39,61.48,60.75,60.94,658600,0.0,1.0
2012-12-14,60.87,61.18,60.53,60.55,909600,0.0,1.0
2012-12-17,60.19,61.22,60.05,61.21,893300,0.62,1.0
2012-12-18,61.21,61.55,60.93,61.31,833300,0.0,1.0
2012-12-19,61.41,61.41,60.83,60.9,394400,0.0,1.0
2012-12-20,60.97,61.27,60.76,61.18,535500,0.0,1.0
2012-12-21,60.66,61.28,60.23,61.13,1885600,0.0,1.0
2012-12-24,61.04,61.11,60.5825,60.95,191600,0.0,1.0
2012-12-26,61.01,61.15,60.2,60.28,436100,0.0,1.0
2012-12-27,60.19,60.5,59.4,60.08,587200,0.0,1.0
2012-12-28,59.89,60.27,59.38,59.41,965500,0.0,1.0
2012-12-31,59.21,60.08,58.8633,60.05,916400,0.0,1.0
2013-01-02,60.83,61.48,60.49,61.48,662400,0.0,1.0
2013-01-03,61.45,61.76,61.19,61.43,548100,0.0,1.0
2013-01-04,61.43,61.77,61.24,61.64,581800,0.0,1.0
2013-01-07,61.38,61.5496,60.86,60.95,409800,0.0,1.0
2013-01-08,60.91,61.19,60.66,60.71,728900,0.0,1.0
2013-01-09,60.74,60.79,60.33,60.79,677300,0.0,1.0
2013-01-10,61.15,61.48,60.81,61.41,624900,0.0,1.0
