date,open,high,low,close,volume,dividend,split
2012-11-01,65.64,65.86,65.222,65.31,2983500,0.0,1.0
2012-11-02,65.53,65.75,64.87,64.94,9485600,0.0,1.0
2012-11-05,64.58,64.71,63.87,64.06,3184600,0.0,1.0
2012-11-06,64.22,64.502,64.0,64.07,2461800,0.0,1.0
2012-11-07,63.87,64.0,62.46,62.94,4243800,0.0,1.0
2012-11-08,63.68,64.25,62.56,62.56,9688400,0.0,1.0
2012-11-09,62.5,62.59,61.67,61.96,11296400,0.0,1.0
2012-11-12,61.87,61.98,60.76,61.45,3658700,0.0,1.0
2012-11-13,61.32,62.37,61.26,62.01,4939300,0.0,1.0
2012-11-14,61.61,61.61,60.51,60.74,4119000,0.765,1.0
2012-11-15,60.57,61.01,59.63,59.87,3702900,0.0,1.0
2012-11-16,59.91,60.93,59.78,60.9,4525300,0.0,1.0
2012-11-19,61.26,61.31,60.55,60.99,3895500,0.0,1.0
2012-11-20,61.04,61.13,60.34,60.79,2823100,0.0,1.0
2012-11-21,60.75,60.91,59.85,60.42,3274800,0.0,1.0
2012-11-23,60.54,60.61,60.0,60.45,1981500,0.0,1.0
2012-11-26,60.32,61.81,60.32,61.31,6020900,0.0,1.0
2012-11-27,61.45,61.9995,61.31,61.59,3136300,0.0,1.0
2012-11-28,61.62,61.85,61.04,61.7,2518100,0.0,1.0
2012-11-29,61.77,62.44,61.541,62.39,3353800,0.0,1.0
2012-11-30,63.01,64.005,63.01,63.82,7223600,0.0,1.0
2012-12-03,64.09,64.49,63.82,63.97,5382400,0.0,1.0
2012-12-04,63.95,64.15,63.46,63.6,2883500,0.0,1.0
2012-12-05,63.55,64.82,63.4138,64.46,3896500,0.0,1.0
2012-12-06,64.51,64.59,64.0,64.17,2802400,0.0,1.0
2012-12-07,64.25,64.49,63.97,64.32,2555600,0.0,1.0
2012-12-10,64.25,64.5,64.18,64.32,2244800,0.0,1.0
2012-12-11,64.3,64.67,64.16,64.28,3414600,0.0,1.0
2012-12-12,64.41,64.98,64.22,64.3,3311400,0.0,1.0
2012-12-13,64.31,64.36,63.65,63.92,2244800,0.0,1.0
2012-12-14,63.85,63.998,63.56,63.81,2063300,0.0,1.0
2012-12-17,63.98,64.81,63.94,64.76,3463900,0.0,1.0
2012-12-18,64.94,65.66,64.89,65.51,7248300,0.0,1.0
2012-12-19,65.4,65.4,64.701,64.75,3121400,0.0,1.0
2012-12-20,64.75,65.24,64.35,65.05,3313600,0.0,1.0
2012-12-21,65.07,65.46,64.51,64.51,8491200,0.0,1.0
2012-12-24,64.48,64.61,64.11,64.58,1581200,0.0,1.0
2012-12-26,64.82,64.82,63.97,64.07,2120600,0.0,1.0
2012-12-27,64.01,64.13,63.09,63.71,2411500,0.0,1.0
2012-12-28,63.37,63.67,62.97,63.01,2883500,0.0,1.0
2012-12-31,62.82,63.85,62.6,63.8,3135900,0.0,1.0
2013-01-02,64.56,65.22,64.51,65.01,3196300,0.0,1.0
2013-01-03,64.79,65.1926,64.5,64.87,2326400,0.0,1.0
2013-01-04,64.9,65.17,64.79,65.06,1749500,0.0,1.0
2013-01-07,64.79,64.89,64.44,64.75,2579500,0.0,1.0
2013-01-08,64.71,65.13,64.488,64.9,2428500,0.0,1.0
2013-01-09,64.9,65.02,64.57,65.01,2503400,0.0,1.0
2013-01-10,65.05,65.38,64.85,65.37,2794000,0.0,1.0
2013-01-11,65.38,65.78,65.26,65.69,2237700,0.0,1.0
2013-01-14,65.7,65.7,65.26,65.39,2518600,0.0,1.0
2013-01-15,65.39,66.1,65.1118,66.05,3139600,0.0,1.0
2013-01-16,65.86,65.99,65.51,65.73,2331600,0.0,1.0
2013-01-17,66.0,66.39,65.75,66.02,2448800,0.0,1.0
2013-01-18,66.17,66.81,65.94,66.81,3205400,0.0,1.0
2013-01-22,66.62,67.31,66.54,67.31,2583900,0.0,1.0
2013-01-23,67.17,67.47,66.8,67.41,2336300,0.0,1.0
2013-01-24,67.48,68.08,67.26,67.8,3334900,0.0,1.0
2013-01-25,68.0,68.01,67.33,67.92,2301100,0.0,1.0
2013-01-28,68.05,68.1,67.5,67.63,2769700,0.0,1.0
2013-01-29,67.72,68.15,67.56,67.98,2246700,0.0,1.0
2013-01-30,68.34,68.665,67.95,68.44,3114800,0.0,1.0
2013-01-31,68.37,68.92,68.1,68.74,3308400,0.0,1.0
2013-02-01,68.97,69.41,68.79,68.84,3691300,0.0,1.0
2013-02-04,68.65,68.95,68.26,68.35,2703700,0.0,1.0
2013-02-05,68.5,69.05,68.4772,68.88,2869400,0.0,1.0
2013-02-06,68.75,69.12,68.45,69.11,2642800,0.0,1.0
2013-02-07,68.93,69.23,68.4224,69.04,3111600,0.0,1.0
2013-02-08,68.88,69.04,68.73,69.0,8084600,0.0,1.0
2013-02-11,68.95,69.2,68.81,69.14,8209900,0.0,1.0
2013-02-12,69.1,69.5,69.0601,69.5,9078700,0.0,1.0
2013-02-13,68.81,69.4,68.51,68.82,2638700,0.765,1.0
2013-02-14,68.02,69.11,67.82,68.0,3359200,0.0,1.0
2013-02-15,68.0,68.18,67.7778,68.06,2667800,0.0,1.0
2013-02-19,68.24,68.97,68.24,68.96,2754300,0.0,1.0
2013-02-20,68.85,69.32,68.72,68.85,2152900,0.0,1.0
2013-02-21,68.67,69.07,68.62,68.83,2294900,0.0,1.0
2013-02-22,68.87,69.49,68.86,69.46,1857700,0.0,1.0
2013-02-25,69.53,70.3,69.1,69.11,3210300,0.0,1.0
2013-02-26,69.38,69.95,69.25,69.59,2123900,0.0,1.0
2013-02-27,69.73,70.26,69.55,70.13,2327500,0.0,1.0
2013-02-28,70.07,70.096,69.18,69.25,5066900,0.0,1.0
2013-03-01,68.41,69.27,68.05,69.25,5228500,0.0,1.0
2013-03-04,68.9,69.94,68.69,69.71,2630200,0.0,1.0
2013-03-05,69.88,70.371,69.7,70.16,2129600,0.0,1.0
2013-03-06,70.2,70.205,69.65,69.88,2000800,0.0,1.0
2013-03-07,69.96,69.96,69.4701,69.55,2472100,0.0,1.0
2013-03-08,69.59,69.78,69.067,69.64,1756700,0.0,1.0
2013-03-11,69.53,69.8,69.52,69.79,1294700,0.0,1.0
2013-03-12,69.78,69.8,69.31,69.54,1872000,0.0,1.0
2013-03-13,69.55,70.095,69.42,69.91,2299900,0.0,1.0
2013-03-14,69.99,70.169,69.65,69.93,2090300,0.0,1.0
2013-03-15,69.44,70.0,69.26,69.95,3299800,0.0,1.0
2013-03-18,69.58,69.96,69.5,69.62,1461500,0.0,1.0
2013-03-19,69.77,70.2,69.55,69.91,1773800,0.0,1.0
2013-03-20,70.03,70.63,69.9701,70.4,1829000,0.0,1.0
2013-03-21,70.18,70.495,69.88,70.26,2461300,0.0,1.0
2013-03-22,70.25,70.62,70.07,70.61,2019400,0.0,1.0
2013-03-25,70.7,70.98,70.08,70.28,2152400,0.0,1.0
2013-03-26,70.46,71.04,70.44,70.95,2505500,0.0,1.0
2013-03-27,70.65,71.85,70.54,71.72,2954800,0.0,1.0
2013-03-28,71.81,72.675,71.66,72.59,2971600,0.0,1.0
2013-04-01,72.56,72.57,72.07,72.32,1691600,0.0,1.0
2013-04-02,72.5,72.66,72.3,72.62,2077900,0.0,1.0
2013-04-03,72.31,72.66,71.565,71.71,3975000,0.0,1.0
2013-04-04,71.62,71.97,71.62,71.79,4730300,0.0,1.0
2013-04-05,71.33,72.105,71.25,72.05,3556100,0.0,1.0
2013-04-08,71.97,73.08,71.7,73.01,3433000,0.0,1.0
2013-04-09,73.09,73.09,72.53,72.62,1950100,0.0,1.0
2013-04-10,72.97,73.28,72.67,72.79,2130700,0.0,1.0
2013-04-11,72.93,73.45,72.75,73.17,2409100,0.0,1.0
2013-04-12,73.0,73.41,72.78,72.97,2546500,0.0,1.0
2013-04-15,72.81,73.59,72.29,72.29,2515900,0.0,1.0
2013-04-16,72.77,73.6,72.45,73.57,2576600,0.0,1.0
2013-04-17,73.29,73.36,72.53,73.15,2159400,0.0,1.0
2013-04-18,73.25,73.53,72.94,73.24,1656200,0.0,1.0
2013-04-19,73.44,74.38,73.24,74.34,2052200,0.0,1.0
2013-04-22,74.31,74.47,73.91,74.28,1454600,0.0,1.0
2013-04-23,74.64,74.64,73.85,74.41,1876300,0.0,1.0
2013-04-24,74.5,75.11,74.02,74.72,1812500,0.0,1.0
2013-04-25,75.01,75.36,74.7,75.14,2000400,0.0,1.0
2013-04-26,75.1,75.42,74.82,74.86,2431100,0.0,1.0
2013-04-29,75.04,75.4,74.86,75.2,1657800,0.0,1.0
2013-04-30,75.03,75.28,74.58,75.2,2240700,0.0,1.0
2013-05-01,75.0,75.465,74.77,74.89,1639500,0.0,1.0
2013-05-02,74.87,75.13,74.2167,74.78,2473400,0.0,1.0
2013-05-03,75.16,75.25,74.14,74.47,3091600,0.0,1.0
2013-05-06,74.3,74.4,72.8,72.9,3431600,0.0,1.0
2013-05-07,72.91,73.74,72.75,73.7,2927500,0.0,1.0
2013-05-08,73.7,73.8,72.71,72.91,3328900,0.0,1.0
2013-05-09,73.03,73.12,71.83,72.05,7705500,0.0,1.0
2013-05-10,71.89,72.2,71.41,72.18,7864800,0.0,1.0
2013-05-13,71.93,72.055,71.38,71.77,8248300,0.0,1.0
2013-05-14,71.75,72.65,71.75,72.08,4030000,0.0,1.0
2013-05-15,71.35,72.5,71.31,72.24,3189000,0.765,1.0
2013-05-16,72.12,72.19,71.1099,71.16,2494000,0.0,1.0
2013-05-17,71.41,71.68,71.0,71.62,3226900,0.0,1.0
2013-05-20,71.61,71.7,71.18,71.33,2136400,0.0,1.0
2013-05-21,71.33,71.63,70.71,71.39,2973500,0.0,1.0
2013-05-22,71.32,71.82,69.92,70.19,2951900,0.0,1.0
2013-05-23,69.75,70.1099,68.46,69.76,3412400,0.0,1.0
2013-05-24,69.49,69.67,68.68,68.88,2802200,0.0,1.0
2013-05-28,69.09,69.359,67.42,67.75,6062000,0.0,1.0
2013-05-29,67.29,67.39,66.17,67.15,4533900,0.0,1.0
2013-05-30,67.52,68.46,67.3,67.31,3949000,0.0,1.0
2013-05-31,67.15,68.4999,66.93,66.93,4277400,0.0,1.0
2013-06-03,66.96,67.64,66.18,67.2,3915700,0.0,1.0
2013-06-04,67.19,67.49,66.82,67.15,3327400,0.0,1.0
2013-06-05,66.96,67.17,66.56,66.81,3339000,0.0,1.0
2013-06-06,66.81,67.53,66.57,67.5,3626000,0.0,1.0
2013-06-07,67.67,68.18,67.08,67.69,2740000,0.0,1.0
2013-06-10,68.03,68.42,67.51,67.89,2312400,0.0,1.0
2013-06-11,67.53,68.12,67.1,67.21,2626500,0.0,1.0
2013-06-12,67.63,67.795,66.42,66.59,3053000,0.0,1.0
2013-06-13,66.69,67.57,66.53,67.49,3312700,0.0,1.0
2013-06-14,67.49,68.05,67.45,67.64,2001000,0.0,1.0
2013-06-17,68.18,68.96,67.43,67.65,2751000,0.0,1.0
2013-06-18,67.73,68.32,67.09,68.23,3188700,0.0,1.0
2013-06-19,68.2,68.56,66.7,66.72,3312900,0.0,1.0
2013-06-20,66.5,66.53,65.01,65.1,4726600,0.0,1.0
2013-06-21,65.49,66.1899,64.62,65.58,6334900,0.0,1.0
2013-06-24,65.19,65.9999,64.953,65.46,2935900,0.0,1.0
2013-06-25,65.68,66.44,65.24,66.12,2636500,0.0,1.0
2013-06-26,66.6,67.88,66.55,67.61,3856700,0.0,1.0
2013-06-27,67.89,68.19,67.375,67.52,2371800,0.0,1.0
2013-06-28,67.44,68.02,67.11,67.5,2761600,0.0,1.0
2013-07-01,67.9,68.05,66.51,66.84,2681700,0.0,1.0
2013-07-02,66.8,67.46,66.73,67.18,5239700,0.0,1.0
2013-07-03,67.0,67.4,66.74,67.39,1606500,0.0,1.0
2013-07-05,67.48,67.58,66.5,67.27,3014600,0.0,1.0
2013-07-08,67.3,67.74,67.1,67.73,3097400,0.0,1.0
2013-07-09,67.95,68.18,67.68,68.16,2762900,0.0,1.0
2013-07-10,68.05,68.82,67.81,68.59,2153400,0.0,1.0
2013-07-11,69.0,70.03,68.93,69.9,2544100,0.0,1.0
2013-07-12,69.88,70.25,69.41,70.15,2061600,0.0,1.0
2013-07-15,70.06,71.19,70.0,71.01,2862500,0.0,1.0
2013-07-16,71.01,71.2,70.0401,70.49,2263800,0.0,1.0
2013-07-17,70.88,70.93,70.3,70.71,2036300,0.0,1.0
2013-07-18,70.91,71.37,70.78,71.15,2394500,0.0,1.0
2013-07-19,71.17,71.26,70.745,70.88,2310600,0.0,1.0
2013-07-22,70.74,70.9262,70.61,70.77,1665500,0.0,1.0
2013-07-23,70.82,71.44,70.67,71.31,1846500,0.0,1.0
2013-07-24,71.3,71.3,70.15,70.5,1419100,0.0,1.0
2013-07-25,70.3,70.72,70.11,70.6,1818900,0.0,1.0
2013-07-26,70.29,70.82,70.083,70.79,1915400,0.0,1.0
2013-07-29,70.62,71.48,70.59,71.22,1799400,0.0,1.0
2013-07-30,71.5,71.91,71.23,71.49,1927800,0.0,1.0
2013-07-31,71.41,71.55,70.77,71.0,2739800,0.0,1.0
2013-08-01,71.33,71.66,71.0,71.51,2143100,0.0,1.0
2013-08-02,71.42,71.795,71.22,71.75,1962200,0.0,1.0
2013-08-05,72.0,72.01,71.35,71.37,2286900,0.0,1.0
2013-08-06,71.4,71.52,70.87,71.12,2343400,0.0,1.0
2013-08-07,70.82,71.23,70.55,71.05,3032200,0.0,1.0
2013-08-08,71.16,71.5,70.85,71.23,9963900,0.0,1.0
2013-08-09,71.22,71.36,70.645,70.77,7238000,0.0,1.0
2013-08-12,70.75,70.83,70.45,70.77,7953000,0.0,1.0
2013-08-13,70.68,70.94,70.606,70.82,4044200,0.0,1.0
2013-08-14,70.19,70.19,68.7,69.02,3149100,0.78,1.0
2013-08-15,68.61,68.967,67.79,67.91,2922800,0.0,1.0
2013-08-16,67.7,67.89,66.7,67.05,3060500,0.0,1.0
2013-08-19,66.95,67.19,66.22,66.33,2446900,0.0,1.0
2013-08-20,66.3,67.59,66.29,66.79,4740300,0.0,1.0
2013-08-21,66.73,66.73,65.62,65.81,3356700,0.0,1.0
2013-08-22,65.94,66.19,65.55,65.94,2316900,0.0,1.0
2013-08-23,65.97,66.44,65.6701,66.35,1819400,0.0,1.0
2013-08-26,66.41,66.59,65.79,65.79,1913700,0.0,1.0
2013-08-27,65.41,66.41,65.33,65.85,2352000,0.0,1.0
2013-08-28,65.91,66.29,65.59,66.05,1671900,0.0,1.0
2013-08-29,65.99,66.0412,65.485,65.66,1649500,0.0,1.0
2013-08-30,65.79,66.16,65.33,65.6,2031600,0.0,1.0
2013-09-03,65.89,66.08,64.76,64.96,2316800,0.0,1.0
2013-09-04,64.99,65.0,64.16,64.69,2648100,0.0,1.0
2013-09-05,64.69,64.97,64.42,64.8,2123200,0.0,1.0
2013-09-06,65.06,65.77,65.05,65.45,2649300,0.0,1.0
2013-09-09,65.5,65.68,65.19,65.57,2389200,0.0,1.0
2013-09-10,65.7,65.96,65.273,65.95,1772900,0.0,1.0
2013-09-11,66.0,66.007,64.88,65.31,3288300,0.0,1.0
2013-09-12,65.45,65.69,64.75,64.97,2332500,0.0,1.0
2013-09-13,65.0,65.6,64.99,65.55,2587000,0.0,1.0
2013-09-16,67.49,67.58,65.76,66.03,4418900,0.0,1.0
2013-09-17,66.0,66.65,65.98,66.19,3620900,0.0,1.0
