date,open,high,low,close,volume,dividend,split
2012-11-01,69.55,70.95,68.92,70.82,1987000,0.0,1.0
2012-11-02,71.0,71.29,70.46,70.61,1360300,0.0,1.0
2012-11-05,70.66,70.88,70.07,70.74,774200,0.0,1.0
2012-11-06,70.93,71.57,70.64,71.36,1410400,0.0,1.0
2012-11-07,70.81,71.15,70.1,70.48,1130800,0.0,1.0
2012-11-08,70.38,70.9699,70.01,70.04,883400,0.0,1.0
2012-11-09,70.0,70.3,69.55,69.87,1079000,0.0,1.0
2012-11-12,70.05,70.3,69.38,69.42,906200,0.0,1.0
2012-11-13,69.21,69.89,69.1,69.25,879800,0.0,1.0
2012-11-14,69.47,69.47,68.2,68.26,919900,0.0,1.0
2012-11-15,68.27,68.94,68.16,68.7,972800,0.0,1.0
2012-11-16,68.62,69.15,67.97,68.97,1281700,0.0,1.0
2012-11-19,69.7,70.0,69.21,70.0,1182300,0.0,1.0
2012-11-20,70.0,70.37,69.05,70.32,1031100,0.0,1.0
2012-11-21,70.31,70.32,69.56,69.7,869100,0.0,1.0
2012-11-23,69.87,70.44,69.76,70.35,470300,0.0,1.0
2012-11-26,69.43,70.09,69.26,69.81,1337300,0.0,1.0
2012-11-27,69.83,70.463,69.57,70.04,1364500,0.0,1.0
2012-11-28,69.69,70.98,69.43,70.97,1331100,0.0,1.0
2012-11-29,71.1,72.0,71.08,71.81,1340900,0.0,1.0
2012-11-30,71.69,72.27,71.51,72.08,2105700,0.0,1.0
2012-12-03,72.0,72.14,71.375,71.52,1717800,0.0,1.0
2012-12-04,71.51,72.15,71.39,71.87,1486900,0.0,1.0
2012-12-05,71.78,72.04,71.04,71.16,1743000,0.0,1.0
2012-12-06,71.17,72.42,71.13,72.39,1080000,0.0,1.0
2012-12-07,72.46,72.79,71.93,72.72,1541100,0.0,1.0
2012-12-10,72.49,72.75,71.66,72.04,1262100,0.0,1.0
2012-12-11,72.12,72.74,71.76,72.53,1238800,0.0,1.0
2012-12-12,72.72,72.73,70.29,70.51,2330100,0.0,1.0
2012-12-13,70.62,70.88,70.36,70.68,1413200,0.0,1.0
2012-12-14,70.36,70.86,70.02,70.52,1021700,0.23,1.0
2012-12-17,70.7,71.08,70.2732,71.08,1548600,0.0,1.0
2012-12-18,71.1,71.91,70.8301,71.87,993900,0.0,1.0
2012-12-19,71.74,72.16,71.28,71.8,1425000,0.0,1.0
2012-12-20,72.11,72.24,71.66,72.23,1026400,0.0,1.0
2012-12-21,70.94,71.84,70.94,71.2,1753900,0.0,1.0
2012-12-24,71.09,72.28,71.02,72.08,595000,0.0,1.0
2012-12-26,72.17,72.5,71.69,71.82,1060700,0.0,1.0
2012-12-27,71.92,72.27,70.84,71.8,696200,0.0,1.0
2012-12-28,71.23,71.6,70.7,70.78,620700,0.0,1.0
2012-12-31,70.66,71.91,70.33,71.9,888000,0.0,1.0
2013-01-02,72.94,74.33,72.76,74.33,1533100,0.0,1.0
2013-01-03,74.27,74.74,73.85,74.1,1060200,0.0,1.0
2013-01-04,74.23,74.54,74.0025,74.35,621900,0.0,1.0
2013-01-07,74.23,74.36,73.48,73.9,798300,0.0,1.0
2013-01-08,72.3,73.56,72.3,73.25,1137700,0.0,1.0
2013-01-09,73.47,73.7,73.04,73.37,1044700,0.0,1.0
2013-01-10,73.53,73.61,72.82,73.15,1029800,0.0,1.0
2013-01-11,73.51,73.52,72.57,72.81,829300,0.0,1.0
2013-01-14,72.91,73.08,72.55,72.94,777800,0.0,1.0
2013-01-15,72.54,73.39,72.46,73.13,722800,0.0,1.0
2013-01-16,72.98,73.05,72.66,72.84,789500,0.0,1.0
2013-01-17,73.16,73.76,72.92,73.32,658700,0.0,1.0
2013-01-18,73.61,73.87,73.02,73.82,941100,0.0,1.0
2013-01-22,73.63,74.2,73.47,74.16,1100000,0.0,1.0
2013-01-23,74.0,74.0225,73.145,73.39,1091100,0.0,1.0
2013-01-24,73.47,73.72,73.02,73.17,898400,0.0,1.0
2013-01-25,73.43,73.52,72.78,73.44,736000,0.0,1.0
2013-01-28,73.38,73.7,72.56,72.65,770400,0.0,1.0
2013-01-29,72.45,73.02,72.03,72.88,563100,0.0,1.0
2013-01-30,72.99,73.0,72.17,72.24,757700,0.0,1.0
2013-01-31,72.04,72.97,71.99,72.4,1198200,0.0,1.0
2013-02-01,72.79,73.99,72.45,73.87,995000,0.0,1.0
2013-02-04,73.5,73.62,72.92,73.28,2018500,0.0,1.0
2013-02-05,73.68,74.53,73.43,74.31,876600,0.0,1.0
2013-02-06,74.02,74.38,73.69,74.06,847600,0.0,1.0
2013-02-07,73.82,73.95,72.78,73.44,845400,0.0,1.0
2013-02-08,73.46,74.47,73.43,74.4,760600,0.0,1.0
2013-02-11,74.2,74.54,73.79,74.06,610100,0.0,1.0
2013-02-12,73.95,74.49,73.89,74.46,712900,0.0,1.0
2013-02-13,74.69,74.86,74.11,74.67,691300,0.0,1.0
2013-02-14,74.46,75.14,74.26,74.82,1055200,0.0,1.0
2013-02-15,75.21,75.9,74.96,75.21,1995800,0.0,1.0
2013-02-19,75.22,75.77,74.8,75.69,973000,0.0,1.0
2013-02-20,75.68,75.97,74.7,74.81,1235300,0.0,1.0
2013-02-21,74.51,74.51,73.61,73.98,1241900,0.0,1.0
2013-02-22,74.37,74.95,74.27,74.7,1046500,0.0,1.0
2013-02-25,75.0,75.36,72.79,72.8,1443400,0.0,1.0
2013-02-26,72.31,75.98,72.03,75.84,1782400,0.0,1.0
2013-02-27,76.08,77.78,75.98,77.31,1731700,0.0,1.0
2013-02-28,77.3,77.68,76.51,76.55,2251700,0.0,1.0
2013-03-01,76.22,77.07,75.49,76.77,1462300,0.23,1.0
2013-03-04,76.44,77.32,76.19,77.32,736300,0.0,1.0
2013-03-05,77.69,78.0,77.14,77.28,866100,0.0,1.0
2013-03-06,77.6,78.04,77.31,77.67,970400,0.0,1.0
2013-03-07,77.86,78.2099,77.48,77.93,1105400,0.0,1.0
2013-03-08,78.04,78.4,77.7,78.14,700100,0.0,1.0
2013-03-11,78.16,78.93,78.03,78.81,837300,0.0,1.0
2013-03-12,78.73,79.49,78.73,79.45,1016900,0.0,1.0
2013-03-13,79.46,80.14,79.19,79.95,1336400,0.0,1.0
2013-03-14,80.29,80.32,79.5,79.96,1089200,0.0,1.0
2013-03-15,79.69,79.96,79.34,79.64,1695300,0.0,1.0
2013-03-18,78.97,79.16,78.63,78.78,876700,0.0,1.0
2013-03-19,78.93,79.36,78.31,79.19,894400,0.0,1.0
2013-03-20,79.61,79.9991,79.16,79.38,726600,0.0,1.0
2013-03-21,78.76,79.31,78.325,78.85,656200,0.0,1.0
2013-03-22,78.99,79.81,78.7,79.47,875200,0.0,1.0
2013-03-25,79.75,80.69,79.29,79.73,1141700,0.0,1.0
2013-03-26,80.06,80.22,78.63,78.88,1071000,0.0,1.0
2013-03-27,78.19,78.86,77.835,78.34,1513000,0.0,1.0
2013-03-28,78.67,80.35,78.67,80.18,1304400,0.0,1.0
2013-04-01,80.0,80.265,79.285,79.5,731700,0.0,1.0
2013-04-02,79.9,80.33,79.63,80.2,711300,0.0,1.0
2013-04-03,80.17,80.28,78.945,79.56,1101900,0.0,1.0
2013-04-04,79.78,80.11,79.28,79.85,1131000,0.0,1.0
2013-04-05,78.99,79.48,78.74,79.34,879600,0.0,1.0
2013-04-08,79.24,80.04,78.92,80.04,707500,0.0,1.0
2013-04-09,80.62,81.22,80.01,80.57,1219300,0.0,1.0
2013-04-10,80.99,82.33,80.68,82.31,899500,0.0,1.0
2013-04-11,82.31,83.24,82.145,82.97,1677600,0.0,1.0
2013-04-12,82.76,82.78,81.74,82.22,644200,0.0,1.0
2013-04-15,82.0,82.4,80.53,80.53,1309400,0.0,1.0
2013-04-16,81.33,82.12,81.14,81.92,1346100,0.0,1.0
2013-04-17,81.34,81.88,80.29,81.56,948800,0.0,1.0
2013-04-18,81.67,81.88,80.84,81.33,999000,0.0,1.0
2013-04-19,81.62,82.64,81.58,82.23,1216300,0.0,1.0
2013-04-22,82.15,83.4,81.93,83.02,1214900,0.0,1.0
2013-04-23,83.27,84.12,83.0,83.79,1322100,0.0,1.0
2013-04-24,84.17,84.21,83.29,83.29,731800,0.0,1.0
2013-04-25,83.53,84.28,83.35,83.73,743000,0.0,1.0
2013-04-26,83.73,83.87,82.87,82.94,637200,0.0,1.0
2013-04-29,82.85,83.29,82.35,83.25,1529400,0.0,1.0
2013-04-30,83.05,84.7,82.89,84.62,1893900,0.0,1.0
2013-05-01,84.75,85.16,83.99,84.25,1548300,0.0,1.0
2013-05-02,84.17,84.56,83.97,84.27,1277200,0.0,1.0
2013-05-03,85.06,85.65,84.76,85.58,1178600,0.0,1.0
2013-05-06,85.73,85.74,85.02,85.35,570100,0.0,1.0
2013-05-07,85.75,87.17,85.75,87.17,1360500,0.0,1.0
2013-05-08,87.09,87.09,86.51,86.87,635000,0.0,1.0
2013-05-09,86.78,87.18,86.56,86.78,741800,0.0,1.0
2013-05-10,86.72,87.34,86.51,86.8,571600,0.0,1.0
2013-05-13,86.73,87.58,86.51,86.98,870400,0.0,1.0
2013-05-14,87.19,87.99,86.97,87.97,1083600,0.0,1.0
2013-05-15,87.8,89.225,87.66,89.14,713500,0.0,1.0
2013-05-16,88.8,88.948,88.08,88.16,835600,0.0,1.0
2013-05-17,88.22,89.09,87.8,89.09,1127800,0.0,1.0
2013-05-20,88.88,88.9,88.02,88.08,825600,0.0,1.0
2013-05-21,88.22,89.47,88.096,89.05,1012600,0.0,1.0
2013-05-22,89.0,89.22,87.02,87.43,1137400,0.0,1.0
2013-05-23,86.74,87.62,86.69,87.19,1209200,0.0,1.0
2013-05-24,86.75,87.33,86.05,87.14,856100,0.0,1.0
2013-05-28,87.93,88.0,86.85,87.06,1185200,0.0,1.0
2013-05-29,86.62,86.85,85.46,86.04,1094400,0.0,1.0
2013-05-30,86.14,86.45,85.45,85.46,1301600,0.0,1.0
2013-05-31,85.01,85.59,84.43,84.47,2815000,0.0,1.0
2013-06-03,84.72,84.74,83.255,83.75,2321300,0.0,1.0
2013-06-04,83.74,85.92,83.71,84.52,2138400,0.0,1.0
2013-06-05,84.15,84.63,83.49,83.51,1295200,0.0,1.0
2013-06-06,83.51,84.09,83.15,84.09,1358600,0.0,1.0
2013-06-07,84.31,84.82,83.98,84.75,1388400,0.0,1.0
2013-06-10,85.0,85.45,84.47,84.61,1316200,0.0,1.0
2013-06-11,83.91,84.86,83.52,83.7,842000,0.0,1.0
2013-06-12,84.34,84.878,83.85,84.25,1682800,0.0,1.0
2013-06-13,84.04,84.88,83.4,84.76,1292800,0.0,1.0
2013-06-14,84.37,84.7,83.96,84.03,898600,0.23,1.0
2013-06-17,84.63,86.34,84.62,86.32,1481200,0.0,1.0
2013-06-18,86.37,86.85,86.09,86.73,1000800,0.0,1.0
2013-06-19,86.72,86.82,85.6,85.68,851500,0.0,1.0
2013-06-20,85.21,85.31,83.83,83.99,1205200,0.0,1.0
2013-06-21,84.29,84.35,82.93,83.77,2312100,0.0,1.0
2013-06-24,83.0,84.76,82.58,83.93,1288900,0.0,1.0
2013-06-25,84.7,84.87,83.97,84.41,1416200,0.0,1.0
2013-06-26,85.0,86.0,84.8701,85.93,787700,0.0,1.0
2013-06-27,86.49,86.62,85.16,85.7,1074400,0.0,1.0
2013-06-28,85.64,86.31,85.18,85.19,1450600,0.0,1.0
2013-07-01,85.54,86.93,85.48,86.34,1314900,0.0,1.0
2013-07-02,85.83,86.69,85.7,86.13,1358400,0.0,1.0
2013-07-03,86.06,86.31,85.68,85.83,873100,0.0,1.0
2013-07-05,86.43,86.64,85.58,86.5,584700,0.0,1.0
2013-07-08,86.85,87.4,86.66,86.86,605400,0.0,1.0
2013-07-09,87.41,88.47,87.3301,88.46,871100,0.0,1.0
2013-07-10,88.23,88.93,87.935,88.66,815800,0.0,1.0
2013-07-11,89.31,89.94,89.31,89.9,1120000,0.0,1.0
2013-07-12,89.83,90.29,89.439,90.29,826000,0.0,1.0
2013-07-15,90.2,90.82,89.95,90.77,757400,0.0,1.0
2013-07-16,90.83,91.41,90.75,91.32,1294400,0.0,1.0
2013-07-17,91.51,91.81,91.14,91.64,1073000,0.0,1.0
2013-07-18,91.75,92.51,91.58,92.48,794300,0.0,1.0
2013-07-19,92.63,93.47,92.27,93.4,1718300,0.0,1.0
2013-07-22,93.03,94.35,93.03,94.28,1269600,0.0,1.0
2013-07-23,94.67,95.19,94.17,94.77,1439400,0.0,1.0
2013-07-24,95.0,95.0,93.55,93.68,1178700,0.0,1.0
2013-07-25,93.5,93.79,93.1,93.54,1274700,0.0,1.0
2013-07-26,93.1,93.29,92.13,92.99,901900,0.0,1.0
2013-07-29,92.88,93.11,91.49,92.1,1263400,0.0,1.0
2013-07-30,92.44,94.8799,92.43,93.75,1190600,0.0,1.0
2013-07-31,93.99,94.97,92.07,92.14,1494900,0.0,1.0
2013-08-01,92.87,94.16,92.83,94.04,1257600,0.0,1.0
2013-08-02,93.89,93.89,92.78,93.62,756300,0.0,1.0
2013-08-05,93.52,93.52,92.0,92.46,711400,0.0,1.0
2013-08-06,92.49,93.66,92.41,93.5,783300,0.0,1.0
2013-08-07,93.33,93.59,92.45,93.3,846100,0.0,1.0
2013-08-08,93.6,93.92,93.02,93.05,642700,0.0,1.0
2013-08-09,93.1,94.0,92.6,93.04,918400,0.0,1.0
2013-08-12,92.9,93.395,92.33,92.79,722500,0.0,1.0
2013-08-13,92.81,93.43,92.34,93.15,459200,0.0,1.0
2013-08-14,93.27,93.62,92.77,93.03,651100,0.0,1.0
2013-08-15,92.36,92.56,91.25,92.2,1252600,0.0,1.0
2013-08-16,91.94,92.18,91.32,91.71,939600,0.0,1.0
2013-08-19,91.21,92.14,91.145,91.23,712100,0.0,1.0
2013-08-20,91.16,91.3,90.51,90.6,991400,0.0,1.0
2013-08-21,90.57,91.56,90.25,90.69,713400,0.0,1.0
2013-08-22,90.63,91.71,90.18,91.54,553700,0.0,1.0
2013-08-23,91.66,91.86,90.84,91.71,531800,0.0,1.0
2013-08-26,91.83,93.12,91.785,92.44,911600,0.0,1.0
2013-08-27,91.67,91.88,90.56,90.6,710600,0.0,1.0
2013-08-28,90.79,91.22,90.47,90.83,665300,0.0,1.0
2013-08-29,90.82,92.13,90.4925,91.64,814500,0.0,1.0
2013-08-30,91.89,92.23,91.12,91.35,970000,0.0,1.0
2013-09-03,92.54,93.0,91.95,92.58,1137700,0.0,1.0
2013-09-04,92.51,93.915,92.481,93.73,1263100,0.0,1.0
2013-09-05,93.42,93.87,93.0,93.12,750300,0.0,1.0
2013-09-06,93.24,93.5,92.12,92.73,925700,0.0,1.0
2013-09-09,92.76,93.81,92.76,93.79,630900,0.0,1.0
2013-09-10,94.0,95.42,94.0,95.39,952200,0.0,1.0
2013-09-11,95.25,96.37,94.87,96.1,877400,0.0,1.0
2013-09-12,96.07,96.17,95.1,96.0,794900,0.0,1.0
2013-09-13,95.83,95.88,95.02,95.69,686300,0.23,1.0
2013-09-16,96.89,97.33,96.0,96.85,681200,0.0,1.0
2013-09-17,96.95,96.99,95.97,96.27,910300,0.0,1.0
2013-09-18,96.38,99.33,96.0,99.0,1172100,0.0,1.0
2013-09-19,99.04,99.45,98.3301,98.8,749600,0.0,1.0
2013-09-20,98.91,99.3,98.13,98.13,1803000,0.0,1.0
2013-09-23,98.3,99.009,97.76,98.37,780000,0.0,1.0
2013-09-24,98.52,98.829,98.11,98.36,687700,0.0,1.0
2013-09-25,98.58,98.96,98.29,98.63,613100,0.0,1.0
2013-09-26,98.91,99.31,98.22,99.12,543700,0.0,1.0
2013-09-27,98.77,99.0499,98.02,98.11,630700,0.0,1.0
2013-09-30,97.75,99.03,97.25,98.76,951400,0.0,1.0
2013-10-01,98.87,99.57,98.715,99.48,711000,0.0,1.0
2013-10-02,99.28,99.51,98.6575,99.51,767500,0.0,1.0
2013-10-03,99.14,99.22,97.05,97.76,1111900,0.0,1.0
2013-10-04,97.74,99.41,97.51,99.34,731200,0.0,1.0
2013-10-07,98.51,98.51,97.22,97.27,951400,0.0,1.0
2013-10-08,97.23,97.525,96.58,96.91,1083700,0.0,1.0
2013-10-09,97.01,97.95,96.44,97.63,1232400,0.0,1.0
2013-10-10,98.69,99.39,98.27,98.83,974600,0.0,1.0
2013-10-11,98.85,100.326,98.76,100.02,958500,0.0,1.0
2013-10-14,99.48,100.89,99.13,100.71,645900,0.0,1.0
2013-10-15,100.4,100.82,99.2903,99.62,703100,0.0,1.0
2013-10-16,100.36,101.94,100.23,101.84,767500,0.0,1.0
2013-10-17,101.5,102.44,100.73,102.3,945600,0.0,1.0
2013-10-18,102.42,103.75,102.27,103.51,774600,0.0,1.0
2013-10-21,103.07,103.63,102.37,102.62,671800,0.0,1.0
2013-10-22,102.6,104.37,102.6,104.26,735900,0.0,1.0
2013-10-23,104.17,104.17,103.0,103.28,760900,0.0,1.0
2013-10-24,103.36,105.0,103.36,104.92,801700,0.0,1.0
2013-10-25,105.0,105.31,104.2775,105.18,804400,0.0,1.0
2013-10-28,105.18,105.62,102.9,103.26,1861700,0.0,1.0
2013-10-29,103.2,107.51,103.2,107.48,1765900,0.0,1.0
2013-10-30,107.48,108.34,106.11,106.36,1302100,0.0,1.0
2013-10-31,106.37,107.21,105.82,106.0,1100000,0.0,1.0
2013-11-01,106.2,107.13,105.15,105.69,1060300,0.0,1.0
2013-11-04,106.22,106.6,105.65,105.96,602200,0.0,1.0
2013-11-05,105.46,105.98,104.84,105.32,758000,0.0,1.0
2013-11-06,105.92,106.98,105.58,106.39,550300,0.0,1.0
2013-11-07,106.39,106.73,104.53,104.62,642600,0.0,1.0
2013-11-08,104.81,106.59,104.53,106.56,723100,0.0,1.0
2013-11-11,106.49,106.5725,105.78,105.99,491400,0.0,1.0
2013-11-12,105.81,106.485,105.06,106.43,689200,0.0,1.0
2013-11-13,106.0,106.33,104.6901,106.29,754200,0.0,1.0
2013-11-14,106.72,107.24,106.15,107.03,707800,0.0,1.0
2013-11-15,107.33,107.86,106.97,107.61,1195100,0.0,1.0
2013-11-18,107.82,107.89,106.71,107.07,713100,0.0,1.0
2013-11-19,106.7,107.2,106.21,106.58,719900,0.0,1.0
2013-11-20,106.73,107.16,106.2,106.59,494700,0.0,1.0
2013-11-21,107.12,107.76,106.555,107.42,673700,0.0,1.0
2013-11-22,107.47,107.55,106.751,107.46,576200,0.0,1.0
2013-11-25,107.49,107.89,105.97,106.48,806900,0.0,1.0
2013-11-26,106.72,108.14,106.3,107.99,1711100,0.0,1.0
2013-11-27,107.94,107.94,106.81,106.96,772200,0.0,1.0
2013-11-29,107.16,107.77,106.86,107.17,417900,0.0,1.0
2013-12-02,106.9,106.98,105.65,105.75,956500,0.0,1.0
2013-12-03,105.26,105.79,103.21,103.65,1589500,0.0,1.0
2013-12-04,103.34,103.9821,102.55,103.41,1217800,0.0,1.0
2013-12-05,103.23,103.68,102.63,103.05,1213400,0.0,1.0
2013-12-06,104.3,105.73,103.92,105.69,1500300,0.0,1.0
2013-12-09,106.33,106.34,105.15,105.76,1247500,0.0,1.0
2013-12-10,105.23,106.05,104.9,105.05,1078500,0.0,1.0
2013-12-11,105.02,105.245,103.23,103.24,1115900,0.0,1.0
2013-12-12,103.22,103.56,102.75,102.84,1143900,0.0,1.0
2013-12-13,102.89,103.3,102.44,102.58,822400,0.275,1.0
2013-12-16,102.84,102.97,101.99,102.1,1235500,0.0,1.0
2013-12-17,102.68,102.69,101.38,102.06,1565000,0.0,1.0
2013-12-18,102.39,104.11,101.7,104.08,1090100,0.0,1.0
2013-12-19,103.68,103.999,102.81,102.95,922900,0.0,1.0
2013-12-20,102.65,104.56,102.55,104.24,1598300,0.0,1.0
2013-12-23,105.05,105.05,103.86,104.28,871000,0.0,1.0
2013-12-24,104.13,104.97,103.841,104.93,369700,0.0,1.0
2013-12-26,105.03,105.07,104.35,104.7,687000,0.0,1.0
2013-12-27,105.09,105.3,104.33,104.47,502300,0.0,1.0
