date,open,high,low,close,volume,dividend,split
2012-11-01,50.0,50.53,49.7912,50.36,840100,0.0,1.0
2012-11-02,50.73,50.73,50.04,50.08,854200,0.0,1.0
2012-11-05,49.83,50.09,49.47,49.96,746600,0.0,1.0
2012-11-06,50.0,50.745,49.99,50.61,722400,0.0,1.0
2012-11-07,50.28,50.38,49.46,49.97,1043400,0.0,1.0
2012-11-08,50.0,50.51,49.78,49.97,1244600,0.0,1.0
2012-11-09,49.79,50.55,49.63,50.37,716700,0.0,1.0
2012-11-12,50.4,50.48,50.01,50.33,1009200,0.0,1.0
2012-11-13,49.95,51.86,49.95,51.43,1546300,0.0,1.0
2012-11-14,51.4,51.66,50.0,50.11,1297900,0.0,1.0
2012-11-15,50.17,50.19,49.62,49.79,1020100,0.0,1.0
2012-11-16,49.96,50.37,49.37,50.3,939900,0.0,1.0
2012-11-19,50.67,50.85,50.18,50.25,890000,0.0,1.0
2012-11-20,50.14,50.6,49.84,50.5,618000,0.18,1.0
2012-11-21,50.44,50.77,50.29,50.74,446300,0.0,1.0
2012-11-23,50.88,51.04,50.7,51.03,293600,0.0,1.0
2012-11-26,50.85,51.04,50.53,50.99,565200,0.0,1.0
2012-11-27,50.73,51.04,50.7,50.95,497300,0.0,1.0
2012-11-28,50.79,51.29,50.45,51.28,541100,0.0,1.0
2012-11-29,51.52,51.69,50.91,51.04,936300,0.0,1.0
2012-11-30,51.02,51.34,50.91,51.24,693900,0.0,1.0
2012-12-03,52.66,55.52,52.66,53.38,2594800,0.0,1.0
2012-12-04,53.47,54.27,53.34,54.25,1143800,0.0,1.0
2012-12-05,54.39,54.41,53.48,54.03,1152000,0.0,1.0
2012-12-06,54.15,54.46,53.7601,54.2,1164200,0.0,1.0
2012-12-07,54.14,54.56,53.94,54.33,996600,0.0,1.0
2012-12-10,54.37,54.47,54.06,54.2,778500,0.0,1.0
2012-12-11,54.35,54.5,54.145,54.17,656200,0.0,1.0
2012-12-12,54.37,54.4088,53.75,54.0,1140000,0.0,1.0
2012-12-13,53.94,54.07,53.22,53.28,552400,0.0,1.0
2012-12-14,53.11,53.56,52.84,53.0,704000,0.0,1.0
2012-12-17,53.21,54.91,53.01,54.9,1513800,0.0,1.0
2012-12-18,54.79,55.04,54.33,54.93,858800,0.0,1.0
2012-12-19,55.0,55.0,54.19,54.33,534200,0.0,1.0
2012-12-20,54.39,54.56,54.2,54.5,671800,0.0,1.0
2012-12-21,53.79,54.03,53.41,53.66,1042800,0.0,1.0
2012-12-24,53.52,53.84,53.4401,53.8,133600,0.0,1.0
2012-12-26,53.85,53.99,52.81,53.12,406100,0.0,1.0
2012-12-27,53.23,53.82,53.04,53.75,536900,0.0,1.0
2012-12-28,53.49,53.87,53.36,53.36,548600,0.0,1.0
2012-12-31,53.26,54.13,52.75,54.12,566600,0.0,1.0
2013-01-02,54.98,55.23,54.37,54.74,910600,0.0,1.0
2013-01-03,54.74,54.95,54.07,54.5,1064700,0.0,1.0
2013-01-04,54.5,55.71,54.4,55.56,1284000,0.0,1.0
2013-01-07,55.2,55.41,55.03,55.38,542300,0.0,1.0
2013-01-08,55.18,55.49,54.93,55.44,733500,0.0,1.0
2013-01-09,55.58,56.0,55.37,55.99,530400,0.0,1.0
2013-01-10,56.14,56.448,55.8613,56.11,1324700,0.0,1.0
2013-01-11,56.3,56.4,55.96,56.18,888300,0.0,1.0
2013-01-14,56.18,56.7,56.01,56.58,364600,0.0,1.0
2013-01-15,56.5,57.11,56.22,57.06,434200,0.0,1.0
2013-01-16,56.79,56.97,56.51,56.64,454400,0.0,1.0
2013-01-17,56.85,57.24,56.69,56.94,386800,0.0,1.0
2013-01-18,57.07,58.69,56.82,58.45,996400,0.0,1.0
2013-01-22,58.28,58.47,57.84,58.25,1121700,0.0,1.0
2013-01-23,58.13,58.415,57.84,58.15,561000,0.0,1.0
2013-01-24,57.98,59.3,57.98,59.05,659600,0.0,1.0
2013-01-25,59.19,59.19,58.63,58.87,485500,0.0,1.0
2013-01-28,58.88,58.94,58.53,58.74,330700,0.0,1.0
2013-01-29,58.62,58.99,58.19,58.96,376200,0.0,1.0
2013-01-30,58.86,58.974,58.52,58.78,416600,0.0,1.0
2013-01-31,58.77,59.07,58.41,58.7,388900,0.0,1.0
2013-02-01,59.24,59.6,58.95,59.28,822000,0.0,1.0
2013-02-04,59.0,59.43,58.8,58.94,579300,0.0,1.0
2013-02-05,59.32,59.6776,59.2,59.52,546200,0.0,1.0
2013-02-06,59.27,59.83,58.99,59.72,606700,0.0,1.0
2013-02-07,59.53,59.74,55.4,55.83,3534600,0.0,1.0
2013-02-08,55.84,56.455,54.78,55.56,2228900,0.0,1.0
2013-02-11,55.32,55.55,54.68,54.98,1318600,0.0,1.0
2013-02-12,55.08,55.15,54.15,54.32,1205200,0.0,1.0
2013-02-13,54.37,54.49,53.73,54.01,1382000,0.0,1.0
2013-02-14,53.93,54.517,53.641,54.25,716900,0.0,1.0
2013-02-15,54.39,55.295,54.19,55.17,1033800,0.0,1.0
2013-02-19,55.16,56.26,53.47,55.8,1215700,0.0,1.0
2013-02-20,55.74,56.146,54.04,54.05,1579900,0.22,1.0
2013-02-21,54.01,54.31,53.6521,53.98,1451700,0.0,1.0
2013-02-22,54.17,54.63,53.94,54.15,762300,0.0,1.0
2013-02-25,54.37,54.71,53.13,53.13,1110000,0.0,1.0
2013-02-26,53.28,53.58,52.79,53.33,907300,0.0,1.0
2013-02-27,53.53,54.42,53.33,54.41,1120600,0.0,1.0
2013-02-28,54.4,55.13,54.19,55.12,1303600,0.0,1.0
2013-03-01,54.79,56.13,54.77,55.86,1429600,0.0,1.0
2013-03-04,55.96,56.46,55.68,56.28,1172700,0.0,1.0
2013-03-05,56.35,57.02,56.275,56.67,978000,0.0,1.0
2013-03-06,56.95,57.16,56.76,56.82,728000,0.0,1.0
2013-03-07,56.84,56.865,56.34,56.5,679200,0.0,1.0
2013-03-08,56.76,56.89,55.95,56.82,897500,0.0,1.0
2013-03-11,56.83,56.9825,56.47,56.72,883000,0.0,1.0
2013-03-12,56.73,56.85,56.12,56.54,1132400,0.0,1.0
2013-03-13,56.43,56.71,55.39,56.5,984500,0.0,1.0
2013-03-14,56.72,56.84,56.38,56.49,914000,0.0,1.0
2013-03-15,56.28,56.63,56.1,56.43,1379100,0.0,1.0
2013-03-18,56.01,56.45,55.62,56.17,976400,0.0,1.0
2013-03-19,56.36,56.78,55.88,56.23,807800,0.0,1.0
2013-03-20,56.36,57.23,56.07,56.86,715000,0.0,1.0
2013-03-21,56.56,56.83,56.42,56.61,456800,0.0,1.0
